Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
DRR811138_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.020347126887625022)	(55, 0.025740341243381055)	(60, 0.025740341243381055)	(65, 0.025740341243381055)	(70, 0.025740341243381055)	(75, 0.025740341243381055)	(80, 0.025740341243381055)	(85, 0.025740341243381055)	(90, 0.025740341243381055)	(95, 0.025740341243381055)	(100, 0.05074524416552266)	(105, 0.07624043930182389)	(110, 0.08187879976465973)	(115, 0.08408511472837812)	(120, 0.08751716022749559)	(125, 0.08825259854873505)	(130, 0.08849774465581486)	(135, 0.08947832908413414)	(140, 0.08947832908413414)	(145, 0.08972347519121396)	(150, 0.12992743675230436)	(155, 0.19219454795057853)	(160, 0.21867032751519905)	(165, 0.24171406158070208)	(170, 0.26206118846832716)	(175, 0.28461463031967055)	(180, 0.2929495979603844)	(185, 0.2993233967444597)	(190, 0.3025102961364974)	(195, 0.30471661110021575)	(200, 0.32432829966660126)	(205, 0.36992547558344774)	(210, 0.4057168072171014)	(215, 0.4309668562463228)	(220, 0.44567562267111194)	(225, 0.4645518729162581)	(230, 0.49225338301627775)	(235, 0.5030398117277898)
DRR811138_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.012747597568150618)	(125, 0.020837419101784667)	(130, 0.02328888017258286)	(135, 0.02328888017258286)	(140, 0.024269464600902138)	(145, 0.024514610707981957)	(150, 0.025740341243381055)	(155, 0.02721121788585997)	(160, 0.028191802314179247)	(165, 0.028191802314179247)	(170, 0.038242792704451856)	(175, 0.06447342616199256)	(180, 0.07722102373014317)	(185, 0.07942733869386154)	(190, 0.08236909197881938)	(195, 0.08604628358501668)	(200, 0.08825259854873505)	(205, 0.0914394979407727)	(210, 0.0938909590115709)	(215, 0.09560698176112964)	(220, 0.12625024514610708)	(225, 0.17552461266915081)	(230, 0.20812904491076684)	(235, 0.23705628554618552)
DRR811138_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0009805844283192783)	(50, 0.04167483820356933)	(55, 0.050254951951363015)	(60, 0.050254951951363015)	(65, 0.050254951951363015)	(70, 0.050254951951363015)	(75, 0.050254951951363015)	(80, 0.050254951951363015)	(85, 0.050254951951363015)	(90, 0.050254951951363015)	(95, 0.050500098058442834)	(100, 0.08065306922926065)	(105, 0.10688370268680134)	(110, 0.11301235536379681)	(115, 0.11595410864875466)	(120, 0.11938615414787213)	(125, 0.12012159246911161)	(130, 0.12036673857619143)	(135, 0.1213473230045107)	(140, 0.12159246911159052)	(145, 0.12453422239654835)	(150, 0.1713571288487939)	(155, 0.24024318493822316)	(160, 0.2681898411453226)	(165, 0.29491076681702294)	(170, 0.31795450088252597)	(175, 0.33977250441262996)	(180, 0.347862325946264)	(185, 0.35521670915865855)	(190, 0.3613453618356541)	(195, 0.36257109237105317)	(200, 0.3821827809374387)	(205, 0.42753481074720534)	(210, 0.463326142380859)	(215, 0.49078250637379883)	(220, 0.504020396156109)	(225, 0.5194646009021376)	(230, 0.5415277505393215)	(235, 0.5498627181800353)
DRR811138_2 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.004412629927436752)	(125, 0.018140811923906645)	(130, 0.023534026279662678)	(135, 0.024514610707981957)	(140, 0.025004902922141598)	(145, 0.026720925671700334)	(150, 0.026966071778780153)	(155, 0.026966071778780153)	(160, 0.02770151010001961)	(165, 0.028191802314179247)	(170, 0.035055893312414196)	(175, 0.059815650127475986)	(180, 0.07207295548146696)	(185, 0.0789370464797019)	(190, 0.0838399686212983)	(195, 0.08776230633457541)	(200, 0.0889880368699745)	(205, 0.09413610511865071)	(210, 0.09487154343989017)	(215, 0.09781329672484801)	(220, 0.10761914100804079)	(225, 0.16081584624436165)	(230, 0.207883898803687)	(235, 0.2297019023337909)
DRR811140_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.007220402795327367)	(55, 0.009025503494159209)	(60, 0.009799118079372856)	(65, 0.010314861136181954)	(70, 0.010314861136181954)	(75, 0.010314861136181954)	(80, 0.010314861136181954)	(85, 0.010314861136181954)	(90, 0.010314861136181954)	(95, 0.010314861136181954)	(100, 0.024239923670027592)	(105, 0.03507052786301865)	(110, 0.03739137161865958)	(115, 0.03868072926068233)	(120, 0.04254880218675056)	(125, 0.04409603135717786)	(130, 0.04512751747079605)	(135, 0.04590113205600969)	(140, 0.04770623275484154)	(145, 0.04770623275484154)	(150, 0.06421001057273265)	(155, 0.08587121895871477)	(160, 0.10211712524820134)	(165, 0.10856391345831506)	(170, 0.12429407669099257)	(175, 0.1346089378271745)	(180, 0.14131359756569278)	(185, 0.14337656979292918)	(190, 0.14776038577580647)	(195, 0.15188633023027928)	(200, 0.16323267748007944)	(205, 0.18927770184893888)	(210, 0.2032027643827845)	(215, 0.2184171845586529)	(220, 0.22718481652440756)	(225, 0.24317285128548954)	(230, 0.2604502436885943)	(235, 0.2671549034271126)
DRR811140_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00438381598287733)	(125, 0.009799118079372858)	(130, 0.0110884757213956)	(135, 0.011604218778204698)	(140, 0.011604218778204698)	(145, 0.011604218778204698)	(150, 0.011604218778204698)	(155, 0.011862090306609247)	(160, 0.012893576420227443)	(165, 0.012893576420227443)	(170, 0.018051006988318418)	(175, 0.032749684107377705)	(180, 0.04048582995951418)	(185, 0.04306454524355967)	(190, 0.04512751747079605)	(195, 0.04770623275484154)	(200, 0.05054281956729158)	(205, 0.05209004873771887)	(210, 0.05492663555016891)	(215, 0.05724747930580985)	(220, 0.0665308543283736)	(225, 0.09283375022563758)	(230, 0.1124319863843833)	(235, 0.11836303153768793)
DRR811140_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.00025787152840454886)	(50, 0.020629722272363905)	(55, 0.02707651048247763)	(60, 0.02785012506769128)	(65, 0.028365868124500378)	(70, 0.028365868124500378)	(75, 0.028365868124500378)	(80, 0.028365868124500378)	(85, 0.028365868124500378)	(90, 0.028365868124500378)	(95, 0.028365868124500378)	(100, 0.04976920498207793)	(105, 0.0675623404419918)	(110, 0.07091467031125094)	(115, 0.07220402795327367)	(120, 0.0781350731065783)	(125, 0.0801980453338147)	(130, 0.08122953144743289)	(135, 0.08200314603264655)	(140, 0.08380824673147838)	(145, 0.08380824673147838)	(150, 0.09953840996415585)	(155, 0.12119961835013796)	(160, 0.14079785450888366)	(165, 0.14724464271899737)	(170, 0.1642641635936976)	(175, 0.1745790247298796)	(180, 0.17999432682637512)	(185, 0.1820572990536115)	(190, 0.18669898656489337)	(195, 0.19082493101936618)	(200, 0.20423425049640268)	(205, 0.23517883390494854)	(210, 0.25142474019443517)	(215, 0.26483405967147167)	(220, 0.27514892080765363)	(225, 0.290363340983522)	(230, 0.3055777611593904)	(235, 0.3109930632558859)
DRR811140_2 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0033523298692591354)	(125, 0.0056731736249000745)	(130, 0.007220402795327369)	(135, 0.009541246550968307)	(140, 0.01083060419299105)	(145, 0.012635704891822894)	(150, 0.012893576420227443)	(155, 0.01366719100544109)	(160, 0.01547229170427293)	(165, 0.016761649346295676)	(170, 0.02243482297119575)	(175, 0.03507052786301864)	(180, 0.042033059129941465)	(185, 0.04615900358441425)	(190, 0.050284948038887035)	(195, 0.051574305680909774)	(200, 0.05415302096495526)	(205, 0.05415302096495526)	(210, 0.055700250135382545)	(215, 0.05905258000464168)	(220, 0.0665308543283736)	(225, 0.08690270507233297)	(230, 0.10392222594703318)	(235, 0.1124319863843833)
DRR811141_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.053962041293699414)	(55, 0.07295297428118161)	(60, 0.07364776451243095)	(65, 0.07411095799993052)	(70, 0.07411095799993052)	(75, 0.07411095799993052)	(80, 0.07411095799993052)	(85, 0.07573213520617901)	(90, 0.0771217156686777)	(95, 0.07758490915617726)	(100, 0.13872644950611995)	(105, 0.18759336243732413)	(110, 0.200562780087312)	(115, 0.207973875887305)	(120, 0.21607976191854741)	(125, 0.22673321213103742)	(130, 0.22812279259353613)	(135, 0.22904917956853527)	(140, 0.23344951769978114)	(145, 0.2339127111872807)	(150, 0.3075604756997117)	(155, 0.4393390228933381)	(160, 0.5030281274245284)	(165, 0.5308197366745023)	(170, 0.5576849589494771)	(175, 0.589876906330697)	(180, 0.6151209513994234)	(185, 0.6241532244056648)	(190, 0.6371226420556526)	(195, 0.6424493671618977)	(200, 0.6940954410180993)	(205, 0.8198524728742314)	(210, 0.9150387345553922)	(215, 0.9551049712241045)	(220, 0.9933184339428187)	(225, 1.0401009761802749)	(230, 1.0674293919427493)	(235, 1.086883518417731)
DRR811141_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0013895804624986974)	(110, 0.0023159674374978287)	(115, 0.0023159674374978287)	(120, 0.041224220387461354)	(125, 0.06507868499368899)	(130, 0.07110020033118333)	(135, 0.07272137753743182)	(140, 0.07411095799993052)	(145, 0.07503734497492966)	(150, 0.07550053846242923)	(155, 0.0785112961311764)	(160, 0.07990087659367509)	(165, 0.08198524728742314)	(170, 0.11417719466864296)	(175, 0.1646652848060956)	(180, 0.19037252336232152)	(185, 0.20218395729356048)	(190, 0.2121426172748011)	(195, 0.22418564794978985)	(200, 0.23090195351853354)	(205, 0.2353022916497794)	(210, 0.24387137116852134)	(215, 0.25383003114976205)	(220, 0.29181189712472644)	(225, 0.3944092546058802)	(230, 0.4840371944370462)	(235, 0.5229454473870098)
