Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
DRR811138_1	5.997499509707786	76.09825455971769
DRR811138_2	4.720288291821926	85.04118454598942
DRR811139_1	2.086783305733554	73.0854153166775
DRR811139_2	2.596779225766194	81.67974656202753
DRR811140_1	2.665102246061012	78.73204569483481
DRR811140_2	3.933830165811393	85.42252249929076
DRR811141_1	6.014567435181862	71.15578354968326
DRR811141_2	5.996039695681879	79.56969325011292
DRR811142_1	4.499571155241802	82.99355633260753
DRR811142_2	4.067427591211981	86.96311935079498
DRR811143_1	3.6792473664450878	71.59073342019828
DRR811143_2	3.9884278174068597	76.74963008767477
DRR811144_1	2.8162184829899877	79.9771976725901
DRR811144_2	2.9446453844944176	86.67374325103519
DRR811145_1	4.073524855030764	82.04262759505997
DRR811145_2	3.7371076977557434	86.76132087999649
DRR811146_1	2.5038058343750387	76.87290369691944
DRR811146_2	3.3800759929205295	82.34711684839785
