Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
DRR811138_1	(1, 36.44437634830359)	(2, 36.480290252990784)	(3, 36.43459501863111)	(4, 36.468400666797415)	(5, 36.40257893704648)	(6, 36.625)	(7, 36.662777015101)	(8, 36.63313885075505)	(9, 35.86448323200628)	(10, 36.42065846244362)	(15, 36.59403804667581)	(20, 36.38456069817612)	(25, 36.41739556775838)	(30, 36.12487252402432)	(35, 36.54686212982938)	(40, 36.34475387330849)	(45, 36.354716611100216)	(50, 36.434276328691894)	(55, 36.508521278682096)	(60, 36.26550794273386)	(65, 36.57479898019219)	(70, 36.22341145322612)	(75, 36.167339184153754)	(80, 36.25672190625612)	(85, 36.1816238478133)	(90, 36.33997352422044)	(95, 36.08608060404)	(100, 36.0467346538537)	(105, 35.59176309080212)	(110, 35.92915767797608)	(115, 35.82079819572466)	(120, 35.89805353990979)	(125, 35.564615610904106)	(130, 36.261065895273575)	(135, 35.65825161796431)	(140, 35.641243381055105)	(145, 35.85071582663268)	(150, 35.91271327711316)	(155, 35.919008629142965)	(160, 35.66312512257306)	(165, 35.641895469699946)	(170, 35.925485389292014)	(175, 35.37536281623848)	(180, 35.7496813100608)	(185, 35.661786624828395)	(190, 35.871514022357324)	(195, 34.99537164149833)	(200, 34.67228378113355)	(205, 35.03294273386938)	(210, 34.928505589331245)	(215, 33.29418513434007)	(220, 34.97326926848402)	(225, 32.68421749362621)	(230, 34.166961659148846)	(235, 34.964794567562265)	(240, 34.41709648950775)	(245, 34.64633751716023)	(250, 32.8071190429496)
DRR811138_2	(1, 36.21055599137086)	(2, 36.45383898803687)	(3, 36.32106785644244)	(4, 36.539296920964894)	(5, 36.60852618160423)	(6, 36.56962149441067)	(7, 36.61720435379486)	(8, 36.62882427927045)	(9, 36.153093743871345)	(10, 36.586516964110615)	(15, 36.58148656599333)	(20, 36.51891057070014)	(25, 36.60703569327319)	(30, 36.354518042753476)	(35, 36.63231515983526)	(40, 36.59644538144734)	(45, 36.48409001765052)	(50, 36.58868895861933)	(55, 36.58071190429496)	(60, 36.42864777407335)	(65, 36.43743871347323)	(70, 36.40490782506374)	(75, 36.39388115316729)	(80, 35.92128848793881)	(85, 35.92442145518729)	(90, 35.70771229652873)	(95, 34.65661404196901)	(100, 34.9851490488331)	(105, 35.33615414787213)	(110, 35.13365365757991)	(115, 35.18552657383801)	(120, 35.40142184742106)	(125, 35.18942439694057)	(130, 34.45451068837026)	(135, 34.62203863502647)	(140, 35.13984114532261)	(145, 35.59007648558541)	(150, 34.132869190037255)	(155, 34.81828789958816)	(160, 34.353946852323986)	(165, 34.34484702882918)	(170, 34.39118454598941)	(175, 34.24225828593842)	(180, 34.509948029025296)	(185, 33.55565306922926)	(190, 34.34144440086291)	(195, 33.514620513826245)	(200, 33.84342027848597)	(205, 34.0010492253383)	(210, 33.01597862325947)	(215, 32.920680525593255)	(220, 33.17894685232399)	(225, 33.38976760149048)	(230, 33.80789615610904)	(235, 33.31574818591881)	(240, 33.078181996469894)	(245, 32.78371739556776)	(250, 32.38426652284762)
DRR811139_1	(1, 36.70540235678114)	(2, 36.57767537859697)	(3, 36.44034847721218)	(4, 36.31610147118823)	(5, 36.562555499556005)	(6, 36.454724362205106)	(7, 36.769073847409224)	(8, 36.69789041687667)	(9, 35.64312285501716)	(10, 36.38477692178462)	(15, 36.628074975400196)	(20, 36.39701442388461)	(25, 36.49869201046392)	(30, 36.08213934288526)	(35, 36.56907384740922)	(40, 36.408591931264546)	(45, 36.425674994600044)	(50, 36.52494780041759)	(55, 36.51891424868601)	(60, 36.26314829481364)	(65, 36.597979216166266)	(70, 36.312059903520776)	(75, 36.25044759641923)	(80, 36.37069143446852)	(85, 36.11027431780546)	(90, 36.294328845369236)	(95, 36.13964048287613)	(100, 36.13525331797346)	(105, 35.740504475964194)	(110, 36.08532891736866)	(115, 35.67883456932345)	(120, 35.938781289749684)	(125, 35.878815369477046)	(130, 36.17321141430868)	(135, 35.60432476540188)	(140, 35.57013463892289)	(145, 35.916811865505075)	(150, 35.9406484748122)	(155, 35.779028967768255)	(160, 35.78538411692706)	(165, 35.862173902608774)	(170, 35.8436940504476)	(175, 35.236930904552764)	(180, 35.74405644754842)	(185, 35.74737322101423)	(190, 35.49654642762858)	(195, 34.94319725442196)	(200, 34.95110759113927)	(205, 34.99290085679315)	(210, 34.35247558019536)	(215, 33.91433028535772)	(220, 34.4624859001128)	(225, 33.33809009527924)	(230, 34.166287469700244)	(235, 34.37839057287542)	(240, 34.59737922096623)	(245, 34.401559987520095)	(250, 33.857729138166896)
DRR811139_2	(1, 36.04034367725058)	(2, 36.0609115127079)	(3, 36.060527515779874)	(4, 36.5906112751098)	(5, 36.3734610123119)	(6, 36.4984520123839)	(7, 36.614563083495334)	(8, 36.6234430124559)	(9, 36.520219838241296)	(10, 36.62693498452013)	(15, 36.6047183622531)	(20, 36.59618403052776)	(25, 36.633863729090166)	(30, 36.45223558211534)	(35, 36.61211510307918)	(40, 36.59969760241918)	(45, 36.56694266445868)	(50, 36.600911992704056)	(55, 36.58723690210478)	(60, 36.52311901504788)	(65, 36.45849233206134)	(70, 36.46839945280438)	(75, 36.38349293205654)	(80, 36.23378212974296)	(85, 36.186425708594335)	(90, 35.9593587251302)	(95, 35.60049919600643)	(100, 35.65508435932512)	(105, 35.62905896752826)	(110, 35.60528955768354)	(115, 35.72395420836633)	(120, 35.815244678042575)	(125, 35.725614995080036)	(130, 35.15544675642595)	(135, 35.28127294981641)	(140, 35.57088343293253)	(145, 35.70498476012192)	(150, 35.07785537715698)	(155, 35.44262365901073)	(160, 34.98778409772722)	(165, 35.08040895672835)	(170, 35.014409484724126)	(175, 34.72207262341901)	(180, 34.94398924808601)	(185, 34.39877120983032)	(190, 35.08894808841529)	(195, 34.40391676866585)	(200, 34.23672930616555)	(205, 34.61112631098952)	(210, 34.000791993664045)	(215, 34.24213886288909)	(220, 33.871020231838145)	(225, 34.33210454316365)	(230, 34.250461996304026)	(235, 33.890726474188206)	(240, 33.59912640698874)	(245, 33.4891400868793)	(250, 32.46775625794994)
DRR811140_1	(1, 36.68508728951237)	(2, 36.55705407565951)	(3, 36.450553134428425)	(4, 36.30954898269682)	(5, 36.551123030506204)	(6, 36.493617679671985)	(7, 36.77758580675108)	(8, 36.711209675339745)	(9, 35.727842388921836)	(10, 36.35155109724335)	(15, 36.6247144072823)	(20, 36.325810361278016)	(25, 36.40862322390985)	(30, 35.972866757781276)	(35, 36.50130225121845)	(40, 36.27287965135769)	(45, 36.349524227030095)	(50, 36.42329611387606)	(55, 36.50313829650069)	(60, 36.24259521906187)	(65, 36.517842131050315)	(70, 35.84616416101498)	(75, 35.77291575337167)	(80, 36.287825885144024)	(85, 35.95075685293587)	(90, 36.20581242425025)	(95, 35.869635627530364)	(100, 36.0974444931535)	(105, 35.722628226617495)	(110, 36.02916011243199)	(115, 35.7459346553547)	(120, 35.70759431651152)	(125, 35.60897392918848)	(130, 36.19947394208206)	(135, 35.740864901106264)	(140, 35.75762139302199)	(145, 35.73824492637768)	(150, 35.937471311792464)	(155, 35.904257458933955)	(160, 35.55227829495345)	(165, 35.61177441398695)	(170, 35.9489569096676)	(175, 35.346316305216746)	(180, 35.877418190257615)	(185, 35.74466592743495)	(190, 35.953191160164)	(195, 35.004688104386396)	(200, 34.881858737976735)	(205, 35.182263596276336)	(210, 34.73036437246964)	(215, 33.51781118646689)	(220, 34.569844503468374)	(225, 32.45825317826659)	(230, 34.466703628252404)	(235, 34.82409035818355)	(240, 34.397962814925606)	(245, 34.73864720596199)	(250, 33.33345367337992)
DRR811140_2	(1, 36.210655251553675)	(2, 36.44856752365971)	(3, 36.334072565048096)	(4, 36.48722246576755)	(5, 36.58944273962712)	(6, 36.54232961138761)	(7, 36.61455942649372)	(8, 36.64210010572733)	(9, 36.139070115268574)	(10, 36.57280228989917)	(15, 36.57929807369969)	(20, 36.54957580133578)	(25, 36.60766909925475)	(30, 36.36352665102246)	(35, 36.65470486603574)	(40, 36.616013821913924)	(45, 36.4554217488847)	(50, 36.56661595193275)	(55, 36.581371360788054)	(60, 36.455911704788676)	(65, 36.42326001186209)	(70, 36.418308878516726)	(75, 36.43259496119033)	(80, 36.00875215967405)	(85, 36.06913019933469)	(90, 35.90305062018103)	(95, 35.024260553392295)	(100, 35.35482090822352)	(105, 35.48581448722246)	(110, 35.46080094896722)	(115, 35.37538874132907)	(120, 35.66360659119626)	(125, 35.42554475360375)	(130, 34.899182547254966)	(135, 34.779122721060375)	(140, 35.254828644369375)	(145, 35.80930916217541)	(150, 34.58595631656309)	(155, 35.31339126847005)	(160, 34.75891590809458)	(165, 35.064055287655684)	(170, 34.75905000128936)	(175, 34.54050903839707)	(180, 34.988798060806104)	(185, 34.1838366125996)	(190, 34.57309884215684)	(195, 34.21491528920292)	(200, 34.150246267309626)	(205, 34.35277856571855)	(210, 33.712318522911886)	(215, 33.95565641197555)	(220, 33.365527734082875)	(225, 34.114298976250026)	(230, 34.276206194074106)	(235, 33.73254854431523)	(240, 33.47281260476031)	(245, 33.28868201861833)	(250, 32.983625157946314)
DRR811141_1	(1, 36.35850017948748)	(2, 36.42381046122492)	(3, 36.33717011938812)	(4, 36.49586020820547)	(5, 36.55723334529917)	(6, 36.4421529233299)	(7, 36.77778292437208)	(8, 36.50593466655859)	(9, 35.94963928807161)	(10, 36.300198015215905)	(15, 36.554908113991914)	(20, 36.28454207533842)	(25, 36.406463865118056)	(30, 35.77936936206677)	(35, 36.41850226385817)	(40, 36.09577220144285)	(45, 36.39972903180982)	(50, 36.2822863230543)	(55, 36.402216380837686)	(60, 36.34013455770812)	(65, 36.37122410458909)	(70, 35.3463899857568)	(75, 35.27959516889192)	(80, 36.31313037738689)	(85, 35.82425744294035)	(90, 36.012568755283304)	(95, 35.90016095973691)	(100, 35.98986301052607)	(105, 36.15014185300555)	(110, 36.17444561529465)	(115, 35.88204083050592)	(120, 36.18225968942876)	(125, 35.722178862165194)	(130, 36.025158354273536)	(135, 35.68477135611473)	(140, 35.84957096703221)	(145, 35.608631610639556)	(150, 35.923820883078385)	(155, 35.73852032840418)	(160, 35.46560209363456)	(165, 35.646252185694266)	(170, 35.899350371133785)	(175, 35.49043852843429)	(180, 35.80389545722987)	(185, 35.62033651006867)	(190, 35.86171590027444)	(195, 34.843473024769274)	(200, 35.25823963315076)	(205, 35.37709508204314)	(210, 34.23584191206272)	(215, 34.52151649547807)	(220, 34.263999444167816)	(225, 33.63247217944115)	(230, 34.94527600541936)	(235, 34.541327280938425)	(240, 34.21946802227961)	(245, 34.50448950287759)	(250, 35.30769943374596)
DRR811141_2	(1, 36.16641384022141)	(2, 36.40609331032805)	(3, 36.29925773243628)	(4, 36.33879129659437)	(5, 36.5448892388573)	(6, 36.48015794897924)	(7, 36.55961879175979)	(8, 36.592505529372254)	(9, 36.16317148580891)	(10, 36.513408293479394)	(15, 36.54417592088655)	(20, 36.56796090646966)	(25, 36.56246743170791)	(30, 36.30778512454115)	(35, 36.61970425095823)	(40, 36.58050418611115)	(45, 36.36849126301284)	(50, 36.47308961635999)	(55, 36.52498581469944)	(60, 36.480945377907986)	(65, 36.35847238787822)	(70, 36.37525388793034)	(75, 36.40203110344269)	(80, 36.22472526836273)	(85, 36.35629537848698)	(90, 36.24587005106709)	(95, 35.550579570851234)	(100, 35.952923329897985)	(105, 35.94875922044535)	(110, 36.10425790613384)	(115, 35.792111814907884)	(120, 36.23185844807021)	(125, 35.96798175017659)	(130, 36.0378915432449)	(135, 35.21528770105492)	(140, 35.640730919323275)	(145, 36.17927672336926)	(150, 35.641277487638526)	(155, 35.84419560660977)	(160, 35.45882094097757)	(165, 35.537424875806245)	(170, 35.51089778477715)	(175, 35.370369512604654)	(180, 35.510286369373645)	(185, 35.338381370357936)	(190, 35.048019268849075)	(195, 35.55625369107311)	(200, 34.85329272670427)	(205, 35.134191785263496)	(210, 34.718142130921635)	(215, 34.86846694535475)	(220, 34.41671433699642)	(225, 35.0267123684241)	(230, 34.93061361557257)	(235, 34.39075465798951)	(240, 34.095234896997354)	(245, 34.43223595076253)	(250, 33.671260002084374)
DRR811142_1	(1, 36.05192320380022)	(2, 36.45736843262739)	(3, 36.01007235380792)	(4, 36.01341514371797)	(5, 36.314486156011526)	(6, 36.48732158958457)	(7, 36.68661344593257)	(8, 36.579336280266546)	(9, 36.10575971498318)	(10, 36.33581403531922)	(15, 36.529902575267755)	(20, 36.29502320160102)	(25, 36.38546326229905)	(30, 35.96243759758967)	(35, 36.42306964878714)	(40, 36.150205625563544)	(45, 36.2732730751468)	(50, 36.24535198258231)	(55, 36.37606826328869)	(60, 36.23063051175474)	(65, 36.380985683182686)	(70, 35.60261265421917)	(75, 35.538162785071805)	(80, 36.251122693584925)	(85, 35.83734688042928)	(90, 36.08343779551802)	(95, 35.87552066152053)	(100, 35.70318664643399)	(105, 35.38157506982473)	(110, 36.06498647489609)	(115, 35.62597259791956)	(120, 35.937731741109715)	(125, 35.7225924215434)	(130, 36.091302148622205)	(135, 35.64479778320248)	(140, 35.56104330232456)	(145, 35.59973169712564)	(150, 35.886169206747155)	(155, 35.709230058718745)	(160, 35.52206461261024)	(165, 35.59073695322294)	(170, 35.86686019660883)	(175, 35.39632293109894)	(180, 35.68221503815619)	(185, 35.502790789734114)	(190, 35.82025026940247)	(195, 34.64971960150426)	(200, 34.9807393723472)	(205, 35.23254381913747)	(210, 34.06368454619428)	(215, 34.16851179872886)	(220, 34.33510589166722)	(225, 33.13628026654351)	(230, 34.65927954080623)	(235, 34.48800554199379)	(240, 34.03896989289878)	(245, 34.25183963405247)	(250, 35.09148688174881)
DRR811142_2	(1, 36.15684722130589)	(2, 36.43451870422907)	(3, 36.22909106903301)	(4, 36.34470321743529)	(5, 36.555672846429594)	(6, 36.50491522069011)	(7, 36.57471795210134)	(8, 36.58703349387522)	(9, 36.09346616524818)	(10, 36.54284928855754)	(15, 36.54096457082536)	(20, 36.52621670955115)	(25, 36.58047106947285)	(30, 36.31747267489169)	(35, 36.563172131688326)	(40, 36.543480460073454)	(45, 36.38680037826307)	(50, 36.51237492027886)	(55, 36.536970816564406)	(60, 36.474359481867566)	(65, 36.40526929251611)	(70, 36.37799916430252)	(75, 36.39760726616965)	(80, 36.16538892920762)	(85, 36.28859712783972)	(90, 36.17613863781311)	(95, 35.35104132304106)	(100, 35.75459963493216)	(105, 35.9153658375668)	(110, 36.02893272635306)	(115, 35.793776252996416)	(120, 36.18509819445361)	(125, 35.95510985023422)	(130, 35.88933606034615)	(135, 35.154221371863386)	(140, 35.49665501088606)	(145, 36.078925029139455)	(150, 35.45300081370544)	(155, 35.737344681225395)	(160, 35.33687405159333)	(165, 35.240918387543715)	(170, 35.34894328253172)	(175, 35.3080468870269)	(180, 35.35901563633964)	(185, 35.06311275318335)	(190, 35.04183765476897)	(195, 35.24231268280882)	(200, 34.865056849420505)	(205, 34.98984407644433)	(210, 34.564737964856725)	(215, 34.45661630489763)	(220, 34.32677090893097)	(225, 34.72298827824328)	(230, 34.85750038486067)	(235, 34.2069472850828)	(240, 33.88005541993798)	(245, 34.14519144069847)	(250, 33.51177673682127)
