Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
DRR811138_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.3333333333333333)	(40.0, 0.6666666666666666)	(41.0, 0.3333333333333333)	(42.0, 0.3333333333333333)	(43.0, 3.0)	(44.0, 2.333333333333333)	(45.0, 1.6666666666666665)	(46.0, 8.666666666666664)	(47.0, 40.33333333333334)	(48.0, 1048.000000000041)	(49.0, 2784.3333333334817)	(50.0, 2573.333333333386)	(51.0, 1523.9999999999327)	(52.0, 1972.333333333164)	(53.0, 15641.333333343902)	(54.0, 12139.666666670866)	(55.0, 1601.3333333332484)	(56.0, 670.666666666673)	(57.0, 488.333333333323)	(58.0, 294.00000000000074)	(59.0, 187.33333333333428)	(60.0, 80.99999999999993)	(61.0, 35.33333333333331)	(62.0, 20.33333333333333)	(63.0, 19.666666666666664)	(64.0, 5.333333333333332)	(65.0, 3.0)	(66.0, 0.6666666666666666)	(67.0, 0.3333333333333333)	(68.0, 1.0)	(69.0, 0.6666666666666666)	(70.0, 1.3333333333333333)	(71.0, 4.0)	(72.0, 0.6666666666666666)	(73.0, 1.0)	(74.0, 1.0)	(75.0, 0.0)	(76.0, 0.3333333333333333)	(77.0, 0.3333333333333333)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811138_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.6666666666666666)	(40.0, 1.0)	(41.0, 0.0)	(42.0, 1.6666666666666665)	(43.0, 4.666666666666666)	(44.0, 4.333333333333333)	(45.0, 13.666666666666673)	(46.0, 201.66666666666802)	(47.0, 661.0000000000052)	(48.0, 811.3333333333557)	(49.0, 572.6666666666619)	(50.0, 5731.666666665924)	(51.0, 17010.00000000964)	(52.0, 8968.666666665098)	(53.0, 2688.0000000001046)	(54.0, 1016.333333333379)	(55.0, 449.66666666665856)	(56.0, 439.3333333333258)	(57.0, 817.000000000023)	(58.0, 723.666666666679)	(59.0, 137.99999999999955)	(60.0, 76.33333333333333)	(61.0, 24.333333333333314)	(62.0, 7.9999999999999964)	(63.0, 4.666666666666666)	(64.0, 3.3333333333333335)	(65.0, 2.333333333333333)	(66.0, 2.6666666666666665)	(67.0, 12.666666666666671)	(68.0, 17.000000000000007)	(69.0, 4.666666666666666)	(70.0, 3.0)	(71.0, 1.3333333333333333)	(72.0, 1.3333333333333333)	(73.0, 0.6666666666666666)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811139_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 0.0)	(38.0, 0.3333333333333333)	(39.0, 0.0)	(40.0, 0.6666666666666666)	(41.0, 0.3333333333333333)	(42.0, 1.0)	(43.0, 1.3333333333333333)	(44.0, 3.0)	(45.0, 2.6666666666666665)	(46.0, 6.333333333333331)	(47.0, 26.99999999999997)	(48.0, 212.333333333335)	(49.0, 2020.3333333331532)	(50.0, 4760.333333333474)	(51.0, 4112.666666667396)	(52.0, 1515.9999999999345)	(53.0, 4737.000000000162)	(54.0, 8138.999999997068)	(55.0, 4077.0000000007362)	(56.0, 3417.666666667103)	(57.0, 3384.666666667088)	(58.0, 2302.666666666596)	(59.0, 1391.6666666666295)	(60.0, 735.6666666666804)	(61.0, 447.33333333332536)	(62.0, 151.33333333333326)	(63.0, 172.33333333333385)	(64.0, 77.66666666666664)	(65.0, 6.999999999999997)	(66.0, 0.6666666666666666)	(67.0, 0.6666666666666666)	(68.0, 0.3333333333333333)	(69.0, 0.3333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.3333333333333333)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811139_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.6666666666666666)	(41.0, 1.3333333333333333)	(42.0, 2.6666666666666665)	(43.0, 4.666666666666666)	(44.0, 5.999999999999998)	(45.0, 14.333333333333341)	(46.0, 138.66666666666623)	(47.0, 174.3333333333339)	(48.0, 299.00000000000045)	(49.0, 1813.6666666665335)	(50.0, 8212.999999997057)	(51.0, 9221.333333332224)	(52.0, 6379.999999998668)	(53.0, 3448.3333333337837)	(54.0, 2000.3333333331577)	(55.0, 1983.6666666664948)	(56.0, 2763.6666666668057)	(57.0, 2547.333333333374)	(58.0, 1238.6666666666642)	(59.0, 736.0000000000138)	(60.0, 513.6666666666551)	(61.0, 36.333333333333314)	(62.0, 13.000000000000005)	(63.0, 22.666666666666654)	(64.0, 22.999999999999986)	(65.0, 21.333333333333325)	(66.0, 69.66666666666676)	(67.0, 176.00000000000063)	(68.0, 41.000000000000014)	(69.0, 1.6666666666666665)	(70.0, 0.3333333333333333)	(71.0, 0.3333333333333333)	(72.0, 0.3333333333333333)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811140_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.3333333333333333)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 0.3333333333333333)	(38.0, 0.3333333333333333)	(39.0, 0.3333333333333333)	(40.0, 0.3333333333333333)	(41.0, 1.0)	(42.0, 0.3333333333333333)	(43.0, 0.3333333333333333)	(44.0, 0.6666666666666666)	(45.0, 1.9999999999999998)	(46.0, 3.3333333333333335)	(47.0, 8.999999999999998)	(48.0, 94.6666666666664)	(49.0, 837.666666666692)	(50.0, 1500.3333333332714)	(51.0, 1524.333333333266)	(52.0, 1449.6666666666163)	(53.0, 5498.666666666136)	(54.0, 17378.333333341634)	(55.0, 8086.999999997115)	(56.0, 1012.3333333333785)	(57.0, 489.33333333332297)	(58.0, 337.6666666666649)	(59.0, 196.33333333333454)	(60.0, 101.33333333333297)	(61.0, 87.33333333333317)	(62.0, 41.666666666666686)	(63.0, 16.666666666666675)	(64.0, 10.333333333333334)	(65.0, 3.666666666666667)	(66.0, 0.6666666666666666)	(67.0, 1.3333333333333333)	(68.0, 1.0)	(69.0, 1.3333333333333333)	(70.0, 1.3333333333333333)	(71.0, 1.6666666666666665)	(72.0, 1.3333333333333333)	(73.0, 1.0)	(74.0, 0.3333333333333333)	(75.0, 0.0)	(76.0, 0.3333333333333333)	(77.0, 0.3333333333333333)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811140_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.3333333333333333)	(27.0, 0.3333333333333333)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 1.6666666666666665)	(38.0, 1.9999999999999998)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 1.3333333333333333)	(43.0, 1.9999999999999998)	(44.0, 2.333333333333333)	(45.0, 4.666666666666666)	(46.0, 14.666666666666675)	(47.0, 40.33333333333334)	(48.0, 70.66666666666674)	(49.0, 153.66666666666666)	(50.0, 930.3333333333692)	(51.0, 4613.333333333608)	(52.0, 11994.000000003934)	(53.0, 6676.333333331731)	(54.0, 1732.666666666552)	(55.0, 663.0000000000055)	(56.0, 609.9999999999994)	(57.0, 5496.333333332805)	(58.0, 5244.333333333034)	(59.0, 387.33333333332877)	(60.0, 89.33333333333314)	(61.0, 33.66666666666663)	(62.0, 12.333333333333337)	(63.0, 14.333333333333341)	(64.0, 13.666666666666673)	(65.0, 4.999999999999999)	(66.0, 3.0)	(67.0, 10.333333333333334)	(68.0, 8.999999999999998)	(69.0, 2.333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.6666666666666666)	(72.0, 0.6666666666666666)	(73.0, 0.3333333333333333)	(74.0, 0.3333333333333333)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811141_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.3333333333333333)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.3333333333333333)	(41.0, 0.3333333333333333)	(42.0, 1.0)	(43.0, 2.333333333333333)	(44.0, 2.333333333333333)	(45.0, 2.333333333333333)	(46.0, 4.666666666666666)	(47.0, 12.000000000000004)	(48.0, 55.000000000000114)	(49.0, 450.3333333333252)	(50.0, 755.0000000000159)	(51.0, 1160.3333333333487)	(52.0, 1664.6666666665674)	(53.0, 2849.666666666845)	(54.0, 19151.00000000185)	(55.0, 12552.333333338283)	(56.0, 1721.9999999998877)	(57.0, 1057.0000000000389)	(58.0, 690.0000000000085)	(59.0, 378.9999999999959)	(60.0, 226.00000000000205)	(61.0, 178.00000000000068)	(62.0, 144.99999999999974)	(63.0, 62.666666666666835)	(64.0, 24.666666666666647)	(65.0, 9.333333333333332)	(66.0, 3.666666666666667)	(67.0, 1.3333333333333333)	(68.0, 1.3333333333333333)	(69.0, 3.3333333333333335)	(70.0, 4.0)	(71.0, 8.999999999999998)	(72.0, 8.33333333333333)	(73.0, 4.0)	(74.0, 1.6666666666666665)	(75.0, 1.9999999999999998)	(76.0, 1.0)	(77.0, 1.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 1.0)	(81.0, 0.3333333333333333)	(82.0, 0.3333333333333333)	(83.0, 0.3333333333333333)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.3333333333333333)	(88.0, 0.6666666666666666)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.3333333333333333)	(95.0, 0.3333333333333333)	(96.0, 0.0)	(97.0, 0.3333333333333333)	(98.0, 0.3333333333333333)	(99.0, 0.0)	(100.0, 0.0)
DRR811141_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.3333333333333333)	(22.0, 0.3333333333333333)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.3333333333333333)	(40.0, 0.6666666666666666)	(41.0, 0.3333333333333333)	(42.0, 0.3333333333333333)	(43.0, 1.3333333333333333)	(44.0, 1.6666666666666665)	(45.0, 7.666666666666663)	(46.0, 42.00000000000002)	(47.0, 191.00000000000105)	(48.0, 155.33333333333337)	(49.0, 158.33333333333346)	(50.0, 458.99999999999136)	(51.0, 1086.6666666666988)	(52.0, 1767.3333333332107)	(53.0, 1711.6666666665567)	(54.0, 1140.00000000002)	(55.0, 1360.6666666666365)	(56.0, 1886.9999999998502)	(57.0, 16739.66666667729)	(58.0, 15654.66666667726)	(59.0, 879.3333333333634)	(60.0, 229.00000000000213)	(61.0, 122.99999999999933)	(62.0, 56.66666666666679)	(63.0, 28.666666666666632)	(64.0, 22.666666666666654)	(65.0, 16.333333333333343)	(66.0, 11.333333333333336)	(67.0, 15.666666666666677)	(68.0, 10.333333333333334)	(69.0, 7.33333333333333)	(70.0, 7.666666666666663)	(71.0, 7.33333333333333)	(72.0, 4.0)	(73.0, 1.0)	(74.0, 1.0)	(75.0, 1.0)	(76.0, 0.6666666666666666)	(77.0, 0.3333333333333333)	(78.0, 0.3333333333333333)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811142_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.3333333333333333)	(31.0, 0.6666666666666666)	(32.0, 0.3333333333333333)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.3333333333333333)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.3333333333333333)	(41.0, 0.3333333333333333)	(42.0, 0.3333333333333333)	(43.0, 1.9999999999999998)	(44.0, 1.0)	(45.0, 1.3333333333333333)	(46.0, 4.999999999999999)	(47.0, 11.333333333333336)	(48.0, 67.00000000000013)	(49.0, 1193.3333333333412)	(50.0, 6620.999999998448)	(51.0, 5065.66666666653)	(52.0, 779.6666666666854)	(53.0, 2476.000000000008)	(54.0, 16517.6666666781)	(55.0, 10789.000000001743)	(56.0, 1075.6666666667013)	(57.0, 623.3333333333343)	(58.0, 438.6666666666592)	(59.0, 158.33333333333346)	(60.0, 20.33333333333333)	(61.0, 7.666666666666663)	(62.0, 5.333333333333332)	(63.0, 10.666666666666668)	(64.0, 6.999999999999997)	(65.0, 3.0)	(66.0, 2.333333333333333)	(67.0, 1.3333333333333333)	(68.0, 2.6666666666666665)	(69.0, 3.666666666666667)	(70.0, 1.9999999999999998)	(71.0, 1.9999999999999998)	(72.0, 0.6666666666666666)	(73.0, 0.6666666666666666)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.6666666666666666)	(77.0, 0.3333333333333333)	(78.0, 0.0)	(79.0, 0.6666666666666666)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811142_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.3333333333333333)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.6666666666666666)	(40.0, 0.6666666666666666)	(41.0, 0.6666666666666666)	(42.0, 0.3333333333333333)	(43.0, 1.0)	(44.0, 1.6666666666666665)	(45.0, 1.3333333333333333)	(46.0, 5.333333333333332)	(47.0, 25.999999999999975)	(48.0, 42.00000000000002)	(49.0, 129.66666666666598)	(50.0, 1253.6666666666608)	(51.0, 2906.333333333537)	(52.0, 2534.333333333368)	(53.0, 6729.333333331683)	(54.0, 5361.66666666626)	(55.0, 554.9999999999932)	(56.0, 791.00000000002)	(57.0, 12758.333333338658)	(58.0, 12125.66666667084)	(59.0, 578.6666666666625)	(60.0, 56.00000000000012)	(61.0, 22.33333333333332)	(62.0, 12.333333333333337)	(63.0, 6.999999999999997)	(64.0, 4.333333333333333)	(65.0, 1.9999999999999998)	(66.0, 2.333333333333333)	(67.0, 5.666666666666665)	(68.0, 4.999999999999999)	(69.0, 0.3333333333333333)	(70.0, 1.3333333333333333)	(71.0, 1.9999999999999998)	(72.0, 1.6666666666666665)	(73.0, 0.0)	(74.0, 0.3333333333333333)	(75.0, 0.6666666666666666)	(76.0, 0.0)	(77.0, 0.3333333333333333)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.3333333333333333)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
