Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
DRR811138_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0008098805426196745)	(40.0, 0.001619761085239349)	(41.0, 0.0008098805426196745)	(42.0, 0.0008098805426196745)	(43.0, 0.00728892488357707)	(44.0, 0.00566916379833772)	(45.0, 0.004049402713098372)	(46.0, 0.02105689410811153)	(47.0, 0.09799554565698063)	(48.0, 2.5462644259963563)	(49.0, 6.764932172502501)	(50.0, 6.252277789024014)	(51.0, 3.7027738408569886)	(52.0, 4.792063170680202)	(53.0, 38.00283458191128)	(54.0, 29.495039481676127)	(55.0, 3.8906661267447102)	(56.0, 1.6294796517508001)	(57.0, 1.186474994937798)	(58.0, 0.7143146385905547)	(59.0, 0.4551528649522594)	(60.0, 0.19680097185658074)	(61.0, 0.08584733751768543)	(62.0, 0.04940271309980013)	(63.0, 0.04778295201456079)	(64.0, 0.01295808868191479)	(65.0, 0.00728892488357707)	(66.0, 0.001619761085239349)	(67.0, 0.0008098805426196745)	(68.0, 0.0024296416278590236)	(69.0, 0.001619761085239349)	(70.0, 0.003239522170478698)	(71.0, 0.009718566511436095)	(72.0, 0.001619761085239349)	(73.0, 0.0024296416278590236)	(74.0, 0.0024296416278590236)	(75.0, 0.0)	(76.0, 0.0008098805426196745)	(77.0, 0.0008098805426196745)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811138_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0008247218625517008)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0016494437251034016)	(40.0, 0.0024741655876551025)	(41.0, 0.0)	(42.0, 0.004123609312758504)	(43.0, 0.011546106075723811)	(44.0, 0.010721384213172112)	(45.0, 0.03381359636461975)	(46.0, 0.49895672684378245)	(47.0, 1.635423453440036)	(48.0, 2.0073730134508954)	(49.0, 1.4168721598638103)	(50.0, 14.18109242657466)	(51.0, 42.085556646037155)	(52.0, 22.189966433812184)	(53.0, 6.650557099617176)	(54.0, 2.514576958920249)	(55.0, 1.1125497925822245)	(56.0, 1.0869834148431232)	(57.0, 2.021393285114276)	(58.0, 1.7904711635997734)	(59.0, 0.34143485109640304)	(60.0, 0.1888613065243395)	(61.0, 0.06020469596627412)	(62.0, 0.019793324701240813)	(63.0, 0.011546106075723811)	(64.0, 0.008247218625517009)	(65.0, 0.005773053037861906)	(66.0, 0.006597774900413606)	(67.0, 0.03133943077696465)	(68.0, 0.042060814990136766)	(69.0, 0.011546106075723811)	(70.0, 0.007422496762965308)	(71.0, 0.003298887450206803)	(72.0, 0.003298887450206803)	(73.0, 0.0016494437251034016)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811139_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0007992007992008115)	(37.0, 0.0)	(38.0, 0.0007992007992008115)	(39.0, 0.0)	(40.0, 0.001598401598401623)	(41.0, 0.0007992007992008115)	(42.0, 0.002397602397602435)	(43.0, 0.003196803196803246)	(44.0, 0.007192807192807304)	(45.0, 0.006393606393606492)	(46.0, 0.015184815184815414)	(47.0, 0.06473526473526567)	(48.0, 0.5090909090909209)	(49.0, 4.843956043955687)	(50.0, 11.413386613387127)	(51.0, 9.860539460541363)	(52.0, 3.634765234765134)	(53.0, 11.357442557443122)	(54.0, 19.514085914079185)	(55.0, 9.775024975026891)	(56.0, 8.194205794206967)	(57.0, 8.115084915086051)	(58.0, 5.520879120879036)	(59.0, 3.3366633366632987)	(60.0, 1.7638361638362239)	(61.0, 1.07252747252747)	(62.0, 0.36283716283716827)	(63.0, 0.4131868131868209)	(64.0, 0.18621378621378903)	(65.0, 0.016783216783217036)	(66.0, 0.001598401598401623)	(67.0, 0.001598401598401623)	(68.0, 0.0007992007992008115)	(69.0, 0.0007992007992008115)	(70.0, 0.0007992007992008115)	(71.0, 0.0007992007992008115)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811139_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0015908241264389002)	(41.0, 0.0031816482528778003)	(42.0, 0.006363296505755601)	(43.0, 0.011135768885072301)	(44.0, 0.014317417137950098)	(45.0, 0.03420271871843637)	(46.0, 0.3308914182992902)	(47.0, 0.4160005090637737)	(48.0, 0.7134846207078478)	(49.0, 4.32783703597671)	(50.0, 19.598157825657008)	(51.0, 22.00427931690022)	(52.0, 15.224186890017094)	(53.0, 8.228537794006286)	(54.0, 4.7732677913795)	(55.0, 4.7334971882185375)	(56.0, 6.594761416152791)	(57.0, 6.078538987123134)	(58.0, 2.955751226923471)	(59.0, 1.7562698355885789)	(60.0, 1.225729989421145)	(61.0, 0.08669991489092001)	(62.0, 0.03102107046555857)	(63.0, 0.05408802029892258)	(64.0, 0.05488343236214202)	(65.0, 0.050906372046044784)	(66.0, 0.1662411212128653)	(67.0, 0.41997756937987113)	(68.0, 0.0978356837759924)	(69.0, 0.00397706031609725)	(70.0, 0.0007954120632194501)	(71.0, 0.0007954120632194501)	(72.0, 0.0007954120632194501)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811140_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0008614006374363654)	(35.0, 0.0)	(36.0, 0.0008614006374363654)	(37.0, 0.0008614006374363654)	(38.0, 0.0008614006374363654)	(39.0, 0.0008614006374363654)	(40.0, 0.0008614006374363654)	(41.0, 0.0025842019123090967)	(42.0, 0.0008614006374363654)	(43.0, 0.0008614006374363654)	(44.0, 0.0017228012748727308)	(45.0, 0.0051684038246181925)	(46.0, 0.008614006374363657)	(47.0, 0.023257817210781864)	(48.0, 0.24463778103192713)	(49.0, 2.164699801877652)	(50.0, 3.877164269100921)	(51.0, 3.9391851149963255)	(52.0, 3.746231372210623)	(53.0, 14.209664915148915)	(54.0, 44.90912223276637)	(55.0, 20.89844086483621)	(56.0, 2.616073735894359)	(57.0, 1.2645361357565579)	(58.0, 0.8725988457230337)	(59.0, 0.5073649754500223)	(60.0, 0.2618657937806542)	(61.0, 0.22568696700832735)	(62.0, 0.10767507967954573)	(63.0, 0.0430700318718183)	(64.0, 0.02670341976052733)	(65.0, 0.009475407011800021)	(66.0, 0.0017228012748727308)	(67.0, 0.0034456025497454617)	(68.0, 0.0025842019123090967)	(69.0, 0.0034456025497454617)	(70.0, 0.0034456025497454617)	(71.0, 0.0043070031871818275)	(72.0, 0.0034456025497454617)	(73.0, 0.0025842019123090967)	(74.0, 0.0008614006374363654)	(75.0, 0.0)	(76.0, 0.0008614006374363654)	(77.0, 0.0008614006374363654)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811140_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0008582806921175122)	(27.0, 0.0008582806921175122)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0008582806921175122)	(37.0, 0.004291403460587561)	(38.0, 0.005149684152705073)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0034331227684700487)	(43.0, 0.005149684152705073)	(44.0, 0.006007964844822585)	(45.0, 0.01201592968964517)	(46.0, 0.037764350453170566)	(47.0, 0.10385196374621901)	(48.0, 0.1819555067289128)	(49.0, 0.39566739906617315)	(50.0, 2.3954614117000688)	(51.0, 11.878604778907075)	(52.0, 30.88265586378246)	(53.0, 17.19050398241753)	(54.0, 4.461343037626533)	(55.0, 1.707120296621746)	(56.0, 1.5706536665750461)	(57.0, 14.152190332324299)	(58.0, 13.503330129084048)	(59.0, 0.9973221642405374)	(60.0, 0.2300192254874928)	(61.0, 0.08668634990386864)	(62.0, 0.03175638560834797)	(63.0, 0.03690606976105305)	(64.0, 0.035189508376818016)	(65.0, 0.012874210381762683)	(66.0, 0.007724526229057611)	(67.0, 0.02660670145564288)	(68.0, 0.023173578687172826)	(69.0, 0.006007964844822585)	(70.0, 0.0008582806921175122)	(71.0, 0.0017165613842350244)	(72.0, 0.0017165613842350244)	(73.0, 0.0008582806921175122)	(74.0, 0.0008582806921175122)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811141_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0007715513583160439)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0007715513583160439)	(41.0, 0.0007715513583160439)	(42.0, 0.0023146540749481317)	(43.0, 0.0054008595082123065)	(44.0, 0.0054008595082123065)	(45.0, 0.0054008595082123065)	(46.0, 0.010801719016424613)	(47.0, 0.02777584889937759)	(48.0, 0.1273059741221475)	(49.0, 1.0423658850849564)	(50.0, 1.7475638265858764)	(51.0, 2.6857702782981843)	(52.0, 3.853127483430094)	(53.0, 6.595992562244271)	(54.0, 44.327940189335955)	(55.0, 29.054309500118723)	(56.0, 3.985834317060423)	(57.0, 2.4465893572202653)	(58.0, 1.5971113117142304)	(59.0, 0.8772538944053325)	(60.0, 0.5231118209382826)	(61.0, 0.41200842534076904)	(62.0, 0.3356248408674785)	(63.0, 0.14505165536341666)	(64.0, 0.057094800515387206)	(65.0, 0.021603438032849226)	(66.0, 0.008487064941476484)	(67.0, 0.0030862054332641757)	(68.0, 0.0030862054332641757)	(69.0, 0.007715513583160439)	(70.0, 0.009258616299792527)	(71.0, 0.02083188667453318)	(72.0, 0.01928878395790109)	(73.0, 0.009258616299792527)	(74.0, 0.0038577567915802193)	(75.0, 0.0046293081498962625)	(76.0, 0.0023146540749481317)	(77.0, 0.0023146540749481317)	(78.0, 0.0)	(79.0, 0.0007715513583160439)	(80.0, 0.0023146540749481317)	(81.0, 0.0007715513583160439)	(82.0, 0.0007715513583160439)	(83.0, 0.0007715513583160439)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0007715513583160439)	(88.0, 0.0015431027166320878)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0007715513583160439)	(95.0, 0.0007715513583160439)	(96.0, 0.0)	(97.0, 0.0007715513583160439)	(98.0, 0.0007715513583160439)	(99.0, 0.0)	(100.0, 0.0)
DRR811141_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.00076120879957336)	(22.0, 0.00076120879957336)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.00076120879957336)	(40.0, 0.00152241759914672)	(41.0, 0.00076120879957336)	(42.0, 0.00076120879957336)	(43.0, 0.00304483519829344)	(44.0, 0.0038060439978668)	(45.0, 0.017507802390187274)	(46.0, 0.09591230874624342)	(47.0, 0.43617264215553775)	(48.0, 0.3547233006011859)	(49.0, 0.36157417979734635)	(50.0, 1.048184517012497)	(51.0, 2.481540686609227)	(52.0, 4.035929055337675)	(53.0, 3.908807185808953)	(54.0, 2.603334094540937)	(55.0, 3.107254319858387)	(56.0, 4.309203014384449)	(57.0, 38.227144705798835)	(58.0, 35.749410063187476)	(59.0, 2.0080688132745923)	(60.0, 0.5229504453069033)	(61.0, 0.28088604704256837)	(62.0, 0.1294054959274715)	(63.0, 0.06546395676330889)	(64.0, 0.05176219837098845)	(65.0, 0.037299231179094665)	(66.0, 0.025881099185494246)	(67.0, 0.03577681357994795)	(68.0, 0.02359747278677416)	(69.0, 0.016746593590613916)	(70.0, 0.017507802390187274)	(71.0, 0.016746593590613916)	(72.0, 0.009134505594880321)	(73.0, 0.0022836263987200804)	(74.0, 0.0022836263987200804)	(75.0, 0.0022836263987200804)	(76.0, 0.00152241759914672)	(77.0, 0.00076120879957336)	(78.0, 0.00076120879957336)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811142_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0007262216864318175)	(31.0, 0.001452443372863635)	(32.0, 0.0007262216864318175)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0007262216864318175)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0007262216864318175)	(41.0, 0.0007262216864318175)	(42.0, 0.0007262216864318175)	(43.0, 0.004357330118590905)	(44.0, 0.002178665059295453)	(45.0, 0.00290488674572727)	(46.0, 0.010893325296477262)	(47.0, 0.024691537338681804)	(48.0, 0.1459705589727956)	(49.0, 2.599873637425924)	(50.0, 14.42494135759181)	(51.0, 11.036390968704033)	(52.0, 1.6986325245640623)	(53.0, 5.394374686815559)	(54.0, 35.98646322778076)	(55.0, 23.50561732474244)	(56.0, 2.343517382115551)	(57.0, 1.358034553627501)	(58.0, 0.9557077393442557)	(59.0, 0.34495530105511363)	(60.0, 0.04429952287234086)	(61.0, 0.016703098787931796)	(62.0, 0.011619546982909078)	(63.0, 0.023239093965818167)	(64.0, 0.015250655415068162)	(65.0, 0.006535995177886358)	(66.0, 0.0050835518050227225)	(67.0, 0.00290488674572727)	(68.0, 0.00580977349145454)	(69.0, 0.007988438550749995)	(70.0, 0.004357330118590905)	(71.0, 0.004357330118590905)	(72.0, 0.001452443372863635)	(73.0, 0.001452443372863635)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.001452443372863635)	(77.0, 0.0007262216864318175)	(78.0, 0.0)	(79.0, 0.001452443372863635)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
DRR811142_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0007257789422496478)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0014515578844992957)	(40.0, 0.0014515578844992957)	(41.0, 0.0014515578844992957)	(42.0, 0.0007257789422496478)	(43.0, 0.002177336826748944)	(44.0, 0.003628894711248239)	(45.0, 0.0029031157689985913)	(46.0, 0.011612463075994364)	(47.0, 0.05661075749547248)	(48.0, 0.09144814672345568)	(49.0, 0.28232800853511153)	(50.0, 2.7296546018009127)	(51.0, 6.328066597475123)	(52.0, 5.5180972979241485)	(53.0, 14.652025286132297)	(54.0, 11.6741542860847)	(55.0, 1.2084219388456487)	(56.0, 1.722273429958458)	(57.0, 27.77918901461687)	(58.0, 26.40166058222453)	(59.0, 1.2599522437453796)	(60.0, 0.1219308622979411)	(61.0, 0.04862718913072638)	(62.0, 0.026853820863236982)	(63.0, 0.0152413577872426)	(64.0, 0.009435126249245421)	(65.0, 0.004354673653497887)	(66.0, 0.005080452595747535)	(67.0, 0.01233824201824401)	(68.0, 0.010886684133744716)	(69.0, 0.0007257789422496478)	(70.0, 0.0029031157689985913)	(71.0, 0.004354673653497887)	(72.0, 0.003628894711248239)	(73.0, 0.0)	(74.0, 0.0007257789422496478)	(75.0, 0.0014515578844992957)	(76.0, 0.0)	(77.0, 0.0007257789422496478)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0007257789422496478)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
