Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
DRR811138_1	(20.0, 1.0)	(21.0, 3.0)	(22.0, 6.0)	(23.0, 13.0)	(24.0, 17.0)	(25.0, 23.0)	(26.0, 58.0)	(27.0, 116.0)	(28.0, 220.0)	(29.0, 390.0)	(30.0, 636.0)	(31.0, 1131.0)	(32.0, 1786.0)	(33.0, 3057.0)	(34.0, 6446.0)	(35.0, 19569.0)	(36.0, 48000.0)	(37.0, 112.0)						
DRR811138_2	(19.0, 1.0)	(20.0, 3.0)	(21.0, 3.0)	(22.0, 11.0)	(23.0, 29.0)	(24.0, 49.0)	(25.0, 108.0)	(26.0, 146.0)	(27.0, 280.0)	(28.0, 535.0)	(29.0, 771.0)	(30.0, 1329.0)	(31.0, 2136.0)	(32.0, 3395.0)	(33.0, 6136.0)	(34.0, 13228.0)	(35.0, 26017.0)	(36.0, 27294.0)	(37.0, 113.0)					
DRR811139_1	(23.0, 3.0)	(24.0, 6.0)	(25.0, 15.0)	(26.0, 27.0)	(27.0, 71.0)	(28.0, 158.0)	(29.0, 328.0)	(30.0, 556.0)	(31.0, 997.0)	(32.0, 1777.0)	(33.0, 3098.0)	(34.0, 6638.0)	(35.0, 22016.0)	(36.0, 47564.0)	(37.0, 80.0)									
DRR811139_2	(20.0, 2.0)	(21.0, 1.0)	(22.0, 3.0)	(23.0, 10.0)	(24.0, 8.0)	(25.0, 32.0)	(26.0, 80.0)	(27.0, 179.0)	(28.0, 311.0)	(29.0, 547.0)	(30.0, 946.0)	(31.0, 1543.0)	(32.0, 2644.0)	(33.0, 4859.0)	(34.0, 9784.0)	(35.0, 20437.0)	(36.0, 41696.0)	(37.0, 252.0)						
DRR811140_1	(21.0, 4.0)	(22.0, 7.0)	(23.0, 13.0)	(24.0, 20.0)	(25.0, 29.0)	(26.0, 60.0)	(27.0, 102.0)	(28.0, 212.0)	(29.0, 405.0)	(30.0, 636.0)	(31.0, 1072.0)	(32.0, 1631.0)	(33.0, 2965.0)	(34.0, 6141.0)	(35.0, 19823.0)	(36.0, 44352.0)	(37.0, 86.0)							
DRR811140_2	(21.0, 5.0)	(22.0, 5.0)	(23.0, 21.0)	(24.0, 34.0)	(25.0, 71.0)	(26.0, 133.0)	(27.0, 239.0)	(28.0, 385.0)	(29.0, 665.0)	(30.0, 1024.0)	(31.0, 1550.0)	(32.0, 2636.0)	(33.0, 4766.0)	(34.0, 10221.0)	(35.0, 21753.0)	(36.0, 33832.0)	(37.0, 218.0)							
DRR811141_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 2.0)	(20.0, 1.0)	(21.0, 6.0)	(22.0, 17.0)	(23.0, 22.0)	(24.0, 29.0)	(25.0, 59.0)	(26.0, 104.0)	(27.0, 178.0)	(28.0, 320.0)	(29.0, 503.0)	(30.0, 822.0)	(31.0, 1313.0)	(32.0, 1968.0)	(33.0, 3358.0)	(34.0, 6355.0)	(35.0, 18479.0)	(36.0, 52712.0)	(37.0, 107.0)
DRR811141_2	(19.0, 1.0)	(20.0, 5.0)	(21.0, 6.0)	(22.0, 17.0)	(23.0, 25.0)	(24.0, 31.0)	(25.0, 77.0)	(26.0, 91.0)	(27.0, 197.0)	(28.0, 304.0)	(29.0, 529.0)	(30.0, 759.0)	(31.0, 1250.0)	(32.0, 1997.0)	(33.0, 3341.0)	(34.0, 6315.0)	(35.0, 15432.0)	(36.0, 55433.0)	(37.0, 547.0)					
DRR811142_1	(19.0, 3.0)	(20.0, 3.0)	(21.0, 5.0)	(22.0, 6.0)	(23.0, 20.0)	(24.0, 26.0)	(25.0, 35.0)	(26.0, 88.0)	(27.0, 142.0)	(28.0, 292.0)	(29.0, 509.0)	(30.0, 859.0)	(31.0, 1420.0)	(32.0, 2315.0)	(33.0, 3819.0)	(34.0, 7819.0)	(35.0, 24102.0)	(36.0, 49415.0)	(37.0, 64.0)					
DRR811142_2	(19.0, 1.0)	(20.0, 3.0)	(21.0, 8.0)	(22.0, 8.0)	(23.0, 15.0)	(24.0, 27.0)	(25.0, 55.0)	(26.0, 84.0)	(27.0, 201.0)	(28.0, 331.0)	(29.0, 491.0)	(30.0, 884.0)	(31.0, 1437.0)	(32.0, 2374.0)	(33.0, 3995.0)	(34.0, 7742.0)	(35.0, 19112.0)	(36.0, 53736.0)	(37.0, 438.0)					
DRR811143_1	(17.0, 1.0)	(18.0, 1.0)	(19.0, 7.0)	(20.0, 22.0)	(21.0, 56.0)	(22.0, 109.0)	(23.0, 167.0)	(24.0, 186.0)	(25.0, 241.0)	(26.0, 350.0)	(27.0, 435.0)	(28.0, 607.0)	(29.0, 868.0)	(30.0, 1258.0)	(31.0, 1803.0)	(32.0, 2636.0)	(33.0, 3976.0)	(34.0, 7245.0)	(35.0, 20200.0)	(36.0, 50309.0)	(37.0, 85.0)			
DRR811143_2	(17.0, 1.0)	(18.0, 0.0)	(19.0, 8.0)	(20.0, 20.0)	(21.0, 50.0)	(22.0, 119.0)	(23.0, 172.0)	(24.0, 228.0)	(25.0, 284.0)	(26.0, 335.0)	(27.0, 483.0)	(28.0, 668.0)	(29.0, 907.0)	(30.0, 1205.0)	(31.0, 1725.0)	(32.0, 2469.0)	(33.0, 4125.0)	(34.0, 7272.0)	(35.0, 16752.0)	(36.0, 53271.0)	(37.0, 468.0)			
DRR811144_1	(19.0, 1.0)	(20.0, 1.0)	(21.0, 4.0)	(22.0, 9.0)	(23.0, 17.0)	(24.0, 21.0)	(25.0, 46.0)	(26.0, 78.0)	(27.0, 148.0)	(28.0, 263.0)	(29.0, 444.0)	(30.0, 750.0)	(31.0, 1162.0)	(32.0, 1768.0)	(33.0, 2990.0)	(34.0, 5582.0)	(35.0, 17392.0)	(36.0, 45545.0)	(37.0, 87.0)					
DRR811144_2	(19.0, 5.0)	(20.0, 2.0)	(21.0, 10.0)	(22.0, 18.0)	(23.0, 23.0)	(24.0, 53.0)	(25.0, 88.0)	(26.0, 196.0)	(27.0, 331.0)	(28.0, 489.0)	(29.0, 763.0)	(30.0, 1258.0)	(31.0, 1914.0)	(32.0, 2958.0)	(33.0, 5135.0)	(34.0, 10542.0)	(35.0, 21314.0)	(36.0, 31072.0)	(37.0, 137.0)					
DRR811145_1	(17.0, 1.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 5.0)	(22.0, 14.0)	(23.0, 15.0)	(24.0, 43.0)	(25.0, 47.0)	(26.0, 96.0)	(27.0, 169.0)	(28.0, 301.0)	(29.0, 502.0)	(30.0, 862.0)	(31.0, 1460.0)	(32.0, 2230.0)	(33.0, 3690.0)	(34.0, 7354.0)	(35.0, 22888.0)	(36.0, 50571.0)	(37.0, 112.0)			
DRR811145_2	(20.0, 4.0)	(21.0, 13.0)	(22.0, 29.0)	(23.0, 32.0)	(24.0, 47.0)	(25.0, 130.0)	(26.0, 222.0)	(27.0, 379.0)	(28.0, 622.0)	(29.0, 991.0)	(30.0, 1473.0)	(31.0, 2182.0)	(32.0, 3354.0)	(33.0, 6082.0)	(34.0, 12497.0)	(35.0, 26097.0)	(36.0, 35990.0)	(37.0, 220.0)						
DRR811146_1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 4.0)	(21.0, 5.0)	(22.0, 9.0)	(23.0, 18.0)	(24.0, 34.0)	(25.0, 44.0)	(26.0, 81.0)	(27.0, 168.0)	(28.0, 266.0)	(29.0, 515.0)	(30.0, 908.0)	(31.0, 1589.0)	(32.0, 2673.0)	(33.0, 4977.0)	(34.0, 10254.0)	(35.0, 24810.0)	(36.0, 34386.0)	(37.0, 54.0)				
