Sample	Unique Reads	Duplicate Reads
DRR811138_1	3992.0	77592.0
DRR811138_2	2791.0	78793.0
DRR811139_1	4672.0	78662.0
DRR811139_2	3145.0	80189.0
DRR811140_1	4205.0	73353.0
DRR811140_2	2721.0	74837.0
DRR811141_1	5708.0	80649.0
DRR811141_2	3662.0	82695.0
DRR811142_1	3745.0	87197.0
DRR811142_2	2856.0	88086.0
DRR811143_1	7973.0	82589.0
DRR811143_2	6932.0	83630.0
DRR811144_1	3765.0	72543.0
DRR811144_2	2680.0	73628.0
DRR811145_1	3804.0	86560.0
DRR811145_2	2550.0	87814.0
DRR811146_1	5475.0	75322.0
DRR811146_2	3486.0	77311.0
