Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR811138_1	(1.0, 2.741959207687782)	(2.0, 1.6866052167091587)	(3.0, 0.952392626005099)	(4.0, 0.6618944891155129)	(5.0, 0.5209354775446166)	(6.0, 0.4780349088056482)	(7.0, 0.36894489115512846)	(8.0, 0.31378701706216905)	(9.0, 0.25372622082761326)	('>10', 7.727005295155913)	('>50', 3.384242008236909)	('>100', 14.45504020396156)	('>500', 8.880417728966464)	('>1k', 57.575014708766425)	('>5k', 0.0)	('>10k+', 0.0)
DRR811138_2	(1.0, 2.005295155912924)	(2.0, 1.139929397921161)	(3.0, 0.7023435967836831)	(4.0, 0.4363600706020788)	(5.0, 0.2819180231417925)	(6.0, 0.20592272994704844)	(7.0, 0.24882329868601685)	(8.0, 0.19611688566385566)	(9.0, 0.1765051970974701)	('>10', 4.522945675622672)	('>50', 0.8849774465581486)	('>100', 13.726956265934497)	('>500', 13.12144538144734)	('>1k', 62.35046087468131)	('>5k', 0.0)	('>10k+', 0.0)
DRR811139_1	(1.0, 3.039575683394533)	(2.0, 1.6343869249046006)	(3.0, 1.0727914176686588)	(4.0, 0.801593587251302)	(5.0, 0.6239950080399357)	(6.0, 0.5039959680322557)	(7.0, 0.49559603523171813)	(8.0, 0.4319965440276478)	(9.0, 0.3779969760241918)	('>10', 10.715914272685819)	('>50', 7.619939040487676)	('>100', 41.981664146686825)	('>500', 19.813041495668035)	('>1k', 10.887512899896802)	('>5k', 0.0)	('>10k+', 0.0)
DRR811139_2	(1.0, 2.075983392132863)	(2.0, 1.1855905152758779)	(3.0, 0.6623947008423933)	(4.0, 0.42239662082703344)	(5.0, 0.3419972640218878)	(6.0, 0.25199798401612783)	(7.0, 0.33599731202150385)	(8.0, 0.2207982336141311)	(9.0, 0.28079775361797105)	('>10', 7.311541507667939)	('>50', 3.4007727938176497)	('>100', 31.750545995632034)	('>500', 27.622579019367844)	('>1k', 24.136606907144742)	('>5k', 0.0)	('>10k+', 0.0)
DRR811140_1	(1.0, 3.19502823693236)	(2.0, 1.879883442069161)	(3.0, 1.02890739833415)	(4.0, 0.7168828489646458)	(5.0, 0.34812656334614095)	(6.0, 0.3945434384589597)	(7.0, 0.2617396013306171)	(8.0, 0.3094458340854586)	(9.0, 0.2785012506769127)	('>10', 6.882591093117409)	('>50', 6.775574408829521)	('>100', 15.962247608241576)	('>500', 26.74772428376183)	('>1k', 35.21880399185126)	('>5k', 0.0)	('>10k+', 0.0)
DRR811140_2	(1.0, 2.002372418061322)	(2.0, 1.1991026070811521)	(3.0, 0.7581422935093736)	(4.0, 0.44869645942391506)	(5.0, 0.4770623275484154)	(6.0, 0.32491812578973156)	(7.0, 0.30686711880141315)	(8.0, 0.25787152840454886)	(9.0, 0.22048015678588928)	('>10', 3.078986049150313)	('>50', 3.296887490652157)	('>100', 7.581422935093736)	('>500', 0.0)	('>1k', 80.04719048969802)	('>5k', 0.0)	('>10k+', 0.0)
DRR811141_1	(1.0, 3.624489039684102)	(2.0, 2.3275472746853176)	(3.0, 1.5806477760922681)	(4.0, 1.042185346874023)	(5.0, 0.9553365679678544)	(6.0, 0.9032273006241532)	(7.0, 0.6079414523431801)	(8.0, 0.4817212269995484)	(9.0, 0.39603043181212877)	('>10', 7.781650589992704)	('>50', 4.3204372546522)	('>100', 5.463367185057378)	('>500', 2.9482265479347363)	('>1k', 55.74649420429149)	('>5k', 11.820697800988917)	('>10k+', 0.0)
DRR811141_2	(1.0, 2.322915339810322)	(2.0, 1.5586460854360389)	(3.0, 1.000497932999062)	(4.0, 0.690158296374353)	(5.0, 0.5384624292182452)	(6.0, 0.4238220410621027)	(7.0, 0.4215060736246048)	(8.0, 0.49098509674953966)	(9.0, 0.19801521590606438)	('>10', 4.45823731718332)	('>50', 2.8752735736535544)	('>100', 8.427805505054598)	('>500', 0.0)	('>1k', 70.59763539724632)	('>5k', 5.996039695681879)	('>10k+', 0.0)
DRR811142_1	(1.0, 2.446614325614128)	(2.0, 1.4162873039959536)	(3.0, 0.8708847397242198)	(4.0, 0.6113786809175079)	(5.0, 0.37386466099272064)	(6.0, 0.34967341822260345)	(7.0, 0.30019133073827275)	(8.0, 0.14074904884431835)	(9.0, 0.24741043742165336)	('>10', 3.7463438235358804)	('>50', 2.323458907875349)	('>100', 9.03542917463878)	('>500', 13.352466407160607)	('>1k', 64.78524774031801)	('>5k', 0.0)	('>10k+', 0.0)
DRR811142_2	(1.0, 1.8308372369202348)	(2.0, 1.1149963713135844)	(3.0, 0.6432671372962988)	(4.0, 0.42224714653295503)	(5.0, 0.31888456378790875)	(6.0, 0.1979283499373227)	(7.0, 0.2463108354775571)	(8.0, 0.20232675771370764)	(9.0, 0.17813551494359042)	('>10', 3.432957269468452)	('>50', 0.3815618746013943)	('>100', 8.100767522156978)	('>500', 8.334982736249477)	('>1k', 74.59479668360053)	('>5k', 0.0)	('>10k+', 0.0)
