Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
DRR811138_1	95.1068837026868	53.0	250.0	250	36.36363636363637	0.08158399999999999
DRR811138_2	96.57898607570112	50.0	250.0	250	36.36363636363637	0.08158399999999999
DRR811139_1	94.3936448508412	54.0	250.0	250	36.36363636363637	0.08333399999999999
DRR811139_2	96.22603019175847	52.0	250.0	250	36.36363636363637	0.08333399999999999
DRR811140_1	94.57825111529436	54.0	250.0	250	36.36363636363637	0.077558
DRR811140_2	96.49165785605611	53.0	250.0	250	36.36363636363637	0.077558
DRR811141_1	93.3902289333812	54.0	250.0	250	36.36363636363637	0.08635699999999999
DRR811141_2	95.75946362194148	55.0	250.0	250	36.36363636363637	0.08635699999999999
DRR811142_1	95.88199071935959	53.0	250.0	250	36.36363636363637	0.090942
DRR811142_2	96.85953684766115	54.0	250.0	250	36.36363636363637	0.090942
DRR811143_1	91.19608665886354	53.0	250.0	250	36.36363636363637	0.09056199999999999
DRR811143_2	92.34557540690356	54.0	250.0	250	36.36363636363637	0.09056199999999999
DRR811144_1	95.0660481207737	53.0	250.0	250	36.36363636363637	0.076308
DRR811144_2	96.48922786601666	52.0	250.0	250	36.36363636363637	0.076308
DRR811145_1	95.79035899251915	52.0	250.0	250	36.36363636363637	0.090364
DRR811145_2	97.1780797662786	51.0	250.0	250	36.36363636363637	0.090364
DRR811146_1	93.22375830785796	54.0	250.0	250	36.36363636363637	0.080797
DRR811146_2	95.68548337190737	51.0	250.0	250	36.36363636363637	0.080797
