.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR235935	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235936	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235937	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235938	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235939	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR235940	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235941	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235942	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235943	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235944	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235945	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235946	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235947	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235948	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235949	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235950	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235951	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235952	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235953	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235954	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235955	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235956	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR235957	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235958	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235959	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235960	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235961	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235962	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235963	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235964	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235965	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235966	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235967	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235968	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235969	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235970	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235971	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235972	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235973	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
ERR235974	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235975	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235976	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235977	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235978	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235979	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235980	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235981	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235982	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235983	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235984	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235985	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR235986	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235987	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR235988	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235989	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235990	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235991	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235992	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235993	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235994	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235995	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235996	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235997	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235998	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR235999	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236000	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236001	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236002	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR236003	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236004	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236005	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236006	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236007	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236008	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR236009	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR236010	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236011	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236012	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236013	1	0.25	1	0.25	0.25	0.5	0.5	0.25	0.25	1
ERR236014	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236015	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236016	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236017	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236018	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236019	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR236020	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
