Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR235935	94.87519594839021	52.0	357.5258651875075	374	50.0	0.008293
ERR235936	96.52131308182264	51.0	332.94732974032337	329	50.0	0.010204999999999999
ERR235937	96.43309413254538	51.0	332.65027437737444	329	50.0	0.009476
ERR235938	94.60863113639174	52.0	351.6216767651787	349	50.0	0.008087
ERR235939	95.66588501657637	52.0	345.21432036872324	349	40.0	0.012367
ERR235940	94.99363057324841	52.0	326.0084076433121	349	50.0	0.00785
ERR235941	92.59905307749813	52.0	352.98043857463244	349	50.0	0.008026
ERR235942	95.56286881525193	51.0	335.2712210621879	329	50.0	0.008812
ERR235943	94.8173688180153	51.0	331.6116259023812	349	50.0	0.009281
ERR235944	94.17040358744394	52.0	348.91486615029214	349	50.0	0.007359
ERR235945	94.79026411185914	52.0	339.4759192128431	349	50.0	0.009655
ERR235946	94.10019775873434	52.0	325.9313337727972	349	50.0	0.009101999999999999
ERR235947	94.97302599313389	52.0	353.11586562040213	349	50.0	0.008156
ERR235948	93.10268840899074	52.0	344.2232260907889	349	50.0	0.0045379999999999995
ERR235949	94.6965554948059	52.0	335.319095133953	349	50.0	0.007316
ERR235950	97.05882352941177	50.0	358.1079121789561	369	50.0	0.007241999999999999
ERR235951	93.21276163381427	53.0	344.32615322089003	349	50.0	0.004921
ERR235952	93.79354021532616	54.0	328.9417352754908	349	50.0	0.009474
ERR235953	93.65779467680608	53.0	348.49619771863115	349	50.0	0.006575
ERR235954	92.51700680272108	53.0	342.9382896015549	349	50.0	0.005144999999999999
ERR235955	94.82798970278493	51.0	336.7101567985022	349	50.0	0.008546
ERR235956	94.3889970788705	53.0	345.0522760467381	349	40.0	0.008216
ERR235957	94.6913734819081	53.0	344.70871416051085	349	50.0	0.007987
ERR235958	93.00055772448411	53.0	323.7451896263246	349	50.0	0.0071719999999999996
ERR235959	96.11525229357798	51.0	346.5382740825688	369	50.0	0.0069759999999999996
ERR235960	95.92459409393048	51.0	335.6193745232647	329	50.0	0.009177
ERR235961	95.23289665211063	53.0	332.63155021834064	349	50.0	0.008244
ERR235962	94.60643079405324	52.0	347.84297568283966	349	50.0	0.008676999999999999
ERR235963	93.98725408700471	52.0	338.6293987254087	349	50.0	0.007218
ERR235964	93.78405151064884	52.0	331.0567112431897	349	50.0	0.008076
ERR235965	95.14738598442715	52.0	352.119473025584	349	50.0	0.014384
ERR235966	95.26432415321304	50.0	344.7867046533713	349	50.0	0.015795
ERR235967	93.85645654389285	52.0	324.8348376765177	349	50.0	0.006869
ERR235968	93.75565610859728	52.0	346.7971342383107	369	50.0	0.003315
ERR235969	95.42623588945115	51.0	343.08894511483066	349	50.0	0.005137999999999999
ERR235970	91.76785346779172	53.0	314.9291006379914	349	50.0	0.004859
ERR235971	94.45258147198828	51.0	358.8254302453314	369	50.0	0.005462
ERR235972	93.21858864027539	51.0	338.26041308089503	334	50.0	0.002905
ERR235973	46.15384615384615	53.0	277.5769230769231	344	30.0	1.3e-05
ERR235974	93.33941605839416	51.0	346.54881386861314	369	50.0	0.002192
ERR235975	94.31202600216685	53.0	351.90479414951244	349	50.0	0.003692
ERR235976	92.2518634758729	53.0	318.9272263632797	349	50.0	0.005098
ERR235977	93.12602291325696	53.0	357.03580196399344	369	50.0	0.002444
ERR235978	95.2807803849196	49.0	346.66754547851303	349	50.0	0.003793
ERR235979	95.74221764857216	52.0	331.8303318754824	349	50.0	0.007774
ERR235980	97.18504355215636	50.0	342.28715211387293	349	50.0	0.018827999999999998
ERR235981	94.8236069897791	51.0	339.69287833827894	329	50.0	0.0030329999999999997
ERR235982	93.59323882224646	52.0	331.6856597600872	349	50.0	0.003668
ERR235983	96.61327672713239	52.0	359.46835198764956	369	50.0	0.010364
ERR235984	96.21342512908778	50.0	331.2246127366609	329	50.0	0.00581
ERR235985	92.09376241557409	52.0	319.63905442987686	349	40.0	0.0025169999999999997
ERR235986	95.0334288443171	51.0	339.0494269340974	349	50.0	0.004188
ERR235987	95.3521412624315	53.0	352.7674040998579	349	50.0	0.004927
ERR235988	91.13816534541337	53.0	319.8036523216308	349	50.0	0.003532
