Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study,Submitter_Id
ERR1993380,AMPLICON,452,17686594,PRJEB19324,SAMEA104102613,15526277,TEAGASC,public,"sra,run.zq,fastq","gs,ena,ncbi,s3","ncbi.public,ena,gs.us-east1,s3.us-east-1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053249,SAMEA104102613,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102613,pig1_wean,ERP021326,pig1_wean
ERR1993381,AMPLICON,448,38441794,PRJEB19324,SAMEA104102614,33242430,TEAGASC,public,"run.zq,sra,fastq","gs,ena,s3,ncbi","s3.us-east-1,ncbi.public,ena,gs.us-east1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053250,SAMEA104102614,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:25:00Z,1,SAMEA104102614,pig2_wean,ERP021326,pig2_wean
ERR1993382,AMPLICON,449,44039011,PRJEB19324,SAMEA104102615,38029531,TEAGASC,public,"run.zq,fastq,sra","ncbi,s3,ena,gs","s3.us-east-1,gs.us-east1,ena,ncbi.public",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053251,SAMEA104102615,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:25:00Z,1,SAMEA104102615,pig3_wean,ERP021326,pig3_wean
ERR1993383,AMPLICON,450,15126304,PRJEB19324,SAMEA104102616,13356015,TEAGASC,public,"sra,run.zq,fastq","gs,s3,ncbi,ena","s3.us-east-1,ena,gs.us-east1,ncbi.public",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053252,SAMEA104102616,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102616,pig4_wean,ERP021326,pig4_wean
ERR1993384,AMPLICON,456,47378586,PRJEB19324,SAMEA104102617,41085977,TEAGASC,public,"run.zq,sra,fastq","s3,gs,ena,ncbi","ncbi.public,ena,s3.us-east-1,gs.us-east1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053253,SAMEA104102617,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-24T12:57:00Z,1,SAMEA104102617,pig5_wean,ERP021326,pig5_wean
ERR1993385,AMPLICON,451,37374709,PRJEB19324,SAMEA104102618,32308069,TEAGASC,public,"fastq,sra,run.zq","ena,ncbi,gs,s3","ena,gs.us-east1,s3.us-east-1,ncbi.public",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053254,SAMEA104102618,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:25:00Z,1,SAMEA104102618,pig6_wean,ERP021326,pig6_wean
ERR1993386,AMPLICON,450,48695404,PRJEB19324,SAMEA104102619,42212926,TEAGASC,public,"sra,fastq,run.zq","ncbi,s3,ena,gs","ncbi.public,s3.us-east-1,ena,gs.us-east1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053255,SAMEA104102619,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-24T12:57:00Z,1,SAMEA104102619,pig7_wean,ERP021326,pig7_wean
ERR1993387,AMPLICON,454,42362016,PRJEB19324,SAMEA104102620,37276842,TEAGASC,public,"sra,run.zq,fastq","s3,gs,ena,ncbi","s3.us-east-1,ena,ncbi.public,gs.us-east1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053256,SAMEA104102620,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:25:00Z,1,SAMEA104102620,pig8_wean,ERP021326,pig8_wean
ERR1993388,AMPLICON,455,26237886,PRJEB19324,SAMEA104102621,23067257,TEAGASC,public,"run.zq,sra,fastq","s3,gs,ena,ncbi","gs.us-east1,ena,ncbi.public,s3.us-east-1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053257,SAMEA104102621,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102621,pig9_wean,ERP021326,pig9_wean
ERR1993389,AMPLICON,449,47904023,PRJEB19324,SAMEA104102622,41288375,TEAGASC,public,"fastq,sra,run.zq","ncbi,ena,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public,ena",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053258,SAMEA104102622,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-24T12:58:00Z,1,SAMEA104102622,pig10_wean,ERP021326,pig10_wean
ERR1993390,AMPLICON,452,55104229,PRJEB19324,SAMEA104102623,47645585,TEAGASC,public,"run.zq,sra,fastq","ncbi,gs,s3,ena","ena,gs.us-east1,s3.us-east-1,ncbi.public",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053259,SAMEA104102623,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-24T12:58:00Z,1,SAMEA104102623,pig11_wean,ERP021326,pig11_wean
ERR1993391,AMPLICON,450,19644713,PRJEB19324,SAMEA104102624,17334390,TEAGASC,public,"fastq,run.zq,sra","gs,s3,ncbi,ena","s3.us-east-1,ena,ncbi.public,gs.us-east1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053260,SAMEA104102624,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102624,pig12_wean,ERP021326,pig12_wean
ERR1993392,AMPLICON,446,32957813,PRJEB19324,SAMEA104102625,28323239,TEAGASC,public,"run.zq,sra,fastq","s3,gs,ena,ncbi","s3.us-east-1,ena,ncbi.public,gs.us-east1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053261,SAMEA104102625,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:25:00Z,1,SAMEA104102625,pig13_wean,ERP021326,pig13_wean
ERR1993393,AMPLICON,447,33640000,PRJEB19324,SAMEA104102626,28960834,TEAGASC,public,"fastq,sra,run.zq","s3,ena,ncbi,gs","gs.us-east1,ena,s3.us-east-1,ncbi.public",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053262,SAMEA104102626,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:25:00Z,1,SAMEA104102626,pig14_wean,ERP021326,pig14_wean
ERR1993394,AMPLICON,449,31525635,PRJEB19324,SAMEA104102627,27169065,TEAGASC,public,"sra,run.zq,fastq","gs,ncbi,s3,ena","ena,ncbi.public,gs.us-east1,s3.us-east-1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053263,SAMEA104102627,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102627,pig15_wean,ERP021326,pig15_wean
ERR1993395,AMPLICON,449,34528847,PRJEB19324,SAMEA104102628,29937980,TEAGASC,public,"sra,run.zq,fastq","ena,s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public,ena",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053264,SAMEA104102628,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102628,pig16_wean,ERP021326,pig16_wean
ERR1993396,AMPLICON,454,24815423,PRJEB19324,SAMEA104102629,21663213,TEAGASC,public,"fastq,run.zq,sra","ena,s3,gs,ncbi","ncbi.public,gs.us-east1,ena,s3.us-east-1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053265,SAMEA104102629,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102629,pig17_wean,ERP021326,pig17_wean
ERR1993397,AMPLICON,452,47382530,PRJEB19324,SAMEA104102630,41033674,TEAGASC,public,"run.zq,fastq,sra","ena,ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1,ena",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053266,SAMEA104102630,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-24T12:58:00Z,1,SAMEA104102630,pig18_wean,ERP021326,pig18_wean
ERR1993398,AMPLICON,452,48061050,PRJEB19324,SAMEA104102631,41136230,TEAGASC,public,"sra,fastq,run.zq","ncbi,s3,gs,ena","ncbi.public,s3.us-east-1,ena,gs.us-east1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053267,SAMEA104102631,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-24T12:58:00Z,1,SAMEA104102631,pig19_wean,ERP021326,pig19_wean
ERR1993399,AMPLICON,452,20846915,PRJEB19324,SAMEA104102632,18386922,TEAGASC,public,"run.zq,fastq,sra","gs,ena,s3,ncbi","ncbi.public,ena,s3.us-east-1,gs.us-east1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053268,SAMEA104102632,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:40Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102632,pig20_wean,ERP021326,pig20_wean
ERR1993400,AMPLICON,447,38527633,PRJEB19324,SAMEA104102633,33084213,TEAGASC,public,"fastq,sra,run.zq","s3,ncbi,ena,gs","gs.us-east1,ncbi.public,ena,s3.us-east-1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053269,SAMEA104102633,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:41Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102633,pig21_wean,ERP021326,pig21_wean
ERR1993401,AMPLICON,448,40360553,PRJEB19324,SAMEA104102634,34856820,TEAGASC,public,"run.zq,sra,fastq","ncbi,s3,ena,gs","gs.us-east1,ena,ncbi.public,s3.us-east-1",2017-05-29,2017-05-29,2018-11-16,2017-05-29,ERX2053270,SAMEA104102634,TEAGASC,"Teagasc Food Research Centre\, Ireland",2017-05-29T17:01:51Z,2017-05-29T12:40:41Z,public,Illumina MiSeq,unspecified,SINGLE,RANDOM PCR,METAGENOMIC,pig metagenome,ILLUMINA,2017-05-31T00:00:00Z,2017-10-23T20:24:00Z,1,SAMEA104102634,pig22_wean,ERP021326,pig22_wean
