Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
11_S9	(19.0, 1.0)	(20.0, 0.0)	(21.0, 4.0)	(22.0, 28.0)	(23.0, 60.0)	(24.0, 202.0)	(25.0, 568.0)	(26.0, 1229.0)	(27.0, 2082.0)	(28.0, 3183.0)	(29.0, 4754.0)	(30.0, 6690.0)	(31.0, 8849.0)	(32.0, 11574.0)	(33.0, 15086.0)	(34.0, 20550.0)	(35.0, 26693.0)	(36.0, 4577.0)							
14_S10	(18.0, 1.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 8.0)	(22.0, 31.0)	(23.0, 111.0)	(24.0, 327.0)	(25.0, 857.0)	(26.0, 1849.0)	(27.0, 3222.0)	(28.0, 5164.0)	(29.0, 7428.0)	(30.0, 10395.0)	(31.0, 13834.0)	(32.0, 18051.0)	(33.0, 23218.0)	(34.0, 29232.0)	(35.0, 31322.0)	(36.0, 3705.0)						
15_S11	(19.0, 1.0)	(20.0, 2.0)	(21.0, 10.0)	(22.0, 32.0)	(23.0, 111.0)	(24.0, 377.0)	(25.0, 1002.0)	(26.0, 2118.0)	(27.0, 4039.0)	(28.0, 6231.0)	(29.0, 9299.0)	(30.0, 12853.0)	(31.0, 17348.0)	(32.0, 22444.0)	(33.0, 29034.0)	(34.0, 37436.0)	(35.0, 38183.0)	(36.0, 3901.0)							
16_S12	(19.0, 3.0)	(20.0, 5.0)	(21.0, 17.0)	(22.0, 34.0)	(23.0, 93.0)	(24.0, 310.0)	(25.0, 855.0)	(26.0, 2079.0)	(27.0, 3734.0)	(28.0, 6099.0)	(29.0, 8970.0)	(30.0, 12863.0)	(31.0, 17332.0)	(32.0, 22442.0)	(33.0, 28268.0)	(34.0, 34446.0)	(35.0, 29929.0)	(36.0, 2703.0)							
17_S13	(20.0, 3.0)	(21.0, 10.0)	(22.0, 43.0)	(23.0, 117.0)	(24.0, 437.0)	(25.0, 1153.0)	(26.0, 2619.0)	(27.0, 4355.0)	(28.0, 6907.0)	(29.0, 9923.0)	(30.0, 14037.0)	(31.0, 18575.0)	(32.0, 24935.0)	(33.0, 33357.0)	(34.0, 46111.0)	(35.0, 62376.0)	(36.0, 14746.0)								
19_S14	(19.0, 1.0)	(20.0, 3.0)	(21.0, 6.0)	(22.0, 33.0)	(23.0, 72.0)	(24.0, 304.0)	(25.0, 837.0)	(26.0, 1732.0)	(27.0, 3020.0)	(28.0, 4408.0)	(29.0, 6382.0)	(30.0, 8428.0)	(31.0, 11203.0)	(32.0, 15068.0)	(33.0, 20241.0)	(34.0, 28743.0)	(35.0, 38602.0)	(36.0, 6766.0)							
1_S1	(19.0, 1.0)	(20.0, 2.0)	(21.0, 10.0)	(22.0, 42.0)	(23.0, 109.0)	(24.0, 375.0)	(25.0, 1003.0)	(26.0, 2226.0)	(27.0, 4022.0)	(28.0, 6449.0)	(29.0, 9449.0)	(30.0, 13267.0)	(31.0, 17948.0)	(32.0, 23466.0)	(33.0, 30320.0)	(34.0, 38104.0)	(35.0, 34767.0)	(36.0, 3120.0)							
20_S15	(19.0, 1.0)	(20.0, 1.0)	(21.0, 15.0)	(22.0, 39.0)	(23.0, 139.0)	(24.0, 423.0)	(25.0, 1038.0)	(26.0, 2267.0)	(27.0, 4027.0)	(28.0, 6223.0)	(29.0, 8871.0)	(30.0, 12499.0)	(31.0, 16700.0)	(32.0, 21904.0)	(33.0, 28386.0)	(34.0, 39945.0)	(35.0, 54045.0)	(36.0, 10139.0)							
21_S16	(19.0, 3.0)	(20.0, 2.0)	(21.0, 12.0)	(22.0, 33.0)	(23.0, 101.0)	(24.0, 362.0)	(25.0, 960.0)	(26.0, 2012.0)	(27.0, 3667.0)	(28.0, 5463.0)	(29.0, 8111.0)	(30.0, 10853.0)	(31.0, 14546.0)	(32.0, 18731.0)	(33.0, 25569.0)	(34.0, 36673.0)	(35.0, 55292.0)	(36.0, 11943.0)							
22_S17	(18.0, 1.0)	(19.0, 0.0)	(20.0, 2.0)	(21.0, 9.0)	(22.0, 23.0)	(23.0, 66.0)	(24.0, 210.0)	(25.0, 637.0)	(26.0, 1371.0)	(27.0, 2393.0)	(28.0, 3697.0)	(29.0, 5273.0)	(30.0, 7408.0)	(31.0, 9788.0)	(32.0, 13082.0)	(33.0, 17702.0)	(34.0, 25742.0)	(35.0, 37594.0)	(36.0, 8215.0)						
