Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
11_S9	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0074556621093946765)	(44.0, 0.11258049785185936)	(45.0, 0.025349251171941915)	(46.0, 0.006710095898455209)	(47.0, 0.0598316884278922)	(48.0, 1.084798836916896)	(49.0, 4.024566406651651)	(50.0, 7.999366268723178)	(51.0, 10.73223921491931)	(52.0, 14.687281572396863)	(53.0, 14.335560712386485)	(54.0, 17.02220855350441)	(55.0, 12.283948891435665)	(56.0, 8.682491309495841)	(57.0, 4.509930009973355)	(58.0, 2.869684345906153)	(59.0, 0.8683982441917275)	(60.0, 0.37371506323341147)	(61.0, 0.13587944194371793)	(62.0, 0.09785556518580492)	(63.0, 0.016961631298872897)	(64.0, 0.012115450927766353)	(65.0, 0.0197575045898959)	(66.0, 0.009692360742213081)	(67.0, 0.0074556621093946765)	(68.0, 0.011183493164092019)	(69.0, 0.002982264843757871)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
14_S10	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0032033784965221942)	(44.0, 0.05018626311218095)	(45.0, 0.019353745083154933)	(46.0, 0.009076239073479552)	(47.0, 0.04965236669609392)	(48.0, 0.6006334680979)	(49.0, 3.206314926811036)	(50.0, 7.332933800850548)	(51.0, 7.077330891649113)	(52.0, 18.005923580732684)	(53.0, 17.640738432129492)	(54.0, 18.0374234692818)	(55.0, 12.162827728977495)	(56.0, 7.086006708410519)	(57.0, 4.843641760846314)	(58.0, 1.8992030261256616)	(59.0, 1.1632268165495785)	(60.0, 0.4094985511387534)	(61.0, 0.17418370574839534)	(62.0, 0.15376216783306607)	(63.0, 0.011211824737827683)	(64.0, 0.01014403190565362)	(65.0, 0.022557123579677124)	(66.0, 0.019086796875111417)	(67.0, 0.006006334680979115)	(68.0, 0.004271171328696258)	(69.0, 0.0016016892482610976)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
15_S11	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0008619983708234122)	(42.0, 0.0)	(43.0, 0.0034479934832936485)	(44.0, 0.1004228102009278)	(45.0, 0.03674268055634789)	(46.0, 0.01734771721282118)	(47.0, 0.07984259909751854)	(48.0, 0.49521806403804064)	(49.0, 3.3127674888711836)	(50.0, 5.952745249313087)	(51.0, 10.062753481395381)	(52.0, 16.62363858131911)	(53.0, 17.660083872437)	(54.0, 19.663799085423307)	(55.0, 11.95947314659422)	(56.0, 7.944823484284183)	(57.0, 2.7937367198390186)	(58.0, 1.6254056779839714)	(59.0, 0.9422719691063074)	(60.0, 0.43875717074911036)	(61.0, 0.149556717337863)	(62.0, 0.09654381753222238)	(63.0, 0.015192721285762649)	(64.0, 0.007326986151999007)	(65.0, 0.006033988595763886)	(66.0, 0.004309991854117061)	(67.0, 0.002585995112470237)	(68.0, 0.003016994297881943)	(69.0, 0.0012929975562351187)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
16_S12	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0009260438250244224)	(42.0, 0.0016205766937927388)	(43.0, 0.011575547812805283)	(44.0, 0.32052691893657975)	(45.0, 0.13115095671908444)	(46.0, 0.026392249013196024)	(47.0, 0.07605134913013054)	(48.0, 1.2366157728419522)	(49.0, 5.020199330936029)	(50.0, 5.3804303788702015)	(51.0, 10.984384586000402)	(52.0, 18.342844575115897)	(53.0, 18.763268471676607)	(54.0, 16.88154741922869)	(55.0, 9.815948789776897)	(56.0, 7.712440241235832)	(57.0, 3.1601245528962414)	(58.0, 1.3176446075316075)	(59.0, 0.45434025165260117)	(60.0, 0.16437277894183605)	(61.0, 0.06389702392668499)	(62.0, 0.05695169523900185)	(63.0, 0.008797416337732015)	(64.0, 0.0037041753000976894)	(65.0, 0.013080369028469974)	(66.0, 0.033337577700879174)	(67.0, 0.014700945722262711)	(68.0, 0.0009260438250244224)	(69.0, 0.0004630219125122112)	(70.0, 0.001157554781280528)	(71.0, 0.000578777390640264)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
17_S13	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.00033352983799632115)	(41.0, 0.0007504421354917226)	(42.0, 0.0010839719734880438)	(43.0, 0.0060035370839337816)	(44.0, 0.0953895336669483)	(45.0, 0.04969594586145173)	(46.0, 0.02268002898374981)	(47.0, 0.15242313596432003)	(48.0, 1.8225737997310822)	(49.0, 4.153280307649066)	(50.0, 9.60624301150546)	(51.0, 7.908159223808238)	(52.0, 13.209532616295444)	(53.0, 14.20220079663355)	(54.0, 17.401335620246396)	(55.0, 14.27032426604454)	(56.0, 8.376852028652142)	(57.0, 5.337811527291922)	(58.0, 1.6249573707182177)	(59.0, 0.9953364190405193)	(60.0, 0.46510735908585776)	(61.0, 0.14858754282736228)	(62.0, 0.10247704272437022)	(63.0, 0.010256042518386878)	(64.0, 0.004169122974954015)	(65.0, 0.012007074167867567)	(66.0, 0.014925460250335374)	(67.0, 0.002751621163469649)	(68.0, 0.0023347088659742476)	(69.0, 0.0)	(70.0, 0.00041691229749540144)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
19_S14	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0005642234381235619)	(30.0, 0.0)	(31.0, 0.0005642234381235619)	(32.0, 0.0007052792976544524)	(33.0, 0.0025390054715560286)	(34.0, 0.004795899224050276)	(35.0, 0.0033853406287413707)	(36.0, 0.0028211171906178095)	(37.0, 0.0045137875049884955)	(38.0, 0.004513787504988495)	(39.0, 0.018196205879484877)	(40.0, 0.021722602367757134)	(41.0, 0.012695027357780142)	(42.0, 0.009591798448100555)	(43.0, 0.005360122662173838)	(44.0, 0.012130803919656583)	(45.0, 0.016926703143706864)	(46.0, 0.03991880824724196)	(47.0, 0.3843772172216788)	(48.0, 2.219231837999617)	(49.0, 2.063788280796541)	(50.0, 1.211246665791713)	(51.0, 1.341018056560124)	(52.0, 2.3532349045539918)	(53.0, 11.120702909551952)	(54.0, 19.722289223737825)	(55.0, 41.02257034812155)	(56.0, 12.409953465663111)	(57.0, 2.8187192410060384)	(58.0, 1.9729483072586267)	(59.0, 0.7746787805436309)	(60.0, 0.27505892608523863)	(61.0, 0.08421034813994144)	(62.0, 0.03723874691615506)	(63.0, 0.009732854307631445)	(64.0, 0.007475960555137195)	(65.0, 0.006488569538420962)	(66.0, 0.0005642234381235619)	(67.0, 0.0016926703143706858)	(68.0, 0.0012695027357780143)	(69.0, 0.0)	(70.0, 0.0005642234381235619)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
1_S1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.000429437512010956)	(39.0, 0.0012883125360328678)	(40.0, 0.000429437512010956)	(41.0, 0.0005367968900136949)	(42.0, 0.0010735937800273898)	(43.0, 0.012453687848317725)	(44.0, 0.2561594759145377)	(45.0, 0.05550479842741593)	(46.0, 0.013205203494336898)	(47.0, 0.07568836149193091)	(48.0, 0.37597254176558886)	(49.0, 0.848568523733619)	(50.0, 2.16415034177941)	(51.0, 13.010238863876793)	(52.0, 21.02010733791346)	(53.0, 16.9733029434663)	(54.0, 19.496785123427053)	(55.0, 12.092530900710216)	(56.0, 7.915392221383446)	(57.0, 2.787264171707449)	(58.0, 1.648932686744149)	(59.0, 0.672177065675129)	(60.0, 0.2915880706554409)	(61.0, 0.12496631599518879)	(62.0, 0.10285028412662424)	(63.0, 0.018251094260465627)	(64.0, 0.005690047034145167)	(65.0, 0.008696109618221861)	(66.0, 0.014600875408372509)	(67.0, 0.006441562680164339)	(68.0, 0.0030060625840766914)	(69.0, 0.000858875024021912)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.000429437512010956)	(79.0, 0.000429437512010956)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
20_S15	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0014403230932764112)	(42.0, 0.0)	(43.0, 0.0026886031074493007)	(44.0, 0.06001346221985031)	(45.0, 0.014211187853660597)	(46.0, 0.0038408615820704293)	(47.0, 0.057324859112401025)	(48.0, 0.3284896868065713)	(49.0, 0.6508339950818138)	(50.0, 2.898890279068053)	(51.0, 14.39900598501495)	(52.0, 19.5082160830371)	(53.0, 17.343410473834787)	(54.0, 20.63243626811321)	(55.0, 10.869446234174534)	(56.0, 7.268542479447232)	(57.0, 3.513716196818116)	(58.0, 1.6886347945573852)	(59.0, 0.3601767948586505)	(60.0, 0.11455369668525116)	(61.0, 0.05991744068029854)	(62.0, 0.05185163135795068)	(63.0, 0.00883398163876199)	(64.0, 0.013346993997694748)	(65.0, 0.05540442832136583)	(66.0, 0.07326443467799346)	(67.0, 0.012674843220832423)	(68.0, 0.006145378531312689)	(69.0, 0.0019204307910352146)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.00038408615820704296)	(79.0, 0.00038408615820704296)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
21_S16	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.00040948070680470026)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0020474035340235014)	(44.0, 0.04156229174067699)	(45.0, 0.041971772447481695)	(46.0, 0.013512863324555114)	(47.0, 0.06326476920132604)	(48.0, 0.32819878650396617)	(49.0, 1.7058966245484888)	(50.0, 3.1239283122134878)	(51.0, 12.190343011746029)	(52.0, 19.554648783281113)	(53.0, 18.19537757703797)	(54.0, 21.296272599504533)	(55.0, 10.995478309291002)	(56.0, 6.270889914182663)	(57.0, 3.055545034177088)	(58.0, 2.104526092622955)	(59.0, 0.49956646230172347)	(60.0, 0.21292996753844604)	(61.0, 0.1408613631408178)	(62.0, 0.11659963126263893)	(63.0, 0.010646498376922211)	(64.0, 0.005732729895265804)	(65.0, 0.012693901910945713)	(66.0, 0.006961172015679906)	(67.0, 0.0028663649476329016)	(68.0, 0.006346950955472854)	(69.0, 0.0009213315903105755)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
22_S17	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.005348078182962739)	(44.0, 0.12360002911736123)	(45.0, 0.0445673181913561)	(46.0, 0.00831923272905315)	(47.0, 0.038625009099175295)	(48.0, 0.2781000655140648)	(49.0, 1.505186893049342)	(50.0, 2.767927575138049)	(51.0, 8.757478024600031)	(52.0, 15.843384501564614)	(53.0, 20.150518689300657)	(54.0, 20.66423131031922)	(55.0, 12.048625915301384)	(56.0, 8.011421118077406)	(57.0, 3.848387925824072)	(58.0, 3.8547759080981683)	(59.0, 1.3287003130115815)	(60.0, 0.3342548864351743)	(61.0, 0.14915195821373914)	(62.0, 0.13949570593894517)	(63.0, 0.015301445912365621)	(64.0, 0.00831923272905315)	(65.0, 0.029117314551686015)	(66.0, 0.029117314551686015)	(67.0, 0.007725001819835068)	(68.0, 0.007130770910616984)	(69.0, 0.0)	(70.0, 0.0005942309092180822)	(71.0, 0.0005942309092180822)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
