Sample	Unique Reads	Duplicate Reads
11_S9	6149.0	99981.0
14_S10	8635.0	140122.0
15_S11	10790.0	173631.0
16_S12	10782.0	159400.0
17_S13	11698.0	228006.0
19_S14	7054.0	138795.0
1_S1	11507.0	173173.0
20_S15	8952.0	197710.0
21_S16	9813.0	184520.0
22_S17	6963.0	126250.0
23_S18	11893.0	237251.0
24_S19	5468.0	108684.0
25_S20	9137.0	150769.0
26_S21	4697.0	74982.0
27_S22	5887.0	107685.0
28_S23	8001.0	145316.0
29_S24	9906.0	213939.0
2_S2	8738.0	161652.0
30_S25	12510.0	294243.0
31_S27	8634.0	211185.0
32_S28	9917.0	204380.0
33_S29	7783.0	164106.0
34_S30	10819.0	233349.0
35_S31	6896.0	263468.0
361_S10	6921.0	190330.0
36_S32	4731.0	121327.0
37_S33	2503.0	85147.0
38_S34	7462.0	130788.0
39_S35	4914.0	176025.0
3_S3	8711.0	170700.0
40_S36	5689.0	166956.0
41_S37	3131.0	111274.0
42_S38	2517.0	81687.0
43_S39	1825.0	56853.0
44_S40	3018.0	80953.0
45_S41	3581.0	77519.0
46_S42	3379.0	108577.0
47_S43	3098.0	97456.0
4_S4	8942.0	128444.0
50_S46	1958.0	55791.0
51_S47	3452.0	78442.0
52_S48	6714.0	123127.0
53_S1	7630.0	228129.0
54_S2	4538.0	95030.0
55_S3	5366.0	182112.0
56_S4	5441.0	146471.0
57_S5	5844.0	150418.0
58_S7	5504.0	182945.0
59_S8	4269.0	123381.0
5_S5	10078.0	202610.0
60_S9	4054.0	114451.0
6_S6	10204.0	205748.0
7_S7	12616.0	206683.0
9_S8	6933.0	126434.0
R1.339.d139	3956.0	17143.0
R1.339.d42	10913.0	71165.0
R1.339.w	6618.0	32443.0
R1.377.d139	5006.0	31717.0
R1.377.d42	9288.0	103831.0
R1.377.w	8613.0	77029.0
R1.378.d139	5213.0	31407.0
R1.378.d42	10812.0	93741.0
R1.378.w	9768.0	88279.0
R1.403.d139	2465.0	9070.0
R1.403.d42	6483.0	36648.0
R1.403.w	5112.0	28486.0
R1.405.d139	4185.0	23392.0
R1.405.d42	11397.0	110176.0
R1.405.w	9108.0	94711.0
R1.407.d139	5327.0	27984.0
R1.407.d42	10497.0	90485.0
R1.407.w	8557.0	74292.0
R1.415.d139	5423.0	36560.0
R1.415.d42	8563.0	71079.0
R1.415.w	10501.0	97632.0
R1.417.d139	5353.0	29517.0
R1.417.d42	10959.0	96324.0
R1.417.w	10232.0	83000.0
R1.420.d139	8246.0	45776.0
R1.420.d42	8692.0	45562.0
R1.420.w	7566.0	50097.0
R1.453.d139	9669.0	63945.0
R1.453.d42	9877.0	94614.0
R1.453.w	10100.0	96370.0
R1.455.d139	9648.0	71092.0
R1.455.d42	13843.0	122493.0
R1.455.w	10521.0	111131.0
R1.457.d139	6380.0	34864.0
R1.457.d42	7117.0	42109.0
R1.457.w	5742.0	37861.0
R1.481.d139	9084.0	65859.0
R1.481.d42	12130.0	111840.0
R1.481.w	5904.0	67953.0
R1.482.d139	6455.0	39060.0
R1.482.d42	12056.0	103556.0
R1.482.w	8279.0	66967.0
R1.491.d139	7980.0	60056.0
R1.491.d42	10687.0	96672.0
R1.491.w	7266.0	62865.0
R1.492.d139	9218.0	60724.0
R1.492.d42	13303.0	94606.0
R1.492.w	9123.0	67704.0
R1.494.d139	9461.0	45483.0
R1.494.d42	8067.0	42856.0
R1.494.w	7181.0	47427.0
R1.498.d139	12056.0	87071.0
R1.498.d42	8452.0	67718.0
R1.498.w	10648.0	93983.0
R1.502.d139	11830.0	94543.0
R1.502.d42	9296.0	76029.0
R1.502.w	8029.0	98249.0
R1.506.d139	7725.0	41948.0
R1.506.d42	5240.0	26926.0
R1.506.w	5979.0	40045.0
R1.508.d139	11269.0	97671.0
R1.508.d42	8394.0	67406.0
R1.508.w	8060.0	78062.0
R1.512.d139	10535.0	79677.0
R1.512.d42	7991.0	74731.0
R1.512.w	9543.0	80503.0
R1.521.d139	10948.0	86425.0
R1.521.d42	6550.0	56705.0
R1.521.w	9489.0	80717.0
R1.526.d139	11540.0	86464.0
R1.526.d42	10756.0	83352.0
R1.526.w	9006.0	78774.0
R1.527.d139	10175.0	39357.0
R1.527.d42	6751.0	43582.0
R1.527.w	6849.0	27374.0
R1.530.d139	12638.0	104622.0
R1.530.d42	6760.0	40889.0
R1.530.w	9164.0	86962.0
R1.592.d139	12857.0	109907.0
R1.592.d42	6804.0	62127.0
R1.592.w	9707.0	90988.0
R1.593.d139	8178.0	54006.0
R1.593.d42	4515.0	23838.0
R1.593.w	5933.0	42733.0
R1.594.d139	10988.0	111564.0
R1.594.d42	6283.0	52007.0
R1.594.w	6824.0	52544.0
R1.596.d139	11256.0	97532.0
R1.596.d42	5979.0	45549.0
R1.596.w	9617.0	81488.0
R1.598.d139	10618.0	110161.0
R1.598.d42	4688.0	42828.0
R1.598.w	3561.0	14495.0
R1.616.d139	13205.0	109147.0
R1.616.d42	7966.0	62597.0
R1.616.w	12087.0	109514.0
