Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
11_S9	(350, 9.0)	(355, 4.0)	(360, 3.0)	(365, 3.0)	(370, 5.0)	(375, 3.0)	(380, 4.0)	(385, 0.0)	(390, 2.0)	(395, 4.0)	(400, 0.0)	(405, 0.0)	(410, 2.0)	(415, 4.0)	(420, 11.0)	(425, 4.0)	(430, 1.0)	(435, 2271.0)	(440, 29597.0)	(445, 99.0)	(450, 214.0)	(455, 11060.0)	(460, 44848.0)	(465, 17823.0)	(470, 3.0)	(475, 3.0)	(480, 2.0)	(485, 13.0)	(490, 138.0)																						
14_S10	(335, 22.0)	(340, 12.0)	(345, 4.0)	(350, 0.0)	(355, 6.0)	(360, 4.0)	(365, 5.0)	(370, 20.0)	(375, 3.0)	(380, 2.0)	(385, 0.0)	(390, 1.0)	(395, 16.0)	(400, 1.0)	(405, 3.0)	(410, 2.0)	(415, 0.0)	(420, 15.0)	(425, 1.0)	(430, 7.0)	(435, 4129.0)	(440, 50727.0)	(445, 511.0)	(450, 17.0)	(455, 30250.0)	(460, 42372.0)	(465, 20500.0)	(470, 3.0)	(475, 3.0)	(480, 4.0)	(485, 29.0)	(490, 88.0)																			
15_S11	(350, 5.0)	(355, 6.0)	(360, 3.0)	(365, 10.0)	(370, 4.0)	(375, 10.0)	(380, 13.0)	(385, 8.0)	(390, 4.0)	(395, 0.0)	(400, 6.0)	(405, 2.0)	(410, 5.0)	(415, 12.0)	(420, 15.0)	(425, 6.0)	(430, 4.0)	(435, 2536.0)	(440, 51863.0)	(445, 126.0)	(450, 41.0)	(455, 17374.0)	(460, 81361.0)	(465, 30833.0)	(470, 4.0)	(475, 5.0)	(480, 1.0)	(485, 17.0)	(490, 147.0)																						
16_S12	(330, 2.0)	(335, 11.0)	(340, 42.0)	(345, 1.0)	(350, 5.0)	(355, 2.0)	(360, 3.0)	(365, 15.0)	(370, 22.0)	(375, 4.0)	(380, 14.0)	(385, 5.0)	(390, 1.0)	(395, 4.0)	(400, 2.0)	(405, 3.0)	(410, 4.0)	(415, 3.0)	(420, 18.0)	(425, 9.0)	(430, 12.0)	(435, 2633.0)	(440, 49923.0)	(445, 4473.0)	(450, 20.0)	(455, 18914.0)	(460, 59902.0)	(465, 34008.0)	(470, 3.0)	(475, 8.0)	(480, 3.0)	(485, 20.0)	(490, 93.0)																		
17_S13	(350, 7.0)	(355, 4.0)	(360, 9.0)	(365, 6.0)	(370, 26.0)	(375, 8.0)	(380, 4.0)	(385, 3.0)	(390, 6.0)	(395, 14.0)	(400, 7.0)	(405, 11.0)	(410, 0.0)	(415, 5.0)	(420, 41.0)	(425, 5.0)	(430, 13.0)	(435, 7116.0)	(440, 86355.0)	(445, 311.0)	(450, 55.0)	(455, 33897.0)	(460, 76677.0)	(465, 35012.0)	(470, 5.0)	(475, 0.0)	(480, 4.0)	(485, 30.0)	(490, 73.0)																						
19_S14	(330, 15.0)	(335, 6.0)	(340, 12.0)	(345, 17.0)	(350, 13.0)	(355, 10.0)	(360, 47.0)	(365, 13.0)	(370, 8.0)	(375, 47.0)	(380, 19.0)	(385, 46.0)	(390, 19.0)	(395, 20.0)	(400, 41.0)	(405, 15.0)	(410, 14.0)	(415, 18.0)	(420, 16.0)	(425, 3.0)	(430, 14.0)	(435, 12145.0)	(440, 28017.0)	(445, 456.0)	(450, 17.0)	(455, 9901.0)	(460, 16048.0)	(465, 78712.0)	(470, 7.0)	(475, 12.0)	(480, 12.0)	(485, 37.0)	(490, 72.0)																		
1_S1	(345, 2.0)	(350, 6.0)	(355, 5.0)	(360, 8.0)	(365, 4.0)	(370, 16.0)	(375, 7.0)	(380, 3.0)	(385, 0.0)	(390, 2.0)	(395, 9.0)	(400, 3.0)	(405, 4.0)	(410, 5.0)	(415, 3.0)	(420, 31.0)	(425, 4.0)	(430, 14.0)	(435, 3004.0)	(440, 50568.0)	(445, 93.0)	(450, 51.0)	(455, 22946.0)	(460, 66922.0)	(465, 40792.0)	(470, 9.0)	(475, 10.0)	(480, 5.0)	(485, 33.0)	(490, 121.0)																					
20_S15	(350, 4.0)	(355, 3.0)	(360, 2.0)	(365, 6.0)	(370, 21.0)	(375, 10.0)	(380, 18.0)	(385, 8.0)	(390, 3.0)	(395, 1.0)	(400, 1.0)	(405, 9.0)	(410, 6.0)	(415, 4.0)	(420, 12.0)	(425, 7.0)	(430, 2.0)	(435, 3170.0)	(440, 49576.0)	(445, 102.0)	(450, 169.0)	(455, 15737.0)	(460, 114300.0)	(465, 23359.0)	(470, 7.0)	(475, 8.0)	(480, 3.0)	(485, 23.0)	(490, 91.0)																						
21_S16	(330, 8.0)	(335, 0.0)	(340, 8.0)	(345, 0.0)	(350, 4.0)	(355, 0.0)	(360, 10.0)	(365, 2.0)	(370, 8.0)	(375, 1.0)	(380, 4.0)	(385, 1.0)	(390, 0.0)	(395, 11.0)	(400, 11.0)	(405, 8.0)	(410, 0.0)	(415, 0.0)	(420, 7.0)	(425, 8.0)	(430, 15.0)	(435, 5571.0)	(440, 62953.0)	(445, 197.0)	(450, 652.0)	(455, 24131.0)	(460, 78120.0)	(465, 22501.0)	(470, 11.0)	(475, 2.0)	(480, 4.0)	(485, 9.0)	(490, 76.0)																		
22_S17	(355, 3.0)	(360, 5.0)	(365, 1.0)	(370, 9.0)	(375, 0.0)	(380, 2.0)	(385, 6.0)	(390, 0.0)	(395, 5.0)	(400, 7.0)	(405, 0.0)	(410, 0.0)	(415, 1.0)	(420, 12.0)	(425, 0.0)	(430, 4.0)	(435, 3847.0)	(440, 42501.0)	(445, 73.0)	(450, 16.0)	(455, 19054.0)	(460, 51734.0)	(465, 15870.0)	(470, 1.0)	(475, 0.0)	(480, 0.0)	(485, 10.0)	(490, 52.0)																							
