Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
11_S9	11_S9.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106130.0	48.3 Mbp	0.0	352-492	53.0	5.793837746160369	456.17389993404316	462	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
14_S10	14_S10.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148757.0	67.4 Mbp	0.0	336-492	53.0	5.8047688512137245	454.05735528412106	457	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
15_S11	15_S11.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	184421.0	84 Mbp	0.0	350-492	53.0	5.8507436788652045	456.3687622342358	462	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
16_S12	16_S12.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	170182.0	77.3 Mbp	0.0	330-492	52.0	6.33557015430539	455.7238280194145	462	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
17_S13	17_S13.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	239704.0	108.6 Mbp	0.0	350-492	53.0	4.880185562193372	454.0209237225912	457	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
19_S14	19_S14.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	145849.0	66.6 Mbp	0.0	331-492	54.0	4.8365089921768405	458.1866999430918	467	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
1_S1	1_S1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	184680.0	84.1 Mbp	0.0	349-492	53.0	6.230777561186917	456.5712556855101	462	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
20_S15	20_S15.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	206662.0	94.2 Mbp	0.0	350-492	53.0	4.331710716048427	456.96389999129013	462	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
21_S16	21_S16.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	194333.0	88.2 Mbp	0.0	331-492	53.0	5.0490652642628895	454.688179568061	462	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
22_S17	22_S17.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133213.0	60.4 Mbp	0.0	359-492	53.0	5.226967338022566	454.75374025057613	462	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
23_S18	23_S18.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	249144.0	113 Mbp	0.0	353-492	53.0	4.77314324246219	454.44160806601803	457	pass	fail	fail	pass	fail	warn	pass	warn	fail	fail	pass
24_S19	24_S19.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114152.0	51.9 Mbp	0.0	356-492	53.0	4.790104422173943	456.15259040577473	462	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
