.	Basic Statistics	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
11_S9	1	1	1	1	1	1	1	0.5
14_S10	1	1	1	1	1	1	1	0.5
15_S11	1	1	1	1	1	1	1	0.5
16_S12	1	1	1	1	1	1	1	0.5
17_S13	1	1	1	1	1	1	1	0.5
19_S14	1	1	1	1	1	1	1	0.5
1_S1	1	1	1	1	1	1	1	0.5
20_S15	1	1	1	1	1	1	1	0.5
21_S16	1	1	1	1	1	1	1	0.5
22_S17	1	1	1	1	1	1	1	0.5
23_S18	1	1	1	1	1	1	1	0.5
24_S19	1	1	1	1	1	1	1	0.5
25_S20	1	1	1	1	1	1	1	0.5
26_S21	1	1	1	1	1	1	1	0.5
27_S22	1	1	1	1	1	1	1	0.5
28_S23	1	1	1	1	1	1	1	0.5
29_S24	1	1	1	1	1	1	1	0.5
2_S2	1	1	1	1	1	1	1	0.5
30_S25	1	1	1	1	1	1	1	0.5
31_S27	1	1	1	1	1	1	1	0.5
32_S28	1	1	1	1	1	1	1	0.5
33_S29	1	1	1	1	1	1	1	0.5
34_S30	1	1	1	1	1	1	1	0.5
35_S31	1	1	1	1	1	1	1	0.5
361_S10	1	1	1	1	1	1	1	0.5
36_S32	1	1	1	1	1	1	1	0.5
37_S33	1	1	1	1	1	1	1	0.5
38_S34	1	1	1	1	1	1	1	0.5
39_S35	1	1	1	1	1	1	1	0.5
3_S3	1	1	1	1	1	1	1	0.5
40_S36	1	1	1	1	1	1	1	0.5
41_S37	1	1	1	1	1	1	1	0.5
42_S38	1	1	1	1	1	1	1	0.5
43_S39	1	1	1	1	1	1	1	0.5
44_S40	1	1	1	1	1	1	1	0.5
45_S41	1	1	1	1	1	1	1	0.5
46_S42	1	1	1	1	1	1	1	0.5
47_S43	1	1	1	1	1	1	1	0.5
4_S4	1	1	1	1	1	1	1	0.5
50_S46	1	1	1	1	1	1	1	0.5
51_S47	1	1	1	1	1	1	1	0.5
52_S48	1	1	1	1	1	1	1	0.5
53_S1	1	1	1	1	1	1	1	0.5
54_S2	1	1	1	1	1	1	1	0.5
55_S3	1	1	1	1	1	1	1	0.5
56_S4	1	1	1	1	1	1	1	0.5
57_S5	1	1	1	1	1	1	1	0.5
58_S7	1	1	1	1	1	1	1	0.5
59_S8	1	1	1	1	1	1	1	0.5
5_S5	1	1	1	1	1	1	1	0.5
60_S9	1	1	1	1	1	1	1	0.5
6_S6	1	1	1	1	1	1	1	0.5
7_S7	1	1	1	1	1	1	1	0.5
9_S8	1	1	1	1	1	1	1	0.5
R1.339.d139	1	1	1	1	1	1	1	0.5
R1.339.d42	1	1	1	1	1	1	1	0.5
R1.339.w	1	1	1	1	1	1	1	0.5
R1.377.d139	1	1	1	1	1	1	1	0.5
R1.377.d42	1	1	1	1	1	1	1	0.5
R1.377.w	1	1	1	1	1	1	1	0.5
R1.378.d139	1	1	1	1	1	1	1	0.5
R1.378.d42	1	1	1	1	1	1	1	0.5
R1.378.w	1	1	1	1	1	1	1	0.5
R1.403.d139	1	1	1	1	1	1	1	0.5
R1.403.d42	1	1	1	1	1	1	1	0.5
R1.403.w	1	1	1	1	1	1	1	0.5
R1.405.d139	1	1	1	1	1	1	1	0.5
R1.405.d42	1	1	1	1	1	1	1	0.5
R1.405.w	1	1	1	1	1	1	1	0.5
R1.407.d139	1	1	1	1	1	1	1	0.5
R1.407.d42	1	1	1	1	1	1	1	0.5
R1.407.w	1	1	1	1	1	1	1	0.5
R1.415.d139	1	1	1	1	1	1	1	0.5
R1.415.d42	1	1	1	1	1	1	1	0.5
R1.415.w	1	1	1	1	1	1	1	0.5
R1.417.d139	1	1	1	1	1	1	1	0.5
R1.417.d42	1	1	1	1	1	1	1	0.5
R1.417.w	1	1	1	1	1	1	1	0.5
R1.420.d139	1	1	1	1	1	1	1	0.5
R1.420.d42	1	1	1	1	1	1	1	0.5
R1.420.w	1	1	1	1	1	1	1	0.5
R1.453.d139	1	1	1	1	1	1	1	0.5
R1.453.d42	1	1	1	1	1	1	1	0.5
R1.453.w	1	1	1	1	1	1	1	0.5
R1.455.d139	1	1	1	1	1	1	1	0.5
R1.455.d42	1	1	1	1	1	1	1	0.5
R1.455.w	1	1	1	1	1	1	1	0.5
R1.457.d139	1	1	1	1	1	1	1	0.5
R1.457.d42	1	1	1	1	1	1	1	0.5
R1.457.w	1	1	1	1	1	1	1	0.5
R1.481.d139	1	1	1	1	1	1	1	0.5
R1.481.d42	1	1	1	1	1	1	1	0.5
R1.481.w	1	1	1	1	1	1	1	0.5
R1.482.d139	1	1	1	1	1	1	1	0.5
R1.482.d42	1	1	1	1	1	1	1	0.5
R1.482.w	1	1	1	1	1	1	1	0.5
R1.491.d139	1	1	1	1	1	1	1	0.5
R1.491.d42	1	1	1	1	1	1	1	0.5
R1.491.w	1	1	1	1	1	1	1	0.5
R1.492.d139	1	1	1	1	1	1	1	0.5
R1.492.d42	1	1	1	1	1	1	1	0.5
R1.492.w	1	1	1	1	1	1	1	0.5
R1.494.d139	1	1	1	1	1	1	1	0.5
R1.494.d42	1	1	1	1	1	1	1	0.5
R1.494.w	1	1	1	1	1	1	1	0.5
R1.498.d139	1	1	1	1	1	1	1	0.5
R1.498.d42	1	1	1	1	1	1	1	0.5
R1.498.w	1	1	1	1	1	1	1	0.5
R1.502.d139	1	1	1	1	1	1	1	0.5
R1.502.d42	1	1	1	1	1	1	1	0.5
R1.502.w	1	1	1	1	1	1	1	0.5
R1.506.d139	1	1	1	1	1	1	1	0.5
R1.506.d42	1	1	1	1	1	1	1	0.5
R1.506.w	1	1	1	1	1	1	1	0.5
R1.508.d139	1	1	1	1	1	1	1	0.5
R1.508.d42	1	1	1	1	1	1	1	0.5
R1.508.w	1	1	1	1	1	1	1	0.5
R1.512.d139	1	1	1	1	1	1	1	0.5
R1.512.d42	1	1	1	1	1	1	1	0.5
R1.512.w	1	1	1	1	1	1	1	0.5
R1.521.d139	1	1	1	1	1	1	1	0.5
R1.521.d42	1	1	1	1	1	1	1	0.5
R1.521.w	1	1	1	1	1	1	1	0.5
R1.526.d139	1	1	1	1	1	1	1	0.5
R1.526.d42	1	1	1	1	1	1	1	0.5
R1.526.w	1	1	1	1	1	1	1	0.5
R1.527.d139	1	1	1	1	1	1	1	0.5
R1.527.d42	1	1	1	1	1	1	1	0.5
R1.527.w	1	1	1	1	1	1	1	0.5
R1.530.d139	1	1	1	1	1	1	1	0.5
R1.530.d42	1	1	1	1	1	1	1	0.5
R1.530.w	1	1	1	1	1	1	1	0.5
R1.592.d139	1	1	1	1	1	1	1	0.5
R1.592.d42	1	1	1	1	1	1	1	0.5
R1.592.w	1	1	1	1	1	1	1	0.5
R1.593.d139	1	1	1	1	1	1	1	0.5
R1.593.d42	1	1	1	1	1	1	1	0.5
R1.593.w	1	1	1	1	1	1	1	0.5
R1.594.d139	1	1	1	1	1	1	1	0.5
R1.594.d42	1	1	1	1	1	1	1	0.5
R1.594.w	1	1	1	1	1	1	1	0.5
R1.596.d139	1	1	1	1	1	1	1	0.5
R1.596.d42	1	1	1	1	1	1	1	0.5
R1.596.w	1	1	1	1	1	1	1	0.5
R1.598.d139	1	1	1	1	1	1	1	0.5
R1.598.d42	1	1	1	1	1	1	1	0.5
R1.598.w	1	1	1	1	1	1	1	0.5
R1.616.d139	1	1	1	1	1	1	1	0.5
R1.616.d42	1	1	1	1	1	1	1	0.5
R1.616.w	1	1	1	1	1	1	1	0.5
