Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
11_S9	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
14_S10	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
15_S11	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
16_S12	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
17_S13	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
19_S14	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
1_S1	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
20_S15	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
21_S16	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
22_S17	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
23_S18	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
24_S19	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
25_S20	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
26_S21	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
27_S22	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
28_S23	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
29_S24	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
2_S2	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
30_S25	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
31_S27	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
32_S28	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
33_S29	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
