Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	basic_statistics	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
11_S9	11_S9_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
14_S10	14_S10_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
15_S11	15_S11_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
16_S12	16_S12_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
17_S13	17_S13_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
19_S14	19_S14_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
1_S1	1_S1_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
20_S15	20_S15_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
21_S16	21_S16_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
22_S17	22_S17_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
23_S18	23_S18_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
24_S19	24_S19_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
25_S20	25_S20_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
26_S21	26_S21_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
27_S22	27_S22_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
28_S23	28_S23_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
29_S24	29_S24_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
2_S2	2_S2_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
30_S25	30_S25_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
31_S27	31_S27_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
32_S28	32_S28_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
33_S29	33_S29_trimmed.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0	pass	pass	pass	pass	pass	pass	pass	warn
