Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
11_S9	0.0	0.0	0	0	0.0	0.0
14_S10	0.0	0.0	0	0	0.0	0.0
15_S11	0.0	0.0	0	0	0.0	0.0
16_S12	0.0	0.0	0	0	0.0	0.0
17_S13	0.0	0.0	0	0	0.0	0.0
19_S14	0.0	0.0	0	0	0.0	0.0
1_S1	0.0	0.0	0	0	0.0	0.0
20_S15	0.0	0.0	0	0	0.0	0.0
21_S16	0.0	0.0	0	0	0.0	0.0
22_S17	0.0	0.0	0	0	0.0	0.0
23_S18	0.0	0.0	0	0	0.0	0.0
24_S19	0.0	0.0	0	0	0.0	0.0
25_S20	0.0	0.0	0	0	0.0	0.0
26_S21	0.0	0.0	0	0	0.0	0.0
27_S22	0.0	0.0	0	0	0.0	0.0
28_S23	0.0	0.0	0	0	0.0	0.0
29_S24	0.0	0.0	0	0	0.0	0.0
2_S2	0.0	0.0	0	0	0.0	0.0
30_S25	0.0	0.0	0	0	0.0	0.0
31_S27	0.0	0.0	0	0	0.0	0.0
32_S28	0.0	0.0	0	0	0.0	0.0
33_S29	0.0	0.0	0	0	0.0	0.0
34_S30	0.0	0.0	0	0	0.0	0.0
35_S31	0.0	0.0	0	0	0.0	0.0
361_S10	0.0	0.0	0	0	0.0	0.0
36_S32	0.0	0.0	0	0	0.0	0.0
37_S33	0.0	0.0	0	0	0.0	0.0
38_S34	0.0	0.0	0	0	0.0	0.0
39_S35	0.0	0.0	0	0	0.0	0.0
3_S3	0.0	0.0	0	0	0.0	0.0
40_S36	0.0	0.0	0	0	0.0	0.0
41_S37	0.0	0.0	0	0	0.0	0.0
42_S38	0.0	0.0	0	0	0.0	0.0
43_S39	0.0	0.0	0	0	0.0	0.0
44_S40	0.0	0.0	0	0	0.0	0.0
45_S41	0.0	0.0	0	0	0.0	0.0
46_S42	0.0	0.0	0	0	0.0	0.0
47_S43	0.0	0.0	0	0	0.0	0.0
4_S4	0.0	0.0	0	0	0.0	0.0
50_S46	0.0	0.0	0	0	0.0	0.0
51_S47	0.0	0.0	0	0	0.0	0.0
52_S48	0.0	0.0	0	0	0.0	0.0
53_S1	0.0	0.0	0	0	0.0	0.0
54_S2	0.0	0.0	0	0	0.0	0.0
55_S3	0.0	0.0	0	0	0.0	0.0
56_S4	0.0	0.0	0	0	0.0	0.0
57_S5	0.0	0.0	0	0	0.0	0.0
58_S7	0.0	0.0	0	0	0.0	0.0
59_S8	0.0	0.0	0	0	0.0	0.0
5_S5	0.0	0.0	0	0	0.0	0.0
60_S9	0.0	0.0	0	0	0.0	0.0
6_S6	0.0	0.0	0	0	0.0	0.0
7_S7	0.0	0.0	0	0	0.0	0.0
9_S8	0.0	0.0	0	0	0.0	0.0
