.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR2835911_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835911_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835912_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835912_2	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835913_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835913_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835914_1	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	1
ERR2835914_2	1	0.25	0.5	1	0.25	0.5	1	0.5	0.5	0.25	1
ERR2835915_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835915_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835916_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835916_2	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835917_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835917_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835918_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835918_2	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835919_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835919_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835920_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835920_2	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835921_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835921_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835922_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835922_2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835923_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835923_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835924_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835924_2	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835925_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835925_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835926_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835926_2	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835927_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835927_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835928_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835928_2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835929_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835929_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835930_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835930_2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835931_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835931_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835932_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835932_2	1	0.5	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835933_1	1	1	0.5	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835933_2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835934_1	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835934_2	1	0.5	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835935_1	1	0.5	0.5	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835935_2	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835936_1	1	0.5	0.5	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835936_2	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835937_1	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835937_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835938_1	1	0.5	0.25	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835938_2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835939_1	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835939_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835940_1	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835940_2	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835941_1	1	0.25	0.25	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835941_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835942_1	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835942_2	1	0.5	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835943_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835943_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835944_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835944_2	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835945_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835945_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835946_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835946_2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835947_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835947_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835948_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835948_2	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835949_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835949_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835950_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835950_2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835951_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835951_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835952_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835952_2	1	0.5	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835953_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835953_2	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835954_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
ERR2835954_2	1	0.25	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835955_1	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
ERR2835955_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835956_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
ERR2835956_2	1	0.5	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
