Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
ERR2835924_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.005562066705071414)	(120, 0.005959357184005086)	(125, 0.005959357184005086)	(130, 0.005959357184005086)	(135, 0.005959357184005086)	(140, 0.0075485190997397755)	(145, 0.00993226197334181)	(150, 0.00993226197334181)	(155, 0.012316004846943843)	(160, 0.10329552452275481)	(165, 0.10329552452275481)	(170, 0.10329552452275481)	(175, 0.10607655787529051)	(180, 0.10726842931209153)	(185, 0.10726842931209153)	(190, 0.10726842931209153)	(195, 0.10846030074889254)	(200, 0.1092548817067599)	(205, 0.1092548817067599)	(210, 0.1092548817067599)	(215, 0.1092548817067599)	(220, 0.1092548817067599)	(225, 0.1092548817067599)	(230, 0.11163862458036193)	(235, 0.11521423889076499)	(240, 0.11521423889076499)
ERR2835951_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.000753820929838117)	(80, 0.0018845523245952923)	(85, 0.0018845523245952923)	(90, 0.0018845523245952923)	(95, 0.0018845523245952923)	(100, 0.0018845523245952923)	(105, 0.00489983604394776)	(110, 0.01696097092135763)	(115, 0.019976254640710102)	(120, 0.020730075570548217)	(125, 0.020730075570548217)	(130, 0.020730075570548217)	(135, 0.02186080696530539)	(140, 0.028268284868929384)	(145, 0.0335450313777962)	(150, 0.12777264760756082)	(155, 0.4108324067617738)	(160, 0.4108324067617738)	(165, 0.41234004862145)	(170, 0.4183706160601549)	(175, 0.4183706160601549)	(180, 0.4183706160601549)	(185, 0.4183706160601549)	(190, 0.4183706160601549)	(195, 0.419124436989993)	(200, 0.4202551683847502)	(205, 0.4202551683847502)	(210, 0.4202551683847502)	(215, 0.4202551683847502)	(220, 0.4202551683847502)	(225, 0.42213972070934547)	(230, 0.42213972070934547)	(235, 0.42213972070934547)	(240, 0.42213972070934547)
ERR2835951_2 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0018845523245952921)	(105, 0.0037691046491905847)	(110, 0.0037691046491905847)	(115, 0.0037691046491905847)	(120, 0.0037691046491905847)	(125, 0.0067843883685430525)	(130, 0.009799672087895521)	(135, 0.018468612781033865)	(140, 0.1126962290107985)	(145, 0.14021069294988975)	(150, 0.14134142434464692)	(155, 0.14247215573940408)	(160, 0.14322597666924222)	(165, 0.14322597666924222)	(170, 0.14322597666924222)	(175, 0.14322597666924222)	(180, 0.14322597666924222)	(185, 0.14322597666924222)	(190, 0.14322597666924222)	(195, 0.14322597666924222)	(200, 0.14322597666924222)	(205, 0.14322597666924222)	(210, 0.14322597666924222)	(215, 0.14322597666924222)	(220, 0.14322597666924222)	(225, 0.14322597666924222)	(230, 0.14322597666924222)	(235, 0.14322597666924222)	(240, 0.14322597666924222)
ERR2835956_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.001785044893879081)	(80, 0.001785044893879081)	(85, 0.001785044893879081)	(90, 0.001785044893879081)	(95, 0.001785044893879081)	(100, 0.001785044893879081)	(105, 0.001785044893879081)	(110, 0.001785044893879081)	(115, 0.007854197533067956)	(120, 0.011067278342050303)	(125, 0.012495314257153568)	(130, 0.012495314257153568)	(135, 0.012495314257153568)	(140, 0.012495314257153568)	(145, 0.018564466896342443)	(150, 0.019635493832669892)	(155, 0.02356259259920387)	(160, 0.12673818746541476)	(165, 0.12673818746541476)	(170, 0.12673818746541476)	(175, 0.1274522054229664)	(180, 0.12852323235929383)	(185, 0.12852323235929383)	(190, 0.12852323235929383)	(195, 0.12852323235929383)	(200, 0.12852323235929383)	(205, 0.12852323235929383)	(210, 0.12852323235929383)	(215, 0.12852323235929383)	(220, 0.12852323235929383)	(225, 0.12852323235929383)	(230, 0.12995126827439707)	(235, 0.132093322147052)	(240, 0.132093322147052)
ERR2835977_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.004756368248599515)	(75, 0.015326075467709543)	(80, 0.01796850227248705)	(85, 0.018496987633442555)	(90, 0.020610929077264563)	(95, 0.02113941443822006)	(100, 0.02113941443822006)	(105, 0.02113941443822006)	(110, 0.02113941443822006)	(115, 0.02642426804777508)	(120, 0.02642426804777508)	(125, 0.02642426804777508)	(130, 0.02642426804777508)	(135, 0.02642426804777508)	(140, 0.02642426804777508)	(145, 0.02642426804777508)	(150, 0.02642426804777508)	(155, 0.02642426804777508)	(160, 0.0343515484621076)	(165, 0.0343515484621076)	(170, 0.0343515484621076)	(175, 0.03699397526688511)	(180, 0.03699397526688511)	(185, 0.03699397526688511)	(190, 0.03699397526688511)	(195, 0.03699397526688511)	(200, 0.03699397526688511)	(205, 0.03699397526688511)	(210, 0.03699397526688511)	(215, 0.03699397526688511)	(220, 0.03699397526688511)	(225, 0.03699397526688511)	(230, 0.09565585033294578)	(235, 0.17704259592009303)	(240, 0.17704259592009303)
ERR2835980_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.13071895424836602)	(105, 0.32679738562091504)	(110, 0.32679738562091504)	(115, 0.6535947712418301)	(120, 0.6535947712418301)	(125, 0.6535947712418301)	(130, 0.6535947712418301)	(135, 0.6535947712418301)	(140, 0.6535947712418301)	(145, 0.6535947712418301)	(150, 0.6535947712418301)	(155, 0.6535947712418301)	(160, 0.6535947712418301)	(165, 0.6535947712418301)	(170, 0.6535947712418301)	(175, 0.6535947712418301)	(180, 0.6535947712418301)	(185, 0.6535947712418301)	(190, 0.6535947712418301)	(195, 0.6535947712418301)	(200, 0.6535947712418301)	(205, 0.6535947712418301)	(210, 0.6535947712418301)	(215, 0.6535947712418301)	(220, 0.6535947712418301)	(225, 0.6535947712418301)	(230, 0.6535947712418301)	(235, 0.6535947712418301)	(240, 0.6535947712418301)
ERR2835994_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0790513833992095)	(105, 0.23715415019762848)	(110, 0.2635046113306983)	(115, 0.2635046113306983)	(120, 0.2635046113306983)	(125, 0.2635046113306983)	(130, 0.2635046113306983)	(135, 0.2635046113306983)	(140, 0.2635046113306983)	(145, 0.2635046113306983)	(150, 0.2635046113306983)	(155, 0.2635046113306983)	(160, 0.2635046113306983)	(165, 0.2635046113306983)	(170, 0.2635046113306983)	(175, 0.2635046113306983)	(180, 0.2635046113306983)	(185, 0.2635046113306983)	(190, 0.2635046113306983)	(195, 0.2635046113306983)	(200, 0.2635046113306983)	(205, 0.2635046113306983)	(210, 0.2635046113306983)	(215, 0.2635046113306983)	(220, 0.2635046113306983)	(225, 0.2635046113306983)	(230, 0.2635046113306983)	(235, 0.2635046113306983)	(240, 0.2635046113306983)
ERR2836039_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.001408609420779806)	(10, 0.0016903313049357674)	(15, 0.002817218841559612)	(20, 0.002817218841559612)	(25, 0.002817218841559612)	(30, 0.002817218841559612)	(35, 0.002817218841559612)	(40, 0.002817218841559612)	(45, 0.002817218841559612)	(50, 0.002817218841559612)	(55, 0.002817218841559612)	(60, 0.0033806626098715348)	(65, 0.0042258282623394185)	(70, 0.0042258282623394185)	(75, 0.0042258282623394185)	(80, 0.0042258282623394185)	(85, 0.0042258282623394185)	(90, 0.0042258282623394185)	(95, 0.0042258282623394185)	(100, 0.0087333784088348)	(105, 0.01605814739688979)	(110, 0.016903313049357674)	(115, 0.016903313049357674)	(120, 0.016903313049357674)	(125, 0.016903313049357674)	(130, 0.017466756817669595)	(135, 0.019720531890917287)	(140, 0.019720531890917287)	(145, 0.02084741942754113)	(150, 0.02535496957403651)	(155, 0.02535496957403651)	(160, 0.025636691458192473)	(165, 0.02817218841559612)	(170, 0.02817218841559612)	(175, 0.02817218841559612)	(180, 0.02817218841559612)	(185, 0.02817218841559612)	(190, 0.029017354068064004)	(195, 0.029580797836375926)	(200, 0.029580797836375926)	(205, 0.029580797836375926)	(210, 0.029580797836375926)	(215, 0.029580797836375926)	(220, 0.09465855307640297)	(225, 0.138043723236421)	(230, 0.138043723236421)	(235, 0.138043723236421)	(240, 0.138043723236421)
ERR2836053_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.06157070806314273)	(70, 0.07860090391039497)	(75, 0.08122093404074147)	(80, 0.08951769612017205)	(85, 0.0908277111853453)	(90, 0.09170105456212746)	(95, 0.09170105456212746)	(100, 0.1087312504093797)	(105, 0.12008471430754789)	(110, 0.12008471430754789)	(115, 0.12401475950306762)	(120, 0.18951551276173012)	(125, 0.19082552782690335)	(130, 0.1921355428920766)	(135, 0.1921355428920766)	(140, 0.1921355428920766)	(145, 0.1921355428920766)	(150, 0.1921355428920766)	(155, 0.1921355428920766)	(160, 0.1921355428920766)	(165, 0.1921355428920766)	(170, 0.1921355428920766)	(175, 0.1921355428920766)	(180, 0.19388222964564097)	(185, 0.194318901334032)	(190, 0.194318901334032)	(195, 0.194318901334032)	(200, 0.194318901334032)	(205, 0.194318901334032)	(210, 0.194318901334032)	(215, 0.194318901334032)	(220, 0.194318901334032)	(225, 0.194318901334032)	(230, 0.194318901334032)	(235, 0.194318901334032)	(240, 0.194318901334032)
ERR2836103_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.04068908941755538)	(60, 0.0951599671862182)	(65, 0.0951599671862182)	(70, 0.0951599671862182)	(75, 0.0951599671862182)	(80, 0.0951599671862182)	(85, 0.0951599671862182)	(90, 0.0951599671862182)	(95, 0.0951599671862182)	(100, 0.0951599671862182)	(105, 0.0951599671862182)	(110, 0.0951599671862182)	(115, 0.0951599671862182)	(120, 0.0951599671862182)	(125, 0.0951599671862182)	(130, 0.0951599671862182)	(135, 0.0951599671862182)	(140, 0.0951599671862182)	(145, 0.0951599671862182)	(150, 0.0951599671862182)	(155, 0.0951599671862182)	(160, 0.0951599671862182)	(165, 0.0951599671862182)	(170, 0.0951599671862182)	(175, 0.0951599671862182)	(180, 0.0951599671862182)	(185, 0.0951599671862182)	(190, 0.0951599671862182)	(195, 0.0951599671862182)	(200, 0.0951599671862182)	(205, 0.09647251845775226)	(210, 0.09909762100082034)	(215, 0.10172272354388842)	(220, 0.10172272354388842)	(225, 0.10172272354388842)	(230, 0.10172272354388842)	(235, 0.10172272354388842)	(240, 0.10172272354388844)
