Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR2835911_1	(1, 32.35422633980602)	(2, 30.264128953242597)	(3, 32.10831045177093)	(4, 31.90296900618296)	(5, 32.381605199217745)	(6, 35.96598384133694)	(7, 35.94249649368864)	(8, 35.91280643185904)	(9, 33.48849337257768)	(10, 34.34515141338917)	(15, 36.551077573434995)	(20, 37.01518282203741)	(25, 37.66124883946032)	(30, 37.77176382276831)	(35, 37.8452245026964)	(40, 37.614317602670724)	(45, 37.48522608300574)	(50, 37.60771981115304)	(55, 37.57315844576576)	(60, 37.15011358473421)	(65, 36.83173656243209)	(70, 36.741504849574305)	(75, 37.649357011635026)	(80, 37.09446299113052)	(85, 36.68479149793572)	(90, 36.904312269126684)	(95, 37.39179819449657)	(100, 37.492222902633195)	(105, 36.954866365090965)	(110, 36.39036011299212)	(115, 36.01894000750647)	(120, 35.910017185864135)	(125, 36.212468640736425)	(130, 36.1384864587243)	(135, 36.61441637200481)	(140, 36.37191000138277)	(145, 35.907871915927544)	(150, 36.19718704936491)	(155, 36.25353692985402)	(160, 35.34258341070264)	(165, 34.61118463939316)	(170, 35.09801078561129)	(175, 34.797262114058825)	(180, 34.80530983940106)	(185, 33.85064891452502)	(190, 34.392695020050176)	(195, 33.77394860043853)	(200, 34.02948857238805)	(205, 32.97712107144974)	(210, 33.43403986330324)	(215, 32.23145605752326)	(220, 33.15831143946427)	(225, 32.91339904786362)	(230, 32.63889931454082)	(235, 31.38576536356992)	(240, 31.580273788594116)	(245, 31.045939567423993)	(250, 30.099987283291483)
ERR2835911_2	(1, 32.3992454022875)	(2, 31.994271378622365)	(3, 32.55028346798886)	(4, 31.97680896035399)	(5, 32.19410149536772)	(6, 31.67178950279517)	(7, 32.64644529166584)	(8, 32.476562037018745)	(9, 36.122414712680005)	(10, 36.26405783932204)	(15, 36.37667068328625)	(20, 37.286233530213536)	(25, 37.765094917330075)	(30, 37.665171957410664)	(35, 36.995867491061375)	(40, 36.77998538213855)	(45, 37.158714418347394)	(50, 37.36561246864074)	(55, 37.055998261659724)	(60, 37.01536060683879)	(65, 36.919420026470185)	(70, 36.94847401378819)	(75, 36.543950378286546)	(80, 37.39633763309168)	(85, 36.93420382039784)	(90, 36.5550046421587)	(95, 36.87626572901645)	(100, 37.20745510933765)	(105, 37.46444896588507)	(110, 36.786875530885176)	(115, 37.01810244355333)	(120, 37.01645102028722)	(125, 36.19223673033996)	(130, 34.941903877684055)	(135, 36.9473796495664)	(140, 35.56842146850246)	(145, 36.96344349406396)	(150, 35.75929913280525)	(155, 36.5307508444778)	(160, 35.13871955435276)	(165, 35.529391778440626)	(170, 35.789795152401084)	(175, 34.61146909507536)	(180, 34.8622799913083)	(185, 33.969065444560776)	(190, 33.99862908164273)	(195, 34.15342828358651)	(200, 33.870703040120105)	(205, 34.373668095529695)	(210, 33.462841001125966)	(215, 33.31386523912056)	(220, 32.69888785729807)	(225, 32.03714517116725)	(230, 31.898583647749046)	(235, 33.13327143788397)	(240, 31.7872982636351)	(245, 30.34566623757547)	(250, 30.335845955318927)
ERR2835912_1	(1, 32.290474809012665)	(2, 30.174509235083647)	(3, 32.04633981239726)	(4, 31.84125326370757)	(5, 32.33188279663476)	(6, 35.90739773716275)	(7, 35.90554105018857)	(8, 35.78298036940335)	(9, 33.39497147277826)	(10, 34.20623924185282)	(15, 36.44706701479548)	(20, 36.89032395319602)	(25, 37.535928826999324)	(30, 37.61907359056184)	(35, 37.74662798568803)	(40, 37.429351126583505)	(45, 37.356704380620826)	(50, 37.470747509911995)	(55, 37.423831350933185)	(60, 36.989621893433906)	(65, 36.71587273958031)	(70, 36.56175611642975)	(75, 37.4798646165748)	(80, 36.881818005995555)	(85, 36.37992844018954)	(90, 36.77124069238952)	(95, 37.1741495019824)	(100, 37.200232085871775)	(105, 36.58971859588048)	(110, 36.03565225800213)	(115, 35.72657189826903)	(120, 35.49250556039068)	(125, 35.80976694710377)	(130, 35.74080263030655)	(135, 36.25433517067982)	(140, 35.962893337201436)	(145, 35.45127550527028)	(150, 35.758533990909974)	(155, 35.85485349579345)	(160, 34.900663378783484)	(165, 34.18319698288367)	(170, 34.63218257421913)	(175, 34.348886954839955)	(180, 34.362146794313894)	(185, 33.42533604100184)	(190, 34.025796344647524)	(195, 33.326923895174545)	(200, 33.675199690552176)	(205, 32.68391064693937)	(210, 33.03221351900203)	(215, 31.83993037423847)	(220, 32.738996228604584)	(225, 32.42790832608065)	(230, 32.14219901363505)	(235, 30.897394836089354)	(240, 31.09141364650323)	(245, 30.523153963838944)	(250, 29.451345545892213)
ERR2835912_2	(1, 30.606324340005802)	(2, 32.04394159172227)	(3, 31.758650033845857)	(4, 31.710569577410308)	(5, 32.394410598588145)	(6, 35.56942268639396)	(7, 35.78913064500532)	(8, 35.53693066434581)	(9, 35.98986558359927)	(10, 33.94706121264868)	(15, 36.5096218934339)	(20, 35.68567063146698)	(25, 37.447217870612135)	(30, 37.6904825452084)	(35, 37.04627792283145)	(40, 37.03968281597524)	(45, 36.33373948360894)	(50, 37.117180156657966)	(55, 36.75018276762402)	(60, 37.2247248815395)	(65, 36.70113141862489)	(70, 36.69206459723431)	(75, 36.885040131515325)	(80, 36.790542500725266)	(85, 37.1928517551494)	(90, 36.97105115559424)	(95, 36.391316120297844)	(100, 35.97799439125809)	(105, 37.09825742191278)	(110, 36.679961319021366)	(115, 37.079056184121455)	(120, 36.56752345034329)	(125, 36.96528768977855)	(130, 35.85879895561358)	(135, 35.1364316797215)	(140, 36.2364258775747)	(145, 35.96527995358283)	(150, 36.38229958417948)	(155, 35.33732134222996)	(160, 35.85625374721981)	(165, 34.786771105308965)	(170, 35.52063823614738)	(175, 35.39425200657577)	(180, 33.94627985688037)	(185, 34.46201334493763)	(190, 34.27323856493569)	(195, 32.94820616961609)	(200, 33.75268929503916)	(205, 32.67777197563098)	(210, 34.265254810946715)	(215, 32.93255584566289)	(220, 32.580400348128805)	(225, 32.06386229571608)	(230, 31.919350159559038)	(235, 31.34184701672952)	(240, 31.50871289043613)	(245, 30.799957822381202)	(250, 26.56194100400732)
ERR2835913_1	(1, 32.211786151152474)	(2, 30.102103470606576)	(3, 31.967044827668914)	(4, 31.760343462931427)	(5, 32.24366200561245)	(6, 35.79214736286667)	(7, 35.830882882018564)	(8, 35.672702851797666)	(9, 33.27659319310196)	(10, 34.091967476554814)	(15, 36.35754203343487)	(20, 36.72814621159427)	(25, 37.34972297507975)	(30, 37.51729546926343)	(35, 37.69427002134651)	(40, 37.36727028517977)	(45, 37.35011152951334)	(50, 37.382236826325766)	(55, 37.307970162857075)	(60, 36.75175209267743)	(65, 36.55607416113016)	(70, 36.4640635118605)	(75, 37.41647278919722)	(80, 36.723483558391095)	(85, 36.180514714700315)	(90, 36.783076295781065)	(95, 37.206130525507874)	(100, 37.057146283548796)	(105, 36.52103710454993)	(110, 36.02908401890006)	(115, 35.47239584582544)	(120, 35.144244837262846)	(125, 35.626810255918265)	(130, 35.667550907826254)	(135, 36.03925838869834)	(140, 35.700947401242416)	(145, 35.13829179958266)	(150, 35.515904348451784)	(155, 35.652800230254485)	(160, 34.83969970978342)	(165, 33.68704099009426)	(170, 34.298817547310094)	(175, 33.9488691147195)	(180, 33.902170628163006)	(185, 33.311922864749484)	(190, 33.87490466025472)	(195, 32.96726069124314)	(200, 33.672132012568056)	(205, 32.66416424819514)	(210, 32.73817187537476)	(215, 31.507495262993793)	(220, 32.015585350058764)	(225, 31.89474971817811)	(230, 31.93758664524021)	(235, 30.961648238313387)	(240, 30.85157997744965)	(245, 30.47953625979527)	(250, 28.83446093239042)
ERR2835913_2	(1, 30.86925862854676)	(2, 31.536396997097835)	(3, 32.02662317415393)	(4, 31.40894154894107)	(5, 31.228599525100137)	(6, 34.61844914014343)	(7, 35.131053174393784)	(8, 35.400091142398004)	(9, 35.32446693689588)	(10, 34.3975151704123)	(15, 35.596795625164894)	(20, 36.79123593888663)	(25, 35.708262777924354)	(30, 37.32699493919843)	(35, 37.23707576811456)	(40, 36.67204566713836)	(45, 36.65797615906747)	(50, 36.34385628282926)	(55, 36.5348283884585)	(60, 35.97913798479361)	(65, 36.74479169165088)	(70, 36.62533758664524)	(75, 36.80945482455088)	(80, 36.74085338066342)	(85, 35.595903389058115)	(90, 36.2020674933442)	(95, 36.57614467656441)	(100, 35.75835272108028)	(105, 35.3479720816444)	(110, 36.72570935168974)	(115, 36.48237833689109)	(120, 36.69386707600797)	(125, 35.666260523349244)	(130, 36.319650780706596)	(135, 34.757671551579406)	(140, 35.57793874271461)	(145, 36.183157844242444)	(150, 35.78603122826374)	(155, 35.85083347324492)	(160, 35.24483726284988)	(165, 35.55360851941573)	(170, 34.76614779459381)	(175, 34.376744297603906)	(180, 34.76136042021442)	(185, 34.07913558630945)	(190, 34.038438107116306)	(195, 33.225716547142206)	(200, 32.40977142445975)	(205, 33.310670856018994)	(210, 32.11803899935241)	(215, 33.40840908545799)	(220, 32.36965917540115)	(225, 32.15069196267959)	(230, 31.551281989782456)	(235, 31.23966133403689)	(240, 29.983368910848345)	(245, 29.794881846409304)	(250, 29.613430928326054)
ERR2835914_1	(1, 31.848575712143926)	(2, 30.15592203898051)	(3, 31.719640179910044)	(4, 31.57871064467766)	(5, 31.911544227886058)	(6, 35.532233883058474)	(7, 35.634182908545725)	(8, 35.31184407796102)	(9, 33.46326836581709)	(10, 34.06266866566717)	(15, 36.24407796101949)	(20, 36.35502248875562)	(25, 36.96041979010495)	(30, 37.20149925037481)	(35, 37.53193403298351)	(40, 37.055772113943036)	(45, 36.827886056971515)	(50, 37.04347826086956)	(55, 36.83208395802099)	(60, 36.26506746626687)	(65, 36.48335832083958)	(70, 35.83328335832084)	(75, 36.98380809595202)	(80, 36.100449775112445)	(85, 35.51514242878561)	(90, 36.19160419790105)	(95, 36.292353823088455)	(100, 36.36791604197901)	(105, 35.56581709145427)	(110, 35.27226386806596)	(115, 34.7616191904048)	(120, 34.10674662668666)	(125, 34.51904047976012)	(130, 34.53913043478261)	(135, 34.869265367316345)	(140, 34.582608695652176)	(145, 34.211394302848575)	(150, 34.29955022488756)	(155, 34.52233883058471)	(160, 33.59550224887556)	(165, 32.920239880059974)	(170, 32.983508245877054)	(175, 32.81019490254873)	(180, 32.9856071964018)	(185, 32.24047976011994)	(190, 32.46926536731634)	(195, 31.936431784107945)	(200, 32.43148425787107)	(205, 31.547826086956526)	(210, 31.744227886056972)	(215, 30.65247376311844)	(220, 30.951124437781107)	(225, 30.936131934032982)	(230, 30.644377811094454)	(235, 29.627886056971512)	(240, 29.533133433283353)	(245, 28.74828519448157)	(250, 26.941769813855306)
ERR2835914_2	(1, 27.350824587706146)	(2, 28.356821589205396)	(3, 28.23088455772114)	(4, 28.475262368815592)	(5, 28.34182908545727)	(6, 30.448275862068964)	(7, 30.863568215892055)	(8, 30.505247376311843)	(9, 30.425787106446776)	(10, 31.61319340329835)	(15, 31.48455772113943)	(20, 31.42458770614693)	(25, 31.775412293853073)	(30, 30.505547226386806)	(35, 32.089055472263865)	(40, 32.9472263868066)	(45, 31.5304347826087)	(50, 31.74362818590705)	(55, 31.456971514242877)	(60, 31.461169415292353)	(65, 31.34062968515742)	(70, 31.942128935532235)	(75, 31.118440779610193)	(80, 31.98590704647677)	(85, 31.553823088455772)	(90, 29.640479760119938)	(95, 31.49205397301349)	(100, 31.623988005997)	(105, 30.883658170914543)	(110, 30.96671664167916)	(115, 31.870464767616188)	(120, 31.039880059970017)	(125, 30.92863568215892)	(130, 29.100749625187404)	(135, 30.508845577211396)	(140, 29.686656671664174)	(145, 30.01949025487256)	(150, 29.659670164917536)	(155, 30.442578710644675)	(160, 29.477661169415292)	(165, 29.348125937031483)	(170, 29.146026986506747)	(175, 28.613793103448273)	(180, 28.11544227886057)	(185, 28.29625187406297)	(190, 27.743328335832082)	(195, 26.982008995502248)	(200, 27.10584707646177)	(205, 26.187106446776607)	(210, 26.647976011994)	(215, 25.92653673163418)	(220, 26.29265367316342)	(225, 25.935232383808092)	(230, 25.48455772113943)	(235, 25.39160419790105)	(240, 24.558920539730135)	(245, 24.037469553511535)	(250, 23.002250302218446)
ERR2835915_1	(1, 32.234417749658)	(2, 30.078039500683996)	(3, 31.99078744870041)	(4, 31.772550444596444)	(5, 32.2734268125855)	(6, 35.84520348837209)	(7, 35.855719904240765)	(8, 35.82147742818057)	(9, 33.38303693570452)	(10, 34.22411080711355)	(15, 36.45279155266758)	(20, 36.867847982216134)	(25, 37.509242476060194)	(30, 37.66336781805745)	(35, 37.76555660054719)	(40, 37.48525564295485)	(45, 37.414684507523944)	(50, 37.498969733242134)	(55, 37.45510430916552)	(60, 36.980070109439126)	(65, 36.684716997264026)	(70, 36.629715287277705)	(75, 37.4984610123119)	(80, 36.92943741450069)	(85, 36.47245212038304)	(90, 36.83834644322845)	(95, 37.32441432968536)	(100, 37.309674247606026)	(105, 36.84425017099863)	(110, 36.25126538987688)	(115, 35.840556600547195)	(120, 35.65549333105335)	(125, 36.03390475376197)	(130, 35.901055916552664)	(135, 36.4594690492476)	(140, 36.142993331053354)	(145, 35.66113201094391)	(150, 35.9875384746922)	(155, 36.0594049247606)	(160, 35.09505386456908)	(165, 34.23783772229822)	(170, 34.79875170998632)	(175, 34.48381497948016)	(180, 34.39992305061559)	(185, 33.63192544459645)	(190, 34.31657831737346)	(195, 33.48528556771546)	(200, 33.9578873119015)	(205, 32.87753932968536)	(210, 33.2140218878249)	(215, 31.899640902872772)	(220, 32.859417749658)	(225, 32.38741877564979)	(230, 32.26502222982216)	(235, 31.125884917920654)	(240, 31.166326094391245)	(245, 30.690448621985233)	(250, 29.017497801643636)
ERR2835915_2	(1, 32.00489483584131)	(2, 31.15144066347469)	(3, 31.51581737346101)	(4, 31.899901675786595)	(5, 31.96588577291382)	(6, 31.768531976744185)	(7, 32.22646631326949)	(8, 31.99328830369357)	(9, 35.84477599179207)	(10, 35.80887055403557)	(15, 35.91680061559508)	(20, 36.88674760601915)	(25, 37.33331053351573)	(30, 37.24869613543092)	(35, 36.44345502735978)	(40, 36.30763936388509)	(45, 36.63142099863201)	(50, 36.89024452804378)	(55, 36.55956309849521)	(60, 36.5968878248974)	(65, 36.379210841313274)	(70, 36.521148255813955)	(75, 35.97055831053352)	(80, 36.82780437756498)	(85, 36.552094733242136)	(90, 36.08652530779754)	(95, 36.3860208618331)	(100, 36.784148426812585)	(105, 36.93377650478796)	(110, 36.291552667578664)	(115, 36.42708190834473)	(120, 36.46359011627907)	(125, 35.53112175102599)	(130, 33.96354309165527)	(135, 36.252000683994524)	(140, 35.05592082763338)	(145, 36.36624914500684)	(150, 35.019357045143636)	(155, 35.866873290013686)	(160, 34.45509575923393)	(165, 34.69705027359781)	(170, 34.992390560875506)	(175, 33.55726744186047)	(180, 33.99594733242134)	(185, 32.98777359781121)	(190, 32.98827376880985)	(195, 33.1969305745554)	(200, 32.989569083447336)	(205, 33.463722640218876)	(210, 32.469942715458274)	(215, 32.32784712722298)	(220, 31.494720417236664)	(225, 30.89138594391245)	(230, 30.665342852257186)	(235, 32.07303351573188)	(240, 30.505395006839944)	(245, 29.00702723361651)	(250, 29.147347848990158)
