Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR2835911_1	(1.0, 9.205301937854335)	(2.0, 4.405112300732869)	(3.0, 2.18675305691089)	(4.0, 1.422278410998953)	(5.0, 1.0864626750686448)	(6.0, 0.817810086324398)	(7.0, 0.6637299251328448)	(8.0, 0.7111392054994765)	(9.0, 0.8889240068743457)	('>10', 17.205617999723447)	('>50', 11.797009264563538)	('>100', 25.304703395689703)	('>500', 16.790786796515416)	('>1k', 7.514370938111135)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835911_2	(1.0, 8.029946862098255)	(2.0, 3.441123599944689)	(3.0, 1.7659956936570333)	(4.0, 1.1378227287991625)	(5.0, 0.7012622720897616)	(6.0, 0.5926160045828971)	(7.0, 0.5807636844912392)	(8.0, 0.616320644766213)	(9.0, 0.35556960274973826)	('>10', 10.224601465736919)	('>50', 9.394939059320862)	('>100', 30.430831835331766)	('>500', 13.964008454655)	('>1k', 18.764198091776464)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835912_1	(1.0, 8.89662508461464)	(2.0, 4.27811623634078)	(3.0, 2.158398607484769)	(4.0, 1.3615704477323276)	(5.0, 0.7832898172323759)	(6.0, 0.9747606614447346)	(7.0, 0.7446088386036167)	(8.0, 0.6188956580601489)	(9.0, 0.7658833768494343)	('>10', 16.994487960545403)	('>50', 9.703123489024271)	('>100', 25.999419785320573)	('>500', 17.11246494536312)	('>1k', 9.608355091383812)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835912_2	(1.0, 8.471134319698288)	(2.0, 2.9320181800599556)	(3.0, 1.5665796344647518)	(4.0, 0.843245334106953)	(5.0, 0.6769171260032879)	(6.0, 0.3017116333043226)	(7.0, 0.3790735905618412)	(8.0, 0.2630306546755633)	(9.0, 0.24369016536118365)	('>10', 7.067014795474326)	('>50', 10.0763949327918)	('>100', 22.897205299294072)	('>500', 20.700125713180544)	('>1k', 23.58185862102311)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835913_1	(1.0, 11.061808936751973)	(2.0, 4.801765284340297)	(3.0, 2.4536492936464156)	(4.0, 1.5734056076559617)	(5.0, 1.283189024536493)	(6.0, 1.2376178255342625)	(7.0, 0.8058906770920778)	(8.0, 0.9977694097330488)	(9.0, 0.8418679394622599)	('>10', 20.34154414410093)	('>50', 7.696735663060945)	('>100', 25.128918523493155)	('>500', 15.060082028158202)	('>1k', 6.715755642433982)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835913_2	(1.0, 9.493200297412036)	(2.0, 2.8589931163504665)	(3.0, 1.5182404720216824)	(4.0, 0.9689875998369031)	(5.0, 0.45571199002230595)	(6.0, 0.4173362434941117)	(7.0, 0.38615594943995396)	(8.0, 0.2494423524332622)	(9.0, 0.12951814453265537)	('>10', 6.869258628546758)	('>50', 7.655961432374739)	('>100', 13.325977981915429)	('>500', 22.022881538867438)	('>1k', 33.64833425275226)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835914_1	(1.0, 46.17691154422789)	(2.0, 17.09145427286357)	(3.0, 8.095952023988005)	(4.0, 5.397301349325337)	(5.0, 2.998500749625187)	(6.0, 4.497751124437781)	(7.0, 4.197901049475263)	(8.0, 0.0)	(9.0, 1.3493253373313343)	('>10', 10.194902548725636)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835914_2	(1.0, 49.17541229385307)	(2.0, 7.19640179910045)	(3.0, 6.296851574212893)	(4.0, 4.197901049475263)	(5.0, 3.7481259370314843)	(6.0, 3.598200899550225)	(7.0, 2.0989505247376314)	(8.0, 1.199400299850075)	(9.0, 1.3493253373313343)	('>10', 21.13943028485757)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835915_1	(1.0, 8.992390560875513)	(2.0, 3.9671682626538987)	(3.0, 2.1225205198358412)	(4.0, 1.5988372093023258)	(5.0, 1.0473666210670314)	(6.0, 1.0259917920656634)	(7.0, 0.9875170998632011)	(8.0, 0.9917920656634747)	(9.0, 1.000341997264022)	('>10', 15.753248974008208)	('>50', 7.147742818057455)	('>100', 26.09652872777018)	('>500', 19.946990424076606)	('>1k', 9.32156292749658)	('>5k', 0.0)	('>10k+', 0.0)
ERR2835915_2	(1.0, 9.36858755129959)	(2.0, 2.9198016415868673)	(3.0, 1.5646374829001368)	(4.0, 1.1285909712722297)	(5.0, 0.8229309165526676)	(6.0, 0.679719562243502)	(7.0, 0.5685704514363885)	(8.0, 0.5129958960328317)	(9.0, 0.307797537619699)	('>10', 11.19827291381669)	('>50', 8.804292065663475)	('>100', 21.15894322845417)	('>500', 16.928864569083444)	('>1k', 24.0359952120383)	('>5k', 0.0)	('>10k+', 0.0)
