Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13
ERR2835911_1	(246, 32.0)	(247, 2154.0)	(248, 326.0)	(249, 6627.0)	(250, 10184.0)	(251, 31300.0)								
ERR2835911_2	(245, 1.0)	(246, 1.0)	(247, 0.0)	(248, 1.0)	(249, 85.0)	(250, 754.0)	(251, 49781.0)							
ERR2835912_1	(241, 1.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 65.0)	(247, 2157.0)	(248, 216.0)	(249, 6428.0)	(250, 12854.0)	(251, 29984.0)			
ERR2835912_2	(246, 3.0)	(247, 0.0)	(248, 0.0)	(249, 110.0)	(250, 50444.0)	(251, 1148.0)								
ERR2835913_1	(240, 1.0)	(241, 0.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 25.0)	(247, 1216.0)	(248, 350.0)	(249, 6750.0)	(250, 13263.0)	(251, 20088.0)		
ERR2835913_2	(245, 1.0)	(246, 7.0)	(247, 10.0)	(248, 1.0)	(249, 437.0)	(250, 1787.0)	(251, 39450.0)							
ERR2835914_1	(247, 9.0)	(248, 5.0)	(249, 74.0)	(250, 147.0)	(251, 432.0)									
ERR2835914_2	(247, 1.0)	(248, 0.0)	(249, 158.0)	(250, 267.0)	(251, 241.0)									
ERR2835915_1	(246, 5.0)	(247, 915.0)	(248, 213.0)	(249, 6616.0)	(250, 10407.0)	(251, 28628.0)								
ERR2835915_2	(246, 1.0)	(247, 3.0)	(248, 0.0)	(249, 155.0)	(250, 744.0)	(251, 45881.0)								
ERR2835916_1	(246, 29.0)	(247, 1504.0)	(248, 478.0)	(249, 6877.0)	(250, 13598.0)	(251, 29970.0)								
ERR2835916_2	(245, 1.0)	(246, 4.0)	(247, 1.0)	(248, 1.0)	(249, 107.0)	(250, 51359.0)	(251, 983.0)							
ERR2835917_1	(243, 1.0)	(244, 0.0)	(245, 0.0)	(246, 49.0)	(247, 1080.0)	(248, 306.0)	(249, 9524.0)	(250, 11742.0)	(251, 25145.0)					
ERR2835917_2	(241, 1.0)	(242, 0.0)	(243, 0.0)	(244, 1.0)	(245, 0.0)	(246, 7.0)	(247, 8.0)	(248, 2.0)	(249, 382.0)	(250, 1748.0)	(251, 45698.0)			
ERR2835918_1	(243, 1.0)	(244, 0.0)	(245, 0.0)	(246, 19.0)	(247, 1482.0)	(248, 433.0)	(249, 11366.0)	(250, 12575.0)	(251, 26780.0)					
ERR2835918_2	(245, 2.0)	(246, 7.0)	(247, 2.0)	(248, 8.0)	(249, 23047.0)	(250, 22693.0)	(251, 6897.0)							
ERR2835919_1	(247, 2.0)	(248, 31.0)	(249, 7.0)	(250, 72.0)	(251, 1656.0)									
ERR2835919_2	(249, 23.0)	(250, 419.0)	(251, 1326.0)											
ERR2835920_1	(247, 19.0)	(248, 257.0)	(249, 74.0)	(250, 1543.0)	(251, 35696.0)									
ERR2835920_2	(244, 2.0)	(245, 1.0)	(246, 5.0)	(247, 1.0)	(248, 1.0)	(249, 114.0)	(250, 36480.0)	(251, 985.0)						
ERR2835921_1	(246, 1.0)	(247, 90.0)	(248, 1570.0)	(249, 155.0)	(250, 1535.0)	(251, 44126.0)								
ERR2835921_2	(245, 1.0)	(246, 15.0)	(247, 8.0)	(248, 1.0)	(249, 630.0)	(250, 1946.0)	(251, 44876.0)							
ERR2835922_1	(246, 3.0)	(247, 128.0)	(248, 1644.0)	(249, 236.0)	(250, 2361.0)	(251, 51639.0)								
ERR2835922_2	(246, 8.0)	(247, 9.0)	(248, 12.0)	(249, 16724.0)	(250, 27129.0)	(251, 12129.0)								
ERR2835923_1	(247, 83.0)	(248, 1121.0)	(249, 207.0)	(250, 1643.0)	(251, 48733.0)									
ERR2835923_2	(246, 1.0)	(247, 3.0)	(248, 1.0)	(249, 182.0)	(250, 1159.0)	(251, 50441.0)								
ERR2835924_1	(247, 131.0)	(248, 2513.0)	(249, 119.0)	(250, 1871.0)	(251, 45707.0)									
ERR2835924_2	(246, 5.0)	(247, 1.0)	(248, 2.0)	(249, 188.0)	(250, 48869.0)	(251, 1276.0)								
ERR2835925_1	(247, 26.0)	(248, 488.0)	(249, 86.0)	(250, 2519.0)	(251, 46987.0)									
ERR2835925_2	(244, 1.0)	(245, 0.0)	(246, 12.0)	(247, 19.0)	(248, 2.0)	(249, 563.0)	(250, 1481.0)	(251, 48028.0)						
ERR2835926_1	(247, 40.0)	(248, 631.0)	(249, 155.0)	(250, 1739.0)	(251, 58556.0)									
ERR2835926_2	(242, 1.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 7.0)	(247, 11.0)	(248, 3.0)	(249, 25294.0)	(250, 25750.0)	(251, 10055.0)				
ERR2835927_1	(240, 1.0)	(241, 0.0)	(242, 0.0)	(243, 0.0)	(244, 0.0)	(245, 0.0)	(246, 6.0)	(247, 16.0)	(248, 19.0)	(249, 108.0)	(250, 1168.0)	(251, 67586.0)		
ERR2835927_2	(245, 2.0)	(246, 1.0)	(247, 2.0)	(248, 1.0)	(249, 181.0)	(250, 1036.0)	(251, 67681.0)							
