Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),host-associated_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,sub_species,Submitter_Id
ERR772062,AMPLICON,585,528981406,PRJEB8696,SAMEA3276938,325685532,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"sra,run.zq,fastq","gs,ena,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.us-east1",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715038,SAMEA3276938,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:11Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:25:00Z,1,SAMEA3276938,Pig1,Illumina MiSeq,ERP009718,domesticus,Pig1
ERR772063,AMPLICON,578,165922255,PRJEB8696,SAMEA3276939,101551163,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"sra,fastq,run.zq","s3,gs,ncbi,ena","ncbi.public,gs.us-east1,s3.us-east-1,ena",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715039,SAMEA3276939,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:11Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:22:00Z,1,SAMEA3276939,Pig2,Illumina MiSeq,ERP009718,domesticus,Pig2
ERR772064,AMPLICON,582,451206057,PRJEB8696,SAMEA3276940,275208677,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"sra,run.zq,fastq","s3,gs,ena,ncbi","ena,gs.us-east1,s3.us-east-1,ncbi.public",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715040,SAMEA3276940,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:11Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:23:00Z,1,SAMEA3276940,Pig3,Illumina MiSeq,ERP009718,domesticus,Pig3
ERR772065,AMPLICON,578,485549279,PRJEB8696,SAMEA3276941,301485394,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"fastq,run.zq,sra","ena,s3,ncbi,gs","gs.us-east1,ena,ncbi.public,s3.us-east-1",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715041,SAMEA3276941,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:11Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:23:00Z,1,SAMEA3276941,Pig4,Illumina MiSeq,ERP009718,domesticus,Pig4
ERR772080,AMPLICON,585,383755112,PRJEB8696,SAMEA3276956,233187882,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"fastq,sra,run.zq","ena,s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public,ena",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715056,SAMEA3276956,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:11Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:17:00Z,1,SAMEA3276956,Pig19,Illumina MiSeq,ERP009718,domesticus,Pig19
ERR772081,AMPLICON,592,348076567,PRJEB8696,SAMEA3276957,212795175,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"run.zq,sra,fastq","ncbi,ena,s3,gs","s3.us-east-1,gs.us-east1,ena,ncbi.public",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715057,SAMEA3276957,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:14Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:17:00Z,1,SAMEA3276957,Pig20,Illumina MiSeq,ERP009718,domesticus,Pig20
ERR772082,AMPLICON,584,566113542,PRJEB8696,SAMEA3276958,335801734,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"run.zq,sra,fastq","ncbi,ena,gs,s3","ncbi.public,ena,gs.us-east1,s3.us-east-1",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715058,SAMEA3276958,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:11Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:21:00Z,1,SAMEA3276958,Pig21,Illumina MiSeq,ERP009718,domesticus,Pig21
ERR772083,AMPLICON,585,501673820,PRJEB8696,SAMEA3276959,305381098,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"sra,fastq,run.zq","s3,gs,ena,ncbi","ena,ncbi.public,gs.us-east1,s3.us-east-1",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715059,SAMEA3276959,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:11Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:17:00Z,1,SAMEA3276959,Pig22,Illumina MiSeq,ERP009718,domesticus,Pig22
ERR772066,AMPLICON,581,433938027,PRJEB8696,SAMEA3276942,265128572,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"fastq,run.zq,sra","ncbi,s3,ena,gs","ena,s3.us-east-1,gs.us-east1,ncbi.public",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715042,SAMEA3276942,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:13Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:23:00Z,1,SAMEA3276942,Pig5,Illumina MiSeq,ERP009718,domesticus,Pig5
ERR772067,AMPLICON,584,478894997,PRJEB8696,SAMEA3276943,293588108,"UNIVERSITY OF VETERINARY MEDICINE, VIENNA (VETMEDU",2015-01-01,domestic pig,public,"run.zq,sra,fastq","s3,ena,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public,ena",2015-07-16,2015-07-16,2018-11-16,2016-10-21,Pig,Caecum,Caecum,ERX715043,SAMEA3276943,Austria,Europe,Austria,48.209206,16.372778,host-associated,VETMEDUNI,"University of Veterinary Medicine\, Vienna (Vetmeduni Vienna)",2015-07-16T15:54:29Z,2016-10-21T09:39:13Z,public,Illumina MiSeq,metagenome,unspecified,PAIRED,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,Pig cecal microbiome,2015-07-17T00:00:00Z,2015-07-18T00:23:00Z,1,SAMEA3276943,Pig6,Illumina MiSeq,ERP009718,domesticus,Pig6
