Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR772062_1	17.85347305574871	66.30717376572873
ERR772062_2	12.415127933705671	68.53101013814269
ERR772063_1	15.417566356092133	67.96314965134488
ERR772063_2	10.734879113135873	70.08298653866952
ERR772064_1	21.289743291603685	64.62320581889588
ERR772064_2	11.431339870547653	71.2695890340168
ERR772065_1	18.039593064663272	70.18288746870695
ERR772065_2	12.32692028269191	73.10460886901798
ERR772066_1	7.487021164454018	74.82260134623148
ERR772066_2	4.839754464974243	76.04088852886855
ERR772067_1	16.144586541076386	68.29312907840165
ERR772067_2	10.687409224885704	69.16249705800217
ERR772068_1	15.186263574992662	69.39031405928975
ERR772068_2	10.65218667449369	69.68629292632816
ERR772069_1	10.424261741133066	73.42987334060113
ERR772069_2	6.884680855264735	73.36570451029309
ERR772070_1	22.68116641905963	62.590356673507095
ERR772070_2	14.39282377288014	67.69840486083906
ERR772071_1	8.701736510244782	73.9436404000213
ERR772071_2	5.184057833158946	74.9103208779445
ERR772072_1	14.417050390190402	69.84823949099058
ERR772072_2	8.056412307131913	72.8302628852578
ERR772073_1	5.557204820289985	76.27107957366653
ERR772073_2	5.0183768958152175	73.65969509327687
ERR772074_1	9.441740959452819	74.07582829772117
ERR772074_2	5.9426589560049194	75.34116113194962
ERR772075_1	29.065698815101737	55.96200584245017
ERR772075_2	19.89826900233782	59.941351112183135
ERR772076_1	15.929788100220343	66.94477489707566
ERR772076_2	9.134960374725363	69.44236316488964
ERR772077_1	5.712147838980724	77.62809599648531
ERR772077_2	4.918172332363118	74.59305837772537
ERR772078_1	13.001362238262251	70.29226482898055
ERR772078_2	5.683492261130596	75.4550553833067
ERR772079_1	23.017124489099782	63.218219184234826
ERR772079_2	16.252301858116923	66.58630647822083
ERR772080_1	22.813266200318157	62.18775667233572
ERR772080_2	15.851014781273188	65.29530486185106
ERR772081_1	26.680739450515055	58.883033733857694
ERR772081_2	9.088852450093214	71.69737504592648
ERR772082_1	31.154794906369514	56.39834971819552
ERR772082_2	20.885102379166582	64.40978903092886
ERR772083_1	17.29723300246287	66.20328476005666
ERR772083_2	10.242718673035302	69.15371482946483
ERR772084_1	20.39214581430385	64.72333598263329
ERR772084_2	13.781747114437895	67.4575024614764
