Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
ERR772062_1	(1, 2.639393925972513)	(2, 2.6365150300512443)	(3, 2.6364043032850417)	(4, 2.6349648553244074)	(5, 2.6336361341299757)	(6, 2.6336361341299757)	(7, 2.6336361341299757)	(8, 2.633857587662381)	(9, 2.6336361341299757)	(10, 2.6336361341299757)	(15, 2.6343004947271913)	(20, 2.6336361341299757)	(25, 2.6341454772545077)	(30, 2.6344112214933944)	(35, 0.5386337975628234)	(40, 0.00034117280197716463)	(45, 4.549033807964358e-05)	(50, 0.0)	(55, 0.0002729656213448197)	(60, 0.00034121440024858607)	(65, 4.549654703956244e-05)	(70, 0.0012512068458758858)	(75, 0.007348255676527511)	(80, 0.01838544329105822)	(85, 0.00772199360856529)	(90, 4.569230118994176e-05)	(95, 0.00029700063626674774)	(100, 0.00018277058270917178)	(105, 0.0003655417500082818)	(110, 0.009938170869370625)	(115, 0.0)	(120, 0.0006397028854255578)	(125, 0.001576411402252212)	(130, 9.138621000368287e-05)	(135, 0.0012108694956842784)	(140, 0.0006168584677646899)	(145, 2.2846620356567207e-05)	(150, 0.00015992634249597043)	(155, 9.138662757755983e-05)	(160, 0.00031985363497663474)	(165, 0.0004340873735634849)	(170, 0.00029700830389524103)	(175, 0.0002284685524460986)	(180, 4.569371048921971e-05)	(185, 0.0010281094255701324)	(190, 0.0001370821963126717)	(195, 0.00013708279138032546)	(200, 0.0002741657080386528)	(205, 0.0007768028394428496)	(210, 0.0018734656715974607)	(215, 0.001644994248231917)	(220, 0.00018277726397058016)	(225, 0.0001142358421808993)	(230, 0.0022618722590506306)	(235, 0.00591743420053065)	(240, 0.0019420186346969276)	(245, 0.001370837936112098)	(250, 0.00015993109254641144)	(255, 0.0006168770712504441)	(260, 0.0008681981529769715)	(265, 0.0009138940454091104)	(270, 0.001073826484719335)	(275, 0.0008910497479928533)	(280, 0.000548338682301021)	(285, 9.138982214398238e-05)	(290, 0.000594066418910505)	(295, 0.0006050343042815253)	(300, 0.0002451319851891255)
ERR772062_2	(1, 2.5458298085312756)	(2, 2.541179284350765)	(3, 2.541179284350765)	(4, 2.541179284350765)	(5, 2.541179284350765)	(6, 2.541179284350765)	(7, 2.541179284350765)	(8, 2.5421758252465882)	(9, 2.541179284350765)	(10, 2.54140073788317)	(15, 2.5415557553558537)	(20, 2.541976517067424)	(25, 2.5412900111169674)	(30, 2.542818040490564)	(35, 0.5207303154514447)	(40, 0.0015224591123154444)	(45, 0.001976953718831734)	(50, 0.0021815801912518635)	(55, 0.0013180946441951227)	(60, 0.0012954039069381833)	(65, 0.004272696198573101)	(70, 0.00359103967416997)	(75, 0.003954823190992276)	(80, 0.002803392606473649)	(85, 0.0015523437765738997)	(90, 0.0026709505365072137)	(95, 0.003013392474965443)	(100, 0.0015980199163505061)	(105, 0.004063550273650434)	(110, 0.005593101628254615)	(115, 0.001803499794081416)	(120, 0.002054624709099385)	(125, 0.0025112091243642077)	(130, 0.002008968675384221)	(135, 0.007419506910985322)	(140, 0.004611513121923613)	(145, 0.0016665392030518213)	(150, 0.0009816616472556393)	(155, 0.006917315478897394)	(160, 0.0034929098495948456)	(165, 0.0013469415523250266)	(170, 0.00141543721485789)	(175, 0.0071228778618216484)	(180, 0.004132188952901037)	(185, 0.0009360234800348474)	(190, 0.008515604559980676)	(195, 0.0033788627478555633)	(200, 0.0019405643937482778)	(205, 0.008652740852694506)	(210, 0.005273889520918507)	(215, 0.00399537723438618)	(220, 0.0032419780449593864)	(225, 0.010707676993448684)	(230, 0.004954340161799161)	(235, 0.004086770120550587)	(240, 0.008904140082671517)	(245, 0.004155265371913374)	(250, 0.005228343925486281)	(255, 0.009497781948278184)	(260, 0.0024201145307786056)	(265, 0.005776325603939957)	(270, 0.009452179960373903)	(275, 0.0023973002289764188)	(280, 0.0023288096586239018)	(285, 0.0023288155073541484)	(290, 0.0008447814538962804)	(295, 0.0014396354020513205)	(300, 0.0011505408218651484)
ERR772063_1	(1, 4.332113592839228)	(2, 4.330718274828812)	(3, 4.330369445326208)	(4, 4.329671786321001)	(5, 4.328625297813188)	(6, 4.328625297813188)	(7, 4.328625297813188)	(8, 4.328625297813188)	(9, 4.328625297813188)	(10, 4.328625297813188)	(15, 4.329671786321001)	(20, 4.328695063713709)	(25, 4.329392722718916)	(30, 4.3300903817241245)	(35, 0.8977191343102587)	(40, 0.0006563019572382813)	(45, 7.292243969314237e-05)	(50, 0.0)	(55, 0.0008021877848678213)	(60, 0.001239750183045468)	(65, 0.00014585572826494403)	(70, 0.002552518059065268)	(75, 0.009043206837831235)	(80, 0.018159342763064336)	(85, 0.007584625089793939)	(90, 0.00014585817480372958)	(95, 0.0008022199614205128)	(100, 0.0005105036118130536)	(105, 0.0011668653984298367)	(110, 0.010064236080723925)	(115, 0.0)	(120, 0.0013127331468766068)	(125, 0.0035735513442752068)	(130, 0.000364648096354613)	(135, 0.0033547722729530237)	(140, 0.0018961839298411946)	(145, 0.0009480919649205973)	(150, 0.0008022316626251207)	(155, 0.0008022328327643558)	(160, 0.0016044750267108626)	(165, 0.0016044750267108626)	(170, 0.001166890928516991)	(175, 0.0009481023367076052)	(180, 0.0002917237959100324)	(185, 0.0023337903672802592)	(190, 0.0007293110854555678)	(195, 0.00014586242984928764)	(200, 0.0002917248596985753)	(205, 0.0014586242984928764)	(210, 0.0017503491581914517)	(215, 0.0014586253622860745)	(220, 7.293148087371914e-05)	(225, 0.00021879444262115744)	(230, 0.003136053677569923)	(235, 0.006053312912518689)	(240, 0.0027713962732013276)	(245, 0.0018962185027166978)	(250, 0.0004375888852423149)	(255, 0.0010210407322320681)	(260, 0.0013127666557269445)	(265, 0.0017503555409692595)	(270, 0.001969149983590417)	(275, 0.001969149983590417)	(280, 0.0011669062471055256)	(285, 0.0009481127087215429)	(290, 0.0016045393877952901)	(295, 0.0012445204496672007)	(300, 0.0007626863338049278)
ERR772063_2	(1, 4.215604538969488)	(2, 4.209674437425219)	(3, 4.209674437425219)	(4, 4.209674437425219)	(5, 4.209674437425219)	(6, 4.209674437425219)	(7, 4.209674437425219)	(8, 4.212116243943448)	(9, 4.209674437425219)	(10, 4.210232564629386)	(15, 4.210651160032511)	(20, 4.211069755435635)	(25, 4.209883735126782)	(30, 4.211976712142406)	(35, 0.8739485363076702)	(40, 0.0014566430204949674)	(45, 0.0026947895879156896)	(50, 0.003641705687543109)	(55, 0.002330737474471141)	(60, 0.0008740507444727217)	(65, 0.002695052611797338)	(70, 0.0026950938366117573)	(75, 0.0031321360803866364)	(80, 0.0011654459833996787)	(85, 0.0010197652354747189)	(90, 0.001529650081617758)	(95, 0.0016024940634879012)	(100, 0.0008740876709934006)	(105, 0.004006235158719753)	(110, 0.0029864727353249468)	(115, 0.002840805623338311)	(120, 0.0023309174345339987)	(125, 0.0018938704155588737)	(130, 0.0013111420119765538)	(135, 0.005026073667671638)	(140, 0.0037877822170909103)	(145, 0.0015296812799790215)	(150, 0.0006555776914195807)	(155, 0.00407917087938183)	(160, 0.001893911801984237)	(165, 0.0008741131393773401)	(170, 0.00211244470311775)	(175, 0.004880500579104173)	(180, 0.002768045104566546)	(185, 0.0005827463378034834)	(190, 0.005390415404350356)	(195, 0.002112463168476222)	(200, 0.0010198098054712797)	(205, 0.004297801201199014)	(210, 0.0023310193110381047)	(215, 0.0015297325371925329)	(220, 0.0010198246630025822)	(225, 0.005317672665924135)	(230, 0.0025495709436326288)	(235, 0.001893966986698524)	(240, 0.004953452119057678)	(245, 0.002331036291321261)	(250, 0.0029137953641515755)	(255, 0.004443537930331153)	(260, 0.0013112126896250296)	(265, 0.002986662004560123)	(270, 0.0050263336174304505)	(275, 0.0010926812211805327)	(280, 0.0011655266359259016)	(285, 0.001165527484959232)	(290, 0.000291384630626273)	(295, 0.0009476441202691602)	(300, 0.0008832615315313326)
ERR772064_1	(1, 3.5133005180677754)	(2, 3.5094246993010607)	(3, 3.509037117424389)	(4, 3.508391147629937)	(5, 3.507099208041032)	(6, 3.507099208041032)	(7, 3.507099208041032)	(8, 3.5074867899177034)	(9, 3.507099208041032)	(10, 3.507099208041032)	(15, 3.5079777269614874)	(20, 3.507150885624588)	(25, 3.507745177835484)	(30, 3.508442825213493)	(35, 0.7225985580993858)	(40, 0.00037489148230485423)	(45, 0.00013389024534584117)	(50, 0.0)	(55, 0.0006429627724554749)	(60, 0.0004286420779710656)	(65, 5.3580503769254494e-05)	(70, 0.001902119604209096)	(75, 0.0073137936272478195)	(80, 0.012939799125023108)	(85, 0.005599209145196334)	(90, 0.00013395237189464914)	(95, 0.00042864759006287724)	(100, 0.00024111478617672857)	(105, 0.0003750677466117318)	(110, 0.006510141085205691)	(115, 0.0)	(120, 0.0006161883393054486)	(125, 0.0018485655131617862)	(130, 0.00013395427390487693)	(135, 0.001419921770347747)	(140, 0.0008037336105321252)	(145, 0.00024112008315963756)	(150, 0.0002679112035107084)	(155, 0.0003750756849149918)	(160, 0.0005626138288335837)	(165, 0.0006965700622224603)	(170, 0.000669778905983135)	(175, 0.0004554502661704938)	(180, 8.037359791607335e-05)	(185, 0.0013127701727900251)	(190, 0.00021432993897222902)	(195, 0.00018753884733266178)	(200, 0.00026791263904665964)	(205, 0.0010448592922819727)	(210, 0.0012323981396146345)	(215, 0.0012056068757099686)	(220, 0.0001607475834279958)	(225, 0.0001607475834279958)	(230, 0.0028398739738945927)	(235, 0.0034292836172940917)	(240, 0.00219688658305102)	(245, 0.002009347484497884)	(250, 0.00013395671429899513)	(255, 0.0006162015461300533)	(260, 0.0012859858354018505)	(265, 0.0011520289775474911)	(270, 0.001178820349118363)	(275, 0.0015271081795396972)	(280, 0.0006162025366647207)	(285, 0.000321497320185879)	(290, 0.0009377191081166019)	(295, 0.0007030395916746052)	(300, 0.00035124322539629017)
ERR772064_2	(1, 3.4206684495432995)	(2, 3.4162758549410226)	(3, 3.4162758549410226)	(4, 3.4162758549410226)	(5, 3.4162758549410226)	(6, 3.4162758549410226)	(7, 3.4162758549410226)	(8, 3.4186013462010516)	(9, 3.4162758549410226)	(10, 3.416560081650582)	(15, 3.416560081650582)	(20, 3.4176453109052622)	(25, 3.416482565275248)	(30, 3.4185238298257175)	(35, 0.7052963639382368)	(40, 0.001712178053676247)	(45, 0.002166979407274951)	(50, 0.002622585114260414)	(55, 0.0014989076710347335)	(60, 0.0010974251194721225)	(65, 0.003131700031317)	(70, 0.0023554837133023)	(75, 0.003345862025215487)	(80, 0.0020075188271807343)	(85, 0.0009636090370467523)	(90, 0.002275189831132734)	(95, 0.002623164955586873)	(100, 0.0010706807200649047)	(105, 0.003988287817333206)	(110, 0.005166071810004192)	(115, 0.002007548381916004)	(120, 0.0018737148323801477)	(125, 0.0018469514326721961)	(130, 0.0019004908352175404)	(135, 0.006665142695619262)	(140, 0.004175796760759503)	(145, 0.0016596133100987471)	(150, 0.0010707182645798368)	(155, 0.0067455250668529716)	(160, 0.0031853885424518603)	(165, 0.001097487983844977)	(170, 0.0015257776112211575)	(175, 0.006611704751781346)	(180, 0.003988445820443381)	(185, 0.00045505891674563274)	(190, 0.008378453401745771)	(195, 0.0032657256736897612)	(200, 0.001311644620329742)	(205, 0.006183517152434138)	(210, 0.004738048807256442)	(215, 0.004336523890632868)	(220, 0.00347992751043309)	(225, 0.008860461648790039)	(230, 0.003935048675481354)	(235, 0.0034799861978393565)	(240, 0.006665533436751718)	(245, 0.003346152219409075)	(250, 0.004095699087649567)	(255, 0.007040330654616905)	(260, 0.0023021625872881005)	(265, 0.004416943394862693)	(270, 0.007682812798227653)	(275, 0.0021950899585342154)	(280, 0.0017667825604641176)	(285, 0.0016597066067030734)	(290, 0.00029446612488468973)	(295, 0.0022510216020359955)	(300, 0.002470197453689587)
ERR772065_1	(1, 4.460115144311504)	(2, 4.4572567832480985)	(3, 4.457018586492815)	(4, 4.455589405961112)	(5, 4.4540411270517675)	(6, 4.4540411270517675)	(7, 4.4540411270517675)	(8, 4.454279323807051)	(9, 4.4540411270517675)	(10, 4.4540411270517675)	(15, 4.454850996019733)	(20, 4.4540649467272955)	(25, 4.454612799264448)	(30, 4.455232110828186)	(35, 0.924588247876495)	(40, 0.00047367300507627884)	(45, 7.479062364909436e-05)	(50, 0.0)	(55, 0.0007229792729321546)	(60, 0.0004238157528326474)	(65, 2.4930350832362087e-05)	(70, 0.0013961006907706776)	(75, 0.008526190612713997)	(80, 0.016229686714692576)	(85, 0.006806002744838469)	(90, 4.98608259695126e-05)	(95, 0.0001246520649237815)	(100, 0.00012465212707636164)	(105, 0.00029916547789939963)	(110, 0.009623163403059716)	(115, 0.0)	(120, 0.0007229837789863518)	(125, 0.002268674368691496)	(130, 0.00017451371752611348)	(135, 0.0013961100882665673)	(140, 0.00094736159794971)	(145, 0.00017451397856968343)	(150, 0.0001495834102025858)	(155, 0.00012465284183548817)	(160, 0.0003988890938735621)	(165, 0.0006481947775445385)	(170, 0.00034902795713936686)	(175, 0.00027423625203807397)	(180, 0.0)	(185, 0.001919658071501529)	(190, 0.00027423727757175354)	(195, 9.972279555904474e-05)	(200, 0.00017451506625963106)	(205, 0.0009473675025522827)	(210, 0.001470912701331176)	(215, 0.0013213283588229207)	(220, 0.00012465361875687933)	(225, 9.972289500550346e-05)	(230, 0.0030664790214192314)	(235, 0.005409967054048562)	(240, 0.002318557308877955)	(245, 0.001819942833850438)	(250, 0.00014958434250825518)	(255, 0.0007728533996823821)	(260, 0.0012216069865947333)	(265, 0.001296399251080125)	(270, 0.001695291328335548)	(275, 0.0016204990638501561)	(280, 0.0007230099152083889)	(285, 0.00014959049601715303)	(290, 0.0007729023430409868)	(295, 0.0006483145442635509)	(300, 0.0002510560043181633)
ERR772065_2	(1, 4.31064668037092)	(2, 4.302547990691271)	(3, 4.302547990691271)	(4, 4.302547990691271)	(5, 4.302547990691271)	(6, 4.302547990691271)	(7, 4.302547990691271)	(8, 4.304096269600616)	(9, 4.302547990691271)	(10, 4.3027861874465545)	(15, 4.302929105499724)	(20, 4.303762794143219)	(25, 4.302690908744441)	(30, 4.304501204084598)	(35, 0.8934798101784025)	(40, 0.0017423484766647267)	(45, 0.002190388574933193)	(50, 0.0027877978089900506)	(55, 0.001617930050163299)	(60, 0.0016926130136551557)	(65, 0.005301869269842992)	(70, 0.004405783075669698)	(75, 0.005625465936683638)	(80, 0.003708829503365327)	(85, 0.0023646928948445963)	(90, 0.003211004036157399)	(95, 0.004629819773064157)	(100, 0.0026385007540884937)	(105, 0.00545124890850564)	(110, 0.006272702765739194)	(115, 0.0027132009672934825)	(120, 0.002962122173849191)	(125, 0.0038831200770251717)	(130, 0.0022651601443330173)	(135, 0.007318227913513481)	(140, 0.005849612680964613)	(145, 0.003036821712179995)	(150, 0.002140721577502709)	(155, 0.007343187476056853)	(160, 0.004505485615428176)	(165, 0.002041159229089008)	(170, 0.0022900884969850486)	(175, 0.00781620273935503)	(180, 0.00507805644857161)	(185, 0.0017175843296567072)	(190, 0.009708109507475245)	(195, 0.004132175859430347)	(200, 0.002588840801724168)	(205, 0.010629286097814822)	(210, 0.005800105945282846)	(215, 0.004157165758894343)	(220, 0.0034850569470751785)	(225, 0.012222635175250435)	(230, 0.006173607826541535)	(235, 0.004431061642539784)	(240, 0.01050512734853075)	(245, 0.004530648467732198)	(250, 0.0056259700753158075)	(255, 0.01030598058044577)	(260, 0.002937458520845251)	(265, 0.0073685546928482695)	(270, 0.011227088400251925)	(275, 0.0028627830732349696)	(280, 0.0032860245376414112)	(285, 0.003037111259094219)	(290, 0.0013194191866950766)	(295, 0.005966673507120813)	(300, 0.0069600347073730745)
ERR772066_1	(1, 3.650838142420507)	(2, 3.64721707747872)	(3, 3.646814736929632)	(4, 3.6445348071514694)	(5, 3.6441324666023815)	(6, 3.6441324666023815)	(7, 3.6441324666023815)	(8, 3.6441324666023815)	(9, 3.6441324666023815)	(10, 3.6441324666023815)	(15, 3.6451517293267366)	(20, 3.6441324666023815)	(25, 3.6452858428430988)	(30, 3.645393133656189)	(35, 0.7516516111635432)	(40, 0.0007794423201548195)	(45, 0.0)	(50, 0.0)	(55, 0.0007242541574974233)	(60, 0.0007799677539045743)	(65, 8.35689047905039e-05)	(70, 0.0017549675331006375)	(75, 0.009136973823127129)	(80, 0.016853283117049533)	(85, 0.007187029918101286)	(90, 0.0002228542616699027)	(95, 0.0008914170466796108)	(100, 0.0003342821374668434)	(105, 0.000417853370238143)	(110, 0.009109244072027099)	(115, 0.0)	(120, 0.001392852715575297)	(125, 0.002897143333102119)	(130, 0.00030643135338750114)	(135, 0.0025350314887125636)	(140, 0.0013371609565715193)	(145, 0.00011143020388105829)	(150, 0.0004735784984218693)	(155, 0.00041786338096047295)	(160, 0.0010585890011488477)	(165, 0.001170022355784298)	(170, 0.0009471628016852812)	(175, 0.0006128705603447675)	(180, 0.0003900085384012157)	(185, 0.002646486510579678)	(190, 0.00039000886434433104)	(195, 0.00019500470379203364)	(200, 0.00044572528557758334)	(205, 0.001365035588427841)	(210, 0.0023122031395818535)	(215, 0.002005766578914379)	(220, 0.0005014416447285948)	(225, 0.0003900104940680797)	(230, 0.0037051079509666574)	(235, 0.006713774520250667)	(240, 0.003064378411732669)	(245, 0.0021729228737740747)	(250, 0.00036215421585115575)	(255, 0.0015043341538454682)	(260, 0.001894353572736909)	(265, 0.0020893617222803684)	(270, 0.0025350971666528305)	(275, 0.0019222213524247985)	(280, 0.0016436431266326737)	(285, 0.000222867299238351)	(290, 0.0011422089094523637)	(295, 0.0010384201419829054)	(300, 0.0007496740791940703)
ERR772066_2	(1, 3.551728253828606)	(2, 3.54609548614138)	(3, 3.54609548614138)	(4, 3.54609548614138)	(5, 3.54609548614138)	(6, 3.54609548614138)	(7, 3.54609548614138)	(8, 3.5481071888868176)	(9, 3.54609548614138)	(10, 3.54631006776756)	(15, 3.546900167239555)	(20, 3.5473293304919147)	(25, 3.5462564223610147)	(30, 3.548724111062085)	(35, 0.7326593824018197)	(40, 0.00205786093142679)	(45, 0.003142420620508494)	(50, 0.0038393579258119196)	(55, 0.0022541777427498963)	(60, 0.002087226009841688)	(65, 0.0049259178139834285)	(70, 0.00423021262384504)	(75, 0.00514862121315431)	(80, 0.003256159568517111)	(85, 0.0021429462003615734)	(90, 0.003645809851256524)	(95, 0.004341582339778913)	(100, 0.002059473131111626)	(105, 0.006902035348996686)	(110, 0.007570016389642102)	(115, 0.0030335786542933767)	(120, 0.0028665958645319152)	(125, 0.0036458778341481824)	(130, 0.0032006065010162623)	(135, 0.009657552108338253)	(140, 0.005427166726736589)	(145, 0.002616180687910796)	(150, 0.0014472525163407334)	(155, 0.009574158677764157)	(160, 0.004787093994590584)	(165, 0.0013359369259646021)	(170, 0.0021430732393887954)	(175, 0.009796922597353439)	(180, 0.005733427888506537)	(185, 0.0010576237976487352)	(190, 0.01116075466740812)	(195, 0.004592345811989362)	(200, 0.0018647733187120263)	(205, 0.007932366141321366)	(210, 0.006262472758243502)	(215, 0.00562231044115932)	(220, 0.004648152915880958)	(225, 0.011606501199338457)	(230, 0.005566724569880067)	(235, 0.004870898911869016)	(240, 0.009018149024912636)	(245, 0.005288420724485805)	(250, 0.006346110168472525)	(255, 0.010215033411787759)	(260, 0.0038689306498356124)	(265, 0.0063461755246380525)	(270, 0.009992462510173385)	(275, 0.0035627780984896604)	(280, 0.0030896043719850263)	(285, 0.002950440394980466)	(290, 0.0008072038209132036)	(295, 0.005320436520924775)	(300, 0.006119196855412727)
