Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
ERR772062_1	(1, 32.87070546237283)	(2, 33.048894725419764)	(3, 33.084721477892295)	(4, 33.112539363365386)	(5, 33.099355127313636)	(6, 36.88382436963252)	(7, 36.69288491945735)	(8, 36.07951731988077)	(9, 34.685271347013256)	(10, 33.5379013291641)	(15, 35.41580403134011)	(20, 36.67280594912769)	(25, 36.734936066365194)	(30, 36.42443097514848)	(35, 37.27067492576237)	(40, 37.249212964642446)	(45, 37.608377117890385)	(50, 37.25104812517706)	(55, 37.24416344772452)	(60, 37.65849486963066)	(65, 37.12378888628367)	(70, 37.36965423647883)	(75, 37.15340133534275)	(80, 37.22357099387892)	(85, 37.01434015652825)	(90, 37.21187200215668)	(95, 37.02460883096628)	(100, 36.28364911036591)	(105, 36.74383291086607)	(110, 36.5419159278599)	(115, 36.026784261505874)	(120, 35.83472911933209)	(125, 35.69615515543644)	(130, 35.638165724339295)	(135, 35.44032195420628)	(140, 35.54441441765216)	(145, 35.80822821032142)	(150, 35.31614513544048)	(155, 35.49056804235219)	(160, 35.53335852377306)	(165, 35.235596080328364)	(170, 35.3259889891326)	(175, 35.1455049954649)	(180, 34.872529398190984)	(185, 34.6398223828577)	(190, 34.10334371434205)	(195, 33.96263933497524)	(200, 34.37113743355765)	(205, 33.74848494887381)	(210, 33.91604109287021)	(215, 33.19895291546671)	(220, 33.283775151850215)	(225, 33.41173042169019)	(230, 32.795599398739135)	(235, 31.09557125444398)	(240, 30.053775389365068)	(245, 31.489594311936457)	(250, 31.06209370362712)	(255, 29.864126884759365)	(260, 28.519092695710423)	(265, 28.549389690132802)	(270, 29.532130546954157)	(275, 29.288897977088595)	(280, 28.919492463388536)	(285, 26.965897430917856)	(290, 25.401336859804022)	(295, 24.771868157693657)	(300, 19.526847594930757)
ERR772062_2	(1, 32.54311035915334)	(2, 32.86886407625088)	(3, 32.904574565618894)	(4, 32.86416926136389)	(5, 32.87061798822753)	(6, 36.52011462434837)	(7, 35.93230276241136)	(8, 36.585971583082724)	(9, 36.59419968907924)	(10, 36.2534845713324)	(15, 36.326001523600304)	(20, 36.32489669192713)	(25, 36.10272321408799)	(30, 35.03734393062304)	(35, 36.801835555099004)	(40, 36.46821101811099)	(45, 36.747297154135495)	(50, 36.16324789495418)	(55, 35.773716442645835)	(60, 35.47847383163803)	(65, 35.17804700557093)	(70, 35.245781404139905)	(75, 35.17291976426885)	(80, 35.26696304199517)	(85, 35.304577237163045)	(90, 35.28552622249115)	(95, 35.50147247871154)	(100, 34.805058129883975)	(105, 35.10088629642576)	(110, 34.924131688918884)	(115, 34.51963405112455)	(120, 34.49859309556931)	(125, 35.16993237998704)	(130, 34.8555107294723)	(135, 34.756622823088136)	(140, 34.02627665165168)	(145, 33.4003657254525)	(150, 32.445810650319956)	(155, 32.7163975965878)	(160, 32.48258805795952)	(165, 32.59536273942315)	(170, 32.041748663920444)	(175, 31.868109581913366)	(180, 30.53204169518748)	(185, 30.877423464077207)	(190, 30.74848986910964)	(195, 29.559961701002624)	(200, 27.35575815273391)	(205, 26.86097007970934)	(210, 26.90847452659936)	(215, 28.705133019208652)	(220, 25.607127414842562)	(225, 24.68613264505877)	(230, 25.015465375554022)	(235, 24.65766500480387)	(240, 24.66164792801802)	(245, 22.876201859138785)	(250, 19.61092650661154)	(255, 20.11123866145202)	(260, 18.530729291513694)	(265, 19.83867214274343)	(270, 18.767154431876953)	(275, 17.914290181665276)	(280, 20.30268901891334)	(285, 19.069630979504563)	(290, 18.721418446440108)	(295, 20.10321186125781)	(300, 14.515264132902288)
ERR772063_1	(1, 32.34553655209943)	(2, 32.512311937294406)	(3, 32.544275184618016)	(4, 32.5728199028161)	(5, 32.56453520212926)	(6, 36.29081566802594)	(7, 36.149274609049336)	(8, 35.53776951439445)	(9, 34.23345065632271)	(10, 33.130069451953965)	(15, 34.889557788839554)	(20, 36.09001405782895)	(25, 36.132751950829)	(30, 35.84076979694635)	(35, 37.13105035449169)	(40, 37.226791704343256)	(45, 37.59238689729604)	(50, 37.27720310885444)	(55, 37.223073108477664)	(60, 37.64253748279315)	(65, 37.07201272423688)	(70, 37.36215417938367)	(75, 37.11050361181306)	(80, 37.338517862156735)	(85, 37.06519131122853)	(90, 37.240925615977304)	(95, 37.04325497102892)	(100, 36.24865026491491)	(105, 36.825143761463536)	(110, 36.586967554838154)	(115, 35.979745256839884)	(120, 35.80105820877562)	(125, 35.60725722641365)	(130, 35.561981789474075)	(135, 35.360815983239306)	(140, 35.497145149233326)	(145, 35.82077269495141)	(150, 35.27956606560067)	(155, 35.424818688121874)	(160, 35.50177185094427)	(165, 35.13314808939843)	(170, 35.25865523113557)	(175, 35.09007993232008)	(180, 34.841373727354934)	(185, 34.60748125674611)	(190, 34.05104729349627)	(195, 33.95112514631825)	(200, 34.410416765427684)	(205, 33.823793079557014)	(210, 33.97761303426673)	(215, 33.22400335043815)	(220, 33.39015425008204)	(225, 33.37424789410349)	(230, 32.79434562228786)	(235, 31.10163512380119)	(240, 29.953420851110383)	(245, 31.509615286438397)	(250, 31.213654231849183)	(255, 29.865272216752363)	(260, 28.680406228348467)	(265, 28.4607263975495)	(270, 29.556184954235494)	(275, 29.503341720453637)	(280, 28.96140892523976)	(285, 27.224365037979208)	(290, 25.659055619991324)	(295, 24.930328507915995)	(300, 19.901807110641425)
ERR772063_2	(1, 31.949803434575283)	(2, 32.282171672951414)	(3, 32.388229794923134)	(4, 32.341075022761125)	(5, 32.30506884150234)	(6, 35.840888398977235)	(7, 35.289490115916045)	(8, 35.943744266115054)	(9, 35.980116718351574)	(10, 35.6277563635222)	(15, 35.71778297921325)	(20, 35.81375504494668)	(25, 35.50407886337395)	(30, 34.349163681267505)	(35, 36.62130749632366)	(40, 36.41974625278583)	(45, 36.636733623690844)	(50, 36.08688070328939)	(55, 35.665689567407824)	(60, 35.42524199073106)	(65, 35.04440380527849)	(70, 35.22278665418668)	(75, 35.22138957581408)	(80, 35.15796090657129)	(85, 35.18887654649219)	(90, 35.237997518437666)	(95, 35.48589659542852)	(100, 34.745538510845975)	(105, 35.11905656804044)	(110, 34.885579404691505)	(115, 34.503160578358894)	(120, 34.428156754197474)	(125, 35.178686673707986)	(130, 35.004385595053044)	(135, 34.96326582795058)	(140, 33.96913394544865)	(145, 33.28431239005416)	(150, 32.46814802944272)	(155, 32.863334816465084)	(160, 32.55004224880173)	(165, 32.66650762663714)	(170, 32.117933295941235)	(175, 31.897486177985297)	(180, 30.69410042176266)	(185, 31.02793758786722)	(190, 30.721320907409165)	(195, 29.92285284508725)	(200, 27.592845305779043)	(205, 27.043023848035983)	(210, 26.915579950320147)	(215, 29.0367368057602)	(220, 25.934865984112587)	(225, 24.60249529719754)	(230, 25.36023106397238)	(235, 24.782773641807136)	(240, 24.881640903859324)	(245, 23.016896370867872)	(250, 19.960835676510438)	(255, 20.366303413511268)	(260, 18.925724637068633)	(265, 20.16182463194854)	(270, 19.316555577409183)	(275, 18.26841349971226)	(280, 20.20627417557202)	(285, 19.75751740876259)	(290, 19.056390130826106)	(295, 20.06570921745746)	(300, 14.506693412554856)
ERR772064_1	(1, 32.61106287869979)	(2, 32.777676575843316)	(3, 32.81229538906761)	(4, 32.83466661498908)	(5, 32.827868428872264)	(6, 36.581323721302795)	(7, 36.43052724054623)	(8, 35.80719222769143)	(9, 34.453669754402284)	(10, 33.350875547459395)	(15, 35.156635014146744)	(20, 36.39764996188778)	(25, 36.42631706781391)	(30, 36.14166944433678)	(35, 37.19924164893354)	(40, 37.18745017172206)	(45, 37.601134560768976)	(50, 37.271863856908304)	(55, 37.18155688077327)	(60, 37.65874916947139)	(65, 37.10680924091824)	(70, 37.325259536011046)	(75, 36.886387824580865)	(80, 37.2671283558418)	(85, 36.993334797879264)	(90, 37.21262126038466)	(95, 37.06448601135381)	(100, 36.17807642118133)	(105, 36.70018813243)	(110, 36.58283311488361)	(115, 35.948462275208456)	(120, 35.70963115769733)	(125, 35.51913076818665)	(130, 35.58779431264755)	(135, 35.447186052815056)	(140, 35.37459933879515)	(145, 35.76343226401042)	(150, 35.34826045255561)	(155, 35.40908754802308)	(160, 35.44987127393206)	(165, 35.0714134344253)	(170, 35.25019617824156)	(175, 35.23716259842414)	(180, 34.59386101977253)	(185, 34.39164381598177)	(190, 33.974675875934565)	(195, 33.98560746511778)	(200, 34.3394067342521)	(205, 33.463701588186126)	(210, 33.781818376663736)	(215, 32.83564443706196)	(220, 33.039567749748166)	(225, 33.149063913239175)	(230, 32.63949327003451)	(235, 31.03166412401386)	(240, 29.525618242731856)	(245, 31.271900079168283)	(250, 30.689132770477435)	(255, 29.521191037214557)	(260, 28.82963768688656)	(265, 28.141158110618893)	(270, 29.155581245504074)	(275, 29.045356720414624)	(280, 28.01763422452447)	(285, 26.45496505726001)	(290, 25.049326635699828)	(295, 24.501808168474636)	(300, 18.98347630094736)
ERR772064_2	(1, 32.30358384041962)	(2, 32.654319600015505)	(3, 32.63388240765862)	(4, 32.586240843378164)	(5, 32.61472165161557)	(6, 36.24071418420475)	(7, 35.51319587096108)	(8, 36.16473909280002)	(9, 36.26583853339018)	(10, 35.96871077348423)	(15, 36.02299342402749)	(20, 36.08452153017325)	(25, 35.81018616849476)	(30, 34.76490807849825)	(35, 36.56054173048422)	(40, 36.467815810489874)	(45, 36.76525679614922)	(50, 36.14809943626532)	(55, 35.84149987641944)	(60, 35.511234939231336)	(65, 35.223705267824855)	(70, 35.5222034509002)	(75, 35.38021546350617)	(80, 35.395557762339216)	(85, 35.24733943529834)	(90, 35.44872866993083)	(95, 35.51556861784635)	(100, 34.98420177755977)	(105, 35.38969482811847)	(110, 35.067577308197876)	(115, 34.71329345003881)	(120, 34.788458827763904)	(125, 35.45228058666948)	(130, 35.27456787136433)	(135, 35.039760950255)	(140, 34.19582636948919)	(145, 33.465462108619015)	(150, 33.012395169989915)	(155, 33.292065709979894)	(160, 32.823545695184485)	(165, 32.60070704537185)	(170, 32.44791289683602)	(175, 32.39500624120544)	(180, 31.295175898816638)	(185, 31.412658400655282)	(190, 31.67067299983655)	(195, 30.67786159212157)	(200, 27.958826507781282)	(205, 27.797994185331284)	(210, 27.6223681410386)	(215, 29.867506405772946)	(220, 26.581200093154983)	(225, 25.01971781069243)	(230, 25.81007407427101)	(235, 25.50642585845403)	(240, 24.529871628250618)	(245, 23.556428341364693)	(250, 21.15422202170789)	(255, 21.18410973278867)	(260, 19.41034950409742)	(265, 21.37324376307516)	(270, 20.080476663999516)	(275, 19.276916487534834)	(280, 19.973537878406574)	(285, 19.646802120141345)	(290, 19.481630379233422)	(295, 19.020153350374713)	(300, 16.16076731913142)
ERR772065_1	(1, 32.2947434740044)	(2, 32.46990145800234)	(3, 32.506526591094776)	(4, 32.5313943323464)	(5, 32.52279900243199)	(6, 36.2421365296162)	(7, 36.09757730080201)	(8, 35.48583682093083)	(9, 34.17530328401867)	(10, 33.030438448767455)	(15, 34.78034233637669)	(20, 36.10389594612942)	(25, 36.01498853082623)	(30, 35.782097608266376)	(35, 37.22329546110841)	(40, 37.18649409597811)	(45, 37.624728567344405)	(50, 37.19823835443483)	(55, 37.14425605432815)	(60, 37.62771821610401)	(65, 37.16681246766846)	(70, 37.336044838767684)	(75, 37.17827192564763)	(80, 37.50178178940171)	(85, 37.235601128350496)	(90, 37.18061859833739)	(95, 37.04785417702837)	(100, 36.08637664847313)	(105, 36.4973617314847)	(110, 36.61900300536878)	(115, 35.34712021849068)	(120, 35.42564622907866)	(125, 35.59443287817798)	(130, 35.48464054937038)	(135, 35.175166941110334)	(140, 35.86349716040826)	(145, 35.77728825221758)	(150, 35.07141984572964)	(155, 35.63146113075086)	(160, 35.680411304516916)	(165, 35.50747468300782)	(170, 35.75288396814871)	(175, 35.635562209247254)	(180, 35.24132017331731)	(185, 35.05706242838325)	(190, 34.49789423166818)	(195, 34.37195107936229)	(200, 34.83915719195286)	(205, 33.935688705010946)	(210, 34.31478853136846)	(215, 33.55439073674029)	(220, 33.329472229043546)	(225, 34.26528409182983)	(230, 33.265265144479784)	(235, 30.921481433466756)	(240, 30.53370945485233)	(245, 31.29146733514247)	(250, 30.919367557399873)	(255, 30.634291505343906)	(260, 29.245102727175265)	(265, 30.053691122906127)	(270, 30.312285377364372)	(275, 29.627586877447886)	(280, 29.710407435720136)	(285, 27.26234433239008)	(290, 25.838411324827188)	(295, 25.985152171441648)	(300, 21.792894566807043)
ERR772065_2	(1, 31.90411270517673)	(2, 32.21877657382551)	(3, 32.33421624930625)	(4, 32.365323554562536)	(5, 32.22869270474798)	(6, 35.71468197160218)	(7, 35.16714623613397)	(8, 35.878974610607855)	(9, 35.93381584056062)	(10, 35.565642976411375)	(15, 35.65217342629359)	(20, 35.80719878233818)	(25, 35.431427679892145)	(30, 34.2748764354332)	(35, 36.14162509649803)	(40, 35.95984399633653)	(45, 36.778394702557065)	(50, 35.88706700734191)	(55, 34.761513250493884)	(60, 35.49199608029252)	(65, 34.378765541323375)	(70, 35.20149856186932)	(75, 34.9756262998)	(80, 34.601888435644916)	(85, 34.687786610113164)	(90, 34.87551036917834)	(95, 34.26043980798694)	(100, 34.38731358485573)	(105, 34.742525622583)	(110, 33.84894928886048)	(115, 33.62763233524223)	(120, 33.74841924732227)	(125, 34.4053544982267)	(130, 34.5765877812425)	(135, 33.67591674413987)	(140, 32.909174930800326)	(145, 32.60027422856062)	(150, 30.87882122513265)	(155, 32.10523787915624)	(160, 32.16608240558083)	(165, 31.792819849028895)	(170, 31.4784001960136)	(175, 31.37849291469172)	(180, 29.68580376237937)	(185, 29.409685250966056)	(190, 29.749154647695196)	(195, 29.6045148851193)	(200, 26.884279441247987)	(205, 26.660037258610043)	(210, 25.598057280562294)	(215, 27.692256862198185)	(220, 23.814939604894228)	(225, 21.52437115018527)	(230, 23.159177018246993)	(235, 23.825465109603602)	(240, 25.09792022156632)	(245, 21.88929111532367)	(250, 19.275837827678526)	(255, 18.334802225992227)	(260, 19.495147317965774)	(265, 19.23239998307224)	(270, 17.897022954541494)	(275, 18.546550097459097)	(280, 19.442771323632154)	(285, 18.439483442142407)	(290, 18.015860419468275)	(295, 18.83707294092591)	(300, 15.677755145816196)
ERR772066_1	(1, 32.572615092866904)	(2, 32.73540073789257)	(3, 32.7665767659062)	(4, 32.78826828604267)	(5, 32.78465258564154)	(6, 36.53750283314803)	(7, 36.39938334605176)	(8, 35.77890582146541)	(9, 34.472566409660466)	(10, 33.372498145880634)	(15, 35.077153628374134)	(20, 36.28021383059048)	(25, 36.35511381543566)	(30, 36.07919537254723)	(35, 37.18063815545993)	(40, 37.243375278367076)	(45, 37.58535191404461)	(50, 37.27088914333185)	(55, 37.23362907044765)	(60, 37.65830963083827)	(65, 37.095448235190965)	(70, 37.346485190023984)	(75, 37.107457219184305)	(80, 37.25598772078149)	(85, 37.00011206494564)	(90, 37.21065549795392)	(95, 36.977656353157144)	(100, 36.33687526006942)	(105, 36.7832059926727)	(110, 36.612302904069786)	(115, 35.99440296064773)	(120, 35.82975272685741)	(125, 35.608015003842326)	(130, 35.62338819202081)	(135, 35.38443309695351)	(140, 35.521982508263235)	(145, 35.775896707996196)	(150, 35.29858706462118)	(155, 35.45277280210827)	(160, 35.422939066578316)	(165, 35.03504049809523)	(170, 35.02938069549746)	(175, 34.94863949700042)	(180, 34.7218311458033)	(185, 34.47171254142099)	(190, 34.0583511502575)	(195, 34.055430304620664)	(200, 34.30316534597337)	(205, 33.68480659674342)	(210, 33.970136085690804)	(215, 32.834900338473105)	(220, 33.314448205256774)	(225, 33.092880020114805)	(230, 32.6720639775546)	(235, 30.975076853217665)	(240, 30.0259218555647)	(245, 31.562479750726744)	(250, 31.346645603444813)	(255, 29.80787633369706)	(260, 28.88430653426621)	(265, 28.541337798490694)	(270, 29.442589443620637)	(275, 29.673939185740075)	(280, 28.70616459036649)	(285, 27.09360398709598)	(290, 25.365839099739258)	(295, 24.788812788170482)	(300, 21.153557462561693)
ERR772066_2	(1, 32.30755179799286)	(2, 32.59618017882696)	(3, 32.607864148372464)	(4, 32.59055814022105)	(5, 32.553975996362844)	(6, 36.193421195568355)	(7, 35.642626371813634)	(8, 36.25986773725016)	(9, 36.28708339312561)	(10, 35.9805401287758)	(15, 36.03331272455632)	(20, 36.13518079172573)	(25, 35.84215107351164)	(30, 34.79926103452484)	(35, 36.7709460139184)	(40, 36.582638533384184)	(45, 36.765427592395554)	(50, 36.092419412574614)	(55, 35.91830596284102)	(60, 35.58050890199489)	(65, 35.150486885535976)	(70, 35.46320883891796)	(75, 35.39549871354046)	(80, 35.22754933638355)	(85, 35.470252295317295)	(90, 35.40106705529826)	(95, 35.504208551803984)	(100, 34.89308406836493)	(105, 35.36021837147252)	(110, 34.91231923600065)	(115, 34.707182707150764)	(120, 34.73107244178159)	(125, 35.32363571517883)	(130, 35.16084384383342)	(135, 34.93131616553861)	(140, 34.1565392488523)	(145, 33.53529325256826)	(150, 32.86091179691708)	(155, 33.23058442724127)	(160, 32.813873936662844)	(165, 32.66460186710913)	(170, 32.30282332746387)	(175, 32.14316254124379)	(180, 30.962498863828046)	(185, 30.789598269950126)	(190, 31.23502696474886)	(195, 30.104437368267646)	(200, 28.172326763950316)	(205, 27.877879132066056)	(210, 27.3907783001144)	(215, 29.44529026078405)	(220, 26.160672173011488)	(225, 24.448299267237907)	(230, 25.694478962251644)	(235, 25.33393720152617)	(240, 24.51932987359283)	(245, 23.170731374669298)	(250, 21.207676236226842)	(255, 20.624882732429363)	(260, 19.149316042049776)	(265, 20.461385613869517)	(270, 20.449117356423873)	(275, 18.861132055006422)	(280, 19.711974866392392)	(285, 19.84430358600705)	(290, 19.362808984333412)	(295, 19.3967511457527)	(300, 15.2727449677285)
