Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR772062_1	(2.0, 23785.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 13.0)	(15.0, 56.0)	(16.0, 148.0)	(17.0, 207.0)	(18.0, 391.0)	(19.0, 1121.0)	(20.0, 2981.0)	(21.0, 6100.0)	(22.0, 9709.0)	(23.0, 10380.0)	(24.0, 10931.0)	(25.0, 11506.0)	(26.0, 12475.0)	(27.0, 13861.0)	(28.0, 16092.0)	(29.0, 19597.0)	(30.0, 24695.0)	(31.0, 31151.0)	(32.0, 41293.0)	(33.0, 56109.0)	(34.0, 80388.0)	(35.0, 130975.0)	(36.0, 248458.0)	(37.0, 150702.0)
ERR772062_2	(2.0, 22950.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 2.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 6.0)	(11.0, 139.0)	(12.0, 1297.0)	(13.0, 2462.0)	(14.0, 2395.0)	(15.0, 2471.0)	(16.0, 2885.0)	(17.0, 3816.0)	(18.0, 7237.0)	(19.0, 11699.0)	(20.0, 13111.0)	(21.0, 13461.0)	(22.0, 14348.0)	(23.0, 15591.0)	(24.0, 17689.0)	(25.0, 20530.0)	(26.0, 25598.0)	(27.0, 33561.0)	(28.0, 44968.0)	(29.0, 59885.0)	(30.0, 78500.0)	(31.0, 100340.0)	(32.0, 119658.0)	(33.0, 124399.0)	(34.0, 101445.0)	(35.0, 50831.0)	(36.0, 9290.0)	(37.0, 2557.0)
ERR772063_1	(2.0, 12409.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 16.0)	(16.0, 42.0)	(17.0, 81.0)	(18.0, 112.0)	(19.0, 329.0)	(20.0, 947.0)	(21.0, 2032.0)	(22.0, 3230.0)	(23.0, 3427.0)	(24.0, 3495.0)	(25.0, 3614.0)	(26.0, 4045.0)	(27.0, 4402.0)	(28.0, 5094.0)	(29.0, 6106.0)	(30.0, 7566.0)	(31.0, 9624.0)	(32.0, 12558.0)	(33.0, 16718.0)	(34.0, 24194.0)	(35.0, 39052.0)	(36.0, 76281.0)	(37.0, 51298.0)
ERR772063_2	(2.0, 12068.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 0.0)	(11.0, 44.0)	(12.0, 365.0)	(13.0, 824.0)	(14.0, 892.0)	(15.0, 887.0)	(16.0, 950.0)	(17.0, 1281.0)	(18.0, 2543.0)	(19.0, 4171.0)	(20.0, 4331.0)	(21.0, 4345.0)	(22.0, 4546.0)	(23.0, 4865.0)	(24.0, 5322.0)	(25.0, 6267.0)	(26.0, 7705.0)	(27.0, 9764.0)	(28.0, 13201.0)	(29.0, 17295.0)	(30.0, 22662.0)	(31.0, 29064.0)	(32.0, 36011.0)	(33.0, 39289.0)	(34.0, 34537.0)	(35.0, 19474.0)	(36.0, 3929.0)	(37.0, 40.0)
ERR772064_1	(2.0, 27146.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 16.0)	(15.0, 76.0)	(16.0, 163.0)	(17.0, 225.0)	(18.0, 417.0)	(19.0, 889.0)	(20.0, 2500.0)	(21.0, 5873.0)	(22.0, 9801.0)	(23.0, 9914.0)	(24.0, 9966.0)	(25.0, 10410.0)	(26.0, 10945.0)	(27.0, 12316.0)	(28.0, 14362.0)	(29.0, 17274.0)	(30.0, 21371.0)	(31.0, 27545.0)	(32.0, 35634.0)	(33.0, 47954.0)	(34.0, 69277.0)	(35.0, 111273.0)	(36.0, 211891.0)	(37.0, 116789.0)
ERR772064_2	(2.0, 26443.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 7.0)	(11.0, 134.0)	(12.0, 1193.0)	(13.0, 2209.0)	(14.0, 2216.0)	(15.0, 2327.0)	(16.0, 2560.0)	(17.0, 3102.0)	(18.0, 5867.0)	(19.0, 9957.0)	(20.0, 10836.0)	(21.0, 10559.0)	(22.0, 11253.0)	(23.0, 12065.0)	(24.0, 13566.0)	(25.0, 15724.0)	(26.0, 19206.0)	(27.0, 24784.0)	(28.0, 32763.0)	(29.0, 43642.0)	(30.0, 57767.0)	(31.0, 76463.0)	(32.0, 95171.0)	(33.0, 110189.0)	(34.0, 103854.0)	(35.0, 65143.0)	(36.0, 14761.0)	(37.0, 267.0)
ERR772065_1	(2.0, 37398.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 3.0)	(14.0, 15.0)	(15.0, 91.0)	(16.0, 167.0)	(17.0, 287.0)	(18.0, 415.0)	(19.0, 874.0)	(20.0, 2152.0)	(21.0, 5153.0)	(22.0, 8058.0)	(23.0, 8346.0)	(24.0, 8594.0)	(25.0, 9463.0)	(26.0, 10529.0)	(27.0, 11597.0)	(28.0, 14077.0)	(29.0, 17709.0)	(30.0, 22547.0)	(31.0, 27937.0)	(32.0, 36470.0)	(33.0, 49110.0)	(34.0, 69323.0)	(35.0, 110172.0)	(36.0, 224671.0)	(37.0, 164482.0)
ERR772065_2	(2.0, 36126.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 5.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 10.0)	(11.0, 86.0)	(12.0, 1053.0)	(13.0, 2594.0)	(14.0, 2670.0)	(15.0, 2633.0)	(16.0, 2939.0)	(17.0, 4430.0)	(18.0, 9797.0)	(19.0, 16852.0)	(20.0, 17067.0)	(21.0, 15941.0)	(22.0, 16132.0)	(23.0, 16898.0)	(24.0, 18631.0)	(25.0, 22031.0)	(26.0, 26459.0)	(27.0, 33918.0)	(28.0, 43958.0)	(29.0, 57694.0)	(30.0, 75154.0)	(31.0, 93258.0)	(32.0, 104838.0)	(33.0, 101764.0)	(34.0, 75803.0)	(35.0, 35426.0)	(36.0, 5439.0)	(37.0, 34.0)
ERR772066_1	(2.0, 27172.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 13.0)	(15.0, 55.0)	(16.0, 130.0)	(17.0, 183.0)	(18.0, 367.0)	(19.0, 961.0)	(20.0, 2614.0)	(21.0, 5528.0)	(22.0, 8611.0)	(23.0, 9074.0)	(24.0, 9412.0)	(25.0, 9765.0)	(26.0, 10579.0)	(27.0, 11796.0)	(28.0, 13632.0)	(29.0, 16454.0)	(30.0, 20315.0)	(31.0, 25442.0)	(32.0, 32377.0)	(33.0, 43047.0)	(34.0, 62002.0)	(35.0, 100079.0)	(36.0, 199674.0)	(37.0, 136355.0)
ERR772066_2	(2.0, 26441.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 1.0)	(6.0, 2.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 9.0)	(11.0, 99.0)	(12.0, 983.0)	(13.0, 1853.0)	(14.0, 1906.0)	(15.0, 1923.0)	(16.0, 2140.0)	(17.0, 2695.0)	(18.0, 5229.0)	(19.0, 9521.0)	(20.0, 10756.0)	(21.0, 10594.0)	(22.0, 11445.0)	(23.0, 12636.0)	(24.0, 13706.0)	(25.0, 16183.0)	(26.0, 19464.0)	(27.0, 24206.0)	(28.0, 32748.0)	(29.0, 43440.0)	(30.0, 58077.0)	(31.0, 76384.0)	(32.0, 95212.0)	(33.0, 105552.0)	(34.0, 95139.0)	(35.0, 55312.0)	(36.0, 11671.0)	(37.0, 309.0)
