Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
ERR772062_1	(30, 23800.0)	(40, 23.0)	(50, 80.0)	(60, 55.0)	(70, 133.0)	(80, 3612.0)	(90, 6.0)	(100, 2.0)	(110, 6.0)	(120, 1.0)	(130, 2.0)	(140, 1.0)	(150, 2.0)	(160, 2.0)	(170, 5.0)	(180, 1.0)	(190, 10.0)	(200, 0.0)	(210, 0.0)	(220, 1.0)	(230, 3.0)	(240, 2.0)	(250, 0.0)	(260, 2.0)	(270, 3.0)	(280, 4.0)	(290, 44241.0)	(300, 831127.0)
ERR772062_2	(30, 22964.0)	(40, 26.0)	(50, 89.0)	(60, 63.0)	(70, 130.0)	(80, 3758.0)	(90, 9.0)	(100, 5.0)	(110, 7.0)	(120, 1.0)	(130, 3.0)	(140, 2.0)	(150, 6.0)	(160, 3.0)	(170, 8.0)	(180, 5.0)	(190, 11.0)	(200, 19.0)	(210, 6.0)	(220, 8.0)	(230, 4.0)	(240, 1.0)	(250, 3.0)	(260, 4.0)	(270, 4.0)	(280, 4.0)	(290, 71196.0)	(300, 804785.0)
ERR772063_1	(30, 12409.0)	(40, 0.0)	(50, 14.0)	(60, 11.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 2.0)	(120, 0.0)	(130, 2.0)	(140, 0.0)	(150, 2.0)	(160, 0.0)	(170, 1.0)	(180, 0.0)	(190, 1.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 0.0)	(240, 0.0)	(250, 0.0)	(260, 0.0)	(270, 0.0)	(280, 2.0)	(290, 3775.0)	(300, 270453.0)
ERR772063_2	(30, 12069.0)	(40, 0.0)	(50, 16.0)	(60, 15.0)	(70, 0.0)	(80, 0.0)	(90, 1.0)	(100, 0.0)	(110, 2.0)	(120, 0.0)	(130, 3.0)	(140, 0.0)	(150, 3.0)	(160, 0.0)	(170, 2.0)	(180, 0.0)	(190, 1.0)	(200, 3.0)	(210, 1.0)	(220, 1.0)	(230, 0.0)	(240, 0.0)	(250, 0.0)	(260, 2.0)	(270, 0.0)	(280, 1.0)	(290, 21311.0)	(300, 253242.0)
ERR772064_1	(30, 27147.0)	(40, 4.0)	(50, 335.0)	(60, 8.0)	(70, 2.0)	(80, 0.0)	(90, 0.0)	(100, 5.0)	(110, 4.0)	(120, 1.0)	(130, 8.0)	(140, 0.0)	(150, 0.0)	(160, 1.0)	(170, 1.0)	(180, 1.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 1.0)	(240, 0.0)	(250, 2.0)	(260, 0.0)	(270, 0.0)	(280, 3.0)	(290, 19309.0)	(300, 727197.0)
ERR772064_2	(30, 26444.0)	(40, 3.0)	(50, 375.0)	(60, 15.0)	(70, 2.0)	(80, 0.0)	(90, 2.0)	(100, 4.0)	(110, 5.0)	(120, 4.0)	(130, 12.0)	(140, 2.0)	(150, 0.0)	(160, 2.0)	(170, 1.0)	(180, 4.0)	(190, 1.0)	(200, 11.0)	(210, 1.0)	(220, 10.0)	(230, 5.0)	(240, 1.0)	(250, 2.0)	(260, 1.0)	(270, 1.0)	(280, 2.0)	(290, 50437.0)	(300, 696683.0)
ERR772065_1	(30, 37400.0)	(40, 3.0)	(50, 3.0)	(60, 1.0)	(70, 1.0)	(80, 1.0)	(90, 0.0)	(100, 2.0)	(110, 0.0)	(120, 1.0)	(130, 2.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 3.0)	(190, 2.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 0.0)	(240, 0.0)	(250, 1.0)	(260, 0.0)	(270, 0.0)	(280, 34.0)	(290, 4360.0)	(300, 797828.0)
ERR772065_2	(30, 36128.0)	(40, 5.0)	(50, 17.0)	(60, 2.0)	(70, 1.0)	(80, 2.0)	(90, 0.0)	(100, 4.0)	(110, 5.0)	(120, 2.0)	(130, 4.0)	(140, 3.0)	(150, 4.0)	(160, 2.0)	(170, 5.0)	(180, 6.0)	(190, 3.0)	(200, 15.0)	(210, 3.0)	(220, 11.0)	(230, 2.0)	(240, 1.0)	(250, 0.0)	(260, 3.0)	(270, 1.0)	(280, 19.0)	(290, 52383.0)	(300, 751011.0)
ERR772066_1	(30, 27173.0)	(40, 6.0)	(50, 478.0)	(60, 18.0)	(70, 1.0)	(80, 3.0)	(90, 1.0)	(100, 4.0)	(110, 2.0)	(120, 7.0)	(130, 5.0)	(140, 1.0)	(150, 0.0)	(160, 3.0)	(170, 2.0)	(180, 0.0)	(190, 2.0)	(200, 1.0)	(210, 0.0)	(220, 1.0)	(230, 2.0)	(240, 0.0)	(250, 4.0)	(260, 1.0)	(270, 3.0)	(280, 3.0)	(290, 15191.0)	(300, 702725.0)
ERR772066_2	(30, 26442.0)	(40, 6.0)	(50, 525.0)	(60, 24.0)	(70, 2.0)	(80, 4.0)	(90, 3.0)	(100, 6.0)	(110, 2.0)	(120, 7.0)	(130, 9.0)	(140, 4.0)	(150, 3.0)	(160, 4.0)	(170, 3.0)	(180, 2.0)	(190, 5.0)	(200, 20.0)	(210, 1.0)	(220, 8.0)	(230, 6.0)	(240, 0.0)	(250, 6.0)	(260, 3.0)	(270, 2.0)	(280, 4.0)	(290, 42521.0)	(300, 676015.0)
