Run,Animal_and_Replicate,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR36466313,Animal D Replicate1,AMPLICON,451,29232303,PRJNA1387191,SAMN54133373,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",9747916,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489969,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,D1,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,D1,SRP655530
SRR36466314,Animal C Replicate3,AMPLICON,451,28839728,PRJNA1387191,SAMN54133372,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",9724862,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489968,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,C3,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,C3,SRP655530
SRR36466315,Animal C Replicate2,AMPLICON,449,28359202,PRJNA1387191,SAMN54133371,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",9539776,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489967,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,C2,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,C2,SRP655530
SRR36466316,Animal C Replicate1,AMPLICON,457,28771268,PRJNA1387191,SAMN54133370,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",9573841,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489966,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,C1,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,C1,SRP655530
SRR36466317,Animal B Replicate3,AMPLICON,449,28725716,PRJNA1387191,SAMN54133369,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",9658766,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489965,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,B3,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,B3,SRP655530
SRR36466318,Animal B Replicate2,AMPLICON,449,28138197,PRJNA1387191,SAMN54133368,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",9659538,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489964,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,B2,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,B2,SRP655530
SRR36466319,Animal B Replicate1,AMPLICON,451,28019665,PRJNA1387191,SAMN54133367,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",9503698,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489963,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,B1,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,B1,SRP655530
SRR36466320,Animal A Replicate3,AMPLICON,451,32925255,PRJNA1387191,SAMN54133366,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",11124749,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489962,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,A3,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,A3,SRP655530
SRR36466321,Animal E Replicate3,AMPLICON,451,33483189,PRJNA1387191,SAMN54133378,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",11105887,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489961,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,E3,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,E3,SRP655530
SRR36466322,Animal E Replicate2,AMPLICON,451,29820064,PRJNA1387191,SAMN54133377,"MIMARKS.survey,MIGS/MIMS/MIMARKS.host-associated",10094233,PAVOL JOZEF SAFARIK UNIVERSITY IN KOSICE,2025,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",ENVO:01001033,Sus scrofa domesticus [NCBITaxon:9825]|colon [UBERON:0001155],feces [ENVO:00002003],SRX31489960,Slovakia,Europe,Slovakia: Kosice,Sus scrofa domesticus,Illumina MiSeq,48.7452 N 21.2578 E,E2,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2025-12-31T00:00:00Z,2025-12-16T05:53:00Z,1,E2,SRP655530
