.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR36466313_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466313_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466314_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466314_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466315_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466315_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466316_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466316_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466317_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466317_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466318_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466318_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466319_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466319_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466320_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR36466320_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466321_1	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466321_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466322_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466322_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466323_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466323_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466324_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466324_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466325_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466325_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466326_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466326_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR36466327_1	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR36466327_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
