Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
SRR36466313_1	(1, 34.27609219551381)	(2, 36.16940616696533)	(3, 36.01870790335537)	(4, 36.17269665698573)	(5, 36.07609837483779)	(6, 36.60287029598962)	(7, 30.79883210776741)	(8, 36.284526972749184)	(9, 36.50134400296608)	(10, 36.21841747512822)	(15, 36.326827535067665)	(20, 36.26639374652412)	(25, 36.12927454736452)	(30, 36.283905950689)	(35, 36.34443242909226)	(40, 36.19746029784342)	(45, 36.117067292838165)	(50, 36.2852375950071)	(55, 35.83719953037138)	(60, 36.16362231971823)	(65, 36.061885929679285)	(70, 36.15049743558055)	(75, 36.101464499783724)	(80, 35.972347525180744)	(85, 35.97236606315269)	(90, 35.73557436816412)	(95, 35.619631712290676)	(100, 35.96634740159426)	(105, 35.82668232095409)	(110, 35.83511709818946)	(115, 35.55932151022678)	(120, 35.86141012173268)	(125, 35.93566087869988)	(130, 35.85350058703578)	(135, 35.796496323302236)	(140, 35.8601001050485)	(145, 35.946097756905395)	(150, 35.22785639251066)	(155, 35.42516220725453)	(160, 35.87375023172465)	(165, 35.448742507569676)	(170, 35.1969505036149)	(175, 35.532670085892605)	(180, 35.14196996848545)	(185, 35.040684669097196)	(190, 34.266934437372555)	(195, 34.982191188284006)	(200, 34.77429401223507)	(205, 35.146110115553356)	(210, 34.70621022060187)	(215, 34.884928628808005)	(220, 34.96259629469678)	(225, 35.993395710313635)	
SRR36466313_2	(1, 36.385466229994435)	(2, 36.327365136254095)	(3, 36.1977383674226)	(4, 36.31187048136934)	(5, 35.85526478403263)	(6, 36.273002533522835)	(7, 36.50733794722857)	(8, 36.27266267070382)	(9, 36.42603349193598)	(10, 36.46682938886486)	(15, 36.435775196193546)	(20, 36.40200828029413)	(25, 36.417163072359884)	(30, 36.33783291107953)	(35, 36.38543842303652)	(40, 36.327633936847306)	(45, 36.35021009701539)	(50, 36.21940307730334)	(55, 36.20250262621269)	(60, 36.315337082123214)	(65, 36.17248347030835)	(70, 35.920156954829146)	(75, 35.955088673299144)	(80, 35.81778409442008)	(85, 36.08691219180621)	(90, 35.82549589074956)	(95, 36.1380831737008)	(100, 35.719983933757646)	(105, 35.12752888833961)	(110, 35.656485200519064)	(115, 35.7039733053204)	(120, 35.90456652042267)	(125, 35.91855650991781)	(130, 35.83681023296052)	(135, 35.463072359883824)	(140, 35.60562936414756)	(145, 35.52440832972873)	(150, 35.37902119508126)	(155, 35.65055922882036)	(160, 35.61746276957301)	(165, 35.140091453994934)	(170, 35.44606994994748)	(175, 34.99899894951492)	(180, 35.34353333745288)	(185, 34.91984180930606)	(190, 35.017604894024586)	(195, 35.10358400790953)	(200, 35.258030031514544)	(205, 35.18400790953469)	(210, 34.590549570952525)	(215, 34.804952804684)	(220, 33.977644444191824)	(225, 34.146875997041406)	
SRR36466314_1	(1, 34.515211298479656)	(2, 36.158141137050436)	(3, 36.04468661437049)	(4, 36.14332910579799)	(5, 36.00884650915183)	(6, 36.609563624406974)	(7, 30.964770538775895)	(8, 36.300389872704216)	(9, 36.5063491317895)	(10, 36.19531839604177)	(15, 36.31742840590602)	(20, 36.27543488812689)	(25, 36.05592872688556)	(30, 36.25356443859896)	(35, 36.30858189675419)	(40, 36.13848466344122)	(45, 36.038464308641394)	(50, 36.240941331203906)	(55, 35.801603331924156)	(60, 36.093616421626194)	(65, 35.99698435811922)	(70, 36.12991685847152)	(75, 36.03065432852647)	(80, 36.01993830929901)	(85, 35.94562763242363)	(90, 35.77247404763024)	(95, 35.606078256376534)	(100, 35.860328495153986)	(105, 35.68895047520629)	(110, 35.76322357398969)	(115, 35.44741728905382)	(120, 35.71660168788263)	(125, 35.829905898194696)	(130, 35.7835846368234)	(135, 35.66329716441981)	(140, 35.757248657366084)	(145, 35.86599339251883)	(150, 35.0097452518515)	(155, 35.31608812062568)	(160, 35.82934848983043)	(165, 35.27158313369972)	(170, 35.063350400050105)	(175, 35.39760752814443)	(180, 35.009983246434)	(185, 34.91422174205771)	(190, 34.063622841216905)	(195, 34.88981477132165)	(200, 34.63994551176664)	(205, 35.08034196063694)	(210, 34.4813659636432)	(215, 34.62383077332582)	(220, 34.622444739493716)	(225, 36.177961913911524)	
SRR36466314_2	(1, 36.33895438959087)	(2, 36.246277420263986)	(3, 36.06646625017615)	(4, 36.26901216590728)	(5, 35.79862839964301)	(6, 36.240953857234565)	(7, 36.52444924608953)	(8, 36.27215933110996)	(9, 36.36970579485493)	(10, 36.43239857829552)	(15, 36.4090250050887)	(20, 36.37335086977625)	(25, 36.331764447993486)	(30, 36.29767172405154)	(35, 36.36922354267462)	(40, 36.300433713811515)	(45, 36.291283448416245)	(50, 36.158100427450805)	(55, 36.13228427826577)	(60, 36.19094367983466)	(65, 36.12669140557721)	(70, 35.934210155479356)	(75, 35.85045485148825)	(80, 35.802812093882594)	(85, 36.07341819719104)	(90, 35.77043230463306)	(95, 36.128407471777294)	(100, 35.624576072149935)	(105, 35.05272206303725)	(110, 35.429004023987346)	(115, 35.583518875162454)	(120, 35.90327712277076)	(125, 35.76319225891305)	(130, 35.693616421626196)	(135, 35.35009003084535)	(140, 35.400081419199275)	(145, 35.36443859896347)	(150, 35.203723362612934)	(155, 35.52579892589287)	(160, 35.51076768910392)	(165, 35.09481578906165)	(170, 35.34853680304382)	(175, 34.91400253652121)	(180, 35.13375295536036)	(185, 34.6320227973758)	(190, 34.799733821848534)	(195, 34.78645622935162)	(200, 35.07258834765998)	(205, 34.93162039864092)	(210, 34.3036779557518)	(215, 34.593511516119435)	(220, 33.713278455027066)	(225, 33.982972070982484)	
SRR36466315_1	(1, 35.49224277419969)	(2, 36.286763539452394)	(3, 36.05864716520194)	(4, 36.209223008344175)	(5, 36.249436847615726)	(6, 36.47111266220375)	(7, 32.853485199403536)	(8, 36.29009486341572)	(9, 36.477727719788064)	(10, 36.25622640312192)	(15, 36.25644849138615)	(20, 36.340223357340015)	(25, 36.21733557536724)	(30, 36.291741489260446)	(35, 36.41110441321108)	(40, 36.188984422094606)	(45, 36.18850534598179)	(50, 36.2888448237571)	(55, 35.988064342142835)	(60, 36.09929249024398)	(65, 36.15303150480662)	(70, 36.3611408991402)	(75, 36.07176623623845)	(80, 35.96949776325391)	(85, 35.95424347219138)	(90, 35.906954535359624)	(95, 35.64214600717028)	(100, 35.99588184904343)	(105, 35.82242139661791)	(110, 35.86814302484216)	(115, 35.57730892477553)	(120, 35.921837621751955)	(125, 36.02239918779149)	(130, 35.88547225483042)	(135, 35.890922935372316)	(140, 35.865592182493096)	(145, 36.00903581966433)	(150, 35.2688473619087)	(155, 35.287616992924896)	(160, 35.94492845585203)	(165, 35.510593610203365)	(170, 35.37652844316126)	(175, 35.37376820330594)	(180, 35.359059614835495)	(185, 35.122104127669026)	(190, 34.006662647926646)	(195, 34.85708302928392)	(200, 34.62127605571243)	(205, 35.01805260319172)	(210, 34.531527015451)	(215, 34.948703956343785)	(220, 34.66245756527808)	(225, 34.868256544802904)	(230, 34.872693247728336)
SRR36466315_2	(1, 36.38429201434056)	(2, 36.24050572670453)	(3, 36.192296709921)	(4, 36.200942288778194)	(5, 35.78229004727307)	(6, 36.20425774929408)	(7, 36.385687997715664)	(8, 36.253656524635936)	(9, 36.37697896506869)	(10, 36.421006377105876)	(15, 36.419867381579365)	(20, 36.3170881055871)	(25, 36.318198546908214)	(30, 36.288289603096544)	(35, 36.347580824264725)	(40, 36.21454678130652)	(45, 36.31964846600464)	(50, 36.105523652400144)	(55, 36.13062597163616)	(60, 36.14599447952029)	(65, 35.99590088518037)	(70, 35.73340524762842)	(75, 35.93028966655034)	(80, 35.97839398458073)	(85, 35.952796725784445)	(90, 35.76192138075447)	(95, 36.06089977473905)	(100, 35.69578349566928)	(105, 35.13039753799296)	(110, 35.38868618928266)	(115, 35.669120213204735)	(120, 35.731190710365176)	(125, 35.74777753101304)	(130, 35.74509978108442)	(135, 35.40438465687363)	(140, 35.43511532726292)	(145, 35.26708969193185)	(150, 35.349008534534725)	(155, 35.45844728576414)	(160, 35.31008597988515)	(165, 35.002995018877506)	(170, 35.3410260477807)	(175, 34.73619086899966)	(180, 34.99350233192678)	(185, 34.61436593800565)	(190, 34.812608268028804)	(195, 34.5675306957708)	(200, 34.91469907040198)	(205, 34.778057679494914)	(210, 34.508946561632)	(215, 34.34774439715734)	(220, 33.961116179390714)	(225, 37.0)	
SRR36466316_1	(1, 35.56354012684183)	(2, 36.30291036828636)	(3, 36.07785354378269)	(4, 36.213850873428385)	(5, 36.24077694594122)	(6, 36.54518144103762)	(7, 32.72128177006342)	(8, 36.29830082812773)	(9, 36.54449795749686)	(10, 36.24691240284202)	(15, 36.28902452593264)	(20, 36.33599097165928)	(25, 36.24437874525138)	(30, 36.28393177880565)	(35, 36.41273186781746)	(40, 36.20430117781699)	(45, 36.18997663439988)	(50, 36.28604263029899)	(55, 35.98127890896953)	(60, 36.10850221734776)	(65, 36.16450336178532)	(70, 36.37008249487387)	(75, 36.12840907284663)	(80, 35.971697423426)	(85, 35.98628900227298)	(90, 35.94178309729308)	(95, 35.68782604549139)	(100, 35.99835646050896)	(105, 35.85354060369081)	(110, 35.89927360005086)	(115, 35.592341805350244)	(120, 35.91562634113776)	(125, 36.038112949628854)	(130, 35.906267385119136)	(135, 35.88508893233514)	(140, 35.883321412108785)	(145, 36.047134932366916)	(150, 35.445287937310255)	(155, 35.42691971452641)	(160, 35.98608554670736)	(165, 35.62348322286332)	(170, 35.49241333269754)	(175, 35.40958148554353)	(180, 35.43475911178929)	(185, 35.22217983564606)	(190, 34.188199577193906)	(195, 34.89714685359147)	(200, 34.682838205140435)	(205, 35.02643650755806)	(210, 34.70650898860331)	(215, 35.02167437572521)	(220, 34.7812471190374)	(225, 35.002298035383674)	(230, 35.017116319957836)
SRR36466316_2	(1, 36.34697121421646)	(2, 36.296218587573314)	(3, 36.18983357970531)	(4, 36.323653299000206)	(5, 35.860839572107515)	(6, 36.25174447252555)	(7, 36.52270595902278)	(8, 36.28251712682594)	(9, 36.40481299572426)	(10, 36.4485146154213)	(15, 36.39617885015816)	(20, 36.38593931301957)	(25, 36.37133819719295)	(30, 36.33761543719104)	(35, 36.395698822183014)	(40, 36.30715750321873)	(45, 36.326781428321645)	(50, 36.189623766153254)	(55, 36.16662692925151)	(60, 36.248575016292335)	(65, 36.15227059590228)	(70, 35.93954508607124)	(75, 35.920369399011335)	(80, 35.868265700252735)	(85, 36.10063738813918)	(90, 35.80777581739863)	(95, 36.13764722712317)	(100, 35.64212483906347)	(105, 35.18038879086994)	(110, 35.51488881471238)	(115, 35.65524772304612)	(120, 35.928062562586426)	(125, 35.84590466199354)	(130, 35.81619379142626)	(135, 35.45397294676776)	(140, 35.5137316611829)	(145, 35.48541954762927)	(150, 35.326565256783184)	(155, 35.63700030200435)	(160, 35.56766010204568)	(165, 35.211644652138666)	(170, 35.46156438256004)	(175, 34.965272678142824)	(180, 35.25030756759334)	(185, 34.78967780903788)	(190, 34.962551459952635)	(195, 34.927449016896354)	(200, 35.18450876607378)	(205, 35.10863891405592)	(210, 34.4403763927964)	(215, 34.76278352645717)	(220, 33.83624658722647)	(225, 33.30315473205729)	
SRR36466317_1	(1, 35.464601700621685)	(2, 36.196933869932195)	(3, 35.9671620288448)	(4, 36.160415916315635)	(5, 36.19225167948136)	(6, 36.42687796551778)	(7, 33.300192611847976)	(8, 36.25831910928765)	(9, 36.51857999655491)	(10, 36.2039524577585)	(15, 36.197713713024)	(20, 36.27915563976887)	(25, 36.13988944393117)	(30, 36.25861037598459)	(35, 36.372285817191006)	(40, 36.21383047025478)	(45, 36.17800779843092)	(50, 36.26748618049139)	(55, 35.92151771872406)	(60, 36.06567281041044)	(65, 36.052957296543944)	(70, 36.321668049922486)	(75, 36.03655866831614)	(80, 35.95742181994707)	(85, 35.89841056076669)	(90, 35.860633583363345)	(95, 35.30426408180523)	(100, 35.94616577146526)	(105, 35.84196745955934)	(110, 35.743087113797586)	(115, 35.68867348376893)	(120, 35.732219420911704)	(125, 35.974941668363115)	(130, 35.72172129222193)	(135, 35.864560985922104)	(140, 35.83387463004432)	(145, 35.97665168574515)	(150, 35.27772635417229)	(155, 35.28656707068809)	(160, 35.88825205925648)	(165, 35.59612891102133)	(170, 35.42737323436374)	(175, 35.283103135080964)	(180, 35.29580632027311)	(185, 35.146738075104146)	(190, 34.17862131604498)	(195, 34.768285884305804)	(200, 34.50335431739171)	(205, 34.90795201854114)	(210, 34.68079802060823)	(215, 34.93125371918945)	(220, 34.72469541795859)	(225, 34.85459366914207)	(230, 34.90750414691557)
SRR36466317_2	(1, 36.47653423949639)	(2, 36.30769351226922)	(3, 36.17192564869478)	(4, 36.31896835215083)	(5, 35.66256909754303)	(6, 36.125933697677695)	(7, 36.453514774738096)	(8, 36.320033198139654)	(9, 36.405001644247484)	(10, 36.475106093111386)	(15, 36.4405612364741)	(20, 36.354687671275784)	(25, 36.393040918273066)	(30, 36.3124477364193)	(35, 36.368057752235394)	(40, 36.29793451197169)	(45, 36.34161198891307)	(50, 36.2016661707825)	(55, 36.17171267949702)	(60, 36.186883602937726)	(65, 36.006467373432095)	(70, 35.63717252070968)	(75, 35.85115019026292)	(80, 35.85919290937848)	(85, 35.84989116647614)	(90, 35.63221159116178)	(95, 36.098683036063825)	(100, 35.624695031240705)	(105, 35.049158301883836)	(110, 35.30588014218826)	(115, 35.63305094035296)	(120, 35.74400789238792)	(125, 35.82495497893797)	(130, 35.629944095585586)	(135, 35.40294398596909)	(140, 35.415916315632884)	(145, 35.274861804913954)	(150, 35.48229123260985)	(155, 35.42384039587836)	(160, 35.46275799429985)	(165, 34.955814463340545)	(170, 35.37689874408844)	(175, 34.65333082777413)	(180, 34.943530959315986)	(185, 34.61374925616211)	(190, 34.78599392401892)	(195, 34.605374424504376)	(200, 35.160481067368224)	(205, 34.82620283153626)	(210, 34.44810105357355)	(215, 34.36541425649857)	(220, 33.33447265138247)	(225, 35.0)	
