Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR36466313_1	(220, 3.0)	(221, 4.0)	(222, 120.0)	(223, 503.0)	(224, 24700.0)	(225, 39375.0)	(226, 25.0)	(227, 2.0)																																
SRR36466313_2	(210, 1.0)	(211, 0.0)	(212, 0.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 0.0)	(217, 0.0)	(218, 0.0)	(219, 0.0)	(220, 0.0)	(221, 0.0)	(222, 1.0)	(223, 2.0)	(224, 7.0)	(225, 84.0)	(226, 304.0)	(227, 64303.0)	(228, 30.0)																					
SRR36466314_1	(219, 1.0)	(220, 2.0)	(221, 11.0)	(222, 147.0)	(223, 463.0)	(224, 26091.0)	(225, 37126.0)	(226, 25.0)	(227, 1.0)																															
SRR36466314_2	(222, 1.0)	(223, 0.0)	(224, 31.0)	(225, 139.0)	(226, 317.0)	(227, 63351.0)	(228, 28.0)																																	
SRR36466315_1	(226, 117.0)	(227, 162.0)	(228, 8969.0)	(229, 3004.0)	(230, 6950.0)	(231, 43836.0)																																		
SRR36466315_2	(211, 1.0)	(212, 0.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 2.0)	(217, 1.0)	(218, 291.0)	(219, 46497.0)	(220, 654.0)	(221, 14026.0)	(222, 1477.0)	(223, 76.0)	(224, 12.0)	(225, 1.0)																									
SRR36466316_1	(225, 2.0)	(226, 140.0)	(227, 161.0)	(228, 9550.0)	(229, 3228.0)	(230, 5898.0)	(231, 43934.0)																																	
SRR36466316_2	(222, 2.0)	(223, 0.0)	(224, 17.0)	(225, 97.0)	(226, 295.0)	(227, 62478.0)	(228, 24.0)																																	
SRR36466317_1	(152, 1.0)	(154, 0.0)	(156, 0.0)	(158, 0.0)	(160, 0.0)	(162, 0.0)	(164, 0.0)	(166, 0.0)	(168, 0.0)	(170, 0.0)	(172, 0.0)	(174, 0.0)	(176, 0.0)	(178, 0.0)	(180, 0.0)	(182, 0.0)	(184, 0.0)	(186, 0.0)	(188, 0.0)	(190, 0.0)	(192, 0.0)	(194, 0.0)	(196, 0.0)	(198, 0.0)	(200, 0.0)	(202, 0.0)	(204, 0.0)	(206, 0.0)	(208, 0.0)	(210, 0.0)	(212, 0.0)	(214, 0.0)	(216, 0.0)	(218, 0.0)	(220, 0.0)	(222, 0.0)	(224, 1.0)	(226, 242.0)	(228, 11134.0)	(230, 52481.0)
SRR36466317_2	(152, 1.0)	(154, 0.0)	(156, 0.0)	(158, 0.0)	(160, 0.0)	(162, 0.0)	(164, 0.0)	(166, 0.0)	(168, 0.0)	(170, 0.0)	(172, 0.0)	(174, 0.0)	(176, 0.0)	(178, 0.0)	(180, 0.0)	(182, 0.0)	(184, 0.0)	(186, 0.0)	(188, 0.0)	(190, 0.0)	(192, 0.0)	(194, 0.0)	(196, 0.0)	(198, 0.0)	(200, 0.0)	(202, 0.0)	(204, 0.0)	(206, 1.0)	(208, 0.0)	(210, 1.0)	(212, 1.0)	(214, 0.0)	(216, 4.0)	(218, 50898.0)	(220, 11738.0)	(222, 1206.0)	(224, 6.0)	(226, 3.0)		
SRR36466318_1	(225, 2.0)	(226, 181.0)	(227, 69.0)	(228, 6468.0)	(229, 5346.0)	(230, 6884.0)	(231, 43599.0)																																	
SRR36466318_2	(209, 3.0)	(210, 1.0)	(211, 2.0)	(212, 0.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 8.0)	(217, 1.0)	(218, 190.0)	(219, 47800.0)	(220, 670.0)	(221, 12751.0)	(222, 1083.0)	(223, 32.0)	(224, 6.0)	(225, 2.0)																							
SRR36466319_1	(224, 14.0)	(225, 97.0)	(226, 11103.0)	(227, 11299.0)	(228, 1730.0)	(229, 37822.0)	(230, 49.0)	(231, 4.0)																																
SRR36466319_2	(209, 1.0)	(210, 1.0)	(211, 1.0)	(212, 0.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 2.0)	(217, 3.0)	(218, 2.0)	(219, 35.0)	(220, 46.0)	(221, 181.0)	(222, 521.0)	(223, 59781.0)	(224, 1489.0)	(225, 46.0)	(226, 8.0)	(227, 1.0)																					
SRR36466320_1	(224, 15.0)	(225, 58.0)	(226, 6097.0)	(227, 12821.0)	(228, 904.0)	(229, 52999.0)	(230, 47.0)	(231, 3.0)																																
SRR36466320_2	(209, 1.0)	(210, 0.0)	(211, 2.0)	(212, 1.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 1.0)	(217, 0.0)	(218, 1.0)	(219, 30.0)	(220, 40.0)	(221, 269.0)	(222, 580.0)	(223, 70984.0)	(224, 997.0)	(225, 34.0)	(226, 4.0)																						
SRR36466321_1	(223, 1.0)	(224, 0.0)	(225, 7.0)	(226, 45.0)	(227, 407.0)	(228, 4009.0)	(229, 10582.0)	(230, 59050.0)	(231, 30.0)																															
SRR36466321_2	(215, 2.0)	(216, 2.0)	(217, 1.0)	(218, 6.0)	(219, 102.0)	(220, 2279.0)	(221, 379.0)	(222, 70155.0)	(223, 1140.0)	(224, 48.0)	(225, 16.0)	(226, 1.0)																												
SRR36466322_1	(224, 1.0)	(225, 2.0)	(226, 37.0)	(227, 379.0)	(228, 5029.0)	(229, 6769.0)	(230, 53757.0)	(231, 42.0)																																
SRR36466322_2	(200, 1.0)	(201, 0.0)	(202, 0.0)	(203, 0.0)	(204, 0.0)	(205, 0.0)	(206, 0.0)	(207, 0.0)	(208, 1.0)	(209, 0.0)	(210, 1.0)	(211, 0.0)	(212, 0.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 1.0)	(217, 1.0)	(218, 7.0)	(219, 108.0)	(220, 820.0)	(221, 406.0)	(222, 63340.0)	(223, 1294.0)	(224, 30.0)	(225, 3.0)	(226, 3.0)													
SRR36466323_1	(224, 5.0)	(225, 42.0)	(226, 2087.0)	(227, 3771.0)	(228, 1935.0)	(229, 55828.0)	(230, 39.0)	(231, 1.0)																																
SRR36466323_2	(216, 4.0)	(217, 0.0)	(218, 2.0)	(219, 24.0)	(220, 35.0)	(221, 332.0)	(222, 480.0)	(223, 62358.0)	(224, 446.0)	(225, 26.0)	(226, 1.0)																													
SRR36466324_1	(80, 1.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 9599.0)	(230, 53791.0)									
SRR36466324_2	(207, 1.0)	(208, 0.0)	(209, 0.0)	(210, 1.0)	(211, 0.0)	(212, 0.0)	(213, 0.0)	(214, 2.0)	(215, 0.0)	(216, 5.0)	(217, 1.0)	(218, 146.0)	(219, 43179.0)	(220, 483.0)	(221, 17616.0)	(222, 1843.0)	(223, 99.0)	(224, 9.0)	(225, 5.0)	(226, 0.0)	(227, 1.0)																			
SRR36466325_1	(225, 1.0)	(226, 196.0)	(227, 113.0)	(228, 7591.0)	(229, 2889.0)	(230, 4011.0)	(231, 48950.0)																																	
SRR36466325_2	(209, 4.0)	(210, 2.0)	(211, 2.0)	(212, 0.0)	(213, 0.0)	(214, 0.0)	(215, 0.0)	(216, 5.0)	(217, 0.0)	(218, 108.0)	(219, 41091.0)	(220, 493.0)	(221, 20677.0)	(222, 1334.0)	(223, 30.0)	(224, 5.0)																								
