Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Id,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR37700586,AMPLICON,501,23249430,PRJNA1439946,SAMN56598602,Metagenome or environmental,12939352,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX32578469,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z196,Illumina MiSeq,feces,36.0626 N 94.1574 W,Z196,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:23:00Z,1,F196,SRP685242
SRR37700587,AMPLICON,501,30804867,PRJNA1439946,SAMN56598601,Metagenome or environmental,17333505,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX32578468,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z195,Illumina MiSeq,feces,36.0626 N 94.1574 W,Z195,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:23:00Z,1,F195,SRP685242
SRR37700588,AMPLICON,501,19253860,PRJNA1439946,SAMN56598600,Metagenome or environmental,10685050,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX32578467,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z194,Illumina MiSeq,feces,36.0626 N 94.1574 W,Z194,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:22:00Z,1,F194,SRP685242
SRR37700589,AMPLICON,501,32353880,PRJNA1439946,SAMN56598599,Metagenome or environmental,18061681,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX32578466,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z193,Illumina MiSeq,feces,36.0626 N 94.1574 W,Z193,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:22:00Z,1,F193,SRP685242
SRR37700590,AMPLICON,501,21907766,PRJNA1439946,SAMN56598598,Metagenome or environmental,12028280,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX32578465,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z184,Illumina MiSeq,Colon,36.0626 N 94.1574 W,Z184,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:22:00Z,1,F184,SRP685242
SRR37700591,AMPLICON,501,23473289,PRJNA1439946,SAMN56598597,Metagenome or environmental,12963526,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX32578464,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z183,Illumina MiSeq,Colon,36.0626 N 94.1574 W,Z183,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:22:00Z,1,F183,SRP685242
SRR37700592,AMPLICON,501,37266839,PRJNA1439946,SAMN56598596,Metagenome or environmental,20777002,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX32578463,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z182,Illumina MiSeq,Colon,36.0626 N 94.1574 W,Z182,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:22:00Z,1,F182,SRP685242
SRR37700593,AMPLICON,501,26703980,PRJNA1439946,SAMN56598595,Metagenome or environmental,14691044,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX32578462,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z181,Illumina MiSeq,Colon,36.0626 N 94.1574 W,Z181,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:22:00Z,1,F181,SRP685242
SRR37700594,AMPLICON,501,24986468,PRJNA1439946,SAMN56598594,Metagenome or environmental,13787933,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX32578461,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z180,Illumina MiSeq,Colon,36.0626 N 94.1574 W,Z180,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:22:00Z,1,F180,SRP685242
SRR37700595,AMPLICON,501,27610230,PRJNA1439946,SAMN56598593,Metagenome or environmental,15264898,UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2023-07-19,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX32578460,USA,North America,"USA: Arkansas\, Fayetteville",Sus scrofa,Z179,Illumina MiSeq,Colon,36.0626 N 94.1574 W,Z179,PAIRED,PCR,GENOMIC,metagenome,ILLUMINA,2026-03-19T00:00:00Z,2026-03-19T16:22:00Z,1,F179,SRP685242
