Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
SRR37700607_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.005647324579980234)	(55, 0.007059155724975293)	(60, 0.007059155724975293)	(65, 0.007059155724975293)	(70, 0.007059155724975293)	(75, 0.007059155724975293)	(80, 0.007059155724975293)	(85, 0.007059155724975293)	(90, 0.007059155724975293)	(95, 0.007059155724975293)	(100, 0.007059155724975293)	(105, 0.012706480304955525)	(110, 0.014118311449950585)	(115, 0.01976563602993082)	(120, 0.021177467174925878)	(125, 0.021177467174925878)	(130, 0.021177467174925878)	(135, 0.021177467174925878)	(140, 0.021177467174925878)	(145, 0.021177467174925878)	(150, 0.021177467174925878)	(155, 0.021177467174925878)	(160, 0.021177467174925878)	(165, 0.021177467174925878)	(170, 0.021177467174925878)	(175, 0.021177467174925878)	(180, 0.021177467174925878)	(185, 0.021177467174925878)	(190, 0.021177467174925878)	(195, 0.021177467174925878)	(200, 0.021177467174925878)	(205, 0.021177467174925878)	(210, 0.021177467174925878)	(215, 0.021177467174925878)	(220, 0.021177467174925878)	(225, 0.021177467174925878)	(230, 0.6325003529577863)	(235, 1.037695891571368)	(240, 1.037695891571368)
SRR37700608_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 1.9047619047619047)	(170, 2.380952380952381)	(175, 2.380952380952381)	(180, 2.380952380952381)	(185, 2.380952380952381)	(190, 2.380952380952381)	(195, 2.380952380952381)	(200, 2.380952380952381)	(205, 2.380952380952381)	(210, 2.380952380952381)	(215, 2.380952380952381)	(220, 2.380952380952381)	(225, 2.380952380952381)	(230, 2.380952380952381)	(235, 2.380952380952381)	(240, 2.380952380952381)
SRR37700608_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.9047619047619047)	(90, 2.380952380952381)	(95, 2.380952380952381)	(100, 2.380952380952381)	(105, 2.380952380952381)	(110, 2.380952380952381)	(115, 2.380952380952381)	(120, 2.380952380952381)	(125, 2.380952380952381)	(130, 2.380952380952381)	(135, 2.380952380952381)	(140, 2.380952380952381)	(145, 2.380952380952381)	(150, 2.380952380952381)	(155, 2.380952380952381)	(160, 2.380952380952381)	(165, 2.380952380952381)	(170, 4.761904761904762)	(175, 4.761904761904762)	(180, 4.761904761904762)	(185, 4.761904761904762)	(190, 4.761904761904762)	(195, 4.761904761904762)	(200, 4.761904761904762)	(205, 4.761904761904762)	(210, 4.761904761904762)	(215, 4.761904761904762)	(220, 4.761904761904762)	(225, 4.761904761904762)	(230, 4.761904761904762)	(235, 4.761904761904762)	(240, 4.761904761904762)
SRR37700608_2 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 1.4285714285714284)	(155, 2.380952380952381)	(160, 2.380952380952381)	(165, 2.380952380952381)	(170, 2.380952380952381)	(175, 2.380952380952381)	(180, 2.380952380952381)	(185, 2.380952380952381)	(190, 2.380952380952381)	(195, 2.380952380952381)	(200, 2.380952380952381)	(205, 2.380952380952381)	(210, 2.380952380952381)	(215, 2.380952380952381)	(220, 2.380952380952381)	(225, 2.380952380952381)	(230, 2.380952380952381)	(235, 2.380952380952381)	(240, 2.380952380952381)
SRR37700609_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.07739630879142687)	(65, 0.3770589402659258)	(70, 0.3770589402659258)	(75, 0.3770589402659258)	(80, 0.3770589402659258)	(85, 0.38102798174240926)	(90, 0.38698154395713436)	(95, 0.38698154395713436)	(100, 0.38698154395713436)	(105, 0.38698154395713436)	(110, 0.38698154395713436)	(115, 0.38698154395713436)	(120, 0.38698154395713436)	(125, 0.38698154395713436)	(130, 0.38698154395713436)	(135, 0.38698154395713436)	(140, 0.38698154395713436)	(145, 0.38698154395713436)	(150, 0.38698154395713436)	(155, 0.38698154395713436)	(160, 0.38698154395713436)	(165, 0.38698154395713436)	(170, 0.38698154395713436)	(175, 0.38698154395713436)	(180, 0.38698154395713436)	(185, 0.38698154395713436)	(190, 0.38698154395713436)	(195, 0.38698154395713436)	(200, 0.38698154395713436)	(205, 0.38698154395713436)	(210, 0.38698154395713436)	(215, 0.38698154395713436)	(220, 0.38698154395713436)	(225, 0.38698154395713436)	(230, 0.38698154395713436)	(235, 0.38698154395713436)	(240, 0.38698154395713436)
SRR37700609_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.06350466362373487)	(70, 0.15876165905933717)	(75, 0.15876165905933717)	(80, 0.15876165905933717)	(85, 0.15876165905933717)	(90, 0.15876165905933717)	(95, 0.15876165905933717)	(100, 0.15876165905933717)	(105, 0.15876165905933717)	(110, 0.15876165905933717)	(115, 0.15876165905933717)	(120, 0.15876165905933717)	(125, 0.15876165905933717)	(130, 0.15876165905933717)	(135, 0.15876165905933717)	(140, 0.15876165905933717)	(145, 0.15876165905933717)	(150, 0.15876165905933717)	(155, 0.15876165905933717)	(160, 0.15876165905933717)	(165, 0.15876165905933717)	(170, 0.16868426275054574)	(175, 0.16868426275054574)	(180, 0.16868426275054574)	(185, 0.16868426275054574)	(190, 0.16868426275054574)	(195, 0.16868426275054574)	(200, 0.16868426275054574)	(205, 0.16868426275054574)	(210, 0.16868426275054574)	(215, 0.16868426275054574)	(220, 0.16868426275054574)	(225, 0.16868426275054574)	(230, 0.16868426275054574)	(235, 0.16868426275054574)	(240, 0.16868426275054574)
SRR37700625_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.016716584244619352)	(120, 0.02089573030577419)	(125, 0.02089573030577419)	(130, 0.02089573030577419)	(135, 0.02089573030577419)	(140, 0.02089573030577419)	(145, 0.02089573030577419)	(150, 0.02089573030577419)	(155, 0.02089573030577419)	(160, 0.02089573030577419)	(165, 0.02089573030577419)	(170, 0.02089573030577419)	(175, 0.02089573030577419)	(180, 0.02089573030577419)	(185, 0.02089573030577419)	(190, 0.02089573030577419)	(195, 0.02089573030577419)	(200, 0.02089573030577419)	(205, 0.02089573030577419)	(210, 0.02089573030577419)	(215, 0.02089573030577419)	(220, 0.023681827679877414)	(225, 0.027860973741032254)	(230, 0.10308560284181931)	(235, 0.15323535557567736)	(240, 0.15323535557567736)
SRR37700629_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.027746531683539556)	(65, 0.1582302212223472)	(70, 0.20097487814023246)	(75, 0.24371953505811775)	(80, 0.24371953505811775)	(85, 0.24371953505811775)	(90, 0.24371953505811775)	(95, 0.24371953505811775)	(100, 0.24371953505811775)	(105, 0.24371953505811775)	(110, 0.24371953505811775)	(115, 0.24371953505811775)	(120, 0.24371953505811775)	(125, 0.24371953505811775)	(130, 0.24371953505811775)	(135, 0.24371953505811775)	(140, 0.24371953505811775)	(145, 0.24371953505811775)	(150, 0.24371953505811775)	(155, 0.24371953505811775)	(160, 0.24371953505811775)	(165, 0.24371953505811775)	(170, 0.24371953505811775)	(175, 0.24371953505811775)	(180, 0.24371953505811775)	(185, 0.24371953505811775)	(190, 0.24371953505811775)	(195, 0.24371953505811775)	(200, 0.24371953505811775)	(205, 0.24746906636670415)	(210, 0.24746906636670415)	(215, 0.24746906636670415)	(220, 0.24746906636670415)	(225, 0.24746906636670415)	(230, 0.2579677540307462)	(235, 0.26246719160104987)	(240, 0.26246719160104987)
SRR37700629_2 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.014998125234345707)	(70, 0.06374203224596925)	(75, 0.09298837645294339)	(80, 0.1124859392575928)	(85, 0.1124859392575928)	(90, 0.1124859392575928)	(95, 0.1124859392575928)	(100, 0.1124859392575928)	(105, 0.1124859392575928)	(110, 0.1124859392575928)	(115, 0.1124859392575928)	(120, 0.1124859392575928)	(125, 0.1124859392575928)	(130, 0.1124859392575928)	(135, 0.1124859392575928)	(140, 0.1124859392575928)	(145, 0.1124859392575928)	(150, 0.1124859392575928)	(155, 0.1124859392575928)	(160, 0.1124859392575928)	(165, 0.1124859392575928)	(170, 0.1124859392575928)	(175, 0.1132358455193101)	(180, 0.11623547056617922)	(185, 0.11623547056617922)	(190, 0.11623547056617922)	(195, 0.11623547056617922)	(200, 0.11623547056617922)	(205, 0.11623547056617922)	(210, 0.11623547056617922)	(215, 0.11623547056617922)	(220, 0.11623547056617922)	(225, 0.11623547056617922)	(230, 0.11623547056617922)	(235, 0.11623547056617922)	(240, 0.11623547056617922)
SRR37700630_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.09202453987730061)	(235, 0.15337423312883436)	(240, 0.15337423312883436)
