Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR37700586_1	(1, 33.22965216640773)	(2, 33.14204643535301)	(3, 33.466791817711034)	(4, 33.53568962540998)	(5, 33.278223718280685)	(6, 35.35419903331607)	(7, 35.147095632660104)	(8, 33.55025461764198)	(9, 34.57235025030209)	(10, 35.908298808907304)	(15, 37.70777662696358)	(20, 37.81739599516658)	(25, 37.73187899188676)	(30, 38.65033229760055)	(35, 37.89244778180563)	(40, 38.27467633350595)	(45, 37.45833764888659)	(50, 37.665902813740715)	(55, 36.63981097876748)	(60, 37.6953737269118)	(65, 37.39226221301571)	(70, 37.8503279820473)	(75, 37.908035560158815)	(80, 37.09706973934058)	(85, 37.813369583980666)	(90, 37.25252028310029)	(95, 36.898291040911445)	(100, 37.01757724840324)	(105, 36.8152770585189)	(110, 37.19198170205421)	(115, 36.823722596236834)	(120, 36.875176937683406)	(125, 36.554885206283444)	(130, 35.99120921802175)	(135, 35.988982392542724)	(140, 36.308367857759364)	(145, 36.47422320041429)	(150, 36.24696185050924)	(155, 35.79661229069567)	(160, 35.95247281201449)	(165, 35.568846021059905)	(170, 35.451005523908165)	(175, 35.06986880718108)	(180, 35.226044363887446)	(185, 35.24079924046263)	(190, 34.97241066804764)	(195, 34.46066373209045)	(200, 34.26544536509581)	(205, 34.750850163991025)	(210, 33.563904712584154)	(215, 34.31784481270499)	(220, 33.96658467115484)	(225, 33.82028310029346)	(230, 33.1573062316589)	(235, 32.9419730709477)	(240, 33.08291904022095)	(245, 33.04765469019037)	(250, 30.21642125894722)
SRR37700586_2	(1, 32.66155273606076)	(2, 32.77332556533748)	(3, 32.46659761781461)	(4, 32.37707146556188)	(5, 32.82563007077508)	(6, 36.90395736233385)	(7, 36.25593388572415)	(8, 33.16832815466943)	(9, 34.411380113930605)	(10, 36.19793284999137)	(15, 36.5666450889004)	(20, 36.916053858104604)	(25, 37.1581305023304)	(30, 38.032815466942864)	(35, 37.814940445365096)	(40, 36.5477429656482)	(45, 37.152067150008634)	(50, 37.119739340583465)	(55, 37.65564042810288)	(60, 36.565082858622475)	(65, 36.66620490246849)	(70, 37.84587433108924)	(75, 37.82068444674607)	(80, 38.29625841532885)	(85, 37.86305454859313)	(90, 38.13046780597273)	(95, 37.960232176765054)	(100, 37.735003452442605)	(105, 36.83479199033316)	(110, 38.158631106507855)	(115, 35.85744432936302)	(120, 37.258493008803725)	(125, 35.963114966338686)	(130, 37.757435698256515)	(135, 35.933920248575866)	(140, 36.38977645434145)	(145, 37.030722423614705)	(150, 35.62649318142586)	(155, 36.20200673226308)	(160, 34.846193682030034)	(165, 34.68628517175902)	(170, 35.50428534438115)	(175, 35.13187899188676)	(180, 35.680377179354394)	(185, 33.623485240807874)	(190, 34.636863455895046)	(195, 33.78050233039876)	(200, 33.04624978422234)	(205, 32.47916450889004)	(210, 34.841869497669606)	(215, 32.548467978594864)	(220, 32.41683928879682)	(225, 33.08769635767305)	(230, 29.01092698083894)	(235, 30.1088425686173)	(240, 28.65945969273261)	(245, 32.09860147832057)	(250, 23.17940388601966)
SRR37700587_1	(1, 33.203032375740996)	(2, 33.129877532408315)	(3, 33.44096475799622)	(4, 33.511644192560745)	(5, 33.25377825548824)	(6, 35.38787375415282)	(7, 35.115415933815385)	(8, 33.46132173799752)	(9, 34.49778516057586)	(10, 35.848394241417495)	(15, 37.686391766008725)	(20, 37.83042798514755)	(25, 37.700931535404855)	(30, 38.623571754283105)	(35, 37.88323887694613)	(40, 38.27125594423816)	(45, 37.45595726662758)	(50, 37.715728617028205)	(55, 36.61148459383753)	(60, 37.77788417692658)	(65, 37.419767441860465)	(70, 37.89709139469742)	(75, 37.93168197511562)	(80, 37.138521920396066)	(85, 37.87879616963064)	(90, 37.34978828740799)	(95, 36.98461989446942)	(100, 36.930405185329946)	(105, 36.75445899289949)	(110, 37.080079473649924)	(115, 36.79482118428767)	(120, 36.75724382776366)	(125, 36.474923457755196)	(130, 35.91037065989186)	(135, 36.03079603934597)	(140, 36.395199009836496)	(145, 36.41127288124552)	(150, 36.22628167546088)	(155, 35.752185525372944)	(160, 35.91382971793369)	(165, 35.4000521138688)	(170, 35.32148719953098)	(175, 34.91200247540877)	(180, 35.152618721907366)	(185, 35.09060647514819)	(190, 34.85485636114911)	(195, 34.29819881440949)	(200, 34.25424728030747)	(205, 34.611155625040716)	(210, 33.6765911015569)	(215, 34.29544655071331)	(220, 33.94114389942023)	(225, 33.686241938635916)	(230, 33.15073610839685)	(235, 32.72997850302912)	(240, 33.049820858575984)	(245, 32.97913654862949)	(250, 29.50436051640552)
SRR37700587_2	(1, 32.750097713504005)	(2, 33.01162790697674)	(3, 32.721125659566155)	(4, 32.52592664972966)	(5, 32.73452869519901)	(6, 36.80748811152368)	(7, 36.171145202266956)	(8, 33.90191192756172)	(9, 34.347452934662236)	(10, 36.18885088919289)	(15, 36.578389030030614)	(20, 36.764582111914535)	(25, 37.02708944042733)	(30, 37.96268646993682)	(35, 37.70601589472999)	(40, 36.42226890756302)	(45, 37.10599309491238)	(50, 36.925011399908804)	(55, 37.648156471891085)	(60, 36.55726011334766)	(65, 36.406312292358805)	(70, 37.70790502247411)	(75, 37.72220376522702)	(80, 38.22896879682106)	(85, 37.77104097452935)	(90, 38.05878118689336)	(95, 37.8968177968862)	(100, 37.67375415282392)	(105, 36.458647645104556)	(110, 38.12918376652986)	(115, 35.569816298612466)	(120, 36.84968405967038)	(125, 35.66973812780926)	(130, 37.7233535274575)	(135, 35.73547325907107)	(140, 36.235841313269496)	(145, 36.74298742752915)	(150, 35.38182203113804)	(155, 35.733906585890175)	(160, 34.6515959872321)	(165, 34.473044101361474)	(170, 35.26115236792391)	(175, 35.14665819816299)	(180, 35.51777082926194)	(185, 33.43468503680542)	(190, 34.51868933619959)	(195, 33.92243827763664)	(200, 32.83935574229692)	(205, 32.36577421666341)	(210, 34.606263435606806)	(215, 32.330069702299525)	(220, 32.279284737150675)	(225, 32.84603934597095)	(230, 28.83068204025796)	(235, 29.888499120578466)	(240, 27.857517425574883)	(245, 31.811182240177352)	(250, 23.34791204693608)
SRR37700588_1	(1, 33.215644379592476)	(2, 33.13103861587368)	(3, 33.45262911042785)	(4, 33.51464380634739)	(5, 33.25491166814321)	(6, 35.58254729271979)	(7, 35.37987909739955)	(8, 33.52246078482464)	(9, 34.63437386002397)	(10, 35.902277346396374)	(15, 37.7094168534056)	(20, 37.83581218406378)	(25, 37.79693053311793)	(30, 38.63646359893689)	(35, 37.9131637917557)	(40, 38.29912449841055)	(45, 37.420230340299135)	(50, 37.712715618323)	(55, 36.70215748605972)	(60, 37.770186044087765)	(65, 37.558465787690864)	(70, 37.876835687112404)	(75, 37.95507321903174)	(80, 37.18660169888999)	(85, 37.924644327479285)	(90, 37.41852623899109)	(95, 37.02214810568555)	(100, 37.12037104591172)	(105, 36.89244358747199)	(110, 37.237573609880656)	(115, 37.005706394288396)	(120, 36.91576423992913)	(125, 36.652582208556986)	(130, 36.17503778206264)	(135, 36.09096357288029)	(140, 36.46059200583668)	(145, 36.64567721090208)	(150, 36.39654489551306)	(155, 35.83330553963208)	(160, 36.06587107196832)	(165, 35.562207514721976)	(170, 35.417395382771375)	(175, 35.15929438740945)	(180, 35.288232841732246)	(185, 35.26573557767471)	(190, 34.97984261816666)	(195, 34.462488925947156)	(200, 34.15050810360102)	(205, 34.716947209338684)	(210, 33.734848090051585)	(215, 34.28502788055657)	(220, 33.87241648861327)	(225, 33.6456355203502)	(230, 33.011094898118714)	(235, 32.77723174735525)	(240, 33.15076345823128)	(245, 33.03660676303916)	(250, 29.810282131882754)
SRR37700588_2	(1, 33.086273385793945)	(2, 33.050341341393505)	(3, 32.71554015321278)	(4, 32.8096565740789)	(5, 33.0718901453958)	(6, 36.867997290114126)	(7, 36.28258377195268)	(8, 34.153499400698315)	(9, 34.7607222888113)	(10, 36.349997394340505)	(15, 36.75321277815415)	(20, 36.93903277919642)	(25, 37.30748345406222)	(30, 38.03062692167388)	(35, 37.83745374954401)	(40, 36.69267288550732)	(45, 37.243863671895355)	(50, 37.06122257543384)	(55, 37.587518891031316)	(60, 36.68132263275835)	(65, 36.72138725311377)	(70, 37.81125123768826)	(75, 37.81718171869299)	(80, 38.262009484600554)	(85, 37.871389858773256)	(90, 38.097529834801186)	(95, 37.984282661941734)	(100, 37.76959716504248)	(105, 36.884788159883264)	(110, 38.10072437333889)	(115, 36.11699411120955)	(120, 37.51155349418938)	(125, 36.21908906144145)	(130, 37.84102350304862)	(135, 35.97689822294022)	(140, 36.644416071707745)	(145, 37.21345041429986)	(150, 35.81730157902965)	(155, 36.19666996716869)	(160, 34.99303246651728)	(165, 35.027781541508155)	(170, 35.64483818854552)	(175, 35.3174579185992)	(180, 35.871212673927765)	(185, 33.87833654698004)	(190, 34.96121215279587)	(195, 34.180087550158945)	(200, 33.241237167127004)	(205, 32.59250612329981)	(210, 34.68459534108082)	(215, 32.79481473761009)	(220, 32.38159883266455)	(225, 32.91866694460368)	(230, 28.982224190942723)	(235, 30.08235447391735)	(240, 28.73872010005732)	(245, 31.90261558796808)	(250, 23.58251736346861)
SRR37700589_1	(1, 33.27276251317993)	(2, 33.126294734230605)	(3, 33.45532779259443)	(4, 33.512094523351735)	(5, 33.269444272157784)	(6, 35.409477144452026)	(7, 35.21283259939217)	(8, 33.57873844817962)	(9, 34.72650871425913)	(10, 35.905067295168394)	(15, 37.68551138125659)	(20, 37.827842212987655)	(25, 37.68007194690815)	(30, 38.61428704335422)	(35, 37.89201761458786)	(40, 38.2681324815481)	(45, 37.43174037089872)	(50, 37.70688767599082)	(55, 36.65057681572908)	(60, 37.77223221484836)	(65, 37.541716802083975)	(70, 37.89066240774049)	(75, 37.896415059232154)	(80, 37.14903864045153)	(85, 37.89006698505241)	(90, 37.4070613409415)	(95, 36.956794641195806)	(100, 37.02535508280097)	(105, 36.905197543881414)	(110, 37.156642684363945)	(115, 36.85810953296532)	(120, 36.834863238851334)	(125, 36.591202009551566)	(130, 35.98158531290703)	(135, 36.12207715685666)	(140, 36.430599144079885)	(145, 36.54608323512994)	(150, 36.313651305588294)	(155, 35.816985052409606)	(160, 35.99903243813186)	(165, 35.50104198970415)	(170, 35.458801091608265)	(175, 35.107005520064504)	(180, 35.24860757923464)	(185, 35.1928487254233)	(190, 34.904834708180864)	(195, 34.257783911182784)	(200, 34.26715251504062)	(205, 34.66224027786392)	(210, 33.758035105129316)	(215, 34.2653600446567)	(220, 33.859325187620165)	(225, 33.70679774235564)	(230, 33.203008125038764)	(235, 32.8469980772809)	(240, 32.96934193388327)	(245, 32.88028943488801)	(250, 30.1570757956259)
SRR37700589_2	(1, 33.011923959560875)	(2, 33.03826831234882)	(3, 32.644700117844074)	(4, 32.45478508962352)	(5, 32.864665384853936)	(6, 36.71080133970105)	(7, 36.0609532965329)	(8, 33.91243875209328)	(9, 34.51189294796254)	(10, 36.213716429944796)	(15, 36.66729206723314)	(20, 36.94329529243937)	(25, 37.20524406127892)	(30, 38.01613843577498)	(35, 37.83472988897848)	(40, 36.74751907213298)	(45, 37.275153507411765)	(50, 37.133715809712825)	(55, 37.68239161446381)	(60, 36.82600632636606)	(65, 36.73388947466352)	(70, 37.86580351051293)	(75, 37.87297649320846)	(80, 38.293171246046015)	(85, 37.88953048440116)	(90, 38.11042609936116)	(95, 37.9411492898344)	(100, 37.7437480617751)	(105, 36.79694845872356)	(110, 38.175714817341685)	(115, 35.87297339204862)	(120, 37.300331824102216)	(125, 36.04894560565652)	(130, 37.74963716429944)	(135, 35.95221732928114)	(140, 36.39765552316567)	(145, 37.16378155430131)	(150, 35.79783539043602)	(155, 36.13066116727656)	(160, 34.86441108974756)	(165, 34.67460150096136)	(170, 35.48054332320287)	(175, 35.2964832847485)	(180, 35.70604416051603)	(185, 33.69338212491472)	(190, 34.67212057309433)	(195, 34.04836878992744)	(200, 33.14245797928425)	(205, 32.58091546238293)	(210, 34.820275382993245)	(215, 32.50504558704956)	(220, 32.481758977857716)	(225, 32.96061527011102)	(230, 28.948446318923278)	(235, 30.02243379023755)	(240, 28.478871798052467)	(245, 31.91915774968603)	(250, 23.284442953418942)
SRR37700590_1	(1, 32.961873139455)	(2, 33.21662468513854)	(3, 33.37064346233112)	(4, 33.50245019464163)	(5, 33.23986718571101)	(6, 35.56938401648729)	(7, 35.27190290817495)	(8, 33.553263109686284)	(9, 34.43883673002061)	(10, 35.908637508587134)	(15, 37.665697275017166)	(20, 37.85300206091138)	(25, 37.768202427295634)	(30, 38.628742844057705)	(35, 37.87418365010304)	(40, 38.288916876574305)	(45, 37.47840622853217)	(50, 37.65486604076024)	(55, 36.68584382871536)	(60, 37.70628806961301)	(65, 37.49002060911381)	(70, 37.919519120677805)	(75, 37.991733455461414)	(80, 37.22307762766201)	(85, 37.8998397068926)	(90, 37.440164872910465)	(95, 37.03986260590794)	(100, 37.198639798488664)	(105, 36.90291275475154)	(110, 37.291458667277304)	(115, 36.999404625601095)	(120, 37.01921685367529)	(125, 36.569164185940004)	(130, 35.99540645752232)	(135, 36.038992443324936)	(140, 36.26528509274101)	(145, 36.56393405083581)	(150, 36.169727501717425)	(155, 35.78356308678727)	(160, 35.95963361575453)	(165, 35.5613647813144)	(170, 35.44485459125258)	(175, 35.08269292420426)	(180, 35.189443553927184)	(185, 35.21242500572476)	(190, 34.97806732310511)	(195, 34.385711014426384)	(200, 34.229013052438745)	(205, 34.702317380352646)	(210, 33.58013281428899)	(215, 34.35548431417449)	(220, 34.024121822761614)	(225, 33.730698419967936)	(230, 32.90774902679185)	(235, 32.69415159148157)	(240, 32.89078085642318)	(245, 33.05921781977667)	(250, 29.979433075953704)
SRR37700590_2	(1, 32.66839935882757)	(2, 32.80673231051065)	(3, 32.724043966109456)	(4, 32.45177467368903)	(5, 32.88703915731624)	(6, 36.91834211128921)	(7, 36.40915960613694)	(8, 33.61488435997252)	(9, 34.86681932676895)	(10, 36.47710098465766)	(15, 36.786933821845665)	(20, 36.945381268605445)	(25, 37.22130066407145)	(30, 38.03664300435081)	(35, 37.80532173116556)	(40, 36.64921914357682)	(45, 37.16382871536524)	(50, 37.241868559651934)	(55, 37.70657659720632)	(60, 36.627007098694754)	(65, 36.7522143347836)	(70, 37.88637508587131)	(75, 37.95193038699336)	(80, 38.25572704373712)	(85, 37.82917792534921)	(90, 38.163150904511106)	(95, 38.0545546141516)	(100, 37.81748568811541)	(105, 36.926622395237004)	(110, 38.25012594458438)	(115, 35.893221891458666)	(120, 37.35643233340967)	(125, 36.053982138768035)	(130, 37.80537668880238)	(135, 36.16799633615754)	(140, 36.72384245477444)	(145, 37.08238149759561)	(150, 35.86567437600183)	(155, 36.35902450194642)	(160, 35.0551637279597)	(165, 34.8761071673918)	(170, 35.815841538813835)	(175, 35.380233569956495)	(180, 35.85398671857111)	(185, 33.82706205633158)	(190, 34.853061598351275)	(195, 34.08912754751545)	(200, 33.23414243187543)	(205, 32.918016945271354)	(210, 35.00558735974353)	(215, 32.91485688115411)	(220, 32.63156858255095)	(225, 33.281818181818174)	(230, 29.56439661094573)	(235, 30.467149072589883)	(240, 28.98233569956492)	(245, 32.274326162563)	(250, 23.444414549042136)
