Sample	0	1	2	3	4	5	6	7	8	9
SRR37700586_1	(248, 16.0)	(249, 2.0)	(250, 295.0)	(251, 46031.0)						
SRR37700586_2	(248, 14.0)	(249, 288.0)	(250, 14293.0)	(251, 31749.0)						
SRR37700587_1	(248, 16.0)	(249, 10.0)	(250, 502.0)	(251, 60876.0)						
SRR37700587_2	(245, 1.0)	(246, 0.0)	(247, 2.0)	(248, 44.0)	(249, 362.0)	(250, 18501.0)	(251, 42494.0)			
SRR37700588_1	(248, 11.0)	(249, 2.0)	(250, 1149.0)	(251, 37216.0)						
SRR37700588_2	(247, 1.0)	(248, 15.0)	(249, 232.0)	(250, 10197.0)	(251, 27933.0)					
SRR37700589_1	(248, 28.0)	(249, 7.0)	(250, 2079.0)	(251, 62378.0)						
SRR37700589_2	(247, 3.0)	(248, 33.0)	(249, 473.0)	(250, 17870.0)	(251, 46113.0)					
SRR37700590_1	(248, 10.0)	(249, 5.0)	(250, 357.0)	(251, 43298.0)						
SRR37700590_2	(247, 1.0)	(248, 14.0)	(249, 245.0)	(250, 13641.0)	(251, 29769.0)					
SRR37700591_1	(248, 2.0)	(249, 6.0)	(250, 417.0)	(251, 46364.0)						
SRR37700591_2	(245, 1.0)	(246, 0.0)	(247, 0.0)	(248, 16.0)	(249, 138.0)	(250, 14024.0)	(251, 32610.0)			
SRR37700592_1	(248, 19.0)	(249, 9.0)	(250, 679.0)	(251, 73577.0)						
SRR37700592_2	(247, 4.0)	(248, 25.0)	(249, 451.0)	(250, 21982.0)	(251, 51822.0)					
SRR37700593_1	(248, 23.0)	(249, 5.0)	(250, 514.0)	(251, 52684.0)						
SRR37700593_2	(247, 2.0)	(248, 19.0)	(249, 338.0)	(250, 14138.0)	(251, 38729.0)					
SRR37700594_1	(248, 14.0)	(249, 7.0)	(250, 376.0)	(251, 49405.0)						
SRR37700594_2	(246, 1.0)	(247, 0.0)	(248, 11.0)	(249, 247.0)	(250, 13172.0)	(251, 36371.0)				
SRR37700595_1	(248, 18.0)	(249, 5.0)	(250, 805.0)	(251, 54207.0)						
SRR37700595_2	(247, 1.0)	(248, 24.0)	(249, 299.0)	(250, 15797.0)	(251, 38914.0)					
SRR37700597_1	(248, 20.0)	(249, 4.0)	(250, 385.0)	(251, 58185.0)						
