Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR37722522,AMPLICON,1474,53654182,PRJNA1441127,SAMN56642435,Metagenome or environmental,28198372,HUNBIOME,2025,public,"fastq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX32599842,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T1-10,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:42:00Z,1,2nd_T1-10,2nd_T1-10,SRP685748
SRR37722523,AMPLICON,1464,43932574,PRJNA1441127,SAMN56642434,Metagenome or environmental,23206809,HUNBIOME,2025,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX32599841,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T1-9,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:43:00Z,1,2nd_T1-9,2nd_T1-9,SRP685748
SRR37722524,AMPLICON,1472,25321594,PRJNA1441127,SAMN56642433,Metagenome or environmental,13462384,HUNBIOME,2025,public,"fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX32599840,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T1-8,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:42:00Z,1,2nd_T1-8,2nd_T1-8,SRP685748
SRR37722525,AMPLICON,1457,122260985,PRJNA1441127,SAMN56642432,Metagenome or environmental,64374494,HUNBIOME,2025,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX32599839,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T1-7,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:43:00Z,1,2nd_T1-7,2nd_T1-7,SRP685748
SRR37722526,AMPLICON,1481,17929516,PRJNA1441127,SAMN56642431,Metagenome or environmental,9538120,HUNBIOME,2025,public,"sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32599838,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T1-6,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:42:00Z,1,2nd_T1-6,2nd_T1-6,SRP685748
SRR37722527,AMPLICON,1484,35187131,PRJNA1441127,SAMN56642430,Metagenome or environmental,18478135,HUNBIOME,2025,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX32599837,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T1-5,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:43:00Z,1,2nd_T1-5,2nd_T1-5,SRP685748
SRR37722528,AMPLICON,1474,60907212,PRJNA1441127,SAMN56642429,Metagenome or environmental,32127210,HUNBIOME,2025,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX32599836,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T1-4,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:43:00Z,1,2nd_T1-4,2nd_T1-4,SRP685748
SRR37722529,AMPLICON,1487,49880962,PRJNA1441127,SAMN56642455,Metagenome or environmental,26387195,HUNBIOME,2025,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX32599835,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T3-10,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:43:00Z,1,2nd_T3-10,2nd_T3-10,SRP685748
SRR37722530,AMPLICON,1493,29311069,PRJNA1441127,SAMN56642454,Metagenome or environmental,15539640,HUNBIOME,2025,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX32599834,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T3-9,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:43:00Z,1,2nd_T3-9,2nd_T3-9,SRP685748
SRR37722531,AMPLICON,1493,49449832,PRJNA1441127,SAMN56642453,Metagenome or environmental,26268873,HUNBIOME,2025,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX32599833,South Korea,Asia,South Korea,Sus scrofa,Sequel II,Pig;gut microbiome,34.00 N 58.41 E,2nd_T3-8,SINGLE,PCR,METAGENOMIC,pig gut metagenome,PACBIO_SMRT,2026-03-22T00:00:00Z,2026-03-22T21:43:00Z,1,2nd_T3-8,2nd_T3-8,SRP685748
