Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
SRR37722522_subreads	(300, 42.0)	(400, 97.0)	(500, 209.0)	(600, 162.0)	(700, 159.0)	(800, 135.0)	(900, 123.0)	(1000, 46.0)	(1100, 34.0)	(1200, 49.0)	(1300, 29.0)	(1400, 25960.0)	(1500, 8920.0)	(1600, 337.0)	(1700, 15.0)	(1800, 17.0)	(1900, 6.0)	(2000, 13.0)	(2100, 5.0)	(2200, 4.0)	(2300, 3.0)	(2400, 3.0)	(2500, 4.0)	(2600, 0.0)	(2700, 0.0)	(2800, 0.0)	(2900, 1.0)	(3000, 5.0)	(3100, 0.0)	(3200, 0.0)	(3300, 0.0)	(3400, 0.0)	(3500, 0.0)	(3600, 1.0)											
SRR37722523_subreads	(200, 4.0)	(300, 54.0)	(400, 107.0)	(500, 246.0)	(600, 224.0)	(700, 219.0)	(800, 215.0)	(900, 129.0)	(1000, 95.0)	(1100, 38.0)	(1200, 36.0)	(1300, 26.0)	(1400, 21686.0)	(1500, 6479.0)	(1600, 300.0)	(1700, 18.0)	(1800, 21.0)	(1900, 18.0)	(2000, 15.0)	(2100, 11.0)	(2200, 10.0)	(2300, 13.0)	(2400, 8.0)	(2500, 2.0)	(2600, 4.0)	(2700, 2.0)	(2800, 3.0)	(2900, 2.0)	(3000, 11.0)	(3100, 1.0)	(3200, 0.0)	(3300, 3.0)	(3400, 1.0)	(3500, 1.0)	(3600, 1.0)	(3700, 0.0)	(3800, 0.0)	(3900, 0.0)	(4000, 0.0)	(4100, 0.0)	(4200, 1.0)	(4300, 2.0)			
SRR37722524_subreads	(200, 1.0)	(300, 22.0)	(400, 74.0)	(500, 74.0)	(600, 175.0)	(700, 139.0)	(800, 104.0)	(900, 71.0)	(1000, 71.0)	(1100, 51.0)	(1200, 53.0)	(1300, 38.0)	(1400, 9964.0)	(1500, 6040.0)	(1600, 181.0)	(1700, 9.0)	(1800, 12.0)	(1900, 22.0)	(2000, 17.0)	(2100, 11.0)	(2200, 16.0)	(2300, 11.0)	(2400, 11.0)	(2500, 4.0)	(2600, 3.0)	(2700, 7.0)	(2800, 3.0)	(2900, 5.0)	(3000, 7.0)	(3100, 1.0)	(3200, 1.0)	(3300, 0.0)	(3400, 0.0)	(3500, 1.0)	(3600, 1.0)	(3700, 0.0)	(3800, 0.0)	(3900, 2.0)							
SRR37722526_subreads	(200, 2.0)	(300, 8.0)	(400, 18.0)	(500, 56.0)	(600, 47.0)	(700, 43.0)	(800, 71.0)	(900, 33.0)	(1000, 12.0)	(1100, 2.0)	(1200, 8.0)	(1300, 3.0)	(1400, 8123.0)	(1500, 3398.0)	(1600, 256.0)	(1700, 5.0)	(1800, 4.0)	(1900, 0.0)	(2000, 2.0)	(2100, 2.0)	(2200, 0.0)	(2300, 0.0)	(2400, 1.0)	(2500, 1.0)	(2600, 0.0)	(2700, 0.0)	(2800, 1.0)	(2900, 2.0)	(3000, 6.0)																
SRR37722527_subreads	(200, 4.0)	(300, 15.0)	(400, 70.0)	(500, 80.0)	(600, 73.0)	(700, 83.0)	(800, 58.0)	(900, 33.0)	(1000, 28.0)	(1100, 19.0)	(1200, 14.0)	(1300, 14.0)	(1400, 15808.0)	(1500, 6798.0)	(1600, 535.0)	(1700, 17.0)	(1800, 18.0)	(1900, 5.0)	(2000, 6.0)	(2100, 7.0)	(2200, 2.0)	(2300, 5.0)	(2400, 2.0)	(2500, 2.0)	(2600, 1.0)	(2700, 2.0)	(2800, 0.0)	(2900, 1.0)	(3000, 1.0)	(3100, 0.0)	(3200, 0.0)	(3300, 0.0)	(3400, 0.0)	(3500, 0.0)	(3600, 0.0)	(3700, 0.0)	(3800, 0.0)	(3900, 1.0)							
SRR37722528_subreads	(200, 5.0)	(300, 46.0)	(400, 94.0)	(500, 241.0)	(600, 220.0)	(700, 242.0)	(800, 202.0)	(900, 183.0)	(1000, 107.0)	(1100, 57.0)	(1200, 44.0)	(1300, 29.0)	(1400, 28771.0)	(1500, 9706.0)	(1600, 1176.0)	(1700, 28.0)	(1800, 47.0)	(1900, 19.0)	(2000, 9.0)	(2100, 17.0)	(2200, 11.0)	(2300, 3.0)	(2400, 5.0)	(2500, 5.0)	(2600, 9.0)	(2700, 5.0)	(2800, 4.0)	(2900, 1.0)	(3000, 12.0)	(3100, 4.0)	(3200, 4.0)	(3300, 2.0)	(3400, 1.0)	(3500, 1.0)	(3600, 0.0)	(3700, 0.0)	(3800, 0.0)	(3900, 1.0)	(4000, 0.0)	(4100, 1.0)	(4200, 1.0)				
SRR37722529_subreads	(200, 1.0)	(300, 9.0)	(400, 23.0)	(500, 79.0)	(600, 98.0)	(700, 38.0)	(800, 74.0)	(900, 44.0)	(1000, 11.0)	(1100, 3.0)	(1200, 6.0)	(1300, 13.0)	(1400, 25762.0)	(1500, 6542.0)	(1600, 808.0)	(1700, 8.0)	(1800, 6.0)	(1900, 4.0)	(2000, 1.0)	(2100, 1.0)	(2200, 2.0)	(2300, 0.0)	(2400, 0.0)	(2500, 1.0)	(2600, 0.0)	(2700, 0.0)	(2800, 0.0)	(2900, 0.0)	(3000, 5.0)																
SRR37722530_subreads	(800, 1.0)	(850, 1.0)	(900, 0.0)	(950, 0.0)	(1000, 0.0)	(1050, 3.0)	(1100, 0.0)	(1150, 0.0)	(1200, 4.0)	(1250, 1.0)	(1300, 0.0)	(1350, 3.0)	(1400, 40.0)	(1450, 15178.0)	(1500, 4148.0)	(1550, 93.0)	(1600, 111.0)	(1650, 31.0)	(1700, 1.0)	(1750, 3.0)	(1800, 2.0)	(1850, 1.0)	(1900, 1.0)	(1950, 0.0)	(2000, 0.0)	(2050, 0.0)	(2100, 0.0)	(2150, 0.0)	(2200, 0.0)	(2250, 0.0)	(2300, 0.0)	(2350, 0.0)	(2400, 0.0)	(2450, 0.0)	(2500, 0.0)	(2550, 0.0)	(2600, 0.0)	(2650, 1.0)	(2700, 0.0)	(2750, 0.0)	(2800, 0.0)	(2850, 0.0)	(2900, 0.0)	(2950, 0.0)	(3000, 4.0)
SRR37722531_subreads	(300, 1.0)	(400, 0.0)	(500, 1.0)	(600, 0.0)	(700, 3.0)	(800, 5.0)	(900, 1.0)	(1000, 3.0)	(1100, 1.0)	(1200, 11.0)	(1300, 5.0)	(1400, 25180.0)	(1500, 7576.0)	(1600, 288.0)	(1700, 10.0)	(1800, 6.0)	(1900, 1.0)	(2000, 0.0)	(2100, 1.0)	(2200, 1.0)	(2300, 0.0)	(2400, 1.0)	(2500, 1.0)	(2600, 0.0)	(2700, 0.0)	(2800, 0.0)	(2900, 0.0)	(3000, 6.0)																	
SRR37722532_subreads	(0, 2.0)	(100, 0.0)	(200, 0.0)	(300, 0.0)	(400, 0.0)	(500, 0.0)	(600, 0.0)	(700, 3.0)	(800, 3.0)	(900, 1.0)	(1000, 0.0)	(1100, 1.0)	(1200, 7.0)	(1300, 4.0)	(1400, 17062.0)	(1500, 4813.0)	(1600, 134.0)	(1700, 13.0)	(1800, 3.0)	(1900, 3.0)	(2000, 1.0)	(2100, 2.0)	(2200, 0.0)	(2300, 0.0)	(2400, 0.0)	(2500, 1.0)	(2600, 0.0)	(2700, 0.0)	(2800, 0.0)	(2900, 2.0)	(3000, 6.0)														
