Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR38148131,2026-04-17 07:51:37,2026-04-17 07:48:16,106784,64070400,106784,600,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148131/SRR38148131.sralite.1,SRX32993535,HW_16S_1,AMPLICON,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829186,SAMN57320800,simple,9823,Sus scrofa,HW_16S_1,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,FA5A2AD8880590560C4C7B2D66B0FA09,EBD9F4736F30565F0420BBD2F8BD3547
SRR38148130,2026-04-17 07:51:37,2026-04-17 07:48:22,114076,68445600,114076,600,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148130/SRR38148130.sralite.1,SRX32993536,HW_16S_2,AMPLICON,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829187,SAMN57320801,simple,9823,Sus scrofa,HW_16S_2,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,484B9EDE81A9246881B9442F9FCA9240,6915B79B3CA62F78A1E7409507077070
SRR38148129,2026-04-17 07:51:37,2026-04-17 07:48:16,110460,66276000,110460,600,21,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148129/SRR38148129.sralite.1,SRX32993537,LW_16S_4,AMPLICON,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829188,SAMN57320810,simple,9823,Sus scrofa,LW_16S_4,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,3116A653FC3507E9C02FC9258C6BCA7A,313763B33500CF47D3FD91DE42F9C7F7
SRR38148128,2026-04-17 07:51:37,2026-04-17 07:48:16,103819,62291400,103819,600,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148128/SRR38148128.sralite.1,SRX32993538,LW_16S_5,AMPLICON,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829189,SAMN57320811,simple,9823,Sus scrofa,LW_16S_5,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,24E47ACE206CB11A8A9DAFB8FAF8334D,256CCFE7A8E62FE99D037A1A2FB9CA33
SRR38148127,2026-04-17 07:51:36,2026-04-17 07:49:26,103079,61847400,103079,600,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148127/SRR38148127.sralite.1,SRX32993539,LW_16S_6,AMPLICON,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829190,SAMN57320812,simple,9823,Sus scrofa,LW_16S_6,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,C2B7D553A7E47C828F79F32DFBB8DE85,D14E38D3EB23C9D648A69B8A8E32B497
SRR38148124,2026-04-17 08:09:40,2026-04-17 08:02:02,25899374,7821610948,25899374,302,2213,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148124/SRR38148124.sralite.1,SRX32993542,HW_RNA_1,RNA-Seq,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829193,SAMN57320815,simple,9823,Sus scrofa,HW_RNA_1,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,1D66A1932D679B3D96B65660109AD51A,B5F2666DA37EA02AA3606A2C18E15D70
SRR38148123,2026-04-17 08:03:17,2026-04-17 07:59:39,24147959,7292683618,24147959,302,2069,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148123/SRR38148123.sralite.1,SRX32993543,HW_RNA_2,RNA-Seq,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829194,SAMN57320816,simple,9823,Sus scrofa,HW_RNA_2,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,C34D740DDAC711D5E246341688EAA96B,D0DA4CAB629D12BB8DFB79577185D6D2
SRR38148122,2026-04-17 08:09:40,2026-04-17 08:02:10,28791630,8695072260,28791630,302,2451,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148122/SRR38148122.sralite.1,SRX32993544,HW_RNA_3,RNA-Seq,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829195,SAMN57320817,simple,9823,Sus scrofa,HW_RNA_3,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,0F8D8C3D18F2C7A3B44CA0D433A5F927,10B218D56C5E27011254FD011E7D75C4
SRR38148126,2026-04-17 07:51:37,2026-04-17 07:48:17,115285,69171000,115285,600,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148126/SRR38148126.sralite.1,SRX32993540,LW_16S_7,AMPLICON,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829191,SAMN57320813,simple,9823,Sus scrofa,LW_16S_7,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,53DC66FD8608E4CC6DE16228E71AFBC5,87F0793E80F99F999B7756D91BFC3F90
SRR38148125,2026-04-17 07:51:36,2026-04-17 07:48:21,103955,62373000,103955,600,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR038/38148/SRR38148125/SRR38148125.sralite.1,SRX32993541,LW_16S_8,AMPLICON,PCR,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP692670,PRJNA1454788,,1454788,SRS28829192,SAMN57320814,simple,9823,Sus scrofa,LW_16S_8,,,,,missing,,no,,,,,HUNAN NORMAL UNIVERSITY,SRA2376200,,public,9A9B2C1A6F96F190B3F39C8A7261BCA8,EE616B20E8E5F5CF493087215C5F2D4E
