Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR983742	(1, 33.055645183687176)	(2, 33.26655153870042)	(3, 33.09908326832138)	(4, 36.57188302392692)	(5, 36.46334209416761)	(6, 36.38645125618245)	(7, 36.50925442018173)	(8, 36.51053698612152)	(9, 38.28806481502521)	(10, 38.488715187045074)	(15, 39.86844004130468)	(20, 39.00569327990992)	(25, 39.66337138110639)	(30, 38.68978971473007)	(35, 39.40624973174679)	(40, 38.50318141996208)	(45, 36.000789232505475)	(50, 36.572928769620354)	(55, 35.41868355210171)	(60, 33.88328498463699)	(65, 33.19765653995016)	(70, 33.33266579310798)	(75, 32.96655280106847)	(80, 33.166446762152184)	(85, 33.0112446696509)	(90, 32.279079784185555)	(95, 32.780092455836055)	(100, 32.84644757006774)	(105, 32.238569383535186)	(110, 30.716389829353083)	(115, 30.758984652129236)	(120, 30.943566088754572)	(125, 30.343468128993816)	(130, 30.036426892479064)	(135, 29.077993642714496)	(140, 27.888803552808646)	(145, 26.709604853552683)	(150, 23.593315508696453)
SRR984532	(1, 32.79895526420101)	(2, 33.02038219455112)	(3, 33.00844271752495)	(4, 36.38083371835559)	(5, 36.25860619418755)	(6, 36.25436211280016)	(7, 36.24194041117852)	(8, 36.2818665878949)	(9, 37.88820216066916)	(10, 38.049286888288)	(15, 39.40282921927586)	(20, 38.65557297623466)	(25, 39.25304925002714)	(30, 38.318411638023534)	(35, 38.8376806764273)	(40, 38.08746241299128)	(45, 35.76856703553061)	(50, 35.58894014103176)	(55, 34.922351236237034)	(60, 33.504575579237574)	(65, 33.09050522494137)	(70, 33.20644110674332)	(75, 33.29457913911549)	(80, 33.02270848639546)	(85, 32.94004004231458)	(90, 32.0355386903184)	(95, 32.55952545060227)	(100, 32.67929438675422)	(105, 31.82893196088679)	(110, 30.462448842534734)	(115, 30.451128935747995)	(120, 30.209338998841144)	(125, 29.5669052542283)	(130, 29.35167756090295)	(135, 28.463434499508935)	(140, 27.302421979342608)	(145, 26.239021816244655)	(150, 23.58297418962283)
SRR984533	(1, 32.744899976451364)	(2, 33.0445185467295)	(3, 33.159350115853464)	(4, 36.4763830461466)	(5, 36.33884303527353)	(6, 36.3978294555614)	(7, 36.40546531809552)	(8, 36.45740023083476)	(9, 38.04381063409784)	(10, 38.28566992955761)	(15, 39.57773869156814)	(20, 38.914075977777074)	(25, 39.36135378478875)	(30, 38.83096296468577)	(35, 39.13009835188636)	(40, 38.504785314955704)	(45, 36.762080303748306)	(50, 36.651301425419156)	(55, 35.47071334916809)	(60, 34.261779113815486)	(65, 33.4174024403362)	(70, 33.55230355061067)	(75, 33.23948786082467)	(80, 33.70541502286543)	(85, 33.731047274609054)	(90, 33.22776122266832)	(95, 33.72870316801804)	(100, 33.754762783855526)	(105, 33.31894705627543)	(110, 32.15664289514463)	(115, 32.51651195311206)	(120, 32.378885306524715)	(125, 31.560255429995145)	(130, 31.614786216199718)	(135, 30.879396399094105)	(140, 30.28593826769273)	(145, 29.078014588523967)	(150, 26.703659341394136)
SRR984534	(1, 33.026714616724185)	(2, 33.20995932773012)	(3, 33.277429070642995)	(4, 36.57170704336728)	(5, 36.54471914620213)	(6, 36.562393704083796)	(7, 36.59690553509183)	(8, 36.63665039582055)	(9, 38.29845712840401)	(10, 38.55099471173274)	(15, 39.90398815009492)	(20, 39.22790280519465)	(25, 39.6970476990659)	(30, 39.23601429198561)	(35, 39.63057252252383)	(40, 38.95565908555713)	(45, 37.25324927537074)	(50, 36.677954990129926)	(55, 35.87878384389292)	(60, 34.77521171966079)	(65, 34.10057912195576)	(70, 34.12432137779858)	(75, 34.30011716172097)	(80, 33.982861246216956)	(85, 34.0107390491585)	(90, 33.5128866264111)	(95, 33.97025807558239)	(100, 33.9795996150816)	(105, 33.45669696978507)	(110, 32.3603967217976)	(115, 32.918532484031985)	(120, 32.752424201018115)	(125, 31.85603237501054)	(130, 31.663205695862125)	(135, 30.586804043387627)	(140, 29.28030403902677)	(145, 22.50648285165233)	(150, 20.64959778352119)
SRR984535	(1, 32.75595122895297)	(2, 33.05962366396325)	(3, 33.17813519030422)	(4, 36.490272082263715)	(5, 36.34624302996885)	(6, 36.38264786325411)	(7, 36.401853562703806)	(8, 36.44095694373948)	(9, 38.02860497131652)	(10, 38.298454268927266)	(15, 39.600283730933974)	(20, 38.986926467312514)	(25, 39.38774662133788)	(30, 38.730090450646514)	(35, 38.99538763780304)	(40, 38.50460067701049)	(45, 36.57989965346119)	(50, 36.83404515594246)	(55, 35.56899737448466)	(60, 34.19961110238779)	(65, 33.38611471201493)	(70, 33.668019105279875)	(75, 33.2736181354094)	(80, 33.78056680457621)	(85, 33.80223552223655)	(90, 33.19492972455824)	(95, 33.829011396708424)	(100, 33.90054518698124)	(105, 33.382666486520044)	(110, 32.19374659942815)	(115, 32.44179937265155)	(120, 32.39990651850824)	(125, 31.731685843761756)	(130, 31.73032817115877)	(135, 30.998524745208158)	(140, 30.284696422507132)	(145, 29.252664405096205)	(150, 26.528561151867255)
SRR984536	(1, 33.00215993368656)	(2, 33.199504475061254)	(3, 33.27520074785193)	(4, 36.56752394550321)	(5, 36.52731777499443)	(6, 36.55938630861308)	(7, 36.59543876049384)	(8, 36.63936045513801)	(9, 38.28367798547385)	(10, 38.554480721268135)	(15, 39.91493951090191)	(20, 39.27015165181066)	(25, 39.707961263606855)	(30, 39.17637803038879)	(35, 39.61099977725113)	(40, 38.99864670934194)	(45, 37.16909669856966)	(50, 36.809391238301124)	(55, 35.97620238742966)	(60, 34.75313655966201)	(65, 34.069271976366714)	(70, 34.17763564858262)	(75, 34.32800720099616)	(80, 33.98834694779278)	(85, 34.068605920737916)	(90, 33.44909348514338)	(95, 34.034936151410804)	(100, 34.04856582594185)	(105, 33.478789195584454)	(110, 32.25422875943487)	(115, 32.87203917458764)	(120, 32.67966485424556)	(125, 32.067901523091024)	(130, 31.79082420732442)	(135, 30.722707603769937)	(140, 29.25387053543715)	(145, 22.60546428532304)	(150, 20.768629656272935)
SRR984538	(1, 32.72752006125233)	(2, 33.046465168313816)	(3, 33.13671757399155)	(4, 36.453778279954356)	(5, 36.29697157787929)	(6, 36.36864386305942)	(7, 36.407969121096)	(8, 36.46350691876261)	(9, 38.04078594764562)	(10, 38.29679131465781)	(15, 39.64589984798421)	(20, 38.967019635682455)	(25, 39.45222244109853)	(30, 38.7820918710579)	(35, 39.1360567327384)	(40, 38.53914908325931)	(45, 36.63111231699567)	(50, 36.63313163675288)	(55, 35.510925066251374)	(60, 34.267528832823515)	(65, 33.45728728010674)	(70, 33.69912655964855)	(75, 33.314889742093506)	(80, 33.79807248439887)	(85, 33.7749809515668)	(90, 33.278166221274034)	(95, 33.687696384700295)	(100, 33.87699804126355)	(105, 33.47789861401742)	(110, 32.44701190480615)	(115, 32.561241549)	(120, 32.48813013146206)	(125, 31.821420474185196)	(130, 31.912365685316168)	(135, 31.153454177832458)	(140, 30.19176215661714)	(145, 29.288715522335913)	(150, 27.314908697607517)
SRR984834	(1, 33.012440020665224)	(2, 33.220411743498445)	(3, 33.25829303737953)	(4, 36.56016331476189)	(5, 36.51467565628821)	(6, 36.56776038743584)	(7, 36.611529040962495)	(8, 36.652069681956206)	(9, 38.307607107946076)	(10, 38.57075573032622)	(15, 39.949633712567504)	(20, 39.27282485476731)	(25, 39.782626713894395)	(30, 39.21976688434535)	(35, 39.61214082088526)	(40, 38.992131974978726)	(45, 37.12975458184508)	(50, 36.614493906359755)	(55, 35.87942620544061)	(60, 34.76919208625874)	(65, 34.131612965571584)	(70, 34.250167812050506)	(75, 34.3270751641882)	(80, 34.07931172900305)	(85, 34.07472300790556)	(90, 33.58158118720986)	(95, 33.949328937636366)	(100, 34.10061326662974)	(105, 33.56767006998673)	(110, 32.50697302741859)	(115, 33.06458738306121)	(120, 32.82154089745067)	(125, 32.14372851243816)	(130, 31.950409030258204)	(135, 30.857872299303846)	(140, 29.035822948065608)	(145, 23.040641737068437)	(150, 21.907762840502357)
SRR984836	(1, 33.227511313590725)	(2, 33.40412727884428)	(3, 33.22304152827702)	(4, 36.65507018347115)	(5, 36.594466269183776)	(6, 36.51105051338027)	(7, 36.62810222578614)	(8, 36.640545278394015)	(9, 38.498480981278504)	(10, 38.72489495878033)	(15, 40.06915797541745)	(20, 39.27361106543796)	(25, 39.94349806865813)	(30, 38.9643211466125)	(35, 39.69634499558587)	(40, 39.01244608811574)	(45, 36.76820558482853)	(50, 37.26492192420842)	(55, 35.93626040610036)	(60, 34.37830826088166)	(65, 33.676489738718665)	(70, 33.70013685081237)	(75, 33.530495470769324)	(80, 33.851580867194)	(85, 33.69691870657011)	(90, 33.020267580017254)	(95, 33.27966842135885)	(100, 33.49850020616158)	(105, 32.98147631924436)	(110, 31.665923641799957)	(115, 31.7952221106392)	(120, 32.07012630242259)	(125, 31.300089800440656)	(130, 30.799075181940754)	(135, 29.916896901505357)	(140, 29.056699239352326)	(145, 27.73965258612621)	(150, 24.497350254603223)
SRR984838	(1, 33.07424093331748)	(2, 33.27352708305403)	(3, 33.27266702249564)	(4, 36.56747301559998)	(5, 36.491259002177976)	(6, 36.49107687170679)	(7, 36.48177051054712)	(8, 36.52303823981018)	(9, 38.21982136036284)	(10, 38.453637423764484)	(15, 39.80475056979012)	(20, 39.03703268988998)	(25, 39.64970947660255)	(30, 38.807360094707846)	(35, 39.31644309308132)	(40, 38.774271541355)	(45, 36.8058089501949)	(50, 36.53156548728755)	(55, 35.69251823201904)	(60, 34.12832508265434)	(65, 33.70685999478904)	(70, 33.7333291173502)	(75, 33.86234427212317)	(80, 33.707599646869255)	(85, 33.57050548794523)	(90, 32.69149981913432)	(95, 33.3269312786318)	(100, 33.37866847448023)	(105, 32.69897728681249)	(110, 31.58589298317064)	(115, 31.52779184510815)	(120, 31.46885948381189)	(125, 30.61170036501982)	(130, 30.37414506186112)	(135, 29.682570872784396)	(140, 29.00680257309882)	(145, 28.322797928771802)	(150, 25.880203682576944)
