Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR5368774 - illumina_universal_adapter	(1, 0.014100615622148425)	(2, 0.014197550042687078)	(3, 0.014429858395357296)	(4, 0.01503653416528024)	(5, 0.015248787120597634)	(6, 0.015888888552775284)	(7, 0.016034290183583263)	(8, 0.016196404645518594)	(9, 0.016522304852501994)	(10, 0.017271039687007446)	(12, 0.018513638681326203)	(14, 0.019805540527470654)	(16, 0.021332257650954426)	(18, 0.022980142800111514)	(20, 0.025230525511409706)	(22, 0.027127431844364367)	(24, 0.028594818417346034)	(26, 0.02988087077259591)	(28, 0.030791720069036695)	(30, 0.031453548181679905)	(32, 0.03185632741184913)	(34, 0.03209030704763209)	(36, 0.032420385462397325)	(38, 0.03277386184074085)	(40, 0.03320505288382659)	(42, 0.033672176513836125)	(44, 0.03417523273076947)	(46, 0.03473929078131767)	(48, 0.03527493701894936)	(50, 0.03579971991634827)	(52, 0.03680833927488407)	(54, 0.03909799713933154)	(56, 0.039885171485429916)	(58, 0.040970669867151546)	(60, 0.041970097168567304)	(62, 0.04362132488394986)	(64, 0.04490487031453064)	(66, 0.049823456515310866)	(68, 0.052078017434390896)	(70, 0.0546852190902581)	(72, 0.06218760898332723)	(74, 0.0678215043563582)	(76, 0.07715562054098532)	(78, 0.08610450596812692)	(80, 0.10634207318023968)	(82, 0.13710621707791623)	(84, 0.20561796135983415)	(86, 0.2740695394496936)	(88, 0.35141067241619256)
SRR5368778 - illumina_universal_adapter	(1, 0.023801676907571838)	(2, 0.02403446917835666)	(3, 0.024183740558096547)	(4, 0.024629777657081204)	(5, 0.02479504239893608)	(6, 0.025399236078835617)	(7, 0.025518297774580527)	(8, 0.025783076769595323)	(9, 0.026081619529075097)	(10, 0.026829753468009525)	(12, 0.02784622048242875)	(14, 0.028874238258375467)	(16, 0.030005324367952103)	(18, 0.03135587494655107)	(20, 0.032832595381834945)	(22, 0.03448524280038369)	(24, 0.0360365989255375)	(26, 0.03754797164540385)	(28, 0.03881766689331038)	(30, 0.03987944843372207)	(32, 0.0406169201312465)	(34, 0.0411518092419811)	(36, 0.041476119084868354)	(38, 0.04177821592481812)	(40, 0.042160279575342824)	(42, 0.04267828680384493)	(44, 0.04319273995187704)	(46, 0.04360412476627923)	(48, 0.04411324679360634)	(50, 0.04499465875016566)	(52, 0.045773002373095076)	(54, 0.046539795234496986)	(56, 0.04758469489267619)	(58, 0.04873088584425031)	(60, 0.049994361451334346)	(62, 0.051539497935665674)	(64, 0.05462088570315332)	(66, 0.059701443735014445)	(68, 0.06189786546547277)	(70, 0.06359405036977897)	(72, 0.06676784422948655)	(74, 0.07537938120828998)	(76, 0.08194465635649247)	(78, 0.0900150845837388)	(80, 0.105494882070812)	(82, 0.1352354274437493)	(84, 0.2274540419188864)	(86, 0.36781445340037183)	(88, 0.47419252446797816)
SRR5368778 - polya	(1, 0.02744105530884906)	(2, 0.02777158479255881)	(3, 0.027920856172298694)	(4, 0.028022147465693616)	(5, 0.028130546920028532)	(6, 0.02826382493765343)	(7, 0.028468184564678277)	(8, 0.02880582220932802)	(9, 0.029049276721522833)	(10, 0.02941890109040255)	(12, 0.029673017844007357)	(14, 0.029943127959727152)	(16, 0.030248778880146918)	(18, 0.03054287903903919)	(20, 0.03137631090925355)	(22, 0.032213296859937915)	(24, 0.032583809748935134)	(26, 0.03287613286759242)	(28, 0.03323420647494464)	(30, 0.03363226348758433)	(32, 0.034062307224454004)	(34, 0.03448790836073618)	(36, 0.03491173245678336)	(38, 0.03535688103565052)	(40, 0.0359077635085001)	(42, 0.03654127835227712)	(44, 0.03714991463276415)	(46, 0.037997562824858507)	(48, 0.03896338419258027)	(50, 0.03968219696763722)	(52, 0.040409894943869165)	(54, 0.04123977273361353)	(56, 0.042055434201477906)	(58, 0.0428515482267573)	(60, 0.04362544924909921)	(62, 0.044862269252658266)	(64, 0.08250264699028204)	(66, 0.08808788444888277)	(68, 0.08943843502748175)	(70, 0.09047178392413346)	(72, 0.09152201470301766)	(74, 0.09256957992154936)	(76, 0.09379307212334592)	(78, 0.09490194522998507)	(80, 0.09600282165556674)	(82, 0.09714634704678837)	(84, 0.09848445834374234)	(86, 0.09979324847681884)	(88, 0.1007723976463031)
SRR5368780 - illumina_universal_adapter	(1, 0.009608041087764335)	(2, 0.00967639765317188)	(3, 0.009934049322784935)	(4, 0.010772731798362118)	(5, 0.010987003339928077)	(6, 0.01195845529831607)	(7, 0.012135919458508735)	(8, 0.012392256578787028)	(9, 0.012794508675223734)	(10, 0.013902673764426818)	(12, 0.015112716427073838)	(14, 0.016454214023196904)	(16, 0.017965945758171453)	(18, 0.019615705173295854)	(20, 0.021376544007207517)	(22, 0.023020387950325495)	(24, 0.024590617130696886)	(26, 0.02601164496157296)	(28, 0.027076429922728948)	(30, 0.02781783574753386)	(32, 0.028273984366695745)	(34, 0.028579617087027557)	(36, 0.028907597146050297)	(38, 0.029347971173195056)	(40, 0.02977914335499649)	(42, 0.030302991264898542)	(44, 0.031039796167031793)	(46, 0.031796319309186444)	(48, 0.03236946281914202)	(50, 0.03312795778529881)	(52, 0.03472710705103493)	(54, 0.035699873558757686)	(56, 0.036424190242210705)	(58, 0.038187000900124515)	(60, 0.04021009232632089)	(62, 0.041429994108978616)	(64, 0.04277609262777334)	(66, 0.047745746387835325)	(68, 0.04951315796842079)	(70, 0.05159343229067925)	(72, 0.060607954353799225)	(74, 0.06532061371891554)	(76, 0.07093242482900802)	(78, 0.08573490761307839)	(80, 0.10242574051653218)	(82, 0.12729569938086566)	(84, 0.1752530882115974)	(86, 0.24036928950895772)	(88, 0.2954778267207865)
SRR5368861 - illumina_universal_adapter	(1, 0.011078540184219332)	(2, 0.011176627030861792)	(3, 0.011455067111653292)	(4, 0.012585702591230893)	(5, 0.012961174821389126)	(6, 0.01519713304592692)	(7, 0.015461862062133989)	(8, 0.015706551830102274)	(9, 0.01612210255673807)	(10, 0.017564928429930383)	(12, 0.01906945409375263)	(14, 0.02035091128375896)	(16, 0.021629731730575977)	(18, 0.02299240061081316)	(20, 0.02524734338631401)	(22, 0.027202752135508858)	(24, 0.028527451913819925)	(26, 0.02976672121279724)	(28, 0.030631572978892047)	(30, 0.03124171535289918)	(32, 0.031663066914551466)	(34, 0.03212133288085414)	(36, 0.033437067732321545)	(38, 0.03465049694804359)	(40, 0.03515042345673741)	(42, 0.03561343556078085)	(44, 0.036111780023561094)	(46, 0.036649675634181034)	(48, 0.0370868476549692)	(50, 0.03769909942352778)	(52, 0.03862195953978748)	(54, 0.039740466000694245)	(56, 0.04100821212611615)	(58, 0.04220002004768582)	(60, 0.04336493318872449)	(62, 0.044351075141527724)	(64, 0.04556344965997404)	(66, 0.050506288442661)	(68, 0.05337137359216898)	(70, 0.057101837856409626)	(72, 0.06506427493949835)	(74, 0.07055555630556251)	(76, 0.07936649734697228)	(78, 0.08809675404678907)	(80, 0.11546720304913825)	(82, 0.17190141753001373)	(84, 0.22806615685694137)	(86, 0.28652960889631246)	(88, 0.35351237818035525)
SRR5368867 - illumina_universal_adapter	(1, 0.024011001990677187)	(2, 0.024307133308648227)	(3, 0.02442333673721914)	(4, 0.024918138433069486)	(5, 0.025058707096663333)	(6, 0.025557257290209516)	(7, 0.025643472737213742)	(8, 0.02591523882016185)	(9, 0.026207621640437054)	(10, 0.026968566672691752)	(12, 0.027754814064393344)	(14, 0.02850826210125637)	(16, 0.029401341677289285)	(18, 0.03037688820263059)	(20, 0.032087140276355744)	(22, 0.03308611491229603)	(24, 0.03413475714270613)	(26, 0.03523212984316211)	(28, 0.03605398796297414)	(30, 0.036948941787854975)	(32, 0.03756931815651582)	(34, 0.03779329089384202)	(36, 0.03800414388923279)	(38, 0.0383077722025955)	(40, 0.03867418785236347)	(42, 0.03925333074637012)	(44, 0.03966191699521625)	(46, 0.04015484444221867)	(48, 0.041446201898434155)	(50, 0.04231210486617226)	(52, 0.04323704667261978)	(54, 0.04445343417491855)	(56, 0.046158063502099944)	(58, 0.04723013384310903)	(60, 0.048506497308541174)	(62, 0.050436036497472726)	(64, 0.05339828680160709)	(66, 0.060468890580377646)	(68, 0.0642492505066282)	(70, 0.06808958639601215)	(72, 0.08295331688442564)	(74, 0.09359342759405599)	(76, 0.10435817585207288)	(78, 0.12282514975060871)	(80, 0.1505668440730666)	(82, 0.21950640232160956)	(84, 0.3326220059155792)	(86, 0.4669981513159064)	(88, 0.5863606263199866)
SRR5368867 - polya	(1, 0.04978379789839727)	(2, 0.050344198303924746)	(3, 0.05055786267258739)	(4, 0.05071717382466042)	(5, 0.05096270042373768)	(6, 0.05118948453433575)	(7, 0.051406897400694235)	(8, 0.051804238156452846)	(9, 0.05225968062649691)	(10, 0.05283507502280774)	(12, 0.0534095322946946)	(14, 0.05384435802741157)	(16, 0.05423139041450663)	(18, 0.054772111207130963)	(20, 0.055597717824638834)	(22, 0.05623871093062678)	(24, 0.05679629996288238)	(26, 0.05757692460804022)	(28, 0.05808016042370619)	(30, 0.05877175824858792)	(32, 0.059435242340750885)	(34, 0.06013808565872013)	(36, 0.06079969550203517)	(38, 0.06144443710571895)	(40, 0.06228128921631433)	(42, 0.06334023981538799)	(44, 0.0640918136034031)	(46, 0.06481808503197131)	(48, 0.06571772447897195)	(50, 0.0666211124236684)	(52, 0.06758728770477013)	(54, 0.06864248980614794)	(56, 0.06968925778771012)	(58, 0.07075757963102337)	(60, 0.07207611369553368)	(62, 0.07353053080151803)	(64, 0.1216621783404756)	(66, 0.12726899376902223)	(68, 0.1283982286998928)	(70, 0.12952184088421964)	(72, 0.13074103975979026)	(74, 0.13199584936347136)	(76, 0.13315413515148466)	(78, 0.1342796215846594)	(80, 0.13559815564916972)	(82, 0.1369195010869519)	(84, 0.1382005501745038)	(86, 0.13952095848786203)	(88, 0.1404562086629731)
SRR5368873 - illumina_universal_adapter	(1, 0.037954754671162515)	(2, 0.03803030531494687)	(3, 0.038297880511683105)	(4, 0.038886545944502825)	(5, 0.039081718440945726)	(6, 0.0397459345175498)	(7, 0.03992536729653763)	(8, 0.04012053979298053)	(9, 0.04039755882018981)	(10, 0.041222320014835626)	(12, 0.042281602999562025)	(14, 0.04324015179257596)	(16, 0.04421758824653598)	(18, 0.04528631506173542)	(20, 0.04814779569506765)	(22, 0.0510785310852022)	(24, 0.052479365938703684)	(26, 0.05385501724427705)	(28, 0.05520863294541331)	(30, 0.056760569086483484)	(32, 0.058210197064095685)	(34, 0.05958427439792354)	(36, 0.06108269549964647)	(38, 0.06259843029056998)	(40, 0.06412675685545755)	(42, 0.06573378200762048)	(44, 0.06740219205785819)	(46, 0.06941058000512548)	(48, 0.0712505529756235)	(50, 0.07330930801874702)	(52, 0.0754278739881998)	(54, 0.07768967138649377)	(56, 0.07994832084129672)	(58, 0.08235807158366835)	(60, 0.0852038124995455)	(62, 0.0882919450642308)	(64, 0.09152960494473927)	(66, 0.09507418931562167)	(68, 0.09879191057850985)	(70, 0.10294247407141255)	(72, 0.10798390557227236)	(74, 0.11375408599130205)	(76, 0.12033643583101349)	(78, 0.1280363056100351)	(80, 0.13728338961489034)	(82, 0.1485152519908303)	(84, 0.16348844520584105)	(86, 0.18134043274338457)	(88, 0.2030785565205856)
SRR5368876 - illumina_universal_adapter	(1, 0.055554192850620535)	(2, 0.05581515786992866)	(3, 0.05627740986149383)	(4, 0.05709874162768839)	(5, 0.05743961454050559)	(6, 0.058222509598429964)	(7, 0.058425819555332804)	(8, 0.05873837068310881)	(9, 0.059489909479023294)	(10, 0.06046296509365281)	(12, 0.06220677785833191)	(14, 0.06411546387164364)	(16, 0.06641104569846454)	(18, 0.06875871937991475)	(20, 0.07162832309998121)	(22, 0.07474523669299665)	(24, 0.07735286390143209)	(26, 0.08007731847316246)	(28, 0.0823086705374792)	(30, 0.08466140168054392)	(32, 0.08708493728621161)	(34, 0.08953021997682165)	(36, 0.0922779388719787)	(38, 0.09457099196799235)	(40, 0.09719632029207853)	(42, 0.10005833781972324)	(44, 0.1029370449706958)	(46, 0.1065890380025252)	(48, 0.10989206618295418)	(50, 0.11317183003995648)	(52, 0.11705747779837569)	(54, 0.12113025163653135)	(56, 0.12537447342341854)	(58, 0.1302883031280653)	(60, 0.13629151006447504)	(62, 0.1431256579441469)	(64, 0.15078518355930493)	(66, 0.1591886617779557)	(68, 0.1688565054002311)	(70, 0.18128673455634556)	(72, 0.19759603677078041)	(74, 0.21891475471437605)	(76, 0.2443866601357979)	(78, 0.276159151236562)	(80, 0.3190808164664881)	(82, 0.37916548343137646)	(84, 0.4620967274936004)	(86, 0.5694524766768836)	(88, 0.7012332367273874)
SRR5368879 - illumina_universal_adapter	(1, 0.080266316747585)	(2, 0.0803568374901967)	(3, 0.0805752679778032)	(4, 0.08128959470754342)	(5, 0.08153557498637957)	(6, 0.08256869215749145)	(7, 0.0827989296984821)	(8, 0.08305868487293308)	(9, 0.08341880000114922)	(10, 0.08470576882002001)	(12, 0.08598781803331407)	(14, 0.08720591237411074)	(16, 0.08855486822324823)	(18, 0.09028164978067807)	(20, 0.09211567873968049)	(22, 0.09388181714172411)	(24, 0.09564205201707568)	(26, 0.09760595856330358)	(28, 0.09925894603708257)	(30, 0.10108608754827757)	(32, 0.10293881100847152)	(34, 0.10470593333163049)	(36, 0.10646616820698206)	(38, 0.1083316826416755)	(40, 0.11041562756397544)	(42, 0.11271997081611257)	(44, 0.11495937527463698)	(46, 0.11742016198411392)	(48, 0.12037782885683991)	(50, 0.12356573327055655)	(52, 0.12721312884513913)	(54, 0.13141939161323746)	(56, 0.13582637428886607)	(58, 0.1411651302607261)	(60, 0.14784989031837759)	(62, 0.1567179713309788)	(64, 0.16693992779829428)	(66, 0.17883356624058028)	(68, 0.19330802976841527)	(70, 0.21312124926811027)	(72, 0.24142177230876816)	(74, 0.2798921039976282)	(76, 0.32534729168431986)	(78, 0.38132846746296845)	(80, 0.4597223823280526)	(82, 0.574302947973282)	(84, 0.7356020560173053)	(86, 0.9272492269430188)	(88, 1.15761664552089)
