Sample	Unique Reads	Duplicate Reads
SRR1174540	1083.0	16342.0
SRR1174541	1114.0	20802.0
SRR1174544	1035.0	20621.0
SRR1174547	546.0	7532.0
SRR1174550	4.0	3.0
SRR1174551	1637.0	18380.0
SRR1174552	1085.0	19751.0
SRR1174553	822.0	11488.0
SRR1174554	1687.0	22484.0
SRR1174555	1113.0	16020.0
SRR1174557	696.0	10173.0
SRR1174558	1077.0	17089.0
SRR1174562	1764.0	22626.0
SRR1174563	1508.0	16898.0
SRR1174565	1401.0	23226.0
SRR1174566	1485.0	29852.0
SRR1174567	1482.0	21956.0
SRR1174570	2191.0	28183.0
SRR1174571	1590.0	28379.0
SRR1174574	901.0	11740.0
SRR1174575	1745.0	17880.0
SRR1174576	1069.0	17579.0
SRR1174577	2542.0	37646.0
SRR1174581	1667.0	28097.0
SRR1174582	1844.0	26163.0
SRR1174584	1668.0	22806.0
SRR1174585	1478.0	13917.0
SRR1174587	1365.0	14235.0
SRR1174588	1223.0	15563.0
SRR1174589	2022.0	41973.0
SRR5368774	8585225.0	51249042.0
SRR5368775	111080.0	581.0
SRR5368776	81540.0	1729.0
SRR5368777	8152.0	79.0
SRR5368778	14965351.0	41307995.0
SRR5368779	122085.0	2267.0
SRR5368780	19245098.0	56826600.0
SRR5368781	121798.0	108.0
SRR5368861	16119259.0	78694677.0
SRR5368862	169276.0	200.0
SRR5368863	89133.0	5489.0
SRR5368865	141408.0	1034.0
SRR5368866	133553.0	1457.0
SRR5368867	15365497.0	37989211.0
SRR5368868	123425.0	169.0
SRR5368869	110814.0	1778.0
SRR5368870	51533.0	1891.0
SRR5368872	138822.0	3265.0
SRR5368873	8137595.0	23629176.0
SRR5368874	197560.0	244.0
SRR5368875	7633.0	49.0
SRR5368876	13018827.0	85844998.0
SRR5368877	124788.0	786.0
SRR5368879	14645218.0	36171864.0
SRR5368881	35756.0	1258.0
SRR5368885	6718431.0	24087441.0
SRR5368886	109410.0	146.0
SRR5368887	123219.0	2808.0
SRR5368888	6151530.0	22372537.0
SRR5368890	108586.0	2960.0
SRR5368891	21861585.0	48875378.0
SRR5368892	182425.0	1714.0
SRR5368893	49355.0	752.0
SRR5368894	24597211.0	62438592.0
SRR5368898	101864.0	2193.0
SRR5368900	110105.0	645.0
SRR5368901	47505.0	425.0
SRR5368903	112895.0	186.0
SRR5368904	41110.0	845.0
SRR5368905	16297895.0	56579837.0
SRR5368906	66286.0	1041.0
