.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Per Tile Sequence Quality
SRR1174540	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174541	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174544	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174547	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174550	1	1	1	0.25	0.5	1	0.5	0.5	0.25	1	0
SRR1174551	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174552	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174553	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174554	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174555	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174557	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174558	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174562	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174563	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
SRR1174565	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174566	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174567	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174570	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
SRR1174571	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174574	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174575	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
SRR1174576	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174577	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174581	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174582	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174584	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174585	1	1	1	0.25	0.5	0.5	0.5	0.25	0.25	1	0
SRR1174587	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1	0
SRR1174588	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR1174589	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1	0
SRR5368774	1	1	1	0.25	0.25	1	1	0.25	1	1	1
SRR5368775	1	0.25	1	0.25	0.5	1	0.5	1	1	1	0
SRR5368776	1	0.5	1	0.25	0.25	1	0.5	1	1	1	0
SRR5368777	1	0.5	1	0.25	0.25	1	0.5	1	1	1	0
SRR5368778	1	1	1	0.25	0.5	1	1	0.25	0.5	1	1
SRR5368779	1	0.25	1	0.25	1	1	0.5	1	1	1	0
SRR5368780	1	1	1	0.25	0.25	1	1	0.25	0.5	1	0.5
SRR5368781	1	0.5	1	0.25	1	1	0.5	1	1	1	0
SRR5368861	1	1	1	0.25	0.25	1	1	0.25	0.5	1	1
SRR5368862	1	0.5	1	0.25	1	1	0.5	1	1	1	0
SRR5368863	1	0.25	1	0.5	0.25	1	0.5	1	1	1	0
SRR5368865	1	0.5	1	0.25	1	1	0.5	1	1	1	0
SRR5368866	1	0.25	1	0.25	0.25	1	0.5	1	1	1	0
SRR5368867	1	1	1	0.25	0.5	1	1	0.25	0.5	1	1
SRR5368868	1	0.25	1	0.25	1	1	0.5	1	1	1	0
SRR5368869	1	0.25	1	0.25	1	1	0.5	1	1	1	0
SRR5368870	1	0.5	1	0.25	0.25	1	0.5	1	1	1	0
SRR5368872	1	0.5	1	0.5	1	1	0.5	1	1	1	0
SRR5368873	1	1	1	0.25	0.25	1	1	0.25	1	1	0.5
SRR5368874	1	0.25	1	0.25	1	1	0.5	1	1	1	0
SRR5368875	1	0.5	1	0.25	0.5	1	0.5	1	1	1	0
SRR5368876	1	1	1	0.25	0.5	1	1	0.25	0.5	1	1
SRR5368877	1	0.5	1	0.25	1	1	0.5	1	1	1	0
SRR5368879	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0.5
SRR5368881	1	0.5	1	0.25	0.25	1	0.5	1	1	1	0
SRR5368885	1	1	1	0.25	0.25	1	1	0.25	0.5	1	0.25
SRR5368886	1	0.5	1	0.25	0.5	1	0.5	1	1	1	0
SRR5368887	1	0.5	1	0.25	0.25	1	0.5	1	1	1	0
SRR5368888	1	1	1	0.25	0.5	1	1	0.25	1	1	0.25
SRR5368890	1	0.25	1	0.25	0.5	0.5	0.5	1	1	1	0
SRR5368891	1	0.25	1	0.25	1	1	1	0.25	1	1	0.5
SRR5368892	1	0.25	1	0.25	1	1	0.5	1	1	1	0
SRR5368893	1	0.5	1	0.25	1	1	0.5	1	1	1	0
SRR5368894	1	1	1	0.25	1	1	1	0.25	0.5	1	0.25
SRR5368898	1	0.5	1	0.25	1	1	0.5	1	1	1	0
SRR5368900	1	0.5	1	0.25	1	1	0.5	1	1	1	0
SRR5368901	1	0.5	1	0.25	1	1	0.5	1	1	1	0
SRR5368903	1	0.25	1	0.25	1	1	0.5	1	1	1	0
SRR5368904	1	0.5	1	0.5	1	1	0.5	1	1	1	0
SRR5368905	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0.5
SRR5368906	1	0.5	1	0.25	0.5	1	0.5	1	1	1	0
SRR5368907	1	1	1	0.25	0.25	1	1	0.25	1	1	0.25
