Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR1174540	(17.0, 8.0)	(18.0, 1.0)	(19.0, 12.0)	(20.0, 16.0)	(21.0, 31.0)	(22.0, 95.0)	(23.0, 158.0)	(24.0, 293.0)	(25.0, 355.0)	(26.0, 411.0)	(27.0, 421.0)	(28.0, 470.0)	(29.0, 497.0)	(30.0, 680.0)	(31.0, 853.0)	(32.0, 1118.0)	(33.0, 1593.0)	(34.0, 2076.0)	(35.0, 2784.0)	(36.0, 3341.0)	(37.0, 2037.0)	(38.0, 166.0)	(39.0, 9.0)																
SRR1174541	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 5.0)	(20.0, 10.0)	(21.0, 44.0)	(22.0, 121.0)	(23.0, 200.0)	(24.0, 318.0)	(25.0, 441.0)	(26.0, 558.0)	(27.0, 565.0)	(28.0, 517.0)	(29.0, 643.0)	(30.0, 766.0)	(31.0, 1110.0)	(32.0, 1407.0)	(33.0, 1931.0)	(34.0, 2570.0)	(35.0, 3231.0)	(36.0, 4118.0)	(37.0, 2925.0)	(38.0, 410.0)	(39.0, 15.0)														
SRR1174544	(15.0, 1.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 10.0)	(20.0, 10.0)	(21.0, 40.0)	(22.0, 89.0)	(23.0, 186.0)	(24.0, 334.0)	(25.0, 446.0)	(26.0, 523.0)	(27.0, 516.0)	(28.0, 518.0)	(29.0, 656.0)	(30.0, 900.0)	(31.0, 1179.0)	(32.0, 1518.0)	(33.0, 2013.0)	(34.0, 2812.0)	(35.0, 3455.0)	(36.0, 4068.0)	(37.0, 2233.0)	(38.0, 127.0)	(39.0, 17.0)														
SRR1174547	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 1.0)	(20.0, 6.0)	(21.0, 17.0)	(22.0, 32.0)	(23.0, 80.0)	(24.0, 118.0)	(25.0, 172.0)	(26.0, 200.0)	(27.0, 201.0)	(28.0, 216.0)	(29.0, 229.0)	(30.0, 295.0)	(31.0, 430.0)	(32.0, 543.0)	(33.0, 692.0)	(34.0, 1007.0)	(35.0, 1245.0)	(36.0, 1600.0)	(37.0, 946.0)	(38.0, 41.0)	(39.0, 5.0)													
SRR1174550	(17.0, 1.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 1.0)	(34.0, 1.0)	(35.0, 0.0)	(36.0, 2.0)	(37.0, 2.0)																		
SRR1174551	(16.0, 2.0)	(17.0, 4.0)	(18.0, 13.0)	(19.0, 15.0)	(20.0, 23.0)	(21.0, 58.0)	(22.0, 108.0)	(23.0, 228.0)	(24.0, 318.0)	(25.0, 439.0)	(26.0, 469.0)	(27.0, 443.0)	(28.0, 439.0)	(29.0, 528.0)	(30.0, 693.0)	(31.0, 843.0)	(32.0, 1194.0)	(33.0, 1682.0)	(34.0, 2186.0)	(35.0, 3180.0)	(36.0, 3831.0)	(37.0, 2947.0)	(38.0, 359.0)	(39.0, 15.0)															
SRR1174552	(17.0, 1.0)	(18.0, 4.0)	(19.0, 7.0)	(20.0, 15.0)	(21.0, 43.0)	(22.0, 89.0)	(23.0, 220.0)	(24.0, 343.0)	(25.0, 466.0)	(26.0, 496.0)	(27.0, 505.0)	(28.0, 519.0)	(29.0, 636.0)	(30.0, 800.0)	(31.0, 996.0)	(32.0, 1323.0)	(33.0, 1829.0)	(34.0, 2504.0)	(35.0, 3236.0)	(36.0, 3993.0)	(37.0, 2627.0)	(38.0, 182.0)	(39.0, 2.0)																
SRR1174553	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 1.0)	(20.0, 13.0)	(21.0, 26.0)	(22.0, 59.0)	(23.0, 113.0)	(24.0, 217.0)	(25.0, 280.0)	(26.0, 279.0)	(27.0, 327.0)	(28.0, 318.0)	(29.0, 373.0)	(30.0, 486.0)	(31.0, 623.0)	(32.0, 843.0)	(33.0, 1167.0)	(34.0, 1467.0)	(35.0, 1926.0)	(36.0, 2324.0)	(37.0, 1348.0)	(38.0, 104.0)	(39.0, 10.0)															
SRR1174554	(16.0, 1.0)	(17.0, 1.0)	(18.0, 6.0)	(19.0, 14.0)	(20.0, 20.0)	(21.0, 46.0)	(22.0, 134.0)	(23.0, 238.0)	(24.0, 382.0)	(25.0, 523.0)	(26.0, 584.0)	(27.0, 627.0)	(28.0, 651.0)	(29.0, 783.0)	(30.0, 963.0)	(31.0, 1339.0)	(32.0, 1766.0)	(33.0, 2193.0)	(34.0, 2925.0)	(35.0, 3682.0)	(36.0, 4257.0)	(37.0, 2643.0)	(38.0, 354.0)	(39.0, 39.0)															
SRR1174555	(13.0, 2.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 13.0)	(20.0, 16.0)	(21.0, 41.0)	(22.0, 115.0)	(23.0, 243.0)	(24.0, 307.0)	(25.0, 392.0)	(26.0, 403.0)	(27.0, 387.0)	(28.0, 417.0)	(29.0, 496.0)	(30.0, 635.0)	(31.0, 695.0)	(32.0, 949.0)	(33.0, 1313.0)	(34.0, 1792.0)	(35.0, 2361.0)	(36.0, 3135.0)	(37.0, 2931.0)	(38.0, 471.0)	(39.0, 11.0)												
