Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR1174540	SRR1174540.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17425.0	7.9 Mbp	0.0	32-631	54.0	6.215208034433285	453.99543758967	509	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	
SRR1174541	SRR1174541.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21916.0	9.6 Mbp	0.0	32-613	52.0	5.0830443511589705	438.56700584048184	509	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass	
SRR1174544	SRR1174544.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21656.0	9.6 Mbp	0.0	32-676	53.0	4.779275951237532	446.79677687476914	509	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRR1174547	SRR1174547.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8078.0	3.5 Mbp	0.0	32-694	52.0	6.759098786828423	445.7832384253528	509	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRR1174550	SRR1174550.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7.0	2.7 kbp	0.0	57-514	53.0	57.14285714285714	392.2142857142857	484	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass	
SRR1174551	SRR1174551.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20017.0	8.9 Mbp	0.0	33-795	53.0	8.178048658640154	444.7679472448419	509	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRR1174552	SRR1174552.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20836.0	9.6 Mbp	0.0	31-732	53.0	5.207333461316951	464.8943655212133	509	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRR1174553	SRR1174553.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12310.0	5.5 Mbp	0.0	32-739	53.0	6.677497969130789	448.18399675060925	509	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRR1174554	SRR1174554.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24171.0	9.8 Mbp	0.0	32-772	53.0	6.979438169707501	407.09120433577425	509	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
SRR1174555	SRR1174555.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17133.0	7.6 Mbp	0.0	32-752	54.0	6.496235335317807	444.4254071090877	489	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	
