Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,tissue,Birth_date,birth_location,breeding_method,sub_species,strain,treatment,BREED,collected_by,sample_type,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolation_source,store_cond
SRR1271402,3 to 19 weekes,AMPLICON,483,2551778472,Martin Chenier,PRJNA244928,SAMN02729939,Model organism or animal,1583315340,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX533454,Illumina MiSeq,Swine 16S rDNA,PAIRED,PCR,METAGENOMIC,pig metagenome,ILLUMINA,2014-05-15T00:00:00Z,2014-05-09T07:14:00Z,1,Swine_McGill,neuter,SRP041290,Feces,"April 8\, 2011",McGill Swine Complex,Artificial insemination,,,,Landrace X Yorkshire X Duroc,Devin Holman,Feces,,Canada,North America,Canada:Montreal,,Liquid nitrogen
SRR1303790,3 wk to 19 wk,AMPLICON,247,57274080,McGill,PRJNA244928,SAMN02798119,Model organism or animal,35366611,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550964,Illumina MiSeq,Swine 16S rDNA,SINGLE,RANDOM,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-06-02T09:31:00Z,1,Control,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,None,,,,,,,,,
SRR1303835,3 wk to 19 wk,AMPLICON,247,66263295,McGill,PRJNA244928,SAMN02798118,Model organism or animal,41722512,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550966,Illumina MiSeq,,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-05-30T13:14:00Z,1,Tylosin,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,Tylosin,(Landrace/Yorkshire)xDuroc,,,,,,,,
SRR1303836,3 wk to 19 wk,AMPLICON,247,76479401,McGill,PRJNA244928,SAMN02798119,Model organism or animal,47074640,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550971,Illumina MiSeq,,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-06-02T09:31:00Z,1,Control,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,None,,,,,,,,,
SRR1303837,3 wk to 19 wk,AMPLICON,246,43344075,McGill,PRJNA244928,SAMN02798118,Model organism or animal,27296643,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550973,Illumina MiSeq,,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-06-02T09:31:00Z,1,Tylosin,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,Tylosin,(Landrace/Yorkshire)xDuroc,,,,,,,,
SRR1303838,3 wk to 19 wk,AMPLICON,246,37531665,McGill,PRJNA244928,SAMN02798118,Model organism or animal,23514796,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550975,Illumina MiSeq,,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-06-02T09:31:00Z,1,Tylosin,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,Tylosin,(Landrace/Yorkshire)xDuroc,,,,,,,,
SRR1303841,3 wk to 19 wk,AMPLICON,247,53382066,McGill,PRJNA244928,SAMN02798118,Model organism or animal,33069811,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550962,Illumina MiSeq,Swine 16S rDNA,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2014-06-03T00:00:00Z,2014-05-30T13:16:00Z,1,Tylosin,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,Tylosin,(Landrace/Yorkshire)xDuroc,,,,,,,,
SRR1303842,3 wk to 19 wk,AMPLICON,247,54185151,McGill,PRJNA244928,SAMN02798118,Model organism or animal,33328354,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550970,Illumina MiSeq,,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-06-02T08:14:00Z,1,Tylosin,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,Tylosin,(Landrace/Yorkshire)xDuroc,,,,,,,,
SRR1303843,3 wk to 19 wk,AMPLICON,247,60783415,McGill,PRJNA244928,SAMN02798119,Model organism or animal,37925584,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550968,Illumina MiSeq,,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-06-02T09:31:00Z,1,Control,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,None,,,,,,,,,
SRR1303844,3 wk to 19 wk,AMPLICON,246,46898726,McGill,PRJNA244928,SAMN02798119,Model organism or animal,29418513,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550976,Illumina MiSeq,,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-06-02T09:31:00Z,1,Control,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,None,,,,,,,,,
SRR1303845,3 wk to 19 wk,AMPLICON,247,65311296,McGill,PRJNA244928,SAMN02798119,Model organism or animal,40679591,MCGILL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX550978,Illumina MiSeq,,SINGLE,PCR,GENOMIC,Sus scrofa domesticus,ILLUMINA,2015-06-03T00:00:00Z,2014-06-02T09:31:00Z,1,Control,male and female,SRP041290,Feces,08-Apr-11,"Montreal, QC",Artifical insemination,domesticus,swine,None,,,,,,,,,
