Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR1303790	(12.0, 2.0)	(13.0, 2.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 10.0)	(17.0, 28.0)	(18.0, 76.0)	(19.0, 193.0)	(20.0, 287.0)	(21.0, 492.0)	(22.0, 706.0)	(23.0, 1247.0)	(24.0, 2028.0)	(25.0, 2899.0)	(26.0, 3973.0)	(27.0, 5301.0)	(28.0, 6647.0)	(29.0, 7952.0)	(30.0, 9900.0)	(31.0, 11654.0)	(32.0, 12877.0)	(33.0, 15053.0)	(34.0, 19024.0)	(35.0, 25476.0)	(36.0, 38845.0)	(37.0, 63337.0)	(38.0, 3247.0)			
SRR1303835	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 51.0)	(16.0, 352.0)	(17.0, 575.0)	(18.0, 562.0)	(19.0, 504.0)	(20.0, 568.0)	(21.0, 756.0)	(22.0, 1038.0)	(23.0, 1769.0)	(24.0, 3108.0)	(25.0, 4694.0)	(26.0, 6789.0)	(27.0, 8455.0)	(28.0, 9398.0)	(29.0, 10153.0)	(30.0, 11687.0)	(31.0, 12645.0)	(32.0, 13949.0)	(33.0, 16428.0)	(34.0, 20382.0)	(35.0, 28081.0)	(36.0, 43008.0)	(37.0, 68069.0)	(38.0, 4262.0)
SRR1303836	(9.0, 1.0)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 3.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 23.0)	(17.0, 44.0)	(18.0, 122.0)	(19.0, 291.0)	(20.0, 461.0)	(21.0, 635.0)	(22.0, 982.0)	(23.0, 1713.0)	(24.0, 2965.0)	(25.0, 4341.0)	(26.0, 5907.0)	(27.0, 7574.0)	(28.0, 9024.0)	(29.0, 10577.0)	(30.0, 13062.0)	(31.0, 14280.0)	(32.0, 16262.0)	(33.0, 19112.0)	(34.0, 24132.0)	(35.0, 32551.0)	(36.0, 50576.0)	(37.0, 88863.0)	(38.0, 4746.0)
SRR1303837	(13.0, 1.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 22.0)	(18.0, 96.0)	(19.0, 202.0)	(20.0, 314.0)	(21.0, 534.0)	(22.0, 716.0)	(23.0, 1245.0)	(24.0, 1967.0)	(25.0, 2881.0)	(26.0, 3899.0)	(27.0, 4628.0)	(28.0, 5508.0)	(29.0, 6375.0)	(30.0, 7645.0)	(31.0, 8726.0)	(32.0, 9662.0)	(33.0, 11383.0)	(34.0, 14426.0)	(35.0, 19834.0)	(36.0, 29687.0)	(37.0, 43578.0)	(38.0, 2122.0)				
SRR1303838	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 17.0)	(18.0, 67.0)	(19.0, 148.0)	(20.0, 265.0)	(21.0, 351.0)	(22.0, 573.0)	(23.0, 930.0)	(24.0, 1557.0)	(25.0, 2162.0)	(26.0, 3088.0)	(27.0, 3843.0)	(28.0, 4617.0)	(29.0, 5481.0)	(30.0, 6733.0)	(31.0, 7466.0)	(32.0, 8265.0)	(33.0, 10020.0)	(34.0, 12719.0)	(35.0, 17869.0)	(36.0, 27279.0)	(37.0, 37284.0)	(38.0, 1229.0)			
SRR1303841	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 3.0)	(15.0, 4.0)	(16.0, 9.0)	(17.0, 24.0)	(18.0, 80.0)	(19.0, 180.0)	(20.0, 290.0)	(21.0, 412.0)	(22.0, 641.0)	(23.0, 1109.0)	(24.0, 1845.0)	(25.0, 2691.0)	(26.0, 3672.0)	(27.0, 4800.0)	(28.0, 6184.0)	(29.0, 7691.0)	(30.0, 9990.0)	(31.0, 11538.0)	(32.0, 12565.0)	(33.0, 14548.0)	(34.0, 17718.0)	(35.0, 23682.0)	(36.0, 34722.0)	(37.0, 57530.0)	(38.0, 3571.0)	
SRR1303842	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 11.0)	(17.0, 14.0)	(18.0, 52.0)	(19.0, 164.0)	(20.0, 293.0)	(21.0, 442.0)	(22.0, 688.0)	(23.0, 1131.0)	(24.0, 2013.0)	(25.0, 2733.0)	(26.0, 3971.0)	(27.0, 4877.0)	(28.0, 6086.0)	(29.0, 7257.0)	(30.0, 9240.0)	(31.0, 10453.0)	(32.0, 11761.0)	(33.0, 13714.0)	(34.0, 17092.0)	(35.0, 23086.0)	(36.0, 35946.0)	(37.0, 64501.0)	(38.0, 3053.0)
SRR1303843	(10.0, 1.0)	(11.0, 1.0)	(12.0, 3.0)	(13.0, 1.0)	(14.0, 4.0)	(15.0, 3.0)	(16.0, 12.0)	(17.0, 32.0)	(18.0, 117.0)	(19.0, 240.0)	(20.0, 379.0)	(21.0, 606.0)	(22.0, 892.0)	(23.0, 1524.0)	(24.0, 2537.0)	(25.0, 3755.0)	(26.0, 4993.0)	(27.0, 6379.0)	(28.0, 7620.0)	(29.0, 8986.0)	(30.0, 10781.0)	(31.0, 12055.0)	(32.0, 13573.0)	(33.0, 15999.0)	(34.0, 19938.0)	(35.0, 27112.0)	(36.0, 40859.0)	(37.0, 63801.0)	(38.0, 3271.0)	
SRR1303844	(12.0, 2.0)	(13.0, 4.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 6.0)	(17.0, 19.0)	(18.0, 85.0)	(19.0, 221.0)	(20.0, 357.0)	(21.0, 542.0)	(22.0, 807.0)	(23.0, 1167.0)	(24.0, 1935.0)	(25.0, 2738.0)	(26.0, 3840.0)	(27.0, 4852.0)	(28.0, 5657.0)	(29.0, 6601.0)	(30.0, 8134.0)	(31.0, 9220.0)	(32.0, 10448.0)	(33.0, 12604.0)	(34.0, 15935.0)	(35.0, 22242.0)	(36.0, 33566.0)	(37.0, 46946.0)	(38.0, 2004.0)			
SRR1303845	(12.0, 1.0)	(13.0, 3.0)	(14.0, 5.0)	(15.0, 2.0)	(16.0, 8.0)	(17.0, 30.0)	(18.0, 118.0)	(19.0, 240.0)	(20.0, 415.0)	(21.0, 650.0)	(22.0, 972.0)	(23.0, 1626.0)	(24.0, 2661.0)	(25.0, 3963.0)	(26.0, 5674.0)	(27.0, 7105.0)	(28.0, 8082.0)	(29.0, 9298.0)	(30.0, 11171.0)	(31.0, 12606.0)	(32.0, 14042.0)	(33.0, 16418.0)	(34.0, 20607.0)	(35.0, 28840.0)	(36.0, 44911.0)	(37.0, 71999.0)	(38.0, 2621.0)			
