Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lab_host,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,quality (exp),ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study
SRR1425368,AMPLICON,501,15571947,PRJNA252973,SAMN02865421,Metagenome or environmental,11572911,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610906,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B1_10,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B1_10,missing,SRP043400
SRR1425369,AMPLICON,501,5370010,PRJNA252973,SAMN02865422,Metagenome or environmental,4194120,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610907,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B1_11,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B1_11,missing,SRP043400
SRR1425371,AMPLICON,501,12410768,PRJNA252973,SAMN02865423,Metagenome or environmental,9275998,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610908,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B1_12,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B1_12,missing,SRP043400
SRR1425372,AMPLICON,501,11691625,PRJNA252973,SAMN02865424,Metagenome or environmental,8659124,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610910,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B1_3,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B1_3,missing,SRP043400
SRR1425373,AMPLICON,501,19864339,PRJNA252973,SAMN02865425,Metagenome or environmental,14810568,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610911,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B1_4,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B1_4,missing,SRP043400
SRR1425375,AMPLICON,501,41016520,PRJNA252973,SAMN02865426,Metagenome or environmental,30167408,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610912,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B1_5,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B1_5,missing,SRP043400
SRR1425376,AMPLICON,501,25833852,PRJNA252973,SAMN02865427,Metagenome or environmental,19171702,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610913,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B1_6,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B1_6,missing,SRP043400
SRR1425377,AMPLICON,501,14413184,PRJNA252973,SAMN02865428,Metagenome or environmental,10574473,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610914,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B2_10,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B2_10,missing,SRP043400
SRR1425378,AMPLICON,501,3918965,PRJNA252973,SAMN02865429,Metagenome or environmental,3081112,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610915,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B2_11,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B2_11,missing,SRP043400
SRR1425379,AMPLICON,501,16157213,PRJNA252973,SAMN02865430,Metagenome or environmental,12034296,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX610916,South Korea,Asia,South Korea: Jeju,pig,Illumina MiSeq,B2_12,ABL,missing,,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,PHRED_33,2014-12-17T00:00:00Z,2014-06-19T09:44:00Z,1,B2_12,missing,SRP043400
