Sample	0	1	2	3	4	5	6	7
SRR1425368_1	(248, 37.0)	(249, 58.0)	(250, 636.0)	(251, 30333.0)				
SRR1425368_2	(244, 1.0)	(245, 0.0)	(246, 1.0)	(247, 1.0)	(248, 65.0)	(249, 991.0)	(250, 19125.0)	(251, 10880.0)
SRR1425369_1	(248, 10.0)	(249, 25.0)	(250, 461.0)	(251, 10217.0)				
SRR1425369_2	(248, 533.0)	(249, 254.0)	(250, 5268.0)	(251, 4658.0)				
SRR1425371_1	(248, 29.0)	(249, 59.0)	(250, 669.0)	(251, 23999.0)				
SRR1425371_2	(245, 1.0)	(246, 1.0)	(247, 1.0)	(248, 64.0)	(249, 649.0)	(250, 14365.0)	(251, 9675.0)	
SRR1425372_1	(248, 19.0)	(249, 55.0)	(250, 912.0)	(251, 22337.0)				
SRR1425372_2	(248, 30.0)	(249, 492.0)	(250, 14368.0)	(251, 8433.0)				
SRR1425373_1	(247, 1.0)	(248, 27.0)	(249, 101.0)	(250, 701.0)	(251, 38802.0)			
SRR1425373_2	(245, 1.0)	(246, 1.0)	(247, 2.0)	(248, 59.0)	(249, 963.0)	(250, 27815.0)	(251, 10791.0)	
SRR1425375_1	(248, 91.0)	(249, 215.0)	(250, 1572.0)	(251, 79954.0)				
SRR1425375_2	(245, 1.0)	(246, 2.0)	(247, 1.0)	(248, 107.0)	(249, 1836.0)	(250, 56856.0)	(251, 23029.0)	
SRR1425376_1	(248, 82.0)	(249, 124.0)	(250, 1053.0)	(251, 50281.0)				
SRR1425376_2	(245, 2.0)	(246, 3.0)	(247, 1.0)	(248, 95.0)	(249, 1974.0)	(250, 33417.0)	(251, 16048.0)	
SRR1425377_1	(248, 67.0)	(249, 47.0)	(250, 504.0)	(251, 28132.0)				
SRR1425377_2	(248, 32.0)	(249, 1030.0)	(250, 16361.0)	(251, 11327.0)				
SRR1425378_1	(248, 3.0)	(249, 18.0)	(250, 285.0)	(251, 7513.0)				
SRR1425378_2	(247, 2.0)	(248, 762.0)	(249, 188.0)	(250, 3173.0)	(251, 3694.0)			
SRR1425379_1	(248, 42.0)	(249, 39.0)	(250, 469.0)	(251, 31674.0)				
SRR1425379_2	(244, 1.0)	(245, 1.0)	(246, 0.0)	(247, 1.0)	(248, 40.0)	(249, 775.0)	(250, 16875.0)	(251, 14531.0)
SRR1425380_1	(248, 11.0)	(249, 45.0)	(250, 585.0)	(251, 24327.0)				
SRR1425380_2	(245, 1.0)	(246, 0.0)	(247, 0.0)	(248, 52.0)	(249, 466.0)	(250, 14552.0)	(251, 9897.0)	
SRR1425381_1	(248, 73.0)	(249, 96.0)	(250, 1272.0)	(251, 40902.0)				
SRR1425381_2	(244, 1.0)	(245, 1.0)	(246, 1.0)	(247, 6.0)	(248, 69.0)	(249, 1704.0)	(250, 29373.0)	(251, 11188.0)
SRR1425382_1	(248, 145.0)	(249, 201.0)	(250, 4540.0)	(251, 82515.0)				
SRR1425382_2	(245, 2.0)	(246, 4.0)	(247, 6.0)	(248, 90.0)	(249, 2103.0)	(250, 49976.0)	(251, 35220.0)	
SRR1425383_1	(248, 112.0)	(249, 85.0)	(250, 1414.0)	(251, 41271.0)				
SRR1425383_2	(246, 2.0)	(247, 1.0)	(248, 34.0)	(249, 1532.0)	(250, 28017.0)	(251, 13296.0)		
SRR1425384_1	(248, 43.0)	(249, 85.0)	(250, 749.0)	(251, 45019.0)				
SRR1425384_2	(245, 1.0)	(246, 1.0)	(247, 1.0)	(248, 72.0)	(249, 1147.0)	(250, 26070.0)	(251, 18604.0)	
SRR1425385_1	(248, 3.0)	(249, 6.0)	(250, 113.0)	(251, 2943.0)				
SRR1425385_2	(247, 1.0)	(248, 136.0)	(249, 70.0)	(250, 1502.0)	(251, 1356.0)			
SRR1425386_1	(248, 21.0)	(249, 53.0)	(250, 588.0)	(251, 25925.0)				
SRR1425386_2	(246, 3.0)	(247, 0.0)	(248, 50.0)	(249, 743.0)	(250, 16780.0)	(251, 9011.0)		
SRR1425387_1	(248, 22.0)	(249, 91.0)	(250, 988.0)	(251, 31153.0)				
SRR1425387_2	(245, 1.0)	(246, 0.0)	(247, 3.0)	(248, 79.0)	(249, 682.0)	(250, 17694.0)	(251, 13795.0)	
SRR1425388_1	(248, 50.0)	(249, 87.0)	(250, 1797.0)	(251, 40782.0)				
SRR1425388_2	(245, 1.0)	(246, 2.0)	(247, 1.0)	(248, 44.0)	(249, 1092.0)	(250, 28277.0)	(251, 13299.0)	
SRR1425389_1	(248, 216.0)	(249, 121.0)	(250, 4023.0)	(251, 61715.0)				
SRR1425389_2	(247, 1.0)	(248, 50.0)	(249, 2471.0)	(250, 40704.0)	(251, 22849.0)			
SRR1425390_1	(248, 101.0)	(249, 63.0)	(250, 1577.0)	(251, 31743.0)				
SRR1425390_2	(246, 1.0)	(247, 1.0)	(248, 20.0)	(249, 951.0)	(250, 20996.0)	(251, 11515.0)		
SRR1425391_1	(248, 28.0)	(249, 41.0)	(250, 553.0)	(251, 26406.0)				
SRR1425391_2	(246, 1.0)	(247, 4.0)	(248, 44.0)	(249, 763.0)	(250, 13362.0)	(251, 12854.0)		
SRR1425392_1	(244, 1.0)	(245, 0.0)	(246, 0.0)	(247, 1.0)	(248, 9.0)	(249, 45.0)	(250, 202.0)	(251, 7251.0)
SRR1425392_2	(244, 1.0)	(245, 0.0)	(246, 0.0)	(247, 3.0)	(248, 993.0)	(249, 136.0)	(250, 2321.0)	(251, 4055.0)
SRR1425394_1	(248, 5.0)	(249, 26.0)	(250, 853.0)	(251, 19893.0)				
SRR1425394_2	(246, 1.0)	(247, 7.0)	(248, 1563.0)	(249, 341.0)	(250, 7002.0)	(251, 11863.0)		
SRR1425395_1	(248, 30.0)	(249, 87.0)	(250, 925.0)	(251, 39894.0)				
SRR1425395_2	(247, 2.0)	(248, 30.0)	(249, 648.0)	(250, 26161.0)	(251, 14095.0)			
SRR1425399_1	(248, 45.0)	(249, 147.0)	(250, 4114.0)	(251, 60797.0)				
SRR1425399_2	(244, 1.0)	(245, 0.0)	(246, 4.0)	(247, 3.0)	(248, 55.0)	(249, 1140.0)	(250, 40441.0)	(251, 23459.0)
SRR1425403_1	(248, 94.0)	(249, 102.0)	(250, 1720.0)	(251, 50213.0)				
SRR1425403_2	(245, 2.0)	(246, 2.0)	(247, 6.0)	(248, 77.0)	(249, 1927.0)	(250, 30792.0)	(251, 19323.0)	
SRR1425407_1	(248, 183.0)	(249, 175.0)	(250, 3804.0)	(251, 76445.0)				
SRR1425407_2	(246, 2.0)	(247, 3.0)	(248, 65.0)	(249, 2788.0)	(250, 49794.0)	(251, 27955.0)		
SRR1425409_1	(248, 29.0)	(249, 59.0)	(250, 669.0)	(251, 23999.0)				
SRR1425409_2	(245, 1.0)	(246, 1.0)	(247, 1.0)	(248, 64.0)	(249, 649.0)	(250, 14365.0)	(251, 9675.0)	
SRR1425412_1	(248, 9.0)	(249, 25.0)	(250, 348.0)	(251, 9413.0)				
SRR1425412_2	(246, 1.0)	(247, 2.0)	(248, 580.0)	(249, 130.0)	(250, 3810.0)	(251, 5272.0)		
SRR1425414_1	(248, 2.0)	(249, 2.0)	(250, 77.0)	(251, 1054.0)				
SRR1425414_2	(246, 2.0)	(247, 1.0)	(248, 58.0)	(249, 30.0)	(250, 558.0)	(251, 486.0)		
SRR1425415_1	(248, 21.0)	(249, 62.0)	(250, 753.0)	(251, 24186.0)				
SRR1425415_2	(246, 1.0)	(247, 1.0)	(248, 25.0)	(249, 501.0)	(250, 18407.0)	(251, 6087.0)		
SRR1425416_1	(248, 98.0)	(249, 213.0)	(250, 8003.0)	(251, 95288.0)				
SRR1425416_2	(244, 1.0)	(245, 0.0)	(246, 8.0)	(247, 4.0)	(248, 74.0)	(249, 2114.0)	(250, 72339.0)	(251, 29062.0)
SRR1425417_1	(248, 70.0)	(249, 114.0)	(250, 1725.0)	(251, 53888.0)				
SRR1425417_2	(244, 1.0)	(245, 1.0)	(246, 0.0)	(247, 2.0)	(248, 92.0)	(249, 1768.0)	(250, 35961.0)	(251, 17972.0)
SRR1425419_1	(246, 1.0)	(247, 0.0)	(248, 144.0)	(249, 125.0)	(250, 1007.0)	(251, 50686.0)		
SRR1425419_2	(244, 1.0)	(245, 0.0)	(246, 0.0)	(247, 1.0)	(248, 43.0)	(249, 1890.0)	(250, 32685.0)	(251, 17343.0)
SRR1425421_1	(248, 42.0)	(249, 39.0)	(250, 469.0)	(251, 31674.0)				
SRR1425421_2	(244, 1.0)	(245, 1.0)	(246, 0.0)	(247, 1.0)	(248, 40.0)	(249, 775.0)	(250, 16875.0)	(251, 14531.0)
SRR1425423_1	(248, 14.0)	(249, 26.0)	(250, 443.0)	(251, 10538.0)				
SRR1425423_2	(246, 1.0)	(247, 3.0)	(248, 558.0)	(249, 183.0)	(250, 4948.0)	(251, 5328.0)		
SRR1425424_1	(245, 1.0)	(246, 2.0)	(247, 3.0)	(248, 43.0)	(249, 141.0)	(250, 266.0)	(251, 2316.0)	
SRR1425424_2	(245, 1.0)	(246, 1.0)	(247, 4.0)	(248, 93.0)	(249, 113.0)	(250, 836.0)	(251, 1724.0)	
SRR1425426_1	(248, 27.0)	(249, 55.0)	(250, 597.0)	(251, 23172.0)				
SRR1425426_2	(247, 2.0)	(248, 24.0)	(249, 508.0)	(250, 14147.0)	(251, 9170.0)			
SRR1425427_1	(248, 112.0)	(249, 138.0)	(250, 2596.0)	(251, 63738.0)				
SRR1425427_2	(246, 2.0)	(247, 4.0)	(248, 56.0)	(249, 1990.0)	(250, 43185.0)	(251, 21347.0)		
SRR1425428_1	(248, 62.0)	(249, 71.0)	(250, 1003.0)	(251, 34558.0)				
SRR1425428_2	(246, 1.0)	(247, 2.0)	(248, 29.0)	(249, 1041.0)	(250, 22030.0)	(251, 12591.0)		
SRR1425429_1	(248, 59.0)	(249, 101.0)	(250, 1243.0)	(251, 52331.0)				
SRR1425429_2	(245, 1.0)	(246, 0.0)	(247, 1.0)	(248, 48.0)	(249, 1178.0)	(250, 32374.0)	(251, 20132.0)	
