Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lab_host,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,quality (run),ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study,strain
SRR1542568,AMPLICON,501,19492752,PRJNA257009,SAMN02943910,"Microbe\, viral or environmental",14377068,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX673993,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white1-3D,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:10:00Z,1,white1-3D,missing,SRP045387,not applicable
SRR1542569,AMPLICON,501,38427719,PRJNA257009,SAMN02943911,"Microbe\, viral or environmental",28731670,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX673994,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white1-3W,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:10:00Z,1,white1-3W,missing,SRP045387,not applicable
SRR1542571,AMPLICON,501,20033046,PRJNA257009,SAMN02943912,"Microbe\, viral or environmental",14756646,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX673995,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white1-4W,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:10:00Z,1,white1-4W,missing,SRP045387,not applicable
SRR1542572,AMPLICON,501,1609646,PRJNA257009,SAMN02943913,"Microbe\, viral or environmental",1269290,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX673996,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white1-5W,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:11:00Z,1,white1-5W,missing,SRP045387,not applicable
SRR1542573,AMPLICON,501,967122,PRJNA257009,SAMN02943914,"Microbe\, viral or environmental",783250,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX673997,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white1-6W,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:11:00Z,1,white1-6W,missing,SRP045387,not applicable
SRR1542575,AMPLICON,501,13327486,PRJNA257009,SAMN02943915,"Microbe\, viral or environmental",10037460,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX673998,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white1-7W,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:11:00Z,1,white1-7W,missing,SRP045387,not applicable
SRR1542576,AMPLICON,501,48617013,PRJNA257009,SAMN02943916,"Microbe\, viral or environmental",37446144,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX673999,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white1-8w,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:14:00Z,1,white1-8w,missing,SRP045387,not applicable
SRR1542577,AMPLICON,501,24253332,PRJNA257009,SAMN02943917,"Microbe\, viral or environmental",18604228,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX674000,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white1-9w,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:14:00Z,1,white1-9w,missing,SRP045387,not applicable
SRR1542579,AMPLICON,501,9125081,PRJNA257009,SAMN02943918,"Microbe\, viral or environmental",6828682,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX674001,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white2-0D,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:14:00Z,1,white2-0D,missing,SRP045387,not applicable
SRR1542581,AMPLICON,501,38535449,PRJNA257009,SAMN02943919,"Microbe\, viral or environmental",28285625,JEJU NATIONAL UNIVERSITY,JMK,2013,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX674002,uncalculated,uncalculated,not applicable,pig,Illumina MiSeq,white2-1W,ABL,,PAIRED,PCR,METAGENOMIC,pig gut metagenome,ILLUMINA,PHRED_33,2014-08-12T00:00:00Z,2014-08-12T23:14:00Z,1,white2-1W,missing,SRP045387,not applicable
