Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
SRR1542197_1	(19.0, 2.0)	(20.0, 12.0)	(21.0, 39.0)	(22.0, 137.0)	(23.0, 333.0)	(24.0, 720.0)	(25.0, 1021.0)	(26.0, 1441.0)	(27.0, 1925.0)	(28.0, 2427.0)	(29.0, 2992.0)	(30.0, 3615.0)	(31.0, 4562.0)	(32.0, 5493.0)	(33.0, 6219.0)	(34.0, 5542.0)	(35.0, 3475.0)	(36.0, 961.0)	(37.0, 20.0)													
SRR1542197_2	(16.0, 1.0)	(17.0, 9.0)	(18.0, 50.0)	(19.0, 147.0)	(20.0, 206.0)	(21.0, 441.0)	(22.0, 766.0)	(23.0, 1081.0)	(24.0, 1345.0)	(25.0, 1633.0)	(26.0, 2083.0)	(27.0, 2400.0)	(28.0, 2615.0)	(29.0, 2904.0)	(30.0, 3224.0)	(31.0, 3676.0)	(32.0, 4137.0)	(33.0, 4525.0)	(34.0, 4596.0)	(35.0, 3603.0)	(36.0, 1439.0)	(37.0, 55.0)										
SRR1542200_1	(18.0, 2.0)	(19.0, 5.0)	(20.0, 16.0)	(21.0, 103.0)	(22.0, 326.0)	(23.0, 913.0)	(24.0, 1803.0)	(25.0, 2601.0)	(26.0, 3363.0)	(27.0, 4179.0)	(28.0, 4537.0)	(29.0, 4238.0)	(30.0, 4009.0)	(31.0, 3989.0)	(32.0, 4545.0)	(33.0, 5458.0)	(34.0, 5765.0)	(35.0, 4448.0)	(36.0, 1768.0)	(37.0, 61.0)												
SRR1542200_2	(16.0, 4.0)	(17.0, 16.0)	(18.0, 56.0)	(19.0, 149.0)	(20.0, 332.0)	(21.0, 693.0)	(22.0, 1148.0)	(23.0, 1645.0)	(24.0, 2041.0)	(25.0, 2580.0)	(26.0, 2835.0)	(27.0, 3021.0)	(28.0, 3510.0)	(29.0, 3761.0)	(30.0, 4136.0)	(31.0, 4736.0)	(32.0, 5332.0)	(33.0, 5438.0)	(34.0, 5051.0)	(35.0, 3838.0)	(36.0, 1697.0)	(37.0, 110.0)										
SRR1542201_1	(17.0, 1.0)	(18.0, 4.0)	(19.0, 3.0)	(20.0, 17.0)	(21.0, 41.0)	(22.0, 171.0)	(23.0, 514.0)	(24.0, 910.0)	(25.0, 1369.0)	(26.0, 1727.0)	(27.0, 1950.0)	(28.0, 2459.0)	(29.0, 3014.0)	(30.0, 3878.0)	(31.0, 5084.0)	(32.0, 6083.0)	(33.0, 6784.0)	(34.0, 6273.0)	(35.0, 3855.0)	(36.0, 1044.0)	(37.0, 18.0)											
SRR1542205_1	(18.0, 2.0)	(19.0, 7.0)	(20.0, 31.0)	(21.0, 154.0)	(22.0, 613.0)	(23.0, 1956.0)	(24.0, 3941.0)	(25.0, 5335.0)	(26.0, 5854.0)	(27.0, 5408.0)	(28.0, 5150.0)	(29.0, 5261.0)	(30.0, 6022.0)	(31.0, 7365.0)	(32.0, 8798.0)	(33.0, 9521.0)	(34.0, 8700.0)	(35.0, 5054.0)	(36.0, 1394.0)	(37.0, 41.0)												
SRR1542205_2	(16.0, 1.0)	(17.0, 14.0)	(18.0, 52.0)	(19.0, 103.0)	(20.0, 257.0)	(21.0, 551.0)	(22.0, 1058.0)	(23.0, 1752.0)	(24.0, 2483.0)	(25.0, 3356.0)	(26.0, 4072.0)	(27.0, 4896.0)	(28.0, 5455.0)	(29.0, 6191.0)	(30.0, 7165.0)	(31.0, 8172.0)	(32.0, 8978.0)	(33.0, 9030.0)	(34.0, 8079.0)	(35.0, 6088.0)	(36.0, 2683.0)	(37.0, 171.0)										
SRR1542209_1	(19.0, 4.0)	(20.0, 17.0)	(21.0, 117.0)	(22.0, 425.0)	(23.0, 1278.0)	(24.0, 2586.0)	(25.0, 3222.0)	(26.0, 3389.0)	(27.0, 3264.0)	(28.0, 3297.0)	(29.0, 3520.0)	(30.0, 4165.0)	(31.0, 5049.0)	(32.0, 6117.0)	(33.0, 6616.0)	(34.0, 5788.0)	(35.0, 3573.0)	(36.0, 1054.0)	(37.0, 40.0)													
SRR1542209_2	(15.0, 1.0)	(16.0, 3.0)	(17.0, 18.0)	(18.0, 59.0)	(19.0, 121.0)	(20.0, 285.0)	(21.0, 527.0)	(22.0, 985.0)	(23.0, 1506.0)	(24.0, 1911.0)	(25.0, 2436.0)	(26.0, 2845.0)	(27.0, 3265.0)	(28.0, 3668.0)	(29.0, 4035.0)	(30.0, 4649.0)	(31.0, 5131.0)	(32.0, 5442.0)	(33.0, 5670.0)	(34.0, 5004.0)	(35.0, 3825.0)	(36.0, 1968.0)	(37.0, 167.0)									
SRR1542212_1	(21.0, 5.0)	(22.0, 17.0)	(23.0, 47.0)	(24.0, 91.0)	(25.0, 151.0)	(26.0, 208.0)	(27.0, 202.0)	(28.0, 205.0)	(29.0, 222.0)	(30.0, 250.0)	(31.0, 312.0)	(32.0, 398.0)	(33.0, 435.0)	(34.0, 372.0)	(35.0, 232.0)	(36.0, 59.0)																
