Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR1542197_1	44.144518272425245	36.437365643932
SRR1542197_2	10.245260895055697	45.80809067813169
SRR1542199_1	48.72125708492696	34.219621215612165
SRR1542199_2	19.43228422653334	43.627789809993395
SRR1542200_1	36.99284467379002	44.857948550710745
SRR1542200_2	11.331504536822115	46.44056091618867
SRR1542201_1	46.720060178322534	33.88349299763262
SRR1542201_2	6.6505896148144865	28.85240823912033
SRR1542205_1	31.611398513776717	48.167032639845175
SRR1542205_2	7.821901323706378	53.661592665649415
SRR1542209_1	28.72143644550737	48.61082565721864
SRR1542209_2	6.528278619607257	50.03082902038451
SRR1542212_1	32.033686837180284	45.13412351840293
SRR1542212_2	10.449157829070494	52.994385527136686
SRR1542213_1	25.56066705002875	52.50143760782052
SRR1542213_2	20.730304772857963	41.14433582518684
SRR1542214_1	12.875536480686694	57.074145330768175
SRR1542214_2	7.614325884268166	47.83927778599969
SRR1542215_1	22.92982840743767	47.17101460828667
SRR1542215_2	5.363014927157861	25.045339498176467
SRR1542216_1	24.44219580065773	45.91955476853023
SRR1542216_2	3.4530736149759678	28.81608904629397
SRR1542217_1	50.64343377827512	31.7001039085604
SRR1542217_2	8.200783310686596	33.42658460554712
SRR1542218_1	37.642130460801916	42.39783015771901
SRR1542218_2	8.932259994980791	46.403544333120976
SRR1542219_1	36.48941699374518	45.39670591608868
SRR1542219_2	12.149398713192465	37.14715844937899
SRR1542220_1	54.9879528725215	29.733194809788053
SRR1542220_2	12.471540042883353	33.84911249143438
SRR1542221_1	41.66426110886592	40.61928680022324
SRR1542221_2	12.497353886419182	46.98920385659032
SRR1542222_1	35.65029149519891	43.407064471879316
SRR1542222_2	7.051611796982167	40.71930727023322
SRR1542223_1	25.833333333333336	52.57812500000002
SRR1542223_2	9.947916666666666	44.16666666666665
SRR1542224_1	22.289156626506024	54.914394419784415
SRR1542224_2	15.53582752060875	35.19340519974631
SRR1542225_1	34.77540798190338	42.49474874777831
SRR1542225_2	14.723703344643724	35.13895621263531
SRR1542226_1	19.202609096121133	48.07184413094356
SRR1542226_2	2.25664257450868	18.01930505559367
SRR1542227_1	19.339756304902238	53.03674317559265
SRR1542227_2	2.22914895626712	17.089354869179193
SRR1542228_1	45.79682193618716	34.589744664793955
