Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
SRR1542197_1	(1, 0.06839945280437756)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001465702560093805)	(15, 0.00586281024037522)	(20, 0.0)	(25, 0.0004885675200312683)	(30, 0.001465702560093805)	(35, 0.0004885675200312683)	(40, 0.0)	(45, 0.0)	(50, 0.0019542700801250734)	(55, 0.0004885675200312683)	(60, 0.0)	(65, 0.0)	(70, 0.00293140512018761)	(75, 0.003419972640218878)	(80, 0.001465702560093805)	(85, 0.0024428376001563415)	(90, 0.001465702560093805)	(95, 0.0009771350400625367)	(100, 0.008305647840531562)	(105, 0.0019542700801250734)	(110, 0.0019542700801250734)	(115, 0.004885675200312683)	(120, 0.007328512800469025)	(125, 0.005374242720343952)	(130, 0.00293140512018761)	(135, 0.001465702560093805)	(140, 0.009282782880594097)	(145, 0.0019542700801250734)	(150, 0.0024428376001563415)	(155, 0.010259917920656635)	(160, 0.006351377760406488)	(165, 0.004397107680281415)	(170, 0.009771350400625366)	(175, 0.007328512800469025)	(180, 0.019542700801250732)	(185, 0.030291186241938634)	(190, 0.04201680672268908)	(195, 0.028336916161813566)	(200, 0.018076998241156928)	(205, 0.007328512800469025)	(210, 0.006351377760406488)	(215, 0.013679890560875513)	(220, 0.00586281024037522)	(225, 0.0024428376001563415)	(230, 0.004397107680281415)	(235, 0.024428376001563418)	(240, 0.003419972640218878)	(245, 0.0014659174199853407)	(250, 0.001238957788708139)
SRR1542197_2	(1, 0.05618526480359586)	(2, 0.007328512800469025)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.004885675200312683)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004885675200312683)	(15, 0.0)	(20, 0.0)	(25, 0.001465702560093805)	(30, 0.005374242720343952)	(35, 0.0009771350400625367)	(40, 0.0004885675200312683)	(45, 0.0009771350400625367)	(50, 0.001465702560093805)	(55, 0.003419972640218878)	(60, 0.0009771350400625367)	(65, 0.0004885675200312683)	(70, 0.0019542700801250734)	(75, 0.00293140512018761)	(80, 0.004397107680281415)	(85, 0.0009771350400625367)	(90, 0.0004885675200312683)	(95, 0.0009771350400625367)	(100, 0.00293140512018761)	(105, 0.00586281024037522)	(110, 0.003908540160250147)	(115, 0.004397107680281415)	(120, 0.00879421536056283)	(125, 0.004397107680281415)	(130, 0.013191323040844246)	(135, 0.003419972640218878)	(140, 0.00586281024037522)	(145, 0.012702755520812976)	(150, 0.01172562048075044)	(155, 0.006839945280437756)	(160, 0.00293140512018761)	(165, 0.005374242720343952)	(170, 0.006839945280437756)	(175, 0.007817080320500294)	(180, 0.02100840336134454)	(185, 0.0009771350400625367)	(190, 0.003419972640218878)	(195, 0.009282782880594097)	(200, 0.011237052960719172)	(205, 0.019542700801250732)	(210, 0.010259917920656635)	(215, 0.009282782880594097)	(220, 0.00293140512018761)	(225, 0.0024428376001563415)	(230, 0.01172562048075044)	(235, 0.02051983584131327)	(240, 0.016122728161031854)	(245, 0.020523245018226596)	(250, 0.055196776508251916)
SRR1542199_1	(1, 0.039936715665944734)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.001536027525613259)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0006144110102453037)	(15, 0.004608082576839777)	(20, 0.0)	(25, 0.0)	(30, 0.0006144110102453037)	(35, 0.00030720550512265183)	(40, 0.0)	(45, 0.0)	(50, 0.0033792605563491697)	(55, 0.0009216165153679553)	(60, 0.0006144110102453037)	(65, 0.00030720550512265183)	(70, 0.0009216165153679553)	(75, 0.003072055051226518)	(80, 0.0009216165153679553)	(85, 0.0021504385358585626)	(90, 0.0021504385358585626)	(95, 0.0018432330307359107)	(100, 0.007065726617820991)	(105, 0.0036864660614718213)	(110, 0.0006144110102453037)	(115, 0.0027648495461038663)	(120, 0.005222493587085081)	(125, 0.0024576440409812147)	(130, 0.001536027525613259)	(135, 0.0021504385358585626)	(140, 0.005836904597330384)	(145, 0.001536027525613259)	(150, 0.003072055051226518)	(155, 0.007987343133188947)	(160, 0.005529699092207733)	(165, 0.0021504385358585626)	(170, 0.007065726617820991)	(175, 0.005529699092207733)	(180, 0.016281891771500544)	(185, 0.02887731748152927)	(190, 0.03747907162496352)	(195, 0.0261124679354254)	(200, 0.016281891771500544)	(205, 0.009216165153679554)	(210, 0.006144110102453036)	(215, 0.012288220204906072)	(220, 0.004608082576839777)	(225, 0.0006144110102453037)	(230, 0.004915288081962429)	(235, 0.02211879636883093)	(240, 0.0027648495461038663)	(245, 0.0015362398992226627)	(250, 0.0)
SRR1542199_2	(1, 0.04761685329401103)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.001536027525613259)	(6, 0.004608082576839777)	(7, 0.001536027525613259)	(8, 0.0)	(9, 0.001536027525613259)	(10, 0.0009216165153679553)	(15, 0.00030720550512265183)	(20, 0.0)	(25, 0.00030720550512265183)	(30, 0.007372932122943643)	(35, 0.001536027525613259)	(40, 0.0009216165153679553)	(45, 0.0009216165153679553)	(50, 0.0006144110102453037)	(55, 0.0021504385358585626)	(60, 0.00030720550512265183)	(65, 0.0006144110102453037)	(70, 0.0009216165153679553)	(75, 0.0012288220204906073)	(80, 0.003072055051226518)	(85, 0.0006144110102453037)	(90, 0.00030720550512265183)	(95, 0.001536027525613259)	(100, 0.0018432330307359107)	(105, 0.0024576440409812147)	(110, 0.0024576440409812147)	(115, 0.004915288081962429)	(120, 0.008294548638311599)	(125, 0.0036864660614718213)	(130, 0.01013778166904751)	(135, 0.001536027525613259)	(140, 0.004300877071717125)	(145, 0.011366603689538117)	(150, 0.011366603689538117)	(155, 0.006758521112698339)	(160, 0.0018432330307359107)	(165, 0.0033792605563491697)	(170, 0.006144110102453036)	(175, 0.005529699092207733)	(180, 0.015053069751009939)	(185, 0.0009216165153679553)	(190, 0.0024576440409812147)	(195, 0.009216165153679554)	(200, 0.011059398184415465)	(205, 0.018432330307359107)	(210, 0.01013778166904751)	(215, 0.008908959648556902)	(220, 0.003072055051226518)	(225, 0.0039936715665944734)	(230, 0.013517042225396679)	(235, 0.018125124802236457)	(240, 0.015974686266377894)	(245, 0.01690035244916835)	(250, 0.04120926292654449)
SRR1542200_1	(1, 0.04795795046902875)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00191831801876115)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.005371290452531221)	(20, 0.0)	(25, 0.0)	(30, 0.0003836636037522301)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.00115099081125669)	(55, 0.0)	(60, 0.0007673272075044602)	(65, 0.0)	(70, 0.00115099081125669)	(75, 0.00422029964127453)	(80, 0.00115099081125669)	(85, 0.00191831801876115)	(90, 0.00115099081125669)	(95, 0.00115099081125669)	(100, 0.005754954056283451)	(105, 0.00115099081125669)	(110, 0.0)	(115, 0.00191831801876115)	(120, 0.00498762684877899)	(125, 0.00191831801876115)	(130, 0.00115099081125669)	(135, 0.0015346544150089203)	(140, 0.00498762684877899)	(145, 0.00115099081125669)	(150, 0.00191831801876115)	(155, 0.006522281263787911)	(160, 0.00191831801876115)	(165, 0.0026856452262656104)	(170, 0.00728960847129237)	(175, 0.00690594486754014)	(180, 0.0191831801876115)	(185, 0.02915843388516948)	(190, 0.037215369563966316)	(195, 0.025321797847647185)	(200, 0.01688119856509812)	(205, 0.0076732720750446)	(210, 0.005371290452531221)	(215, 0.011126244508814671)	(220, 0.00345297243377007)	(225, 0.0003836636037522301)	(230, 0.0026856452262656104)	(235, 0.02033417099886819)	(240, 0.00115099081125669)	(245, 0.000767604039132454)	(250, 0.0)
SRR1542200_2	(1, 0.051794586506551055)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0038366360375223)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00460396324502676)	(35, 0.0003836636037522301)	(40, 0.0003836636037522301)	(45, 0.0003836636037522301)	(50, 0.0003836636037522301)	(55, 0.00191831801876115)	(60, 0.0)	(65, 0.0)	(70, 0.0003836636037522301)	(75, 0.0003836636037522301)	(80, 0.0030693088300178407)	(85, 0.0007673272075044602)	(90, 0.0003836636037522301)	(95, 0.0015346544150089203)	(100, 0.0015346544150089203)	(105, 0.0038366360375223)	(110, 0.00422029964127453)	(115, 0.00422029964127453)	(120, 0.00882426288630129)	(125, 0.00230198162251338)	(130, 0.012277235320071363)	(135, 0.00115099081125669)	(140, 0.00422029964127453)	(145, 0.013044562527575822)	(150, 0.010358917301310212)	(155, 0.00882426288630129)	(160, 0.0030693088300178407)	(165, 0.0038366360375223)	(170, 0.00690594486754014)	(175, 0.00422029964127453)	(180, 0.01688119856509812)	(185, 0.0)	(190, 0.0015346544150089203)	(195, 0.00920792649005352)	(200, 0.011126244508814671)	(205, 0.01573020775384143)	(210, 0.00844059928254906)	(215, 0.00728960847129237)	(220, 0.0015346544150089203)	(225, 0.00345297243377007)	(230, 0.00959159009380575)	(235, 0.017264862168850353)	(240, 0.01342822613132805)	(245, 0.014584980540565437)	(250, 0.05328494484288142)
SRR1542201_1	(1, 0.04867364322219518)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0004424876656563198)	(15, 0.003982388990906879)	(20, 0.0)	(25, 0.0004424876656563198)	(30, 0.0013274629969689596)	(35, 0.0017699506626252793)	(40, 0.0)	(45, 0.0)	(50, 0.002654925993937919)	(55, 0.0004424876656563198)	(60, 0.0)	(65, 0.0)	(70, 0.0008849753313126396)	(75, 0.003982388990906879)	(80, 0.0)	(85, 0.002212438328281599)	(90, 0.0008849753313126396)	(95, 0.0013274629969689596)	(100, 0.007522290316157437)	(105, 0.003097413659594239)	(110, 0.0004424876656563198)	(115, 0.0017699506626252793)	(120, 0.003982388990906879)	(125, 0.0008849753313126396)	(130, 0.002212438328281599)	(135, 0.0035399013252505585)	(140, 0.009292240978782717)	(145, 0.003982388990906879)	(150, 0.0048673643222195175)	(155, 0.011062191641407995)	(160, 0.007964777981813758)	(165, 0.005752339653532158)	(170, 0.005752339653532158)	(175, 0.007522290316157437)	(180, 0.02256687094847231)	(185, 0.0446912542312883)	(190, 0.056195933538352616)	(195, 0.03893891457775614)	(200, 0.020354432620190713)	(205, 0.010177216310095357)	(210, 0.007522290316157437)	(215, 0.015929555963627516)	(220, 0.005752339653532158)	(225, 0.0035399013252505585)	(230, 0.007079802650501117)	(235, 0.03230159959291135)	(240, 0.005752339653532158)	(245, 0.0026553959859264013)	(250, 0.0011209631315226042)
SRR1542201_2	(1, 0.07301046483329277)	(2, 0.002212438328281599)	(3, 0.002212438328281599)	(4, 0.0)	(5, 0.0)	(6, 0.006637314984844798)	(7, 0.002212438328281599)	(8, 0.002212438328281599)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0004424876656563198)	(25, 0.0017699506626252793)	(30, 0.008407265647470076)	(35, 0.002212438328281599)	(40, 0.0017699506626252793)	(45, 0.0017699506626252793)	(50, 0.0013274629969689596)	(55, 0.006194827319188478)	(60, 0.0013274629969689596)	(65, 0.002212438328281599)	(70, 0.002212438328281599)	(75, 0.002654925993937919)	(80, 0.008849753313126396)	(85, 0.0013274629969689596)	(90, 0.002654925993937919)	(95, 0.0008849753313126396)	(100, 0.002654925993937919)	(105, 0.005309851987875838)	(110, 0.003097413659594239)	(115, 0.008407265647470076)	(120, 0.014159605301002234)	(125, 0.008849753313126396)	(130, 0.017699506626252793)	(135, 0.003982388990906879)	(140, 0.008849753313126396)	(145, 0.017699506626252793)	(150, 0.018584481957565433)	(155, 0.011947166972720635)	(160, 0.0035399013252505585)	(165, 0.006637314984844798)	(170, 0.009734728644439035)	(175, 0.008407265647470076)	(180, 0.02168189561715967)	(185, 0.0013274629969689596)	(190, 0.002654925993937919)	(195, 0.012832142304033275)	(200, 0.015929555963627516)	(205, 0.02300935861412863)	(210, 0.012389654638376955)	(215, 0.011947166972720635)	(220, 0.0013274629969689596)	(225, 0.0017699506626252793)	(230, 0.007522290316157437)	(235, 0.015044580632314874)	(240, 0.010177216310095357)	(245, 0.013722521756836916)	(250, 0.06871156997128208)
SRR1542205_1	(1, 0.04838289478581265)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007443522274740407)	(15, 0.004217995955686231)	(20, 0.0)	(25, 0.0004962348183160272)	(30, 0.0017368218641060948)	(35, 0.0007443522274740407)	(40, 0.0004962348183160272)	(45, 0.0002481174091580136)	(50, 0.0009924696366320543)	(55, 0.0014887044549480814)	(60, 0.0)	(65, 0.0)	(70, 0.0019849392732641086)	(75, 0.0017368218641060948)	(80, 0.0017368218641060948)	(85, 0.0014887044549480814)	(90, 0.0004962348183160272)	(95, 0.0017368218641060948)	(100, 0.0029774089098961627)	(105, 0.001240587045790068)	(110, 0.0)	(115, 0.002481174091580136)	(120, 0.005210465592318285)	(125, 0.002481174091580136)	(130, 0.0019849392732641086)	(135, 0.002481174091580136)	(140, 0.0059548178197923254)	(145, 0.0014887044549480814)	(150, 0.0029774089098961627)	(155, 0.0059548178197923254)	(160, 0.0027292915007381493)	(165, 0.004217995955686231)	(170, 0.008187874502214447)	(175, 0.01042093118463657)	(180, 0.018608805686851016)	(185, 0.026300445370749437)	(190, 0.032751498008857786)	(195, 0.024315506097485333)	(200, 0.02084186236927314)	(205, 0.013150222685374718)	(210, 0.008684109320530476)	(215, 0.008187874502214447)	(220, 0.006451052638108353)	(225, 0.002481174091580136)	(230, 0.004217995955686231)	(235, 0.017864453459376976)	(240, 0.004217995955686231)	(245, 0.0022340710732477436)	(250, 0.00255274611663497)
SRR1542205_2	(1, 0.02853350205317156)	(2, 0.0)	(3, 0.001240587045790068)	(4, 0.0)	(5, 0.002481174091580136)	(6, 0.001240587045790068)	(7, 0.002481174091580136)	(8, 0.002481174091580136)	(9, 0.001240587045790068)	(10, 0.0009924696366320543)	(15, 0.0007443522274740407)	(20, 0.0007443522274740407)	(25, 0.0007443522274740407)	(30, 0.006699170047266366)	(35, 0.001240587045790068)	(40, 0.0009924696366320543)	(45, 0.0004962348183160272)	(50, 0.0004962348183160272)	(55, 0.0029774089098961627)	(60, 0.0009924696366320543)	(65, 0.0014887044549480814)	(70, 0.0007443522274740407)	(75, 0.0009924696366320543)	(80, 0.0029774089098961627)	(85, 0.0)	(90, 0.002481174091580136)	(95, 0.0017368218641060948)	(100, 0.0009924696366320543)	(105, 0.002233056682422122)	(110, 0.0032255263190541766)	(115, 0.0019849392732641086)	(120, 0.006202935228950339)	(125, 0.004962348183160272)	(130, 0.010917166002952597)	(135, 0.0034736437282121896)	(140, 0.0057067004106343125)	(145, 0.012157753048742666)	(150, 0.012653987867058692)	(155, 0.004466113364844244)	(160, 0.002481174091580136)	(165, 0.0034736437282121896)	(170, 0.0057067004106343125)	(175, 0.0034736437282121896)	(180, 0.014887044549480815)	(185, 0.0017368218641060948)	(190, 0.0029774089098961627)	(195, 0.008932226729688488)	(200, 0.008187874502214447)	(205, 0.012157753048742666)	(210, 0.007443522274740408)	(215, 0.006202935228950339)	(220, 0.005210465592318285)	(225, 0.003969878546528217)	(230, 0.011909635639584651)	(235, 0.026796680189065464)	(240, 0.021834332005905194)	(245, 0.024320152472466113)	(250, 0.07662907742374933)
