Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR1542197_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0016245897910776546)	(42.0, 0.004873769373232964)	(43.0, 0.0032491795821553092)	(44.0, 0.014621308119698893)	(45.0, 0.06660818143418387)	(46.0, 0.10234915683789221)	(47.0, 0.2420638788705709)	(48.0, 0.5507359391753224)	(49.0, 1.317542320563988)	(50.0, 4.717808753289705)	(51.0, 12.19742015141113)	(52.0, 14.064073821360203)	(53.0, 16.052571725640156)	(54.0, 18.492705591839904)	(55.0, 13.125060922116894)	(56.0, 8.8085258472224)	(57.0, 3.9087630373329407)	(58.0, 1.7334373070798441)	(59.0, 0.8659063586443931)	(60.0, 0.4451376027552763)	(61.0, 0.28592780322966793)	(62.0, 0.2323163401241049)	(63.0, 0.30867206030475525)	(64.0, 0.5945998635344184)	(65.0, 0.9958735419306093)	(66.0, 0.5897260941611855)	(67.0, 0.19819995451147393)	(68.0, 0.0503622835234073)	(69.0, 0.02111966728400951)	(70.0, 0.008122948955388272)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1542197_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0032647997453454894)	(36.0, 0.004897199618018234)	(37.0, 0.0)	(38.0, 0.0016323998726727447)	(39.0, 0.0032647997453454894)	(40.0, 0.0016323998726727447)	(41.0, 0.0016323998726727447)	(42.0, 0.008161999363363724)	(43.0, 0.019588798472072937)	(44.0, 0.029383197708109397)	(45.0, 0.044074796562164106)	(46.0, 0.11753279083243755)	(47.0, 0.28077277809971274)	(48.0, 0.6578571486871134)	(49.0, 2.510631004170625)	(50.0, 3.3105069417803605)	(51.0, 4.570719643483863)	(52.0, 7.766958594176522)	(53.0, 11.833266677004636)	(54.0, 17.827439009461678)	(55.0, 16.63905190215538)	(56.0, 12.087921057141699)	(57.0, 8.253413756232888)	(58.0, 5.507717170397957)	(59.0, 2.768550184052948)	(60.0, 1.4120258898619296)	(61.0, 0.7590659407928265)	(62.0, 0.3558631722426586)	(63.0, 0.22690358230151178)	(64.0, 0.14691598854054683)	(65.0, 0.15018078828589232)	(66.0, 0.1599751875219288)	(67.0, 0.2970967768264403)	(68.0, 0.7133587443579883)	(69.0, 0.8504803336625029)	(70.0, 0.44238036549431287)	(71.0, 0.1371215893045104)	(72.0, 0.06039879528889158)	(73.0, 0.014691598854054704)	(74.0, 0.006529599490690979)	(75.0, 0.004897199618018234)	(76.0, 0.0016323998726727447)	(77.0, 0.0032647997453454894)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0016323998726727447)	(81.0, 0.0)	(82.0, 0.0016323998726727447)	(83.0, 0.0016323998726727447)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.002448599809009117)
SRR1542199_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0010121662381831248)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0020243324763662496)	(39.0, 0.0020243324763662496)	(40.0, 0.0)	(41.0, 0.0)	(42.0, 0.0010121662381831248)	(43.0, 0.006072997429098747)	(44.0, 0.01821899228729624)	(45.0, 0.0809732990546499)	(46.0, 0.3107350351222182)	(47.0, 0.5577035972389043)	(48.0, 0.5931294155753146)	(49.0, 1.1103463632868777)	(50.0, 6.468754428227898)	(51.0, 25.02378590659261)	(52.0, 24.924593615250483)	(53.0, 11.125731290110572)	(54.0, 8.837223425577486)	(55.0, 7.407032531024081)	(56.0, 5.583108969817694)	(57.0, 3.7014919330356935)	(58.0, 1.968663333266189)	(59.0, 1.100224700905047)	(60.0, 0.5394846049516075)	(61.0, 0.2763213830239924)	(62.0, 0.13563027591653884)	(63.0, 0.07287596914918493)	(64.0, 0.03947448328914188)	(65.0, 0.026316322192761237)	(66.0, 0.01315816109638062)	(67.0, 0.006072997429098747)	(68.0, 0.015182493572746869)	(69.0, 0.019231158525479363)	(70.0, 0.011133828620014373)	(71.0, 0.011133828620014373)	(72.0, 0.004048664952732499)	(73.0, 0.0020243324763662496)	(74.0, 0.0)	(75.0, 0.0020243324763662496)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0010121662381831248)	(90.0, 0.0010121662381831248)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1542199_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0010074551682450945)	(39.0, 0.0010074551682450945)	(40.0, 0.0010074551682450945)	(41.0, 0.0030223655047352835)	(42.0, 0.005037275841225472)	(43.0, 0.005037275841225472)	(44.0, 0.027201289542617545)	(45.0, 0.056417489421725295)	(46.0, 0.12391698569414666)	(47.0, 0.41809389482171283)	(48.0, 0.9762240580294937)	(49.0, 2.9488212774535154)	(50.0, 4.869030828128278)	(51.0, 5.38283296393316)	(52.0, 9.548660084627969)	(53.0, 20.320370743498582)	(54.0, 20.782792665722663)	(55.0, 12.095506749952726)	(56.0, 7.721136409430537)	(57.0, 5.528913963328665)	(58.0, 4.309893209752378)	(59.0, 2.3916985694139146)	(60.0, 1.2593189603063493)	(61.0, 0.6538384041910716)	(62.0, 0.2760427160991552)	(63.0, 0.11484988917994075)	(64.0, 0.052387668748744926)	(65.0, 0.0171267378601666)	(66.0, 0.013096917187186226)	(67.0, 0.01410437235543132)	(68.0, 0.01410437235543132)	(69.0, 0.01611928269192151)	(70.0, 0.012089462018941134)	(71.0, 0.00705218617771566)	(72.0, 0.012089462018941134)	(73.0, 0.00705218617771566)	(74.0, 0.0030223655047352835)	(75.0, 0.002014910336490189)	(76.0, 0.0010074551682450945)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0010074551682450945)	(82.0, 0.0010074551682450945)	(83.0, 0.0010074551682450945)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0010074551682450945)	(88.0, 0.0010074551682450945)	(89.0, 0.0)	(90.0, 0.0010074551682450945)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0010074551682450945)	(100.0, 0.0)
SRR1542200_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0012888258796237327)	(39.0, 0.0012888258796237327)	(40.0, 0.0025776517592474655)	(41.0, 0.0)	(42.0, 0.0)	(43.0, 0.0025776517592474655)	(44.0, 0.00902178115736613)	(45.0, 0.149503802036353)	(46.0, 1.0027065343472747)	(47.0, 0.8441809511535521)	(48.0, 0.5825492975899269)	(49.0, 1.6909395540663088)	(50.0, 7.315375692743724)	(51.0, 21.83786570434195)	(52.0, 19.847918546204717)	(53.0, 10.86866864286756)	(54.0, 7.814151308157995)	(55.0, 6.927439102977069)	(56.0, 8.004897538342323)	(57.0, 5.940198479185513)	(58.0, 3.245263564892658)	(59.0, 1.746359066890126)	(60.0, 0.9472870215234537)	(61.0, 0.547750998840085)	(62.0, 0.3363835545817937)	(63.0, 0.19074623018431275)	(64.0, 0.0747519010181765)	(65.0, 0.030931821110969576)	(66.0, 0.023198865833227184)	(67.0, 0.005155303518494931)	(68.0, 0.0012888258796237327)	(69.0, 0.0038664776388711987)	(70.0, 0.0012888258796237327)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0012888258796237327)	(77.0, 0.0012888258796237327)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1542200_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.002564299817934634)	(40.0, 0.003846449726901952)	(41.0, 0.005128599635869268)	(42.0, 0.012821499089673172)	(43.0, 0.015385798907607807)	(44.0, 0.0230786983614117)	(45.0, 0.055132446085594665)	(46.0, 0.17309023771058799)	(47.0, 0.7026181501140929)	(48.0, 2.146318947611264)	(49.0, 7.55827371336169)	(50.0, 6.882580711336067)	(51.0, 6.120983665409654)	(52.0, 10.08282688411927)	(53.0, 15.790958278844311)	(54.0, 13.61771418314377)	(55.0, 9.284047490832267)	(56.0, 9.46995922763261)	(57.0, 6.673590276174443)	(58.0, 4.761904761904607)	(59.0, 3.263071518321924)	(60.0, 1.727055927378945)	(61.0, 0.8475010898274038)	(62.0, 0.4102879708695398)	(63.0, 0.1743723876195553)	(64.0, 0.07821114444700633)	(65.0, 0.043593096904888794)	(66.0, 0.0230786983614117)	(67.0, 0.006410749544836585)	(68.0, 0.007692899453803902)	(69.0, 0.011539349180705856)	(70.0, 0.003846449726901952)	(71.0, 0.002564299817934634)	(72.0, 0.005128599635869268)	(73.0, 0.002564299817934634)	(74.0, 0.001282149908967317)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.001282149908967317)	(78.0, 0.002564299817934634)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.001282149908967317)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.001282149908967317)	(89.0, 0.001282149908967317)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.001282149908967317)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1542201_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0014677390946984514)	(33.0, 0.0029354781893969027)	(34.0, 0.0014677390946984514)	(35.0, 0.0029354781893969027)	(36.0, 0.0058709563787938054)	(37.0, 0.0029354781893969027)	(38.0, 0.0014677390946984514)	(39.0, 0.0)	(40.0, 0.0)	(41.0, 0.0014677390946984514)	(42.0, 0.004403217284095355)	(43.0, 0.011741912757587611)	(44.0, 0.03522573827276282)	(45.0, 0.17172547407971883)	(46.0, 0.4931603358186775)	(47.0, 0.7573533728644033)	(48.0, 0.7221276345916394)	(49.0, 1.0831914518874688)	(50.0, 3.7104444313977996)	(51.0, 8.349967709738822)	(52.0, 11.724299888451641)	(53.0, 11.555509892561242)	(54.0, 10.796688780601798)	(55.0, 15.87066283097665)	(56.0, 17.907884694419028)	(57.0, 9.196853167379757)	(58.0, 3.8983150355192224)	(59.0, 1.7216579580812625)	(60.0, 0.8527564140198053)	(61.0, 0.42417659836785127)	(62.0, 0.242176950625245)	(63.0, 0.1497093876592419)	(64.0, 0.09980625843949466)	(65.0, 0.08219338930311329)	(66.0, 0.03082252098866747)	(67.0, 0.02054834732577832)	(68.0, 0.014677390946984517)	(69.0, 0.01761286913638142)	(70.0, 0.01027417366288916)	(71.0, 0.014677390946984517)	(72.0, 0.007338695473492257)	(73.0, 0.0014677390946984514)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1542201_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0014801438699840925)	(24.0, 0.0014801438699840925)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0014801438699840925)	(33.0, 0.0014801438699840925)	(34.0, 0.0014801438699840925)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0014801438699840925)	(39.0, 0.002960287739968185)	(40.0, 0.0074007193499204624)	(41.0, 0.004440431609952278)	(42.0, 0.019241870309793203)	(43.0, 0.03404330900963412)	(44.0, 0.10805050250883869)	(45.0, 0.2545847456372645)	(46.0, 0.4040792765056564)	(47.0, 0.5402525125441909)	(48.0, 0.7533932298219052)	(49.0, 1.2196385488669006)	(50.0, 2.0559198354078654)	(51.0, 3.354006009384025)	(52.0, 5.882091739316687)	(53.0, 10.005772561092053)	(54.0, 13.661727919954425)	(55.0, 15.796095380472458)	(56.0, 15.408297686536448)	(57.0, 11.189887657079867)	(58.0, 7.938011574724124)	(59.0, 4.814908009058398)	(60.0, 2.995811192847834)	(61.0, 1.7613712052810477)	(62.0, 0.8318408549310643)	(63.0, 0.37003596749602274)	(64.0, 0.16725625730820243)	(65.0, 0.10509021476887051)	(66.0, 0.06512633027930012)	(67.0, 0.037003596749602304)	(68.0, 0.04884474770947507)	(69.0, 0.047364603839490975)	(70.0, 0.026642589659713663)	(71.0, 0.014801438699840928)	(72.0, 0.014801438699840928)	(73.0, 0.014801438699840928)	(74.0, 0.008880863219904556)	(75.0, 0.004440431609952278)	(76.0, 0.002960287739968185)	(77.0, 0.0014801438699840925)	(78.0, 0.0014801438699840925)	(79.0, 0.0014801438699840925)	(80.0, 0.0014801438699840925)	(81.0, 0.0014801438699840925)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0014801438699840925)	(86.0, 0.0014801438699840925)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0014801438699840925)	(91.0, 0.002960287739968185)	(92.0, 0.0014801438699840925)	(93.0, 0.0)	(94.0, 0.0014801438699840925)	(95.0, 0.0014801438699840925)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1542205_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.000828823154003597)	(39.0, 0.000828823154003597)	(40.0, 0.0)	(41.0, 0.000828823154003597)	(42.0, 0.000828823154003597)	(43.0, 0.007459408386032374)	(44.0, 0.01408999361806115)	(45.0, 0.06796349862829489)	(46.0, 0.23952989150703885)	(47.0, 0.28594398813123967)	(48.0, 0.3961774676137198)	(49.0, 1.2904776507835736)	(50.0, 4.653013186575831)	(51.0, 11.714586458687302)	(52.0, 12.680994256254618)	(53.0, 10.357802955584647)	(54.0, 12.75973245588489)	(55.0, 11.31177840584192)	(56.0, 10.182092446936043)	(57.0, 7.718001210082227)	(58.0, 5.109694744431721)	(59.0, 3.4006614008766802)	(60.0, 2.0803461165490913)	(61.0, 2.607477642495418)	(62.0, 2.2933536671280406)	(63.0, 0.4707715514740457)	(64.0, 0.17985462441878072)	(65.0, 0.09945877848043166)	(66.0, 0.0323241030061403)	(67.0, 0.012432347310053956)	(68.0, 0.009945877848043166)	(69.0, 0.011603524156050359)	(70.0, 0.004972938924021582)	(71.0, 0.003315292616014388)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.000828823154003597)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
SRR1542205_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0024807227172183267)	(39.0, 0.0016538151448122177)	(40.0, 0.0)	(41.0, 0.0016538151448122177)	(42.0, 0.006615260579248871)	(43.0, 0.00826907572406109)	(44.0, 0.018191966592934386)	(45.0, 0.037210840758274924)	(46.0, 0.06946023608211307)	(47.0, 0.21168833853596355)	(48.0, 0.5771814855394696)	(49.0, 2.1673247472764845)	(50.0, 3.865792900998373)	(51.0, 4.409898083641468)	(52.0, 6.9146011204602535)	(53.0, 10.964794410106121)	(54.0, 14.322866061644273)	(55.0, 13.93504641018616)	(56.0, 12.229962995886316)	(57.0, 8.413784549233212)	(58.0, 6.353957786368657)	(59.0, 4.676162321956175)	(60.0, 3.6383933185867448)	(61.0, 2.271515101399666)	(62.0, 1.0584416926798024)	(63.0, 0.46141442540261096)	(64.0, 0.23484175056333428)	(65.0, 0.44239555123727003)	(66.0, 1.5347404543857393)	(67.0, 0.7731585801997111)	(68.0, 0.20920761581874528)	(69.0, 0.09509437082670251)	(70.0, 0.04134537862030546)	(71.0, 0.023153412027371045)	(72.0, 0.015711243875716065)	(73.0, 0.004134537862030544)	(74.0, 0.0016538151448122177)	(75.0, 0.0016538151448122177)	(76.0, 0.0008269075724061088)	(77.0, 0.0008269075724061088)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0008269075724061088)	(98.0, 0.0008269075724061088)	(99.0, 0.0)	(100.0, 0.0012403613586091634)
