Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1542197_1	(1.0, 6.1852648035958575)	(2.0, 1.9347273793238227)	(3.0, 1.2531756888802033)	(4.0, 1.0455344928669141)	(5.0, 0.5618526480359586)	(6.0, 0.586281024037522)	(7.0, 0.5813953488372093)	(8.0, 0.4885675200312683)	(9.0, 0.46169630642954856)	('>10', 7.516611295681064)	('>50', 3.754641391440297)	('>100', 12.363201094391245)	('>500', 12.456028923197186)	('>1k', 6.666503810826656)	('>5k', 0.0)	('>10k+', 44.144518272425245)
SRR1542197_2	(1.0, 24.98778581199922)	(2.0, 3.6593707250342)	(3.0, 1.9567129177252296)	(4.0, 1.3484463552863006)	(5.0, 0.9771350400625366)	(6.0, 0.9087355872581591)	(7.0, 0.5984952120383037)	(8.0, 0.6058237248387727)	(9.0, 0.7475083056478405)	('>10', 9.913034981434436)	('>50', 5.107973421926911)	('>100', 14.22952902091069)	('>500', 15.514461598592927)	('>1k', 19.444987297244477)	('>5k', 0.0)	('>10k+', 0.0)
SRR1542199_1	(1.0, 4.346957897485523)	(2.0, 1.4868746447936347)	(3.0, 0.8617114418690384)	(4.0, 0.694284441577193)	(5.0, 0.6297712855014361)	(6.0, 0.45159209253029814)	(7.0, 0.516105248606055)	(8.0, 0.2949172849177457)	(9.0, 0.34560619326298325)	('>10', 6.279280524707002)	('>50', 3.3147474002734127)	('>100', 11.01485338617268)	('>500', 5.658725404359246)	('>1k', 3.847748951661214)	('>5k', 11.535566717355575)	('>10k+', 48.72125708492696)
SRR1542199_2	(1.0, 18.487627298281183)	(2.0, 2.7525613258989603)	(3.0, 1.4838025897424083)	(4.0, 1.2411102406955132)	(5.0, 0.8524952767153587)	(6.0, 0.8018063683701213)	(7.0, 0.5913705973611046)	(8.0, 0.5775463496305854)	(9.0, 0.3594304409935026)	('>10', 8.649370996728262)	('>50', 3.770947575380551)	('>100', 10.532540743130117)	('>500', 9.965746586178824)	('>1k', 9.71383807197825)	('>5k', 10.787521312381918)	('>10k+', 19.43228422653334)
SRR1542200_1	(1.0, 5.212070056974045)	(2.0, 1.5883673195342323)	(3.0, 0.9840971436244701)	(4.0, 0.7903470237295939)	(5.0, 0.6234533560973738)	(6.0, 0.5409656812906444)	(7.0, 0.3759903316771855)	(8.0, 0.3376239713019624)	(9.0, 0.3625621055458574)	('>10', 7.233977248748298)	('>50', 3.932551938460358)	('>100', 9.562815323524333)	('>500', 2.338429664869842)	('>1k', 19.056571198373266)	('>5k', 10.067332962458517)	('>10k+', 36.99284467379002)
SRR1542200_2	(1.0, 24.069136181396154)	(2.0, 3.011759289455006)	(3.0, 1.7955456655604367)	(4.0, 1.2584166203073146)	(5.0, 0.8824262886301291)	(6.0, 0.8517332003299507)	(7.0, 0.6848395326977307)	(8.0, 0.613861766003568)	(9.0, 0.6560647624163134)	('>10', 8.008977728327803)	('>50', 3.813616221297167)	('>100', 12.599512747223235)	('>500', 7.609967580425484)	('>1k', 22.812637879107598)	('>5k', 11.331504536822115)	('>10k+', 0.0)
SRR1542201_1	(1.0, 6.028894444567358)	(2.0, 1.9026969623221752)	(3.0, 1.1416181773933052)	(4.0, 0.7787782915551229)	(5.0, 0.6637314984844798)	(6.0, 0.491161308878515)	(7.0, 0.43363791234319343)	(8.0, 0.4955861855350782)	(9.0, 0.47788667890882547)	('>10', 7.84530631208655)	('>50', 3.7301710214827764)	('>100', 14.055620699572998)	('>500', 7.12405141706675)	('>1k', 8.110798911480343)	('>5k', 0.0)	('>10k+', 46.720060178322534)
SRR1542201_2	(1.0, 41.39914599880528)	(2.0, 4.659395119361047)	(3.0, 2.4425319144228856)	(4.0, 1.7522511559990268)	(5.0, 1.2832142304033276)	(6.0, 0.8894002079692029)	(7.0, 1.0995818491559548)	(8.0, 0.5663842120400894)	(9.0, 0.5774464036814974)	('>10', 10.241377021615522)	('>50', 5.234629084714264)	('>100', 10.90289608177172)	('>500', 8.179384499657072)	('>1k', 10.772362220403107)	('>5k', 0.0)	('>10k+', 0.0)
SRR1542205_1	(1.0, 4.946220551565)	(2.0, 1.5705831999702258)	(3.0, 0.9192750009304402)	(4.0, 0.7741263165730023)	(5.0, 0.6326993933529346)	(6.0, 0.6178123488034538)	(7.0, 0.5818353244755419)	(8.0, 0.4664607292170655)	(9.0, 0.4354460530723138)	('>10', 6.919994541416999)	('>50', 3.486049598670091)	('>100', 11.847606287295148)	('>500', 4.57528502487377)	('>1k', 17.811108216408)	('>5k', 0.0)	('>10k+', 44.41549741337601)
SRR1542205_2	(1.0, 17.77140943094272)	(2.0, 2.9575595171635216)	(3.0, 1.8571588075477314)	(4.0, 1.205850608507946)	(5.0, 1.060701924150508)	(6.0, 0.8485615393204065)	(7.0, 0.6513081990397857)	(8.0, 0.5061595146823477)	(9.0, 0.4912724701328669)	('>10', 8.930986142642698)	('>50', 3.668415894401231)	('>100', 12.98646519533043)	('>500', 8.61091468482886)	('>1k', 30.63133474760257)	('>5k', 7.821901323706378)	('>10k+', 0.0)
