Sample	0	1	2	3	4	5	6	7	8	9	10	11
SRR1542197_1	(248, 30.0)	(249, 87.0)	(250, 925.0)	(251, 39894.0)								
SRR1542197_2	(247, 2.0)	(248, 30.0)	(249, 648.0)	(250, 26161.0)	(251, 14095.0)							
SRR1542199_1	(248, 45.0)	(249, 147.0)	(250, 4114.0)	(251, 60797.0)								
SRR1542199_2	(244, 1.0)	(245, 0.0)	(246, 4.0)	(247, 3.0)	(248, 55.0)	(249, 1140.0)	(250, 40441.0)	(251, 23459.0)				
SRR1542200_1	(248, 94.0)	(249, 102.0)	(250, 1720.0)	(251, 50213.0)								
SRR1542200_2	(245, 2.0)	(246, 2.0)	(247, 6.0)	(248, 77.0)	(249, 1927.0)	(250, 30792.0)	(251, 19323.0)					
SRR1542201_1	(248, 40.0)	(249, 113.0)	(250, 883.0)	(251, 44163.0)								
SRR1542201_2	(244, 1.0)	(245, 0.0)	(246, 2.0)	(247, 4.0)	(248, 70.0)	(249, 1299.0)	(250, 30887.0)	(251, 12936.0)				
SRR1542205_1	(248, 183.0)	(249, 175.0)	(250, 3804.0)	(251, 76445.0)								
SRR1542205_2	(246, 2.0)	(247, 3.0)	(248, 65.0)	(249, 2788.0)	(250, 49794.0)	(251, 27955.0)						
SRR1542209_1	(248, 90.0)	(249, 106.0)	(250, 2858.0)	(251, 50467.0)								
SRR1542209_2	(246, 3.0)	(247, 5.0)	(248, 60.0)	(249, 1727.0)	(250, 31458.0)	(251, 20268.0)						
SRR1542212_1	(248, 13.0)	(249, 10.0)	(250, 75.0)	(251, 3108.0)								
SRR1542212_2	(248, 2.0)	(249, 105.0)	(250, 1865.0)	(251, 1234.0)								
SRR1542213_1	(248, 7.0)	(249, 7.0)	(250, 37.0)	(251, 3427.0)								
SRR1542213_2	(248, 4.0)	(249, 84.0)	(250, 1750.0)	(251, 1640.0)								
SRR1542214_1	(248, 28.0)	(249, 41.0)	(250, 553.0)	(251, 26406.0)								
SRR1542214_2	(246, 1.0)	(247, 4.0)	(248, 44.0)	(249, 763.0)	(250, 13362.0)	(251, 12854.0)						
SRR1542215_1	(248, 210.0)	(249, 426.0)	(250, 6718.0)	(251, 93000.0)								
SRR1542215_2	(240, 1.0)	(241, 0.0)	(242, 0.0)	(243, 0.0)	(244, 1.0)	(245, 13.0)	(246, 14.0)	(247, 226.0)	(248, 456.0)	(249, 1716.0)	(250, 4764.0)	(251, 93163.0)
SRR1542216_1	(245, 1.0)	(246, 2.0)	(247, 8.0)	(248, 48.0)	(249, 150.0)	(250, 1872.0)	(251, 37449.0)					
SRR1542216_2	(246, 5.0)	(247, 2.0)	(248, 28.0)	(249, 277.0)	(250, 35406.0)	(251, 3812.0)						
SRR1542217_1	(248, 21.0)	(249, 62.0)	(250, 753.0)	(251, 24186.0)								
SRR1542217_2	(246, 1.0)	(247, 1.0)	(248, 25.0)	(249, 501.0)	(250, 18407.0)	(251, 6087.0)						
SRR1542218_1	(248, 98.0)	(249, 213.0)	(250, 8003.0)	(251, 95288.0)								
SRR1542218_2	(244, 1.0)	(245, 0.0)	(246, 8.0)	(247, 4.0)	(248, 74.0)	(249, 2114.0)	(250, 72339.0)	(251, 29062.0)				
SRR1542219_1	(248, 70.0)	(249, 114.0)	(250, 1725.0)	(251, 53888.0)								
SRR1542219_2	(244, 1.0)	(245, 1.0)	(246, 0.0)	(247, 2.0)	(248, 92.0)	(249, 1768.0)	(250, 35961.0)	(251, 17972.0)				
SRR1542220_1	(248, 27.0)	(249, 82.0)	(250, 1634.0)	(251, 43496.0)								
SRR1542220_2	(246, 3.0)	(247, 2.0)	(248, 59.0)	(249, 1012.0)	(250, 31325.0)	(251, 12838.0)						
SRR1542221_1	(246, 1.0)	(247, 0.0)	(248, 144.0)	(249, 125.0)	(250, 1007.0)	(251, 50686.0)						
SRR1542221_2	(244, 1.0)	(245, 0.0)	(246, 0.0)	(247, 1.0)	(248, 43.0)	(249, 1890.0)	(250, 32685.0)	(251, 17343.0)				
SRR1542222_1	(248, 84.0)	(249, 88.0)	(250, 1358.0)	(251, 45126.0)								
SRR1542222_2	(246, 2.0)	(247, 3.0)	(248, 73.0)	(249, 1503.0)	(250, 29596.0)	(251, 15479.0)						
SRR1542223_1	(248, 4.0)	(249, 12.0)	(250, 94.0)	(251, 3730.0)								
SRR1542223_2	(248, 8.0)	(249, 96.0)	(250, 2370.0)	(251, 1366.0)								
SRR1542224_1	(249, 6.0)	(250, 58.0)	(251, 3090.0)									
SRR1542224_2	(245, 1.0)	(246, 0.0)	(247, 0.0)	(248, 1.0)	(249, 69.0)	(250, 1789.0)	(251, 1294.0)					
SRR1542225_1	(248, 29.0)	(249, 59.0)	(250, 669.0)	(251, 23999.0)								
SRR1542225_2	(245, 1.0)	(246, 1.0)	(247, 1.0)	(248, 64.0)	(249, 649.0)	(250, 14365.0)	(251, 9675.0)					
SRR1542226_1	(248, 381.0)	(249, 471.0)	(250, 6239.0)	(251, 99306.0)								
SRR1542226_2	(241, 2.0)	(242, 0.0)	(243, 3.0)	(244, 0.0)	(245, 12.0)	(246, 42.0)	(247, 339.0)	(248, 658.0)	(249, 2735.0)	(250, 7519.0)	(251, 95087.0)	
SRR1542227_1	(248, 54.0)	(249, 63.0)	(250, 1192.0)	(251, 41039.0)								
SRR1542227_2	(246, 2.0)	(247, 0.0)	(248, 22.0)	(249, 280.0)	(250, 39194.0)	(251, 2850.0)						
SRR1542228_1	(248, 27.0)	(249, 55.0)	(250, 597.0)	(251, 23172.0)								
SRR1542228_2	(247, 2.0)	(248, 24.0)	(249, 508.0)	(250, 14147.0)	(251, 9170.0)							
SRR1542229_1	(248, 112.0)	(249, 138.0)	(250, 2596.0)	(251, 63738.0)								
SRR1542229_2	(246, 2.0)	(247, 4.0)	(248, 56.0)	(249, 1990.0)	(250, 43185.0)	(251, 21347.0)						
SRR1542230_1	(248, 62.0)	(249, 71.0)	(250, 1003.0)	(251, 34558.0)								
SRR1542230_2	(246, 1.0)	(247, 2.0)	(248, 29.0)	(249, 1041.0)	(250, 22030.0)	(251, 12591.0)						
SRR1542231_1	(247, 1.0)	(248, 24.0)	(249, 64.0)	(250, 483.0)	(251, 27317.0)							
SRR1542231_2	(247, 1.0)	(248, 11.0)	(249, 579.0)	(250, 18354.0)	(251, 8944.0)							
SRR1542232_1	(248, 59.0)	(249, 101.0)	(250, 1243.0)	(251, 52331.0)								
SRR1542232_2	(245, 1.0)	(246, 0.0)	(247, 1.0)	(248, 48.0)	(249, 1178.0)	(250, 32374.0)	(251, 20132.0)					
SRR1542233_1	(248, 84.0)	(249, 110.0)	(250, 862.0)	(251, 40612.0)								
SRR1542233_2	(247, 3.0)	(248, 35.0)	(249, 1131.0)	(250, 23287.0)	(251, 17212.0)							
SRR1542528_1	(248, 1.0)	(249, 6.0)	(250, 82.0)	(251, 3428.0)								
SRR1542528_2	(248, 3.0)	(249, 87.0)	(250, 1974.0)	(251, 1453.0)								
SRR1542533_1	(248, 2.0)	(249, 2.0)	(250, 38.0)	(251, 2360.0)								
SRR1542533_2	(248, 1.0)	(249, 47.0)	(250, 1260.0)	(251, 1094.0)								
SRR1542539_1	(248, 42.0)	(249, 39.0)	(250, 469.0)	(251, 31674.0)								
SRR1542539_2	(244, 1.0)	(245, 1.0)	(246, 0.0)	(247, 1.0)	(248, 40.0)	(249, 775.0)	(250, 16875.0)	(251, 14531.0)				
SRR1542544_1	(248, 199.0)	(249, 284.0)	(250, 4427.0)	(251, 82500.0)								
SRR1542544_2	(245, 7.0)	(246, 18.0)	(247, 239.0)	(248, 433.0)	(249, 1765.0)	(250, 5396.0)	(251, 79552.0)					
SRR1542545_1	(247, 1.0)	(248, 73.0)	(249, 65.0)	(250, 1031.0)	(251, 52498.0)							
SRR1542545_2	(247, 4.0)	(248, 47.0)	(249, 468.0)	(250, 46808.0)	(251, 6341.0)							
SRR1542546_1	(248, 11.0)	(249, 45.0)	(250, 1295.0)	(251, 21398.0)								
SRR1542546_2	(246, 1.0)	(247, 1.0)	(248, 20.0)	(249, 394.0)	(250, 14439.0)	(251, 7894.0)						
SRR1542548_1	(248, 47.0)	(249, 214.0)	(250, 4849.0)	(251, 76139.0)								
SRR1542548_2	(246, 6.0)	(247, 1.0)	(248, 70.0)	(249, 1350.0)	(250, 56898.0)	(251, 22924.0)						
SRR1542549_1	(248, 84.0)	(249, 86.0)	(250, 1274.0)	(251, 44012.0)								
SRR1542549_2	(247, 3.0)	(248, 47.0)	(249, 1415.0)	(250, 29232.0)	(251, 14759.0)							
SRR1542568_1	(248, 43.0)	(249, 83.0)	(250, 2123.0)	(251, 36637.0)								
SRR1542568_2	(246, 1.0)	(247, 3.0)	(248, 52.0)	(249, 1159.0)	(250, 23111.0)	(251, 14560.0)						
SRR1542569_1	(248, 177.0)	(249, 177.0)	(250, 1592.0)	(251, 74719.0)								
SRR1542569_2	(245, 1.0)	(246, 1.0)	(247, 6.0)	(248, 108.0)	(249, 2687.0)	(250, 49901.0)	(251, 23961.0)					
SRR1542571_1	(248, 59.0)	(249, 72.0)	(250, 613.0)	(251, 39213.0)								
SRR1542571_2	(245, 2.0)	(246, 1.0)	(247, 2.0)	(248, 49.0)	(249, 950.0)	(250, 22362.0)	(251, 16591.0)					
SRR1542572_1	(248, 5.0)	(249, 9.0)	(250, 46.0)	(251, 3151.0)								
SRR1542572_2	(248, 2.0)	(249, 103.0)	(250, 1985.0)	(251, 1121.0)								
SRR1542573_1	(248, 1.0)	(249, 3.0)	(250, 23.0)	(251, 1902.0)								
SRR1542573_2	(248, 1.0)	(249, 61.0)	(250, 1079.0)	(251, 788.0)								
SRR1542575_1	(248, 21.0)	(249, 53.0)	(250, 588.0)	(251, 25925.0)								
SRR1542575_2	(246, 3.0)	(247, 0.0)	(248, 50.0)	(249, 743.0)	(250, 16780.0)	(251, 9011.0)						
SRR1542576_1	(247, 1.0)	(248, 323.0)	(249, 420.0)	(250, 6424.0)	(251, 89727.0)							
SRR1542576_2	(242, 1.0)	(243, 0.0)	(244, 1.0)	(245, 12.0)	(246, 25.0)	(247, 307.0)	(248, 573.0)	(249, 2834.0)	(250, 7212.0)	(251, 85930.0)		
SRR1542577_1	(247, 1.0)	(248, 67.0)	(249, 85.0)	(250, 1290.0)	(251, 46962.0)							
SRR1542577_2	(246, 1.0)	(247, 2.0)	(248, 22.0)	(249, 330.0)	(250, 43574.0)	(251, 4476.0)						
SRR1542579_1	(248, 17.0)	(249, 27.0)	(250, 691.0)	(251, 17469.0)								
SRR1542579_2	(247, 2.0)	(248, 69.0)	(249, 471.0)	(250, 11374.0)	(251, 6288.0)							
SRR1542581_1	(248, 86.0)	(249, 152.0)	(250, 2577.0)	(251, 74063.0)								
SRR1542581_2	(245, 1.0)	(246, 5.0)	(247, 7.0)	(248, 65.0)	(249, 1822.0)	(250, 50270.0)	(251, 24708.0)					
SRR1542582_1	(248, 104.0)	(249, 72.0)	(250, 607.0)	(251, 42891.0)								
SRR1542582_2	(246, 1.0)	(247, 3.0)	(248, 68.0)	(249, 1817.0)	(250, 29994.0)	(251, 11791.0)						
SRR1542583_1	(248, 76.0)	(249, 96.0)	(250, 1214.0)	(251, 50247.0)								
SRR1542583_2	(244, 1.0)	(245, 4.0)	(246, 1.0)	(247, 1.0)	(248, 48.0)	(249, 1591.0)	(250, 33479.0)	(251, 16508.0)				
SRR1542584_1	(247, 1.0)	(248, 139.0)	(249, 118.0)	(250, 809.0)	(251, 55832.0)							
SRR1542584_2	(247, 2.0)	(248, 48.0)	(249, 1616.0)	(250, 28910.0)	(251, 26323.0)							
SRR1542585_1	(248, 32.0)	(249, 97.0)	(250, 791.0)	(251, 38058.0)								
SRR1542585_2	(244, 1.0)	(245, 0.0)	(246, 2.0)	(247, 1.0)	(248, 57.0)	(249, 744.0)	(250, 24799.0)	(251, 13374.0)				
SRR1542586_1	(248, 8.0)	(249, 4.0)	(250, 62.0)	(251, 3754.0)								
SRR1542586_2	(248, 3.0)	(249, 129.0)	(250, 2007.0)	(251, 1689.0)								
SRR1542587_1	(248, 2.0)	(249, 6.0)	(250, 39.0)	(251, 2706.0)								
SRR1542587_2	(246, 1.0)	(247, 0.0)	(248, 3.0)	(249, 69.0)	(250, 1735.0)	(251, 945.0)						
SRR1542588_1	(248, 29.0)	(249, 38.0)	(250, 275.0)	(251, 19195.0)								
