Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1542197_1	SRR1542197_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40936.0	10.2 Mbp	0.0	248-251	54.0	8.750244283760015	250.97095466093415	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR1542197_2	SRR1542197_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40936.0	10.2 Mbp	0.0	247-251	55.0	29.074653117060777	250.32687609927692	250	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR1542199_1	SRR1542199_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65103.0	16.3 Mbp	0.0	248-251	54.0	6.3115371027448814	250.93021826951139	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR1542199_2	SRR1542199_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65103.0	16.2 Mbp	0.0	244-251	54.0	21.73632551495323	250.3406601846305	250	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR1542200_1	SRR1542200_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52129.0	13 Mbp	0.0	248-251	54.0	7.3529129659114885	250.95768190450613	251	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRR1542200_2	SRR1542200_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52129.0	13 Mbp	0.0	245-251	54.0	27.57965815572906	250.33006579830806	250	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR1542201_1	SRR1542201_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45199.0	11.3 Mbp	0.0	248-251	55.0	8.458151729020553	250.97280913294543	251	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRR1542201_2	SRR1542201_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45199.0	11.3 Mbp	0.0	244-251	55.0	46.352795415827785	250.25378880063718	250	pass	fail	warn	fail	warn	pass	warn	fail	fail	pass
SRR1542205_1	SRR1542205_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80607.0	20.2 Mbp	0.0	248-251	55.0	7.122210229880779	250.9416551912365	251	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
SRR1542205_2	SRR1542205_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80607.0	20.1 Mbp	0.0	246-251	56.0	21.328172491222848	250.31039487885667	250	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
