Run,AGE,anamorph,Assay Type,authority,AvgSpotLen,Bases,BIOME,BioProject,BioSample,BioSampleModel,body_site,BREED,Bytes,cell-line,cell-type,Center Name,Collection_Date,Consent,Cultivar,culture-collection,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev-stage,disease,disease-stage,env_feature,env_material,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,haplotype,health-state,Host,Instrument,isolate,isolation-source,Label,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,pathovar,Phenotype,Platform,ReleaseDate,create_date,version,Sample Name,sample-type,serotype,Serovar,sex,specimen-voucher,SRA Study,subgroup,subspecf_gen_lin,subtype,teleomorph,tissue-type
SRR1560315,6 weeks,NA,AMPLICON,NA,602,7495216,gut,PRJNA257705,SAMN03003724,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,19506414,NA,NA,UNIVERSITY OF GUELPH,2011-04-21,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688740,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.01HighAB0Week2,NA,Pig2.01HighAB0Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:13:00Z,2,Pig2.01HighAB0Week2,Ileum mucosa,NA,NA,female,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560316,6 weeks,NA,AMPLICON,NA,574,8836746,gut,PRJNA257705,SAMN03003725,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,24029413,NA,NA,UNIVERSITY OF GUELPH,2011-04-21,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688741,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.02HighAB0Week2,NA,Pig2.02HighAB0Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:13:00Z,2,Pig2.02HighAB0Week2,Ileum mucosa,NA,NA,male,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560317,6 weeks,NA,AMPLICON,NA,551,7174435,gut,PRJNA257705,SAMN03003726,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,19142022,NA,NA,UNIVERSITY OF GUELPH,2011-04-21,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688742,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.03HighAB1Week2,NA,Pig2.03HighAB1Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:14:00Z,2,Pig2.03HighAB1Week2,Ileum mucosa,NA,NA,female,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560318,6 weeks,NA,AMPLICON,NA,571,5993315,gut,PRJNA257705,SAMN03003727,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,16213967,NA,NA,UNIVERSITY OF GUELPH,2011-04-21,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688743,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.04HighAB1Week2,NA,Pig2.04HighAB1Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:14:00Z,2,Pig2.04HighAB1Week2,Ileum mucosa,NA,NA,female,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560319,6 weeks,NA,AMPLICON,NA,580,8454023,gut,PRJNA257705,SAMN03003728,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,22456401,NA,NA,UNIVERSITY OF GUELPH,2011-04-21,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688744,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.05LowAB0Week2,NA,Pig2.05LowAB0Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:14:00Z,2,Pig2.05LowAB0Week2,Ileum mucosa,NA,NA,male,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560320,6 weeks,NA,AMPLICON,NA,600,4958675,gut,PRJNA257705,SAMN03003729,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,13499201,NA,NA,UNIVERSITY OF GUELPH,2011-04-21,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688745,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.06LowAB0Week2,NA,Pig2.06LowAB0Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:14:00Z,2,Pig2.06LowAB0Week2,Ileum mucosa,NA,NA,female,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560321,6 weeks,NA,AMPLICON,NA,580,7288615,gut,PRJNA257705,SAMN03003730,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,19329322,NA,NA,UNIVERSITY OF GUELPH,2011-04-21,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688746,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.07LowAB1Week2,NA,Pig2.07LowAB1Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:16:00Z,2,Pig2.07LowAB1Week2,Ileum mucosa,NA,NA,male,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560322,6 weeks,NA,AMPLICON,NA,551,6593630,gut,PRJNA257705,SAMN03003731,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,17352873,NA,NA,UNIVERSITY OF GUELPH,2011-04-21,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688747,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.08LowAB1Week2,NA,Pig2.08LowAB1Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:16:00Z,2,Pig2.08LowAB1Week2,Ileum mucosa,NA,NA,female,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560323,6 weeks,NA,AMPLICON,NA,558,5351653,gut,PRJNA257705,SAMN03003732,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,13931827,NA,NA,UNIVERSITY OF GUELPH,2011-06-16,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688748,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.11HighAB1Week2,NA,Pig2.11HighAB1Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:16:00Z,2,Pig2.11HighAB1Week2,Ileum mucosa,NA,NA,female,NA,SRP045829,NA,NA,NA,NA,NA
SRR1560324,6 weeks,NA,AMPLICON,NA,569,9417784,gut,PRJNA257705,SAMN03003733,"MIMS.me,MIGS/MIMS/MIMARKS.host-associated",Ileum mucosa,Yorkshire,24785231,NA,NA,UNIVERSITY OF GUELPH,2011-06-16,public,NA,NA,"run.zq,sff,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NA,none,none,NA,NA,SRX688749,NA,Canada,North America,Canada: Ontario,NA,healthy,Sus scrofa,454 GS FLX Titanium,NA,NA,Pig2.12HighAB1Week2,NA,Pig2.12HighAB1Week2,SINGLE,PCR,GENOMIC,pig gut metagenome,NA,healthy,LS454,2015-08-27T00:00:00Z,2014-10-03T00:16:00Z,2,Pig2.12HighAB1Week2,Ileum mucosa,NA,NA,female,NA,SRP045829,NA,NA,NA,NA,NA
