Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
SRR1560315	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(20, 0.0)	(40, 0.0)	(60, 0.0)	(80, 0.0)	(100, 0.0)	(120, 0.0)	(140, 0.0)	(160, 0.0012085857934768596)	(180, 0.0)	(200, 0.0004031103998452056)	(220, 0.0004031526537523434)	(240, 0.012096383987613302)	(260, 0.0)	(280, 0.0)	(300, 0.0)	(320, 0.0004032501965844708)	(340, 0.0016130333091378339)	(360, 0.0012100677637947727)	(380, 0.006051852270251515)	(400, 0.0064561165651845845)	(420, 0.06134053277481164)	(440, 0.030268786827023973)	(460, 0.025436457307127056)	(480, 0.028699044038885183)	(500, 0.0473937589902635)	(520, 0.09665489998319046)	(540, 0.19871558667157974)	(560, 1.1451375032532316)	(580, 1.3248847926267282)	(600, 0.69164265129683)	(620, 0.511770726714432)	(640, 0.5692599620493358)	(660, 0.0)	(680, 0.0)	(700, 0.0)	(720, 0.0)	(740, 0.0)	(760, 0.0)	(780, 0.0)	(800, 0.0)	(820, 5.0)	(840, 0.0)																					
SRR1560316	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0006499415052645262)	(20, 0.0)	(40, 0.0)	(60, 0.00032538843244122673)	(80, 0.0)	(100, 0.00032578277456157785)	(120, 0.00032584965297011956)	(140, 0.0006517927559753101)	(160, 0.0003259686157416764)	(180, 0.00032601750061943323)	(200, 0.00391459655189287)	(220, 0.0)	(240, 0.0016319975976995362)	(260, 0.00032643041809207946)	(280, 0.0009797901942597358)	(300, 0.000326797385620915)	(320, 0.0006536374926465783)	(340, 0.003595429228878487)	(360, 0.01438872447227718)	(380, 0.008506183340967088)	(400, 0.009488255829551663)	(420, 0.04122497055359246)	(440, 0.017013479911006414)	(460, 0.134269948093203)	(480, 0.10209857348589607)	(500, 0.30412543089069277)	(520, 0.21804499441112107)	(540, 0.48096722951109017)	(560, 1.648047782324964)	(580, 1.3869232946504388)	(600, 0.4681100058513751)	(620, 0.1440922190201729)	(640, 0.0)	(660, 0.9009009009009009)	(680, 1.6129032258064515)	(700, 0.0)	(720, 0.0)	(740, 0.0)	(760, 0.0)	(780, 0.0)	(800, 0.0)	(820, 0.0)	(840, 0.0)	(860, 5.0)	(880, 0.0)																			
SRR1560317	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(50, 0.00030793059860168714)	(100, 0.0006167072151660639)	(150, 0.0006173534981564282)	(200, 0.002161895055437166)	(250, 0.0003092117265455175)	(300, 0.00046474520344221286)	(350, 0.004806782835753781)	(400, 0.021408625504188646)	(450, 0.07270392346383235)	(500, 0.21075044540042584)	(550, 0.6470696986503974)	(600, 0.0)	(650, 1.0723860589812333)	(700, 2.0338983050847457)	(750, 0.4)	(800, 0.8130081300813009)	(850, 0.0)	(900, 0.0)	(950, 0.0)	(1000, 0.0)	(1050, 0.0)	(1100, 0.0)	(1150, 0.0)	(1200, 0.0)	(1250, 0.0)	(1300, 0.0)	(1350, 0.0)																																				
SRR1560318	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(20, 0.0)	(40, 0.0)	(60, 0.0)	(80, 0.0)	(100, 0.00047952891079803205)	(120, 0.0004816862873547716)	(140, 0.00048432013560963794)	(160, 0.0)	(180, 0.0)	(200, 0.0)	(220, 0.0)	(240, 0.0004861968708369393)	(260, 0.0004862701619765909)	(280, 0.0)	(300, 0.0)	(320, 0.0009744736624130891)	(340, 0.00048737693732332587)	(360, 0.0029307035153788665)	(380, 0.001957713390759593)	(400, 0.009788806499767514)	(420, 0.05922662750856584)	(440, 0.033778987511565634)	(460, 0.0386337520307485)	(480, 0.11840487382796885)	(500, 0.11320754716981132)	(520, 0.12976816209024886)	(540, 0.22435414469168047)	(560, 1.1894273127753305)	(580, 0.7421875)	(600, 0.28308563340410475)	(620, 0.0)	(640, 0.0)	(660, 0.0)	(680, 3.225806451612903)	(700, 0.0)	(720, 0.0)																											
SRR1560319	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(20, 0.0)	(40, 0.0003436248990601859)	(60, 0.0006883567890909216)	(80, 0.0)	(100, 0.0006967621463061154)	(120, 0.0)	(140, 0.00034894270360806757)	(160, 0.00034896583973394846)	(180, 0.0006981509472162976)	(200, 0.0013965212655275708)	(220, 0.0006983362139702159)	(240, 0.00034919371171963936)	(260, 0.0)	(280, 0.0003494377546527637)	(300, 0.06471518323142149)	(320, 0.000699741095794556)	(340, 0.002099252666050886)	(360, 0.012947112793846973)	(380, 0.005949048152295633)	(400, 0.0027998460084695345)	(420, 0.05494890102197956)	(440, 0.09274814503709926)	(460, 0.03640232974910394)	(480, 0.045958945680736184)	(500, 0.13137987006107046)	(520, 0.28554869170636543)	(540, 0.5794029323441088)	(560, 0.7395129414764758)	(580, 0.2678400612205854)	(600, 0.1688374336710082)	(620, 0.2724795640326975)	(640, 0.6785934608266502)	(660, 1.2195121951219512)	(680, 0.6097560975609756)	(700, 1.1695906432748537)	(720, 0.0)	(740, 0.8333333333333334)	(760, 0.0)	(780, 0.0)	(800, 0.0)	(820, 0.0)	(840, 0.0)	(860, 0.0)	(880, 0.0)	(900, 0.0)	(920, 0.0)	(940, 0.0)	(960, 0.0)	(980, 0.0)	(1000, 0.0)	(1020, 0.0)	(1040, 0.0)	(1060, 0.0)	(1080, 0.0)	(1100, 0.0)								
SRR1560320	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(20, 0.0)	(40, 0.0)	(60, 0.0)	(80, 0.0006070613374775387)	(100, 0.0006095256671258426)	(120, 0.0)	(140, 0.0006108362348054486)	(160, 0.0)	(180, 0.0018355921314283969)	(200, 0.0006119202056051891)	(220, 0.0012238628784031036)	(240, 0.0)	(260, 0.0)	(280, 0.0)	(300, 0.0024515361938674822)	(320, 0.0012259784840776044)	(340, 0.003678837487353996)	(360, 0.002453265296109121)	(380, 0.00245398773006135)	(400, 0.019021322288694586)	(420, 0.08468335787923417)	(440, 0.07302405498281787)	(460, 0.05432702399031991)	(480, 0.03429975491266035)	(500, 0.06512643738652212)	(520, 0.07000950128946071)	(540, 0.29100365302458053)	(560, 0.5575072552314037)	(580, 1.1475017929715514)	(600, 0.4317111459968602)	(620, 0.28388928317955997)	(640, 0.15600624024961)	(660, 0.6472491909385114)	(680, 0.0)	(700, 0.0)	(720, 0.0)	(740, 0.0)	(760, 0.0)	(780, 0.0)	(800, 0.0)	(820, 0.0)	(840, 0.0)	(860, 0.0)	(880, 0.0)	(900, 0.0)	(920, 0.0)	(940, 0.0)	(960, 0.0)	(980, 0.0)														
SRR1560321	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(20, 0.0)	(40, 0.0)	(60, 0.0)	(80, 0.0)	(100, 0.0)	(120, 0.00040110866434825854)	(140, 0.0012037702082923717)	(160, 0.0004013630288459609)	(180, 0.0)	(200, 0.00040152096140179)	(220, 0.00040160642570281126)	(240, 0.008032322063985476)	(260, 0.00080327737167644)	(280, 0.0)	(300, 0.006447635128328088)	(320, 0.00040303079155247463)	(340, 0.0012092337085988609)	(360, 0.007660147477997235)	(380, 0.00282258064516129)	(400, 0.004032258064516129)	(420, 0.03225806451612903)	(440, 0.025403225806451612)	(460, 0.03148322307478073)	(480, 0.03815879742955845)	(500, 0.08491009856456036)	(520, 0.12892744291420735)	(540, 0.2366246891794337)	(560, 1.211120286264795)	(580, 0.8036001285760206)	(600, 0.2552322613578356)	(620, 0.24213075060532688)	(640, 0.625)	(660, 0.0)	(680, 0.0)	(700, 0.0)	(720, 0.0)	(740, 0.0)	(760, 0.0)	(780, 0.0)	(800, 0.0)	(820, 0.0)	(840, 0.0)	(860, 0.0)	(880, 0.0)																			
SRR1560322	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(50, 0.0005024637472406366)	(100, 0.0006713414409001346)	(150, 0.0026865741813504734)	(200, 0.0003360096501971537)	(250, 0.0011771828333109109)	(300, 0.0008418231194934245)	(350, 0.0023597268784690093)	(400, 0.026650473973619405)	(450, 0.06839752491154358)	(500, 0.4658840792369772)	(550, 0.9293300653594772)	(600, 0.5277044854881267)	(650, 1.6528925619834711)	(700, 0.0)	(750, 0.0)	(800, 0.0)	(850, 0.0)	(900, 0.0)	(950, 0.0)	(1000, 0.0)	(1050, 0.0)	(1100, 0.0)	(1150, 0.0)	(1200, 0.0)	(1250, 0.0)	(1300, 0.0)	(1350, 0.0)	(1400, 0.0)																																			
SRR1560323	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(20, 0.0)	(40, 0.0)	(60, 0.00470824570764933)	(80, 0.0)	(100, 0.0)	(120, 0.0)	(140, 0.0)	(160, 0.0005254308532997058)	(180, 0.0005255440694979477)	(200, 0.0005256048397693646)	(220, 0.0)	(240, 0.0)	(260, 0.0005256518082422204)	(280, 0.0)	(300, 0.0010527978101805549)	(320, 0.0005264266161297116)	(340, 0.0036852967190329784)	(360, 0.006847439057792386)	(380, 0.0052698145025295105)	(400, 0.0052698145025295105)	(420, 0.05533800983435489)	(440, 0.026351849899862972)	(460, 0.06647708387192082)	(480, 0.11343110270084295)	(500, 0.31827782760915485)	(520, 0.4796546486529699)	(540, 0.6060606060606061)	(560, 0.3184713375796179)	(580, 0.3838771593090211)	(600, 0.3401360544217687)	(620, 0.591715976331361)	(640, 0.0)	(660, 0.0)	(680, 0.0)	(700, 0.0)	(720, 0.0)																											
SRR1560324	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(20, 0.0)	(40, 0.0)	(60, 0.0036333138547340565)	(80, 0.002122575715308016)	(100, 0.0)	(120, 0.0012136695602571767)	(140, 0.0003035610749704787)	(160, 0.0018223234624145787)	(180, 0.0009117404821891496)	(200, 0.0009118596465632011)	(220, 0.0)	(240, 0.0036494130527340183)	(260, 0.0006084353476599576)	(280, 0.0006090671831556379)	(300, 0.0006092879860594908)	(320, 0.0006094086603064716)	(340, 0.0021330733015403835)	(360, 0.009751697404829528)	(380, 0.006095665372353719)	(400, 0.008838768668088998)	(420, 0.0719303860162453)	(440, 0.03048222886057429)	(460, 0.151510070694538)	(480, 0.07994616957915004)	(500, 0.31428166217557796)	(520, 0.16993830081010358)	(540, 0.21596663687816503)	(560, 1.1161492849668644)	(580, 1.1268985791278785)	(600, 0.4439511653718091)	(620, 0.43859649122807015)	(640, 0.0)	(660, 0.0)	(680, 0.0)	(700, 1.5151515151515151)	(720, 0.0)	(740, 0.0)	(760, 0.0)	(780, 0.0)	(800, 0.0)	(820, 0.0)	(840, 0.0)	(860, 0.0)	(880, 0.0)	(900, 0.0)	(920, 0.0)	(940, 0.0)	(960, 0.0)	(980, 0.0)	(1000, 0.0)	(1020, 0.0)	(1040, 0.0)											
