Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
SRR1560315	(1, 39.89379820051414)	(2, 39.903036632390744)	(3, 39.91629177377892)	(4, 39.81595437017995)	(5, 39.37700835475579)	(6, 39.37797236503856)	(7, 39.37845437017995)	(8, 39.90062660668381)	(9, 39.92625321336761)	(10, 39.943854434447296)	(20, 39.9037516066838)	(40, 39.89162481957846)	(60, 39.362104746055195)	(80, 39.586144297289934)	(100, 39.59747821601592)	(120, 38.8445162532364)	(140, 38.67221518484688)	(160, 38.17813021500479)	(180, 38.691259646137)	(200, 37.46297153872686)	(220, 37.343181894923404)	(240, 34.734713425491194)	(260, 36.683903225806446)	(280, 36.45896370967743)	(300, 37.14401612903225)	(320, 35.177237897046844)	(340, 29.193124445519793)	(360, 30.325801513968646)	(380, 31.645535254014522)	(400, 33.16244818796666)	(420, 28.55432013780351)	(440, 27.858535797885217)	(460, 27.93031429628192)	(480, 22.18850306875595)	(500, 20.390135095319582)	(520, 22.323858562378568)	(540, 19.25457682884064)	(560, 11.661495690513927)	(580, 10.348118453845423)	(600, 10.391813497254393)	(620, 10.01364759782027)	(640, 9.874855959563288)	(660, 9.433554917304917)	(680, 9.51873015873016)	(700, 9.5125)	(720, 9.375)	(740, 9.85)	(760, 10.083333333333334)	(780, 10.65)	(800, 9.05)	(820, 8.85)	(840, 9.857142857142858)																					
SRR1560316	(1, 39.676329130378264)	(2, 39.71662550370467)	(3, 39.75464708176264)	(4, 39.66813986741193)	(5, 39.02729754322111)	(6, 39.02736253737164)	(7, 39.02437280644742)	(8, 39.81346678798908)	(9, 39.86273235408813)	(10, 39.91230339269466)	(20, 39.87862946367976)	(40, 39.838421020237845)	(60, 39.425144007152255)	(80, 39.46735259719046)	(100, 39.56728128841165)	(120, 37.806436531268886)	(140, 37.72899397651263)	(160, 38.75741124473116)	(180, 37.00019072614661)	(200, 37.203672808630714)	(220, 36.81720437851901)	(240, 36.13346656160695)	(260, 36.808826237127555)	(280, 36.59619373079771)	(300, 36.04509126729298)	(320, 34.946535721288974)	(340, 31.70675767055049)	(360, 30.62926793967843)	(380, 32.0470162926127)	(400, 28.199890667846073)	(420, 24.859010600706714)	(440, 23.387962962962966)	(460, 22.655332321447382)	(480, 21.883539935137005)	(500, 19.222194371098247)	(520, 19.86068697464052)	(540, 18.259620972034966)	(560, 11.176207084586846)	(580, 10.299421476508355)	(600, 10.355168787000757)	(620, 10.239214915811983)	(640, 9.810134016758731)	(660, 9.78625)	(680, 9.7375)	(700, 10.45)	(720, 9.55)	(740, 10.3)	(760, 8.95)	(780, 11.15)	(800, 9.5)	(820, 9.95)	(840, 10.15)	(860, 9.9)	(880, 12.0)																			
SRR1560317	(1, 39.937024221453285)	(2, 39.93241061130335)	(3, 39.899346405228755)	(4, 39.77777777777778)	(5, 39.29365628604383)	(6, 39.29234909650135)	(7, 39.29357939254133)	(8, 39.86797385620915)	(9, 39.90734332948866)	(10, 39.877977089184974)	(50, 39.59392351573196)	(100, 38.7282361033739)	(150, 38.31933360484082)	(200, 37.039545425168726)	(250, 37.06223212807504)	(300, 35.592026061564)	(350, 32.85879331017131)	(400, 26.80469593546386)	(450, 23.90449805834757)	(500, 20.810996432652896)	(550, 12.38203686263618)	(600, 10.493138214185219)	(650, 9.596399711399712)	(700, 9.524666666666667)	(750, 9.883999999999999)	(800, 9.827999999999998)	(850, 9.65833333333333)	(900, 9.703333333333333)	(950, 9.21)	(1000, 10.4)	(1050, 10.88)	(1100, 9.26)	(1150, 9.78)	(1200, 9.36)	(1250, 9.34)	(1300, 9.6)	(1350, 10.045454545454545)																																				
SRR1560318	(1, 39.91573729863693)	(2, 39.90649127823849)	(3, 39.88304260794967)	(4, 39.7546468401487)	(5, 39.27366313983414)	(6, 39.27299590124869)	(7, 39.27099418549233)	(8, 39.849204079687354)	(9, 39.900486130969405)	(10, 39.895091030407016)	(20, 39.819116385473265)	(40, 39.768552393944944)	(60, 39.04875490426117)	(80, 39.29832581809553)	(100, 39.48061066500624)	(120, 38.16241157885815)	(140, 37.55323388935974)	(160, 38.1481857846664)	(180, 38.23857795414495)	(200, 37.590722513600625)	(220, 36.501501922164195)	(240, 36.27390803646535)	(260, 37.04267280600136)	(280, 36.30915853509821)	(300, 36.43483938826427)	(320, 34.991689415987416)	(340, 31.068250954096165)	(360, 30.48263234492658)	(380, 32.43303151918559)	(400, 29.858267928649163)	(420, 24.719417523250122)	(440, 22.676508265056565)	(460, 22.391197890354753)	(480, 21.753344635745698)	(500, 19.082345547504808)	(520, 20.37024601914587)	(540, 18.659271415504993)	(560, 11.458148090745564)	(580, 10.344796865773537)	(600, 10.617820843261038)	(620, 10.087066939673285)	(640, 9.901301892551894)	(660, 9.783095238095237)	(680, 10.075)	(700, 9.45)	(720, 9.928571428571429)																											
SRR1560319	(1, 39.90667490729295)	(2, 39.908391704436205)	(3, 39.87982419997253)	(4, 39.73478917731081)	(5, 39.27180332371927)	(6, 39.2656915258893)	(7, 39.260129103145175)	(8, 39.84686169482214)	(9, 39.88985029528911)	(10, 39.90215629721192)	(20, 39.83876481181686)	(40, 39.65105688602988)	(60, 38.856059096557786)	(80, 39.30758786616785)	(100, 39.55376883974382)	(120, 38.808578012543805)	(140, 37.91725870612045)	(160, 38.836640610007194)	(180, 38.41926882072577)	(200, 37.51651040144084)	(220, 37.13505315094879)	(240, 36.3599812329018)	(260, 32.924172370442804)	(280, 35.7241716238003)	(300, 32.75882229743669)	(320, 35.43335315933105)	(340, 33.60770423980916)	(360, 31.066196900588277)	(380, 31.92367021276595)	(400, 30.844036055528413)	(420, 22.42807643847123)	(440, 21.613562228755423)	(460, 23.521616571338217)	(480, 22.285102183738807)	(500, 21.75647565620943)	(520, 20.286379224177146)	(540, 15.5054816153187)	(560, 12.381292190272044)	(580, 11.974178769041163)	(600, 11.7680127111101)	(620, 11.346619200680392)	(640, 10.188724502134225)	(660, 9.527065248021328)	(680, 9.762726435613263)	(700, 10.15431277056277)	(720, 9.876190476190477)	(740, 10.433333333333332)	(760, 10.096666666666666)	(780, 9.4375)	(800, 10.266666666666666)	(820, 8.875)	(840, 9.45)	(860, 9.825)	(880, 8.65)	(900, 10.975)	(920, 9.025)	(940, 9.05)	(960, 8.3)	(980, 10.05)	(1000, 10.95)	(1020, 8.65)	(1040, 6.9)	(1060, 9.8)	(1080, 9.15)	(1100, 8.0)								
SRR1560320	(1, 39.917937545388526)	(2, 39.90982812878238)	(3, 39.8717017671266)	(4, 39.71665456305979)	(5, 39.07891551682401)	(6, 39.07915758896151)	(7, 39.08109416606148)	(8, 39.85378842895183)	(9, 39.901113531832486)	(10, 39.90778261922053)	(20, 39.88585693536674)	(40, 39.877762080086754)	(60, 39.0854871955206)	(80, 39.46561022967474)	(100, 39.61412058560826)	(120, 38.48413734605285)	(140, 38.4452133886236)	(160, 38.0242743178233)	(180, 37.96284577780154)	(200, 37.18250520132175)	(220, 36.206942230237594)	(240, 36.78889110259786)	(260, 34.97569486959715)	(280, 33.48491256602291)	(300, 35.15593860355209)	(320, 33.55070730776724)	(340, 28.927259564537763)	(360, 27.977573377666136)	(380, 28.212122699386505)	(400, 30.236620580193573)	(420, 26.697533136966126)	(440, 22.000668875797746)	(460, 24.204376401992604)	(480, 22.50949715850461)	(500, 18.338830863986658)	(520, 19.21720385659676)	(540, 19.221194130991087)	(560, 11.962534551883342)	(580, 10.456664188879582)	(600, 10.544565077625062)	(620, 10.078341834350947)	(640, 10.026182660007606)	(660, 9.838888888888887)	(680, 9.93152097902098)	(700, 9.478333333333333)	(720, 9.970535714285715)	(740, 10.479166666666666)	(760, 10.566666666666666)	(780, 9.55)	(800, 8.725)	(820, 9.225)	(840, 8.875)	(860, 9.45)	(880, 9.45)	(900, 9.05)	(920, 9.3)	(940, 9.7)	(960, 9.65)	(980, 9.0)														
SRR1560321	(1, 38.78346738870749)	(2, 39.54829975312575)	(3, 39.66950704786175)	(4, 39.70000796368559)	(5, 39.17830692044278)	(6, 39.19789758700327)	(7, 39.193039738791114)	(8, 39.859202038703515)	(9, 39.90340049374851)	(10, 39.936051604682646)	(20, 39.89747152982401)	(40, 39.88315893533519)	(60, 39.27797465110998)	(80, 39.34724781356016)	(100, 39.573542837554974)	(120, 38.49615693005619)	(140, 38.298231751642405)	(160, 38.62263077464304)	(180, 38.07905595247652)	(200, 37.71182689738004)	(220, 37.70646184738955)	(240, 35.96673684052622)	(260, 36.70150212868502)	(280, 36.965771709822846)	(300, 36.5332834634617)	(320, 35.562691439625986)	(340, 31.500466036402276)	(360, 30.930237042980156)	(380, 32.81313306451612)	(400, 31.807677419354842)	(420, 26.004193548387093)	(440, 25.80639516129032)	(460, 24.930656073546974)	(480, 22.621629390658505)	(500, 20.197818690723555)	(520, 21.158268992501515)	(540, 17.511263402966414)	(560, 11.414600186547101)	(580, 10.806585175391975)	(600, 10.950438668181274)	(620, 10.655990382058114)	(640, 9.962348776371687)	(660, 9.862113727345923)	(680, 9.686607142857142)	(700, 9.681666666666665)	(720, 9.452499999999999)	(740, 10.133333333333333)	(760, 9.166666666666668)	(780, 10.383333333333335)	(800, 9.7)	(820, 9.225)	(840, 10.3)	(860, 9.7)	(880, 10.272727272727273)																			
SRR1560322	(1, 39.92260709504686)	(2, 39.91390562248996)	(3, 39.88855421686747)	(4, 39.7684906291834)	(5, 39.322958500669344)	(6, 39.31927710843374)	(7, 39.316683400267735)	(8, 39.86362115127175)	(9, 39.90478580990629)	(10, 39.87767777106571)	(50, 39.550704695954735)	(100, 39.231108182113104)	(150, 38.3079674243944)	(200, 37.28079604283259)	(250, 36.63310590568457)	(300, 35.53096390083351)	(350, 33.50271219203189)	(400, 27.385190474478755)	(450, 24.240137132349425)	(500, 19.07703958455502)	(550, 12.344066888499142)	(600, 10.197922580437268)	(650, 11.916333333333332)	(700, 10.06)	(750, 9.72)	(800, 11.22)	(850, 11.48)	(900, 12.26)	(950, 10.78)	(1000, 9.64)	(1050, 11.64)	(1100, 10.68)	(1150, 10.98)	(1200, 11.64)	(1250, 10.26)	(1300, 8.48)	(1350, 8.64)	(1400, 8.0)																																			
SRR1560323	(1, 39.870698644421275)	(2, 39.901876955161626)	(3, 39.8910323253389)	(4, 39.78915537017727)	(5, 39.45568300312826)	(6, 39.45213764337852)	(7, 39.44452554744525)	(8, 39.86663190823775)	(9, 39.90417101147028)	(10, 39.93164754953076)	(20, 39.90041710114702)	(40, 39.783293134401205)	(60, 37.99147261511497)	(80, 39.42462862959217)	(100, 39.70290313184209)	(120, 38.679008714211115)	(140, 38.61330977483995)	(160, 39.54925914249685)	(180, 38.4937861376544)	(200, 37.127254996526815)	(220, 38.416663162321285)	(240, 36.10258620689655)	(260, 37.35065706476031)	(280, 37.89989367962322)	(300, 36.7732953499101)	(320, 36.63525479048221)	(340, 34.18512455352405)	(360, 30.129356158225654)	(380, 35.42943191399662)	(400, 30.792358768971326)	(420, 29.071868276501032)	(440, 26.3507378517972)	(460, 26.16274327675392)	(480, 25.821253368669225)	(500, 21.020107675465415)	(520, 17.93821947980588)	(540, 16.029253873248255)	(560, 11.792490790682393)	(580, 11.107554984501604)	(600, 11.23671221322537)	(620, 10.766630591630593)	(640, 10.275476190476189)	(660, 9.705833333333333)	(680, 10.541666666666668)	(700, 8.75)	(720, 9.0)																											
SRR1560324	(1, 39.869226118500606)	(2, 39.88488512696493)	(3, 39.88325272067715)	(4, 39.777932285368806)	(5, 39.35181378476421)	(6, 39.34782345828295)	(7, 39.353264812575574)	(8, 39.85640870616687)	(9, 39.90114873035066)	(10, 39.91531438935913)	(20, 39.88184099153567)	(40, 39.80844747980429)	(60, 38.79188810622106)	(80, 39.47319146817297)	(100, 39.59824116159526)	(120, 38.695232863781435)	(140, 38.469688428139925)	(160, 38.70459001427752)	(180, 38.005277516126256)	(200, 37.138355551404075)	(220, 37.93816542375002)	(240, 35.1169484824524)	(260, 37.036669732572264)	(280, 37.238725692403406)	(300, 36.84524585335075)	(320, 35.9319055975575)	(340, 32.57681566167014)	(360, 31.791080840029075)	(380, 34.1333416750133)	(400, 29.653700091435542)	(420, 26.443700526960708)	(440, 25.003066512223374)	(460, 24.509280528776777)	(480, 23.61452475364164)	(500, 20.444081719795317)	(520, 20.851225192287142)	(540, 18.536810866452576)	(560, 11.446578311288544)	(580, 10.331367076756207)	(600, 10.081007223277345)	(620, 10.218098074817904)	(640, 9.697256493506494)	(660, 8.9125)	(680, 9.5875)	(700, 9.566666666666666)	(720, 10.616666666666665)	(740, 9.958333333333332)	(760, 9.275)	(780, 9.225)	(800, 9.925)	(820, 9.65)	(840, 10.225)	(860, 9.475)	(880, 8.775)	(900, 9.3)	(920, 11.4)	(940, 9.7)	(960, 10.4)	(980, 9.25)	(1000, 10.15)	(1020, 10.2)	(1040, 9.88888888888889)											
